n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Josh Hart OVER PTS 7.5 (GOBLIN) [id:10246867] | Kyshawn George OVER PA 9.5 (GOBLIN) [id:10239839] | Amen Thompson OVER PA 22.5 (STANDARD) [id:10237830] | Tari Eason UNDER REB 7 (STANDARD) [id:10248758],0.23738853301125704,10.0,0.7345166871566604,7.3451668715666045,1.7436583883640804,10.0,pp_kernel,0.7040165681825573,0.061664802710909634,Josh Hart OVER PTS 7.5 (GOBLIN) [id:10246867] | Kyshawn George OVER PA 9.5 (GOBLIN) [id:10239839] | Amen Thompson OVER PA 22.5 (STANDARD) [id:10237830] | Tari Eason UNDER REB 7 (STANDARD) [id:10248758],0.01,0.024,0.0006166480271090963,0.0346166480271091,12.772845181513953,"['josh hart', 'kyshawn george', 'amen thompson', 'tari eason']",12.807461829541062,1,Josh Hart OVER PTS 7.5 (GOBLIN) [id:10246867],Kyshawn George OVER PA 9.5 (GOBLIN) [id:10239839],Amen Thompson OVER PA 22.5 (STANDARD) [id:10237830],Tari Eason UNDER REB 7 (STANDARD) [id:10248758],0,
4,Kyshawn George OVER REB 2.5 (GOBLIN) [id:10239845] | Tre Johnson OVER PTS 7.5 (GOBLIN) [id:10239878] | Reed Sheppard UNDER PRA 23.5 (STANDARD) [id:10237912] | Tari Eason UNDER REB 7 (STANDARD) [id:10248758],0.21317696776782014,10.0,0.7589857185269139,7.589857185269139,1.6179827405464773,10.0,pp_kernel,0.6846016474896861,0.06213959700915831,Kyshawn George OVER REB 2.5 (GOBLIN) [id:10239845] | Tre Johnson OVER PTS 7.5 (GOBLIN) [id:10239878] | Reed Sheppard UNDER PRA 23.5 (STANDARD) [id:10237912] | Tari Eason UNDER REB 7 (STANDARD) [id:10248758],0.02,0.012,0.0006213959700915831,0.03262139597009158,12.247636533008043,"['kyshawn george', 'tre johnson', 'reed sheppard', 'tari eason']",12.280257928978134,1,Kyshawn George OVER REB 2.5 (GOBLIN) [id:10239845],Tre Johnson OVER PTS 7.5 (GOBLIN) [id:10239878],Reed Sheppard UNDER PRA 23.5 (STANDARD) [id:10237912],Tari Eason UNDER REB 7 (STANDARD) [id:10248758],0,
4,Darius Garland OVER PA 14.5 (GOBLIN) [id:10242157] | Amen Thompson OVER PR 19.5 (GOBLIN) [id:10239746] | VJ Edgecombe UNDER PTS 16.5 (STANDARD) [id:10243761] | Reed Sheppard UNDER PR 20 (STANDARD) [id:10237911],0.28500324201038724,10.0,0.6741890774594042,6.741890774594042,1.9214607280392229,10.0,pp_kernel,0.7391722655981865,0.07365947807379068,Darius Garland OVER PA 14.5 (GOBLIN) [id:10242157] | Amen Thompson OVER PR 19.5 (GOBLIN) [id:10239746] | VJ Edgecombe UNDER PTS 16.5 (STANDARD) [id:10243761] | Reed Sheppard UNDER PR 20 (STANDARD) [id:10237911],0.01,0.054,0.0007365947807379069,0.06473659478073791,12.88954176133165,"['darius garland', 'amen thompson', 'vj edgecombe', 'reed sheppard']",12.954278356112388,1,Darius Garland OVER PA 14.5 (GOBLIN) [id:10242157],Amen Thompson OVER PR 19.5 (GOBLIN) [id:10239746],VJ Edgecombe UNDER PTS 16.5 (STANDARD) [id:10243761],Reed Sheppard UNDER PR 20 (STANDARD) [id:10237911],0,
4,Amen Thompson OVER PR 19.5 (GOBLIN) [id:10239746] | Keyonte George OVER PRA 19.5 (GOBLIN) [id:10240867] | Reed Sheppard UNDER PTS 15.5 (STANDARD) [id:10237908] | Bub Carrington OVER FG3M 1.5 (STANDARD) [id:10237848],0.2611894952961011,10.0,0.6902656123115726,6.902656123115726,1.8029012689991382,10.0,pp_kernel,0.7253271322251902,0.0636324978411311,Amen Thompson OVER PR 19.5 (GOBLIN) [id:10239746] | Keyonte George OVER PRA 19.5 (GOBLIN) [id:10240867] | Reed Sheppard UNDER PTS 15.5 (STANDARD) [id:10237908] | Bub Carrington OVER FG3M 1.5 (STANDARD) [id:10237848],0.01,0.024,0.000636324978411311,0.03463632497841131,12.410171158851602,"['amen thompson', 'keyonte george', 'reed sheppard', 'bub carrington']",12.444807483830013,1,Amen Thompson OVER PR 19.5 (GOBLIN) [id:10239746],Keyonte George OVER PRA 19.5 (GOBLIN) [id:10240867],Reed Sheppard UNDER PTS 15.5 (STANDARD) [id:10237908],Bub Carrington OVER FG3M 1.5 (STANDARD) [id:10237848],0,
4,Amen Thompson OVER PRA 24.5 (GOBLIN) [id:10239749] | Darius Garland OVER PTS 7.5 (GOBLIN) [id:10243295] | Brook Lopez UNDER PTS 9.5 (STANDARD) [id:10240919] | Brandin Podziemski UNDER REB 6 (STANDARD) [id:10248829],0.29823987290703974,10.0,0.641795116954425,6.41795116954425,1.9140889411284643,10.0,pp_kernel,0.7533013530988648,0.05725229132882052,Amen Thompson OVER PRA 24.5 (GOBLIN) [id:10239749] | Darius Garland OVER PTS 7.5 (GOBLIN) [id:10243295] | Brook Lopez UNDER PTS 9.5 (STANDARD) [id:10240919] | Brandin Podziemski UNDER REB 6 (STANDARD) [id:10248829],0.01,0.024,0.0005725229132882053,0.03457252291328821,12.249956835413853,"['amen thompson', 'darius garland', 'brook lopez', 'brandin podziemski']",12.284529358327141,1,Amen Thompson OVER PRA 24.5 (GOBLIN) [id:10239749],Darius Garland OVER PTS 7.5 (GOBLIN) [id:10243295],Brook Lopez UNDER PTS 9.5 (STANDARD) [id:10240919],Brandin Podziemski UNDER REB 6 (STANDARD) [id:10248829],0,
4,Derrick White OVER REB 2.5 (GOBLIN) [id:10242719] | Josh Hart OVER FG3M 0.5 (GOBLIN) [id:10242363] | Tari Eason UNDER PRA 23.5 (STANDARD) [id:10237924] | Reed Sheppard UNDER PTS 15.5 (STANDARD) [id:10237908],0.2136735002649827,10.0,0.7542617051552338,7.542617051552338,1.6116573865635315,10.0,pp_kernel,0.6846366986330167,0.0644568442068461,Derrick White OVER REB 2.5 (GOBLIN) [id:10242719] | Josh Hart OVER FG3M 0.5 (GOBLIN) [id:10242363] | Tari Eason UNDER PRA 23.5 (STANDARD) [id:10237924] | Reed Sheppard UNDER PTS 15.5 (STANDARD) [id:10237908],0.01,0.006,0.0006445684420684609,0.01664456844206846,12.139469916712303,"['derrick white', 'josh hart', 'tari eason', 'reed sheppard']",12.15611448515437,1,Derrick White OVER REB 2.5 (GOBLIN) [id:10242719],Josh Hart OVER FG3M 0.5 (GOBLIN) [id:10242363],Tari Eason UNDER PRA 23.5 (STANDARD) [id:10237924],Reed Sheppard UNDER PTS 15.5 (STANDARD) [id:10237908],0,
4,Bub Carrington OVER FG3M 0.5 (GOBLIN) [id:10237849] | Keyonte George OVER PRA 19.5 (GOBLIN) [id:10240867] | Dominick Barlow UNDER PTS 9.5 (STANDARD) [id:10243689] | Tari Eason UNDER PRA 23.5 (STANDARD) [id:10237924],0.2572916288014311,10.0,0.6850678602855834,6.850678602855834,1.7626222561238898,10.0,pp_kernel,0.7190481343224235,0.06779563933873774,Bub Carrington OVER FG3M 0.5 (GOBLIN) [id:10237849] | Keyonte George OVER PRA 19.5 (GOBLIN) [id:10240867] | Dominick Barlow UNDER PTS 9.5 (STANDARD) [id:10243689] | Tari Eason UNDER PRA 23.5 (STANDARD) [id:10237924],0.0,0.024,0.0006779563933873774,0.02467795639338738,12.050480618552019,"['bub carrington', 'keyonte george', 'dominick barlow', 'tari eason']",12.075158574945407,1,Bub Carrington OVER FG3M 0.5 (GOBLIN) [id:10237849],Keyonte George OVER PRA 19.5 (GOBLIN) [id:10240867],Dominick Barlow UNDER PTS 9.5 (STANDARD) [id:10243689],Tari Eason UNDER PRA 23.5 (STANDARD) [id:10237924],0,
4,Kyshawn George OVER PTS 9.5 (GOBLIN) [id:10237891] | Darius Garland OVER PA 14.5 (GOBLIN) [id:10242157] | Alperen Sengun UNDER PR 28.5 (STANDARD) [id:10237815] | RJ Barrett UNDER PRA 26.5 (STANDARD) [id:10242383],0.12882224426683203,10.0,0.9634055319138255,9.634055319138255,1.2410806276022008,10.0,pp_kernel,0.6179593735884132,0.07642410375832676,Kyshawn George OVER PTS 9.5 (GOBLIN) [id:10237891] | Darius Garland OVER PA 14.5 (GOBLIN) [id:10242157] | Alperen Sengun UNDER PR 28.5 (STANDARD) [id:10237815] | RJ Barrett UNDER PRA 26.5 (STANDARD) [id:10242383],0.0,0.054,0.0007642410375832676,0.05476424103758327,11.901875180792842,"['kyshawn george', 'darius garland', 'alperen sengun', 'rj barrett']",11.956639421830426,1,Kyshawn George OVER PTS 9.5 (GOBLIN) [id:10237891],Darius Garland OVER PA 14.5 (GOBLIN) [id:10242157],Alperen Sengun UNDER PR 28.5 (STANDARD) [id:10237815],RJ Barrett UNDER PRA 26.5 (STANDARD) [id:10242383],0,
4,Darius Garland OVER PRA 17.5 (GOBLIN) [id:10245746] | Keyonte George OVER REB 1.5 (GOBLIN) [id:10240310] | Derrick White UNDER PTS 16.5 (STANDARD) [id:10241378] | Josh Hart OVER RA 12.5 (STANDARD) [id:10243367],0.11496651051817637,10.0,0.9989935459549959,9.989935459549958,1.1485080200862534,10.0,pp_kernel,0.610932186164817,0.059251146307665405,Darius Garland OVER PRA 17.5 (GOBLIN) [id:10245746] | Keyonte George OVER REB 1.5 (GOBLIN) [id:10240310] | Derrick White UNDER PTS 16.5 (STANDARD) [id:10241378] | Josh Hart OVER RA 12.5 (STANDARD) [id:10243367],0.0,0.024,0.0005925114630766541,0.024592511463076654,11.448928483974102,"['darius garland', 'keyonte george', 'derrick white', 'josh hart']",11.473520995437179,1,Darius Garland OVER PRA 17.5 (GOBLIN) [id:10245746],Keyonte George OVER REB 1.5 (GOBLIN) [id:10240310],Derrick White UNDER PTS 16.5 (STANDARD) [id:10241378],Josh Hart OVER RA 12.5 (STANDARD) [id:10243367],0,
4,Bub Carrington OVER REB 1.5 (GOBLIN) [id:10241612] | Bobby Portis OVER PR 11.5 (GOBLIN) [id:10241769] | Nikola Jokić UNDER PRA 53.5 (STANDARD) [id:10238830] | Tyrese Maxey OVER RA 10.5 (STANDARD) [id:10243751],0.12293302064745745,10.0,0.9352951171947449,9.35295117194745,1.1497865395356772,10.0,pp_kernel,0.6189042877434935,0.07017296128439847,Bub Carrington OVER REB 1.5 (GOBLIN) [id:10241612] | Bobby Portis OVER PR 11.5 (GOBLIN) [id:10241769] | Nikola Jokić UNDER PRA 53.5 (STANDARD) [id:10238830] | Tyrese Maxey OVER RA 10.5 (STANDARD) [id:10243751],0.0,0.024,0.0007017296128439847,0.024701729612843986,10.72919563282677,"['bub carrington', 'bobby portis', 'nikola jokić', 'tyrese maxey']",10.753897362439613,1,Bub Carrington OVER REB 1.5 (GOBLIN) [id:10241612],Bobby Portis OVER PR 11.5 (GOBLIN) [id:10241769],Nikola Jokić UNDER PRA 53.5 (STANDARD) [id:10238830],Tyrese Maxey OVER RA 10.5 (STANDARD) [id:10243751],0,
