n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Dejounte Murray OVER PTS 9.5 (GOBLIN) [id:10265019] | Josh Giddey OVER RA 11.5 (GOBLIN) [id:10264898] | Russell Westbrook OVER RA 6.5 (GOBLIN) [id:10272535] | Tristan Silva UNDER PRA 18.5 (STANDARD) [id:10276968] | Ryan Kalkbrenner OVER PRA 10.5 (STANDARD) [id:10261175],0.545106269650281,20.0,1.0,20.0,10.902125393005619,20.0,atlas,0.8867537392989584,0.06923298866484014,Dejounte Murray OVER PTS 9.5 (GOBLIN) [id:10265019] | Josh Giddey OVER RA 11.5 (GOBLIN) [id:10264898] | Russell Westbrook OVER RA 6.5 (GOBLIN) [id:10272535] | Tristan Silva UNDER PRA 18.5 (STANDARD) [id:10276968] | Ryan Kalkbrenner OVER PRA 10.5 (STANDARD) [id:10261175],0.0,0.096,0.0006923298866484014,0.0966923298866484,217.94581553022573,"['dejounte murray', 'josh giddey', 'russell westbrook', 'tristan silva', 'ryan kalkbrenner']",1,Dejounte Murray OVER PTS 9.5 (GOBLIN) [id:10265019],Josh Giddey OVER RA 11.5 (GOBLIN) [id:10264898],Russell Westbrook OVER RA 6.5 (GOBLIN) [id:10272535],Tristan Silva UNDER PRA 18.5 (STANDARD) [id:10276968],Ryan Kalkbrenner OVER PRA 10.5 (STANDARD) [id:10261175],0,
5,Tre Jones OVER PTS 7.5 (GOBLIN) [id:10267139] | Josh Giddey OVER PRA 26.5 (GOBLIN) [id:10269506] | Dejounte Murray OVER PA 14.5 (GOBLIN) [id:10267502] | Jevon Carter UNDER RA 5.5 (STANDARD) [id:10277103] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10276964],0.4833747165794597,20.0,1.0,20.0,9.667494331589193,20.0,atlas,0.8649508573995636,0.07145287927420343,Tre Jones OVER PTS 7.5 (GOBLIN) [id:10267139] | Josh Giddey OVER PRA 26.5 (GOBLIN) [id:10269506] | Dejounte Murray OVER PA 14.5 (GOBLIN) [id:10267502] | Jevon Carter UNDER RA 5.5 (STANDARD) [id:10277103] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10276964],0.02,0.096,0.0007145287927420343,0.11671452879274204,193.23317210299112,"['tre jones', 'josh giddey', 'dejounte murray', 'jevon carter', 'tristan silva']",1,Tre Jones OVER PTS 7.5 (GOBLIN) [id:10267139],Josh Giddey OVER PRA 26.5 (GOBLIN) [id:10269506],Dejounte Murray OVER PA 14.5 (GOBLIN) [id:10267502],Jevon Carter UNDER RA 5.5 (STANDARD) [id:10277103],Tristan Silva UNDER PR 16.5 (STANDARD) [id:10276964],0,
5,Josh Giddey OVER PRA 24.5 (GOBLIN) [id:10266290] | James Harden OVER PRA 29.5 (GOBLIN) [id:10266236] | Desmond Bane OVER PA 19.5 (GOBLIN) [id:10271996] | DeMar DeRozan OVER PA 15.5 (STANDARD) [id:10265093] | Nique Clifford UNDER PR 19.5 (STANDARD) [id:10265326],0.4828213535135123,20.0,1.0,20.0,9.656427070270245,20.0,atlas,0.8660055394460553,0.07811877736760167,Josh Giddey OVER PRA 24.5 (GOBLIN) [id:10266290] | James Harden OVER PRA 29.5 (GOBLIN) [id:10266236] | Desmond Bane OVER PA 19.5 (GOBLIN) [id:10271996] | DeMar DeRozan OVER PA 15.5 (STANDARD) [id:10265093] | Nique Clifford UNDER PR 19.5 (STANDARD) [id:10265326],0.01,0.096,0.0007811877736760167,0.10678118777367601,193.02176021763125,"['josh giddey', 'james harden', 'desmond bane', 'demar derozan', 'nique clifford']",1,Josh Giddey OVER PRA 24.5 (GOBLIN) [id:10266290],James Harden OVER PRA 29.5 (GOBLIN) [id:10266236],Desmond Bane OVER PA 19.5 (GOBLIN) [id:10271996],DeMar DeRozan OVER PA 15.5 (STANDARD) [id:10265093],Nique Clifford UNDER PR 19.5 (STANDARD) [id:10265326],0,
5,Desmond Bane OVER PRA 26.5 (GOBLIN) [id:10269898] | James Harden OVER PR 19.5 (GOBLIN) [id:10266235] | Russell Westbrook OVER PTS 9.5 (GOBLIN) [id:10271917] | Tristan Silva UNDER PRA 18.5 (STANDARD) [id:10276968] | Cason Wallace UNDER AST 5 (STANDARD) [id:10273488],0.4808486012061468,20.0,1.0,20.0,9.616972024122937,20.0,atlas,0.8646879871871935,0.06505601837792815,Desmond Bane OVER PRA 26.5 (GOBLIN) [id:10269898] | James Harden OVER PR 19.5 (GOBLIN) [id:10266235] | Russell Westbrook OVER PTS 9.5 (GOBLIN) [id:10271917] | Tristan Silva UNDER PRA 18.5 (STANDARD) [id:10276968] | Cason Wallace UNDER AST 5 (STANDARD) [id:10273488],0.01,0.096,0.0006505601837792815,0.10665056018377927,192.23278992227495,"['desmond bane', 'james harden', 'russell westbrook', 'tristan silva', 'cason wallace']",1,Desmond Bane OVER PRA 26.5 (GOBLIN) [id:10269898],James Harden OVER PR 19.5 (GOBLIN) [id:10266235],Russell Westbrook OVER PTS 9.5 (GOBLIN) [id:10271917],Tristan Silva UNDER PRA 18.5 (STANDARD) [id:10276968],Cason Wallace UNDER AST 5 (STANDARD) [id:10273488],0,
5,Dejounte Murray OVER PTS 9.5 (GOBLIN) [id:10265019] | RJ Barrett OVER PTS 11.5 (GOBLIN) [id:10254064] | DeMar DeRozan OVER PA 14.5 (GOBLIN) [id:10272061] | Tristan Silva UNDER PRA 18.5 (STANDARD) [id:10276968] | Guerschon Yabusele UNDER PRA 17.5 (STANDARD) [id:10264648],0.4769261237146253,20.0,1.0,20.0,9.538522474292506,20.0,atlas,0.8629290262957413,0.06650889192006755,Dejounte Murray OVER PTS 9.5 (GOBLIN) [id:10265019] | RJ Barrett OVER PTS 11.5 (GOBLIN) [id:10254064] | DeMar DeRozan OVER PA 14.5 (GOBLIN) [id:10272061] | Tristan Silva UNDER PRA 18.5 (STANDARD) [id:10276968] | Guerschon Yabusele UNDER PRA 17.5 (STANDARD) [id:10264648],0.0,0.096,0.0006650889192006755,0.09666508891920068,190.67378439693093,"['dejounte murray', 'rj barrett', 'demar derozan', 'tristan silva', 'guerschon yabusele']",1,Dejounte Murray OVER PTS 9.5 (GOBLIN) [id:10265019],RJ Barrett OVER PTS 11.5 (GOBLIN) [id:10254064],DeMar DeRozan OVER PA 14.5 (GOBLIN) [id:10272061],Tristan Silva UNDER PRA 18.5 (STANDARD) [id:10276968],Guerschon Yabusele UNDER PRA 17.5 (STANDARD) [id:10264648],0,
5,Evan Mobley OVER PTS 11.5 (GOBLIN) [id:10267161] | DeMar DeRozan OVER PRA 15.5 (GOBLIN) [id:10270447] | Wendell Carter OVER PR 14.5 (GOBLIN) [id:10276519] | Cason Wallace UNDER AST 5 (STANDARD) [id:10273488] | Jevon Carter UNDER REB 2.5 (STANDARD) [id:10277098],0.4482796220557996,20.0,1.0,20.0,8.96559244111599,20.0,atlas,0.8532346804087494,0.06141976836352851,Evan Mobley OVER PTS 11.5 (GOBLIN) [id:10267161] | DeMar DeRozan OVER PRA 15.5 (GOBLIN) [id:10270447] | Wendell Carter OVER PR 14.5 (GOBLIN) [id:10276519] | Cason Wallace UNDER AST 5 (STANDARD) [id:10273488] | Jevon Carter UNDER REB 2.5 (STANDARD) [id:10277098],0.01,0.054,0.0006141976836352851,0.06461419768363529,179.2472346246362,"['evan mobley', 'demar derozan', 'wendell carter', 'cason wallace', 'jevon carter']",1,Evan Mobley OVER PTS 11.5 (GOBLIN) [id:10267161],DeMar DeRozan OVER PRA 15.5 (GOBLIN) [id:10270447],Wendell Carter OVER PR 14.5 (GOBLIN) [id:10276519],Cason Wallace UNDER AST 5 (STANDARD) [id:10273488],Jevon Carter UNDER REB 2.5 (STANDARD) [id:10277098],0,
5,Russell Westbrook OVER PTS 9.5 (GOBLIN) [id:10271917] | Josh Giddey OVER RA 9.5 (GOBLIN) [id:10267136] | James Harden OVER PRA 29.5 (GOBLIN) [id:10266236] | Isaiah Joe UNDER PA 17.5 (STANDARD) [id:10260211] | Ryan Kalkbrenner OVER PRA 10.5 (STANDARD) [id:10261175],0.4380176881958415,20.0,1.0,20.0,8.76035376391683,20.0,atlas,0.8524088885187119,0.07143128053197453,Russell Westbrook OVER PTS 9.5 (GOBLIN) [id:10271917] | Josh Giddey OVER RA 9.5 (GOBLIN) [id:10267136] | James Harden OVER PRA 29.5 (GOBLIN) [id:10266236] | Isaiah Joe UNDER PA 17.5 (STANDARD) [id:10260211] | Ryan Kalkbrenner OVER PRA 10.5 (STANDARD) [id:10261175],0.0,0.096,0.0007143128053197454,0.09671431280531975,175.1103609655313,"['russell westbrook', 'josh giddey', 'james harden', 'isaiah joe', 'ryan kalkbrenner']",1,Russell Westbrook OVER PTS 9.5 (GOBLIN) [id:10271917],Josh Giddey OVER RA 9.5 (GOBLIN) [id:10267136],James Harden OVER PRA 29.5 (GOBLIN) [id:10266236],Isaiah Joe UNDER PA 17.5 (STANDARD) [id:10260211],Ryan Kalkbrenner OVER PRA 10.5 (STANDARD) [id:10261175],0,
5,Grant Williams OVER RA 3.5 (GOBLIN) [id:10263093] | RJ Barrett OVER PTS 11.5 (GOBLIN) [id:10254064] | Evan Mobley OVER PA 14.5 (GOBLIN) [id:10266214] | Russell Westbrook OVER PRA 22.5 (STANDARD) [id:10265494] | Nique Clifford UNDER PR 19.5 (STANDARD) [id:10265326],0.434277527454013,20.0,1.0,20.0,8.68555054908026,20.0,atlas,0.8474710374217406,0.07206302033378895,Grant Williams OVER RA 3.5 (GOBLIN) [id:10263093] | RJ Barrett OVER PTS 11.5 (GOBLIN) [id:10254064] | Evan Mobley OVER PA 14.5 (GOBLIN) [id:10266214] | Russell Westbrook OVER PRA 22.5 (STANDARD) [id:10265494] | Nique Clifford UNDER PR 19.5 (STANDARD) [id:10265326],0.01,0.096,0.0007206302033378895,0.10672063020333789,173.60429035140186,"['grant williams', 'rj barrett', 'evan mobley', 'russell westbrook', 'nique clifford']",1,Grant Williams OVER RA 3.5 (GOBLIN) [id:10263093],RJ Barrett OVER PTS 11.5 (GOBLIN) [id:10254064],Evan Mobley OVER PA 14.5 (GOBLIN) [id:10266214],Russell Westbrook OVER PRA 22.5 (STANDARD) [id:10265494],Nique Clifford UNDER PR 19.5 (STANDARD) [id:10265326],0,
5,Evan Mobley OVER REB 5.5 (GOBLIN) [id:10258415] | James Harden OVER RA 10.5 (GOBLIN) [id:10261649] | Dennis Schröder OVER AST 2.5 (GOBLIN) [id:10261495] | DeMar DeRozan OVER PRA 18.5 (STANDARD) [id:10265096] | Guerschon Yabusele UNDER PA 11.5 (STANDARD) [id:10264647],0.4298512559703017,20.0,1.0,20.0,8.597025119406034,20.0,atlas,0.8449562443755625,0.0647462204182094,Evan Mobley OVER REB 5.5 (GOBLIN) [id:10258415] | James Harden OVER RA 10.5 (GOBLIN) [id:10261649] | Dennis Schröder OVER AST 2.5 (GOBLIN) [id:10261495] | DeMar DeRozan OVER PRA 18.5 (STANDARD) [id:10265096] | Guerschon Yabusele UNDER PA 11.5 (STANDARD) [id:10264647],0.04,0.054,0.0006474622041820941,0.09464746220418209,171.84585492591648,"['evan mobley', 'james harden', 'dennis schröder', 'demar derozan', 'guerschon yabusele']",1,Evan Mobley OVER REB 5.5 (GOBLIN) [id:10258415],James Harden OVER RA 10.5 (GOBLIN) [id:10261649],Dennis Schröder OVER AST 2.5 (GOBLIN) [id:10261495],DeMar DeRozan OVER PRA 18.5 (STANDARD) [id:10265096],Guerschon Yabusele UNDER PA 11.5 (STANDARD) [id:10264647],0,
5,Tre Jones OVER PR 9.5 (GOBLIN) [id:10266298] | Evan Mobley OVER PTS 11.5 (GOBLIN) [id:10267161] | Miles Bridges OVER PTS 11.5 (GOBLIN) [id:10269100] | Nique Clifford UNDER PTS 13.5 (STANDARD) [id:10265321] | Jett Howard UNDER REB 2.5 (STANDARD) [id:10277062],0.3977366968072288,20.0,1.0,20.0,7.954733936144576,20.0,atlas,0.8341298270172983,0.056724095621574724,Tre Jones OVER PR 9.5 (GOBLIN) [id:10266298] | Evan Mobley OVER PTS 11.5 (GOBLIN) [id:10267161] | Miles Bridges OVER PTS 11.5 (GOBLIN) [id:10269100] | Nique Clifford UNDER PTS 13.5 (STANDARD) [id:10265321] | Jett Howard UNDER REB 2.5 (STANDARD) [id:10277062],0.0,0.054,0.0005672409562157472,0.05456724095621575,159.0401114819353,"['tre jones', 'evan mobley', 'miles bridges', 'nique clifford', 'jett howard']",1,Tre Jones OVER PR 9.5 (GOBLIN) [id:10266298],Evan Mobley OVER PTS 11.5 (GOBLIN) [id:10267161],Miles Bridges OVER PTS 11.5 (GOBLIN) [id:10269100],Nique Clifford UNDER PTS 13.5 (STANDARD) [id:10265321],Jett Howard UNDER REB 2.5 (STANDARD) [id:10277062],0,
