n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Anthony Black OVER AST 2.5 (GOBLIN) [id:10325593] | Nique Clifford UNDER PA 19.5 (STANDARD) [id:10315660] | Tristan Silva UNDER PRA 15.5 (STANDARD) [id:10323088] | Jayson Tatum OVER PTS 14.5 (DEMON) [id:10339337],0.526417483764052,10.0,1.0,10.0,5.264174837640519,10.0,atlas,0.8522404218984678,0.062248459720531876,Anthony Black OVER AST 2.5 (GOBLIN) [id:10325593] | Nique Clifford UNDER PA 19.5 (STANDARD) [id:10315660] | Tristan Silva UNDER PRA 15.5 (STANDARD) [id:10323088] | Jayson Tatum OVER PTS 14.5 (DEMON) [id:10339337],0.01,0.054,0.0006224845972053188,0.06462248459720532,52.57712589180799,"['anthony black', 'nique clifford', 'tristan silva', 'jayson tatum']",1,Anthony Black OVER AST 2.5 (GOBLIN) [id:10325593],Nique Clifford UNDER PA 19.5 (STANDARD) [id:10315660],Tristan Silva UNDER PRA 15.5 (STANDARD) [id:10323088],Jayson Tatum OVER PTS 14.5 (DEMON) [id:10339337],0,
4,Bam Adebayo OVER RA 9.5 (GOBLIN) [id:10324223] | Nolan Traore UNDER PTS 11.5 (STANDARD) [id:10316383] | Nique Clifford UNDER PA 19.5 (STANDARD) [id:10315660] | Jayson Tatum OVER PA 19.5 (DEMON) [id:10339732],0.4920275117604135,10.0,1.0,10.0,4.920275117604135,10.0,atlas,0.8392915209298373,0.07327438520085466,Bam Adebayo OVER RA 9.5 (GOBLIN) [id:10324223] | Nolan Traore UNDER PTS 11.5 (STANDARD) [id:10316383] | Nique Clifford UNDER PA 19.5 (STANDARD) [id:10315660] | Jayson Tatum OVER PA 19.5 (DEMON) [id:10339732],0.0,0.054,0.0007327438520085466,0.05473274385200855,49.14801843218934,"['bam adebayo', 'nolan traore', 'nique clifford', 'jayson tatum']",1,Bam Adebayo OVER RA 9.5 (GOBLIN) [id:10324223],Nolan Traore UNDER PTS 11.5 (STANDARD) [id:10316383],Nique Clifford UNDER PA 19.5 (STANDARD) [id:10315660],Jayson Tatum OVER PA 19.5 (DEMON) [id:10339732],0,
4,Jalen Suggs OVER PR 11.5 (GOBLIN) [id:10324747] | Russell Westbrook OVER RA 8.5 (STANDARD) [id:10324532] | Isaiah Collier UNDER PA 27.5 (STANDARD) [id:10339202] | Jayson Tatum OVER PA 19.5 (DEMON) [id:10339732],0.4741571350878128,10.0,1.0,10.0,4.741571350878128,10.0,atlas,0.8309248591367657,0.07775745971279563,Jalen Suggs OVER PR 11.5 (GOBLIN) [id:10324747] | Russell Westbrook OVER RA 8.5 (STANDARD) [id:10324532] | Isaiah Collier UNDER PA 27.5 (STANDARD) [id:10339202] | Jayson Tatum OVER PA 19.5 (DEMON) [id:10339732],0.0,0.054,0.0007775745971279563,0.054777574597127954,47.360935934184155,"['jalen suggs', 'russell westbrook', 'isaiah collier', 'jayson tatum']",1,Jalen Suggs OVER PR 11.5 (GOBLIN) [id:10324747],Russell Westbrook OVER RA 8.5 (STANDARD) [id:10324532],Isaiah Collier UNDER PA 27.5 (STANDARD) [id:10339202],Jayson Tatum OVER PA 19.5 (DEMON) [id:10339732],0,
4,Jayson Tatum OVER PR 14.5 (GOBLIN) [id:10339735] | Tristan Silva UNDER PA 10.5 (STANDARD) [id:10323086] | Nique Clifford UNDER PA 19.5 (STANDARD) [id:10315660] | Russell Westbrook OVER AST 5.5 (DEMON) [id:10318237],0.4736065648889721,10.0,1.0,10.0,4.7360656488897215,10.0,atlas,0.8338844149077397,0.07172029799711137,Jayson Tatum OVER PR 14.5 (GOBLIN) [id:10339735] | Tristan Silva UNDER PA 10.5 (STANDARD) [id:10323086] | Nique Clifford UNDER PA 19.5 (STANDARD) [id:10315660] | Russell Westbrook OVER AST 5.5 (DEMON) [id:10318237],0.01,0.054,0.0007172029799711137,0.06471720297997112,47.29593928591724,"['jayson tatum', 'tristan silva', 'nique clifford', 'russell westbrook']",1,Jayson Tatum OVER PR 14.5 (GOBLIN) [id:10339735],Tristan Silva UNDER PA 10.5 (STANDARD) [id:10323086],Nique Clifford UNDER PA 19.5 (STANDARD) [id:10315660],Russell Westbrook OVER AST 5.5 (DEMON) [id:10318237],0,
4,Amen Thompson OVER PRA 24.5 (GOBLIN) [id:10320871] | Nique Clifford UNDER PTS 15 (STANDARD) [id:10315659] | Tristan Silva UNDER PR 13.5 (STANDARD) [id:10323087] | Russell Westbrook OVER PRA 27.5 (DEMON) [id:10318685],0.44428382065573613,10.0,1.0,10.0,4.4428382065573615,10.0,atlas,0.8236566494714552,0.07170217423241544,Amen Thompson OVER PRA 24.5 (GOBLIN) [id:10320871] | Nique Clifford UNDER PTS 15 (STANDARD) [id:10315659] | Tristan Silva UNDER PR 13.5 (STANDARD) [id:10323087] | Russell Westbrook OVER PRA 27.5 (DEMON) [id:10318685],0.01,0.054,0.0007170217423241544,0.06471702174232416,44.36366504383129,"['amen thompson', 'nique clifford', 'tristan silva', 'russell westbrook']",1,Amen Thompson OVER PRA 24.5 (GOBLIN) [id:10320871],Nique Clifford UNDER PTS 15 (STANDARD) [id:10315659],Tristan Silva UNDER PR 13.5 (STANDARD) [id:10323087],Russell Westbrook OVER PRA 27.5 (DEMON) [id:10318685],0,
4,Jaime Jaquez OVER PR 14.5 (GOBLIN) [id:10322187] | Guerschon Yabusele UNDER REB 7 (STANDARD) [id:10330740] | Tristan Silva UNDER REB 4.5 (STANDARD) [id:10323094] | Russell Westbrook OVER RA 10.5 (DEMON) [id:10318692],0.42464488120887567,10.0,1.0,10.0,4.246448812088756,10.0,atlas,0.8122284742385218,0.06077423735245835,Jaime Jaquez OVER PR 14.5 (GOBLIN) [id:10322187] | Guerschon Yabusele UNDER REB 7 (STANDARD) [id:10330740] | Tristan Silva UNDER REB 4.5 (STANDARD) [id:10323094] | Russell Westbrook OVER RA 10.5 (DEMON) [id:10318692],0.0,0.012,0.0006077423735245835,0.012607742373524584,42.45188037851404,"['jaime jaquez', 'guerschon yabusele', 'tristan silva', 'russell westbrook']",1,Jaime Jaquez OVER PR 14.5 (GOBLIN) [id:10322187],Guerschon Yabusele UNDER REB 7 (STANDARD) [id:10330740],Tristan Silva UNDER REB 4.5 (STANDARD) [id:10323094],Russell Westbrook OVER RA 10.5 (DEMON) [id:10318692],0,
4,Jabari Smith OVER PR 14.5 (GOBLIN) [id:10320885] | Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10312961] | Oso Ighodaro UNDER REB 8 (STANDARD) [id:10315224] | Rudy Gobert OVER AST 1.5 (DEMON) [id:10320188],0.3274025214759208,10.0,1.0,10.0,3.274025214759208,10.0,atlas,0.7700719085629539,0.06485202516546845,Jabari Smith OVER PR 14.5 (GOBLIN) [id:10320885] | Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10312961] | Oso Ighodaro UNDER REB 8 (STANDARD) [id:10315224] | Rudy Gobert OVER AST 1.5 (DEMON) [id:10320188],0.0,0.024,0.0006485202516546845,0.024648520251654683,32.71560362734043,"['jabari smith', 'guerschon yabusele', 'oso ighodaro', 'rudy gobert']",1,Jabari Smith OVER PR 14.5 (GOBLIN) [id:10320885],Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10312961],Oso Ighodaro UNDER REB 8 (STANDARD) [id:10315224],Rudy Gobert OVER AST 1.5 (DEMON) [id:10320188],0,
4,Amen Thompson OVER PRA 25.5 (GOBLIN) [id:10324902] | Will Riley UNDER PRA 24.5 (STANDARD) [id:10322477] | Guerschon Yabusele UNDER REB 7 (STANDARD) [id:10330740] | RJ Barrett OVER FG3M 1.5 (DEMON) [id:10320959],0.3221613910417455,10.0,1.0,10.0,3.2216139104174553,10.0,atlas,0.7641175883259747,0.06215117712541213,Amen Thompson OVER PRA 25.5 (GOBLIN) [id:10324902] | Will Riley UNDER PRA 24.5 (STANDARD) [id:10322477] | Guerschon Yabusele UNDER REB 7 (STANDARD) [id:10330740] | RJ Barrett OVER FG3M 1.5 (DEMON) [id:10320959],0.0,0.006,0.0006215117712541213,0.006621511771254121,32.209517592403294,"['amen thompson', 'will riley', 'guerschon yabusele', 'rj barrett']",1,Amen Thompson OVER PRA 25.5 (GOBLIN) [id:10324902],Will Riley UNDER PRA 24.5 (STANDARD) [id:10322477],Guerschon Yabusele UNDER REB 7 (STANDARD) [id:10330740],RJ Barrett OVER FG3M 1.5 (DEMON) [id:10320959],0,
4,Anthony Black OVER AST 2.5 (GOBLIN) [id:10325593] | Isaiah Collier UNDER AST 9.5 (STANDARD) [id:10339787] | Will Riley UNDER PTS 16.5 (STANDARD) [id:10322474] | DeMar DeRozan OVER PA 19.5 (DEMON) [id:10330003],0.3183104914587547,10.0,1.0,10.0,3.1831049145875467,10.0,atlas,0.7542551890874372,0.05937804897074074,Anthony Black OVER AST 2.5 (GOBLIN) [id:10325593] | Isaiah Collier UNDER AST 9.5 (STANDARD) [id:10339787] | Will Riley UNDER PTS 16.5 (STANDARD) [id:10322474] | DeMar DeRozan OVER PA 19.5 (DEMON) [id:10330003],0.0,0.054,0.0005937804897074075,0.05459378048970741,31.77645536538576,"['anthony black', 'isaiah collier', 'will riley', 'demar derozan']",1,Anthony Black OVER AST 2.5 (GOBLIN) [id:10325593],Isaiah Collier UNDER AST 9.5 (STANDARD) [id:10339787],Will Riley UNDER PTS 16.5 (STANDARD) [id:10322474],DeMar DeRozan OVER PA 19.5 (DEMON) [id:10330003],0,
4,Jaime Jaquez OVER PA 14.5 (GOBLIN) [id:10322185] | Precious Achiuwa UNDER PA 14.5 (STANDARD) [id:10315677] | Will Riley UNDER PTS 16.5 (STANDARD) [id:10322474] | DeMar DeRozan OVER PA 19.5 (DEMON) [id:10330003],0.3146817490801343,10.0,1.0,10.0,3.146817490801343,10.0,atlas,0.7517935087451801,0.07463126320309837,Jaime Jaquez OVER PA 14.5 (GOBLIN) [id:10322185] | Precious Achiuwa UNDER PA 14.5 (STANDARD) [id:10315677] | Will Riley UNDER PTS 16.5 (STANDARD) [id:10322474] | DeMar DeRozan OVER PA 19.5 (DEMON) [id:10330003],0.01,0.054,0.0007463126320309838,0.06474631263203098,31.4034285953814,"['jaime jaquez', 'precious achiuwa', 'will riley', 'demar derozan']",1,Jaime Jaquez OVER PA 14.5 (GOBLIN) [id:10322185],Precious Achiuwa UNDER PA 14.5 (STANDARD) [id:10315677],Will Riley UNDER PTS 16.5 (STANDARD) [id:10322474],DeMar DeRozan OVER PA 19.5 (DEMON) [id:10330003],0,
