projection_id,source_projection_id,game_id,game_date,home,opp,player_key,player,team,stat,stat_raw,stat_is_canonical,line,direction,tier,more_allowed,less_allowed,main_line,alt_line,is_main,odds_type,start_time,updated_at,spread,home_team,away_team,home_spread,away_spread,game_spread,spread_source,spread_ok,spread_reason,minutes_s,p,p_role,p_adj,p_close,p_close_raw,p_close_role,q_blowout,minutes_s_close,is_star,fragility,fragility_abs,min_mean,min_std,rate_mean,rate_std,rate_mean_ctx,rate_std_ctx,role_ctx_mult,role_ctx_mult_raw,role_ctx_sigma_mult,role_ctx_reason,games_used,role_ctx_outs_used,role_ctx_outs,role_ctx_bump,role_ctx_by_out,role_ctx_components,role_ctx_component_mults,role_ctx_component_reasons,data_health_flag,role_ctx_team,role_ctx_stat,role_ctx_min_games,p_for_cal,p_cal_src,p_cal,telemetry_cal_key,telemetry_k_shrink,telemetry_under_penalty,telemetry_mult,telemetry_cal_applied,external_prior_score,external_prior_n,external_prior_sources,external_prior_epsilon
10370149|Anthony Edwards|PA|DEMON|44.5|OVER,10370149,133704,2026-03-07,1,ORL,anthony edwards,Anthony Edwards,MIN,PA,PTS+ASTS,1,44.5,OVER,DEMON,1,0,,,0,demon,2026-03-07T15:00:00.000-05:00,2026-03-07 10:42:21.177000+00:00,0.0,,,,,,rotowire,False,no_game_for_team_date,1.0,0.14463553644635538,0.14463553644635538,0.12809673335945473,0.1308799333850393,0.13633636636336366,0.13633636636336366,0.11434812974220071,0.35,True,0.021265292192628203,0.0027832000255845757,34.86,7.397323840416884,0.9460882960822787,0.2331177562801754,0.9460882960822787,0.2331177562801754,1.0,1.0,1.0,combo_no_effect,50,0,"[""anderson kyle"", ""beringer joan"", ""enrique freeman"", ""pullin zyon""]",0.0,[],"[""PTS"", ""AST""]","[1.0, 1.0]","[""ok"", ""ok""]",OK,,,,0.12809673335945473,p_adj,0.12809673335945473,PA|OVER,1.0,0.998,1.0,False,0.0,0,,0.03
10370152|Anthony Edwards|PR|DEMON|44.5|OVER,10370152,133704,2026-03-07,1,ORL,anthony edwards,Anthony Edwards,MIN,PR,PTS+REBS,1,44.5,OVER,DEMON,1,0,,,0,demon,2026-03-07T15:00:00.000-05:00,2026-03-07 06:56:44.256000+00:00,0.0,,,,,,rotowire,False,no_game_for_team_date,1.0,0.20632936706329366,0.20632936706329366,0.182735989828714,0.18559321686833408,0.19333066693330667,0.19333066693330667,0.11434812974220071,0.35,True,0.015395104884932759,0.002857227039620075,34.86,7.397323840416884,0.9996442089816752,0.2677859075683056,0.9996442089816752,0.2677859075683056,1.0,1.0,1.0,combo_no_effect,50,0,"[""anderson kyle"", ""beringer joan"", ""enrique freeman"", ""pullin zyon""]",0.0,[],"[""PTS"", ""REB""]","[1.0, 1.0]","[""ok"", ""ok""]",OK,,,,0.182735989828714,p_adj,0.182735989828714,PR|OVER,1.0,0.998,1.0,False,0.0,0,,0.03
10370190|Paolo Banchero|PR|DEMON|44.5|OVER,10370190,133704,2026-03-07,0,MIN,paolo banchero,Paolo Banchero,ORL,PR,PTS+REBS,1,44.5,OVER,DEMON,1,0,,,0,demon,2026-03-07T15:00:00.000-05:00,2026-03-07 09:39:37.511000+00:00,0.0,,,,,,rotowire,False,no_game_for_team_date,1.0,0.08204179582041796,0.08204179582041796,0.07266046990766167,0.07434287378563473,0.07744225577442256,0.07744225577442256,0.11434812974220071,0.35,True,0.022630331493832367,0.0016824038779730544,34.66,5.715277771027406,0.8876172517913181,0.2246593011273935,0.8876172517913181,0.2246593011273935,1.0,1.0,1.0,no_outs,50,0,[],0.0,[],"[""PTS"", ""REB""]","[1.0, 1.0]","[""no_outs"", ""no_outs""]",OK,,,,0.07266046990766167,p_adj,0.07266046990766167,PR|OVER,1.0,0.998,1.0,False,0.0,0,rotowire,0.03
10366046|Anthony Edwards|PRA|DEMON|43.5|OVER,10366046,133704,2026-03-07,1,ORL,anthony edwards,Anthony Edwards,MIN,PRA,PTS+REBS+ASTS,1,43.5,OVER,DEMON,1,0,,,0,demon,2026-03-07T15:00:00.000-05:00,2026-03-07 12:09:30.724000+00:00,0.0,,,,,,rotowire,False,no_game_for_team_date,1.0,0.3239176082391761,0.3239176082391761,0.28687823554645947,0.2960756542179346,0.30841915808419157,0.30841915808419157,0.11434812974220071,0.35,True,0.03106442066562183,0.00919741867147511,34.86,7.397323840416884,1.1026611830010835,0.2631507421468793,1.1026611830010835,0.2631507421468793,1.0,1.0,1.0,combo_no_effect,50,0,"[""anderson kyle"", ""beringer joan"", ""enrique freeman"", ""pullin zyon""]",0.0,[],"[""PTS"", ""REB"", ""AST""]","[1.0, 1.0, 1.0]","[""ok"", ""ok"", ""ok""]",OK,,,,0.28687823554645947,p_adj,0.28687823554645947,PRA|OVER,1.0,0.998,1.0,False,0.0,0,,0.03
10366044|Anthony Edwards|PRA|DEMON|41.5|OVER,10366044,133704,2026-03-07,1,ORL,anthony edwards,Anthony Edwards,MIN,PRA,PTS+REBS+ASTS,1,41.5,OVER,DEMON,1,0,,,0,demon,2026-03-07T15:00:00.000-05:00,2026-03-07 12:09:30.268000+00:00,0.0,,,,,,rotowire,False,no_game_for_team_date,1.0,0.3763123687631237,0.3763123687631237,0.3332817531962032,0.3481012676353833,0.3626137386261374,0.3626137386261374,0.11434812974220071,0.35,True,0.04257242307632942,0.014819514439180115,34.86,7.397323840416884,1.1026611830010835,0.2631507421468793,1.1026611830010835,0.2631507421468793,1.0,1.0,1.0,combo_no_effect,50,0,"[""anderson kyle"", ""beringer joan"", ""enrique freeman"", ""pullin zyon""]",0.0,[],"[""PTS"", ""REB"", ""AST""]","[1.0, 1.0, 1.0]","[""ok"", ""ok"", ""ok""]",OK,,,,0.3332817531962032,p_adj,0.3332817531962032,PRA|OVER,1.0,0.998,1.0,False,0.0,0,,0.03
10366484|Paolo Banchero|PRA|DEMON|41.5|OVER,10366484,133704,2026-03-07,0,MIN,paolo banchero,Paolo Banchero,ORL,PRA,PTS+REBS+ASTS,1,41.5,OVER,DEMON,1,0,,,0,demon,2026-03-07T15:00:00.000-05:00,2026-03-07 12:09:30.806000+00:00,0.0,,,,,,rotowire,False,no_game_for_team_date,1.0,0.28162183781621836,0.28162183781621836,0.24941890736737243,0.25825629686281504,0.269023097690231,0.269023097690231,0.11434812974220071,0.35,True,0.03421945409577757,0.008837389495442605,34.66,5.715277771027406,1.0374932182888355,0.23453391386192313,1.0374932182888355,0.23453391386192313,1.0,1.0,1.0,no_outs,50,0,[],0.0,[],"[""PTS"", ""REB"", ""AST""]","[1.0, 1.0, 1.0]","[""no_outs"", ""no_outs"", ""no_outs""]",OK,,,,0.24941890736737243,p_adj,0.24941890736737243,PRA|OVER,1.0,0.998,1.0,False,0.0,0,rotowire,0.03
10366482|Paolo Banchero|PRA|DEMON|40.5|OVER,10366482,133704,2026-03-07,0,MIN,paolo banchero,Paolo Banchero,ORL,PRA,PTS+REBS+ASTS,1,40.5,OVER,DEMON,1,0,,,0,demon,2026-03-07T15:00:00.000-05:00,2026-03-07 12:09:30.492000+00:00,0.0,,,,,,rotowire,False,no_game_for_team_date,1.0,0.3129187081291871,0.3129187081291871,0.277137039093269,0.2921401373358028,0.30431956804319565,0.30431956804319565,0.11434812974220071,0.35,True,0.05135582662264716,0.015003098242533819,34.66,5.715277771027406,1.0374932182888355,0.23453391386192313,1.0374932182888355,0.23453391386192313,1.0,1.0,1.0,no_outs,50,0,[],0.0,[],"[""PTS"", ""REB"", ""AST""]","[1.0, 1.0, 1.0]","[""no_outs"", ""no_outs"", ""no_outs""]",OK,,,,0.277137039093269,p_adj,0.277137039093269,PRA|OVER,1.0,0.998,1.0,False,0.0,0,rotowire,0.03
10366049|Anthony Edwards|PRA|DEMON|39.5|OVER,10366049,133704,2026-03-07,1,ORL,anthony edwards,Anthony Edwards,MIN,PRA,PTS+REBS+ASTS,1,39.5,OVER,DEMON,1,0,,,0,demon,2026-03-07T15:00:00.000-05:00,2026-03-06 22:27:17.783000+00:00,0.0,,,,,,rotowire,False,no_game_for_team_date,1.0,0.4353064693530647,0.4353064693530647,0.3855299887178612,0.40665407978417245,0.4236076392360764,0.4236076392360764,0.11434812974220071,0.35,True,0.05194609403039223,0.021124091066311246,34.86,7.397323840416884,1.1026611830010835,0.2631507421468793,1.1026611830010835,0.2631507421468793,1.0,1.0,1.0,combo_no_effect,50,0,"[""anderson kyle"", ""beringer joan"", ""enrique freeman"", ""pullin zyon""]",0.0,[],"[""PTS"", ""REB"", ""AST""]","[1.0, 1.0, 1.0]","[""ok"", ""ok"", ""ok""]",OK,,,,0.3855299887178612,p_adj,0.3855299887178612,PRA|OVER,1.0,0.998,1.0,False,0.0,0,,0.03
10366483|Paolo Banchero|PRA|DEMON|39.5|OVER,10366483,133704,2026-03-07,0,MIN,paolo banchero,Paolo Banchero,ORL,PRA,PTS+REBS+ASTS,1,39.5,OVER,DEMON,1,0,,,0,demon,2026-03-07T15:00:00.000-05:00,2026-03-06 22:27:17.768000+00:00,0.0,,,,,,rotowire,False,no_game_for_team_date,1.0,0.3452154784521548,0.3452154784521548,0.3057407341330919,0.3204566612438238,0.33381661833816617,0.33381661833816617,0.11434812974220071,0.35,True,0.04592173885109265,0.014715927110731941,34.66,5.715277771027406,1.0374932182888355,0.23453391386192313,1.0374932182888355,0.23453391386192313,1.0,1.0,1.0,no_outs,50,0,[],0.0,[],"[""PTS"", ""REB"", ""AST""]","[1.0, 1.0, 1.0]","[""no_outs"", ""no_outs"", ""no_outs""]",OK,,,,0.3057407341330919,p_adj,0.3057407341330919,PRA|OVER,1.0,0.998,1.0,False,0.0,0,rotowire,0.03
10370147|Anthony Edwards|PA|DEMON|39.5|OVER,10370147,133704,2026-03-07,1,ORL,anthony edwards,Anthony Edwards,MIN,PA,PTS+ASTS,1,39.5,OVER,DEMON,1,0,,,0,demon,2026-03-07T15:00:00.000-05:00,2026-03-07 06:23:09.223000+00:00,0.0,,,,,,rotowire,False,no_game_for_team_date,1.0,0.25862413758624136,0.25862413758624136,0.22905095114706508,0.23627499525285975,0.24612538746125387,0.24612538746125387,0.11434812974220071,0.35,True,0.03057472966220376,0.007224044105794664,34.86,7.397323840416884,0.9460882960822787,0.2331177562801754,0.9460882960822787,0.2331177562801754,1.0,1.0,1.0,combo_no_effect,50,0,"[""anderson kyle"", ""beringer joan"", ""enrique freeman"", ""pullin zyon""]",0.0,[],"[""PTS"", ""AST""]","[1.0, 1.0]","[""ok"", ""ok""]",OK,,,,0.22905095114706508,p_adj,0.22905095114706508,PA|OVER,1.0,0.998,1.0,False,0.0,0,,0.03
