n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,DeMar DeRozan OVER PRA 18.5 (GOBLIN) [id:10411364] | Tristan Silva UNDER FG3M 1.5 (STANDARD) [id:10408599] | Nique Clifford UNDER PRA 22.5 (STANDARD) [id:10400230],0.601296746635014,6.0,1.0,6.0,3.607780479810084,6.0,atlas,0.8461472240533832,0.06799484677782068,DeMar DeRozan OVER PRA 18.5 (GOBLIN) [id:10411364] | Tristan Silva UNDER FG3M 1.5 (STANDARD) [id:10408599] | Nique Clifford UNDER PRA 22.5 (STANDARD) [id:10400230],0.01,0.006,0.0006799484677782068,0.01667994846777821,21.630002930392724,"['demar derozan', 'tristan silva', 'nique clifford']",1,DeMar DeRozan OVER PRA 18.5 (GOBLIN) [id:10411364],Tristan Silva UNDER FG3M 1.5 (STANDARD) [id:10408599],Nique Clifford UNDER PRA 22.5 (STANDARD) [id:10400230],0,
3,Sandro Mamukelashvili OVER PTS 5.5 (GOBLIN) [id:10401927] | Tristan Silva UNDER PTS 9.5 (STANDARD) [id:10404871] | Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10400568],0.5792165076112386,6.0,1.0,6.0,3.4752990456674313,6.0,atlas,0.836436599333194,0.054566564304021355,Sandro Mamukelashvili OVER PTS 5.5 (GOBLIN) [id:10401927] | Tristan Silva UNDER PTS 9.5 (STANDARD) [id:10404871] | Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10400568],0.0,0.024,0.0005456656430402136,0.024545665643040213,20.82724860836155,"['sandro mamukelashvili', 'tristan silva', 'guerschon yabusele']",1,Sandro Mamukelashvili OVER PTS 5.5 (GOBLIN) [id:10401927],Tristan Silva UNDER PTS 9.5 (STANDARD) [id:10404871],Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10400568],0,
3,Russell Westbrook OVER PRA 19.5 (GOBLIN) [id:10401713] | Nique Clifford UNDER PR 18.5 (STANDARD) [id:10400229] | Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10400568],0.574216607809094,6.0,1.0,6.0,3.445299646854564,6.0,atlas,0.833687405429466,0.08256913924250005,Russell Westbrook OVER PRA 19.5 (GOBLIN) [id:10401713] | Nique Clifford UNDER PR 18.5 (STANDARD) [id:10400229] | Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10400568],0.01,0.024,0.0008256913924250005,0.034825691392425,20.63697218973496,"['russell westbrook', 'nique clifford', 'guerschon yabusele']",1,Russell Westbrook OVER PRA 19.5 (GOBLIN) [id:10401713],Nique Clifford UNDER PR 18.5 (STANDARD) [id:10400229],Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10400568],0,
3,Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10403906] | Russell Westbrook OVER PR 18.5 (STANDARD) [id:10400253] | Tristan Silva UNDER FG3M 1.5 (STANDARD) [id:10408599],0.5720969088708924,6.0,1.0,6.0,3.432581453225354,6.0,atlas,0.8350414346323255,0.05394780384493401,Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10403906] | Russell Westbrook OVER PR 18.5 (STANDARD) [id:10400253] | Tristan Silva UNDER FG3M 1.5 (STANDARD) [id:10408599],0.0,0.006,0.0005394780384493401,0.0065394780384493405,20.588949241313678,"['jaime jaquez', 'russell westbrook', 'tristan silva']",1,Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10403906],Russell Westbrook OVER PR 18.5 (STANDARD) [id:10400253],Tristan Silva UNDER FG3M 1.5 (STANDARD) [id:10408599],0,
3,Russell Westbrook OVER PR 14.5 (GOBLIN) [id:10401426] | Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10400568] | Nique Clifford UNDER AST 3.5 (STANDARD) [id:10400226],0.5695868433783801,6.0,1.0,6.0,3.41752106027028,6.0,atlas,0.8300062402126546,0.07246987650926724,Russell Westbrook OVER PR 14.5 (GOBLIN) [id:10401426] | Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10400568] | Nique Clifford UNDER AST 3.5 (STANDARD) [id:10400226],0.01,0.024,0.0007246987650926725,0.034724698765092675,20.470401662856588,"['russell westbrook', 'guerschon yabusele', 'nique clifford']",1,Russell Westbrook OVER PR 14.5 (GOBLIN) [id:10401426],Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10400568],Nique Clifford UNDER AST 3.5 (STANDARD) [id:10400226],0,
3,Andrew Wiggins OVER PTS 9.5 (GOBLIN) [id:10403887] | Tristan Silva UNDER FG3M 1.5 (STANDARD) [id:10408599] | Ryan Kalkbrenner OVER PR 8.5 (STANDARD) [id:10396933],0.5653317057875277,6.0,1.0,6.0,3.3919902347251663,6.0,atlas,0.833181475939165,0.05161440105589099,Andrew Wiggins OVER PTS 9.5 (GOBLIN) [id:10403887] | Tristan Silva UNDER FG3M 1.5 (STANDARD) [id:10408599] | Ryan Kalkbrenner OVER PR 8.5 (STANDARD) [id:10396933],0.0,0.006,0.0005161440105589099,0.00651614401055891,20.345425264340438,"['andrew wiggins', 'tristan silva', 'ryan kalkbrenner']",1,Andrew Wiggins OVER PTS 9.5 (GOBLIN) [id:10403887],Tristan Silva UNDER FG3M 1.5 (STANDARD) [id:10408599],Ryan Kalkbrenner OVER PR 8.5 (STANDARD) [id:10396933],0,
3,Collin Gillespie OVER PR 11.5 (GOBLIN) [id:10407777] | Nique Clifford UNDER PTS 13.5 (STANDARD) [id:10400227] | Guerschon Yabusele UNDER REB 6.5 (STANDARD) [id:10400572],0.5650969668010141,6.0,1.0,6.0,3.3905818008060846,6.0,atlas,0.8276602155426321,0.06389871181432176,Collin Gillespie OVER PR 11.5 (GOBLIN) [id:10407777] | Nique Clifford UNDER PTS 13.5 (STANDARD) [id:10400227] | Guerschon Yabusele UNDER REB 6.5 (STANDARD) [id:10400572],0.0,0.006,0.0006389871181432176,0.006638987118143218,20.33685181771836,"['collin gillespie', 'nique clifford', 'guerschon yabusele']",1,Collin Gillespie OVER PR 11.5 (GOBLIN) [id:10407777],Nique Clifford UNDER PTS 13.5 (STANDARD) [id:10400227],Guerschon Yabusele UNDER REB 6.5 (STANDARD) [id:10400572],0,
3,Russell Westbrook OVER PRA 19.5 (GOBLIN) [id:10401713] | Precious Achiuwa UNDER PTS 14.5 (STANDARD) [id:10400235] | Jarace Walker UNDER PR 19.5 (STANDARD) [id:10401111],0.48349669438438825,6.0,1.0,6.0,2.9009801663063293,6.0,atlas,0.7926652508476089,0.07541608199688456,Russell Westbrook OVER PRA 19.5 (GOBLIN) [id:10401713] | Precious Achiuwa UNDER PTS 14.5 (STANDARD) [id:10400235] | Jarace Walker UNDER PR 19.5 (STANDARD) [id:10401111],0.01,0.024,0.0007541608199688456,0.03475416081996885,17.371126837018007,"['russell westbrook', 'precious achiuwa', 'jarace walker']",1,Russell Westbrook OVER PRA 19.5 (GOBLIN) [id:10401713],Precious Achiuwa UNDER PTS 14.5 (STANDARD) [id:10400235],Jarace Walker UNDER PR 19.5 (STANDARD) [id:10401111],0,
3,Collin Gillespie OVER PTS 7.5 (GOBLIN) [id:10398689] | Precious Achiuwa UNDER PR 23.5 (STANDARD) [id:10400237] | Bam Adebayo OVER RA 11.5 (STANDARD) [id:10403743],0.47257984823964383,6.0,1.0,6.0,2.8354790894378628,6.0,atlas,0.7833169016431691,0.07381997507613752,Collin Gillespie OVER PTS 7.5 (GOBLIN) [id:10398689] | Precious Achiuwa UNDER PR 23.5 (STANDARD) [id:10400237] | Bam Adebayo OVER RA 11.5 (STANDARD) [id:10403743],0.0,0.024,0.0007381997507613752,0.024738199750761376,16.988136336876416,"['collin gillespie', 'precious achiuwa', 'bam adebayo']",1,Collin Gillespie OVER PTS 7.5 (GOBLIN) [id:10398689],Precious Achiuwa UNDER PR 23.5 (STANDARD) [id:10400237],Bam Adebayo OVER RA 11.5 (STANDARD) [id:10403743],0,
3,Bam Adebayo OVER PRA 24.5 (GOBLIN) [id:10407511] | Oso Ighodaro UNDER REB 7.5 (STANDARD) [id:10398233] | Ousmane Dieng UNDER PA 13.5 (STANDARD) [id:10411920],0.46822212965487287,6.0,1.0,6.0,2.809332777929237,6.0,atlas,0.7790949463997802,0.07435410948659539,Bam Adebayo OVER PRA 24.5 (GOBLIN) [id:10407511] | Oso Ighodaro UNDER REB 7.5 (STANDARD) [id:10398233] | Ousmane Dieng UNDER PA 13.5 (STANDARD) [id:10411920],0.0,0.006,0.000743541094865954,0.006743541094865954,16.849253126480555,"['bam adebayo', 'oso ighodaro', 'ousmane dieng']",1,Bam Adebayo OVER PRA 24.5 (GOBLIN) [id:10407511],Oso Ighodaro UNDER REB 7.5 (STANDARD) [id:10398233],Ousmane Dieng UNDER PA 13.5 (STANDARD) [id:10411920],0,
