n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Tobias Harris OVER PRA 14.5 (GOBLIN) [id:10123262] | Ronald Holland OVER PA 4.5 (GOBLIN) [id:10123209] | Duncan Robinson OVER PR 9.5 (GOBLIN) [id:10108622] | Evan Mobley OVER PA 13.5 (STANDARD) [id:10111147] | Gui Santos UNDER RA 10 (STANDARD) [id:10116166],0.4234912055741872,20.0,1.0,20.0,8.469824111483744,20.0,atlas,0.8435690032163613,0.07654117657091553,Tobias Harris OVER PRA 14.5 (GOBLIN) [id:10123262] | Ronald Holland OVER PA 4.5 (GOBLIN) [id:10123209] | Duncan Robinson OVER PR 9.5 (GOBLIN) [id:10108622] | Evan Mobley OVER PA 13.5 (STANDARD) [id:10111147] | Gui Santos UNDER RA 10 (STANDARD) [id:10116166],0.04,0.096,0.0007654117657091553,0.13676541176570917,169.25971681790915,"['tobias harris', 'ronald holland', 'duncan robinson', 'evan mobley', 'gui santos']",1,Tobias Harris OVER PRA 14.5 (GOBLIN) [id:10123262],Ronald Holland OVER PA 4.5 (GOBLIN) [id:10123209],Duncan Robinson OVER PR 9.5 (GOBLIN) [id:10108622],Evan Mobley OVER PA 13.5 (STANDARD) [id:10111147],Gui Santos UNDER RA 10 (STANDARD) [id:10116166],0,
5,Cam Spencer OVER PA 9.5 (GOBLIN) [id:10113336] | Ausar Thompson OVER PTS 5.5 (GOBLIN) [id:10109026] | Bobby Portis OVER PR 9.5 (GOBLIN) [id:10115163] | Tim Hardaway OVER PRA 13.5 (STANDARD) [id:10116511] | Brandin Podziemski UNDER PTS 17.5 (STANDARD) [id:10109778],0.390284223279819,20.0,1.0,20.0,7.8056844655963795,20.0,atlas,0.8307897553401438,0.06773630725510162,Cam Spencer OVER PA 9.5 (GOBLIN) [id:10113336] | Ausar Thompson OVER PTS 5.5 (GOBLIN) [id:10109026] | Bobby Portis OVER PR 9.5 (GOBLIN) [id:10115163] | Tim Hardaway OVER PRA 13.5 (STANDARD) [id:10116511] | Brandin Podziemski UNDER PTS 17.5 (STANDARD) [id:10109778],0.0,0.096,0.0006773630725510161,0.09667736307255102,156.01701194885504,"['cam spencer', 'ausar thompson', 'bobby portis', 'tim hardaway', 'brandin podziemski']",1,Cam Spencer OVER PA 9.5 (GOBLIN) [id:10113336],Ausar Thompson OVER PTS 5.5 (GOBLIN) [id:10109026],Bobby Portis OVER PR 9.5 (GOBLIN) [id:10115163],Tim Hardaway OVER PRA 13.5 (STANDARD) [id:10116511],Brandin Podziemski UNDER PTS 17.5 (STANDARD) [id:10109778],0,
5,Jabari Smith OVER PRA 19.5 (GOBLIN) [id:10105396] | Jonas Valančiūnas OVER PR 7.5 (GOBLIN) [id:10114884] | Jaylen Wells OVER FG3M 0.5 (GOBLIN) [id:10123264] | Dorian Finney-Smith UNDER PR 9.5 (STANDARD) [id:10106774] | Ronald Holland OVER PTS 6.5 (STANDARD) [id:10104204],0.3870870567820516,20.0,1.0,20.0,7.741741135641032,20.0,atlas,0.8321197680231978,0.06541126984764029,Jabari Smith OVER PRA 19.5 (GOBLIN) [id:10105396] | Jonas Valančiūnas OVER PR 7.5 (GOBLIN) [id:10114884] | Jaylen Wells OVER FG3M 0.5 (GOBLIN) [id:10123264] | Dorian Finney-Smith UNDER PR 9.5 (STANDARD) [id:10106774] | Ronald Holland OVER PTS 6.5 (STANDARD) [id:10104204],0.01,0.054,0.0006541126984764029,0.0646541126984764,154.77016860012216,"['jabari smith', 'jonas valančiūnas', 'jaylen wells', 'dorian finney-smith', 'ronald holland']",1,Jabari Smith OVER PRA 19.5 (GOBLIN) [id:10105396],Jonas Valančiūnas OVER PR 7.5 (GOBLIN) [id:10114884],Jaylen Wells OVER FG3M 0.5 (GOBLIN) [id:10123264],Dorian Finney-Smith UNDER PR 9.5 (STANDARD) [id:10106774],Ronald Holland OVER PTS 6.5 (STANDARD) [id:10104204],0,
5,Ausar Thompson OVER PTS 5.5 (GOBLIN) [id:10109026] | Jonas Valančiūnas OVER PR 7.5 (GOBLIN) [id:10114884] | Duncan Robinson OVER PR 9.5 (GOBLIN) [id:10108622] | Gui Santos UNDER PRA 24.5 (STANDARD) [id:10109910] | Brandin Podziemski UNDER PA 22.5 (STANDARD) [id:10109779],0.3793014506169316,20.0,1.0,20.0,7.586029012338632,20.0,atlas,0.8256207229825385,0.07194304373107996,Ausar Thompson OVER PTS 5.5 (GOBLIN) [id:10109026] | Jonas Valančiūnas OVER PR 7.5 (GOBLIN) [id:10114884] | Duncan Robinson OVER PR 9.5 (GOBLIN) [id:10108622] | Gui Santos UNDER PRA 24.5 (STANDARD) [id:10109910] | Brandin Podziemski UNDER PA 22.5 (STANDARD) [id:10109779],0.02,0.096,0.0007194304373107996,0.11671943043731081,151.60386081633533,"['ausar thompson', 'jonas valančiūnas', 'duncan robinson', 'gui santos', 'brandin podziemski']",1,Ausar Thompson OVER PTS 5.5 (GOBLIN) [id:10109026],Jonas Valančiūnas OVER PR 7.5 (GOBLIN) [id:10114884],Duncan Robinson OVER PR 9.5 (GOBLIN) [id:10108622],Gui Santos UNDER PRA 24.5 (STANDARD) [id:10109910],Brandin Podziemski UNDER PA 22.5 (STANDARD) [id:10109779],0,
5,Bobby Portis OVER PTS 5.5 (GOBLIN) [id:10114216] | Jalen Duren OVER PTS 11.5 (GOBLIN) [id:10108630] | Cam Spencer OVER PA 9.5 (GOBLIN) [id:10113336] | Spencer Jones OVER PRA 6.5 (STANDARD) [id:10116510] | Isaiah Joe UNDER AST 2.5 (STANDARD) [id:10110943],0.3780354524128389,20.0,1.0,20.0,7.560709048256778,20.0,atlas,0.8268992837572032,0.06039703524278249,Bobby Portis OVER PTS 5.5 (GOBLIN) [id:10114216] | Jalen Duren OVER PTS 11.5 (GOBLIN) [id:10108630] | Cam Spencer OVER PA 9.5 (GOBLIN) [id:10113336] | Spencer Jones OVER PRA 6.5 (STANDARD) [id:10116510] | Isaiah Joe UNDER AST 2.5 (STANDARD) [id:10110943],0.0,0.096,0.0006039703524278249,0.09660397035242782,151.11757699478315,"['bobby portis', 'jalen duren', 'cam spencer', 'spencer jones', 'isaiah joe']",1,Bobby Portis OVER PTS 5.5 (GOBLIN) [id:10114216],Jalen Duren OVER PTS 11.5 (GOBLIN) [id:10108630],Cam Spencer OVER PA 9.5 (GOBLIN) [id:10113336],Spencer Jones OVER PRA 6.5 (STANDARD) [id:10116510],Isaiah Joe UNDER AST 2.5 (STANDARD) [id:10110943],0,
5,Cam Spencer OVER PTS 5.5 (GOBLIN) [id:10113142] | Scotty Pippen OVER PA 11.5 (GOBLIN) [id:10112945] | Russell Westbrook OVER PR 11.5 (GOBLIN) [id:10116818] | Evan Mobley OVER PA 13.5 (STANDARD) [id:10111147] | Moses Moody UNDER PR 22.5 (STANDARD) [id:10109966],0.3653556395891467,20.0,1.0,20.0,7.3071127917829335,20.0,atlas,0.818524779135019,0.0721882130686465,Cam Spencer OVER PTS 5.5 (GOBLIN) [id:10113142] | Scotty Pippen OVER PA 11.5 (GOBLIN) [id:10112945] | Russell Westbrook OVER PR 11.5 (GOBLIN) [id:10116818] | Evan Mobley OVER PA 13.5 (STANDARD) [id:10111147] | Moses Moody UNDER PR 22.5 (STANDARD) [id:10109966],0.01,0.096,0.0007218821306864651,0.10672188213068647,146.035533953528,"['cam spencer', 'scotty pippen', 'russell westbrook', 'evan mobley', 'moses moody']",1,Cam Spencer OVER PTS 5.5 (GOBLIN) [id:10113142],Scotty Pippen OVER PA 11.5 (GOBLIN) [id:10112945],Russell Westbrook OVER PR 11.5 (GOBLIN) [id:10116818],Evan Mobley OVER PA 13.5 (STANDARD) [id:10111147],Moses Moody UNDER PR 22.5 (STANDARD) [id:10109966],0,
5,Jonas Valančiūnas OVER REB 2.5 (GOBLIN) [id:10110322] | Ausar Thompson OVER PTS 6.5 (GOBLIN) [id:10113864] | Jaylen Wells OVER FG3M 0.5 (GOBLIN) [id:10123264] | De'Anthony Melton UNDER PA 22.5 (STANDARD) [id:10109832] | Dorian Finney-Smith UNDER PR 9.5 (STANDARD) [id:10106774],0.36468715792424966,20.0,1.0,20.0,7.293743158484993,20.0,atlas,0.8189544587488264,0.062212869722051554,Jonas Valančiūnas OVER REB 2.5 (GOBLIN) [id:10110322] | Ausar Thompson OVER PTS 6.5 (GOBLIN) [id:10113864] | Jaylen Wells OVER FG3M 0.5 (GOBLIN) [id:10123264] | De'Anthony Melton UNDER PA 22.5 (STANDARD) [id:10109832] | Dorian Finney-Smith UNDER PR 9.5 (STANDARD) [id:10106774],0.0,0.024,0.0006221286972205156,0.024622128697220518,145.85024104100265,"['jonas valančiūnas', 'ausar thompson', 'jaylen wells', ""de'anthony melton"", 'dorian finney-smith']",1,Jonas Valančiūnas OVER REB 2.5 (GOBLIN) [id:10110322],Ausar Thompson OVER PTS 6.5 (GOBLIN) [id:10113864],Jaylen Wells OVER FG3M 0.5 (GOBLIN) [id:10123264],De'Anthony Melton UNDER PA 22.5 (STANDARD) [id:10109832],Dorian Finney-Smith UNDER PR 9.5 (STANDARD) [id:10106774],0,
5,Immanuel Quickley OVER PRA 19.5 (GOBLIN) [id:10109635] | Bobby Portis OVER PR 9.5 (GOBLIN) [id:10115163] | Cam Spencer OVER AST 3.5 (GOBLIN) [id:10109798] | Pat Spencer UNDER PA 17.5 (STANDARD) [id:10109995] | Evan Mobley OVER PA 13.5 (STANDARD) [id:10111147],0.3630910242304144,20.0,1.0,20.0,7.261820484608288,20.0,atlas,0.8173840330037858,0.07160361392510858,Immanuel Quickley OVER PRA 19.5 (GOBLIN) [id:10109635] | Bobby Portis OVER PR 9.5 (GOBLIN) [id:10115163] | Cam Spencer OVER AST 3.5 (GOBLIN) [id:10109798] | Pat Spencer UNDER PA 17.5 (STANDARD) [id:10109995] | Evan Mobley OVER PA 13.5 (STANDARD) [id:10111147],0.0,0.096,0.0007160361392510859,0.09671603613925109,145.1396936560265,"['immanuel quickley', 'bobby portis', 'cam spencer', 'pat spencer', 'evan mobley']",1,Immanuel Quickley OVER PRA 19.5 (GOBLIN) [id:10109635],Bobby Portis OVER PR 9.5 (GOBLIN) [id:10115163],Cam Spencer OVER AST 3.5 (GOBLIN) [id:10109798],Pat Spencer UNDER PA 17.5 (STANDARD) [id:10109995],Evan Mobley OVER PA 13.5 (STANDARD) [id:10111147],0,
5,Scotty Pippen OVER PA 9.5 (GOBLIN) [id:10115144] | Jalen Duren OVER PTS 11.5 (GOBLIN) [id:10108630] | Duncan Robinson OVER PTS 7.5 (GOBLIN) [id:10108616] | Gui Santos UNDER REB 6.5 (STANDARD) [id:10109917] | Isaiah Joe UNDER PTS 14.5 (STANDARD) [id:10107777],0.3626794361738084,20.0,1.0,20.0,7.253588723476168,20.0,atlas,0.820810865241248,0.057158833717696776,Scotty Pippen OVER PA 9.5 (GOBLIN) [id:10115144] | Jalen Duren OVER PTS 11.5 (GOBLIN) [id:10108630] | Duncan Robinson OVER PTS 7.5 (GOBLIN) [id:10108616] | Gui Santos UNDER REB 6.5 (STANDARD) [id:10109917] | Isaiah Joe UNDER PTS 14.5 (STANDARD) [id:10107777],0.01,0.054,0.0005715883371769678,0.06457158833717697,145.00720288118617,"['scotty pippen', 'jalen duren', 'duncan robinson', 'gui santos', 'isaiah joe']",1,Scotty Pippen OVER PA 9.5 (GOBLIN) [id:10115144],Jalen Duren OVER PTS 11.5 (GOBLIN) [id:10108630],Duncan Robinson OVER PTS 7.5 (GOBLIN) [id:10108616],Gui Santos UNDER REB 6.5 (STANDARD) [id:10109917],Isaiah Joe UNDER PTS 14.5 (STANDARD) [id:10107777],0,
5,Duncan Robinson OVER PTS 7.5 (GOBLIN) [id:10108616] | Russell Westbrook OVER PTS 9.5 (GOBLIN) [id:10105443] | Scotty Pippen OVER PA 9.5 (GOBLIN) [id:10115144] | Julian Strawther UNDER PR 13.5 (STANDARD) [id:10109706] | Evan Mobley OVER PR 18.5 (STANDARD) [id:10111148],0.3611300382860809,20.0,1.0,20.0,7.2226007657216185,20.0,atlas,0.8192516759727987,0.06633591534657278,Duncan Robinson OVER PTS 7.5 (GOBLIN) [id:10108616] | Russell Westbrook OVER PTS 9.5 (GOBLIN) [id:10105443] | Scotty Pippen OVER PA 9.5 (GOBLIN) [id:10115144] | Julian Strawther UNDER PR 13.5 (STANDARD) [id:10109706] | Evan Mobley OVER PR 18.5 (STANDARD) [id:10111148],0.0,0.096,0.0006633591534657278,0.09666335915346573,144.3553519552789,"['duncan robinson', 'russell westbrook', 'scotty pippen', 'julian strawther', 'evan mobley']",1,Duncan Robinson OVER PTS 7.5 (GOBLIN) [id:10108616],Russell Westbrook OVER PTS 9.5 (GOBLIN) [id:10105443],Scotty Pippen OVER PA 9.5 (GOBLIN) [id:10115144],Julian Strawther UNDER PR 13.5 (STANDARD) [id:10109706],Evan Mobley OVER PR 18.5 (STANDARD) [id:10111148],0,
