n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Jayson Tatum OVER PR 18.5 (GOBLIN) [id:10412697] | Precious Achiuwa UNDER PR 23.5 (STANDARD) [id:10400237] | Tristan Silva UNDER PTS 9.5 (STANDARD) [id:10404871] | Rui Hachimura OVER REB 2.5 (DEMON) [id:10411321],0.39485795820467423,10.0,1.0,10.0,3.9485795820467424,10.0,atlas,0.8038831778074416,0.06107529769570805,Jayson Tatum OVER PR 18.5 (GOBLIN) [id:10412697] | Precious Achiuwa UNDER PR 23.5 (STANDARD) [id:10400237] | Tristan Silva UNDER PTS 9.5 (STANDARD) [id:10404871] | Rui Hachimura OVER REB 2.5 (DEMON) [id:10411321],0.0,0.024,0.0006107529769570804,0.02461075297695708,39.46118506749047,"['jayson tatum', 'precious achiuwa', 'tristan silva', 'rui hachimura']",1,Jayson Tatum OVER PR 18.5 (GOBLIN) [id:10412697],Precious Achiuwa UNDER PR 23.5 (STANDARD) [id:10400237],Tristan Silva UNDER PTS 9.5 (STANDARD) [id:10404871],Rui Hachimura OVER REB 2.5 (DEMON) [id:10411321],0,
4,DeMar DeRozan OVER PRA 18.5 (GOBLIN) [id:10411364] | Precious Achiuwa UNDER PR 23.5 (STANDARD) [id:10400237] | Tristan Silva UNDER FG3M 1.5 (STANDARD) [id:10408599] | Trae Young OVER AST 6.5 (DEMON) [id:10399271],0.39061766971682077,10.0,1.0,10.0,3.906176697168208,10.0,atlas,0.8004298827427573,0.06466040354232441,DeMar DeRozan OVER PRA 18.5 (GOBLIN) [id:10411364] | Precious Achiuwa UNDER PR 23.5 (STANDARD) [id:10400237] | Tristan Silva UNDER FG3M 1.5 (STANDARD) [id:10408599] | Trae Young OVER AST 6.5 (DEMON) [id:10399271],0.01,0.024,0.0006466040354232441,0.034646604035423245,39.02712036764665,"['demar derozan', 'precious achiuwa', 'tristan silva', 'trae young']",1,DeMar DeRozan OVER PRA 18.5 (GOBLIN) [id:10411364],Precious Achiuwa UNDER PR 23.5 (STANDARD) [id:10400237],Tristan Silva UNDER FG3M 1.5 (STANDARD) [id:10408599],Trae Young OVER AST 6.5 (DEMON) [id:10399271],0,
4,Jayson Tatum OVER PA 19.5 (GOBLIN) [id:10397818] | Nique Clifford UNDER PR 18.5 (STANDARD) [id:10400229] | Tristan Silva UNDER PTS 9.5 (STANDARD) [id:10404871] | Coby White OVER PA 16.5 (DEMON) [id:10410050],0.38409030036666225,10.0,1.0,10.0,3.8409030036666225,10.0,atlas,0.7985150663546146,0.07240360679246913,Jayson Tatum OVER PA 19.5 (GOBLIN) [id:10397818] | Nique Clifford UNDER PR 18.5 (STANDARD) [id:10400229] | Tristan Silva UNDER PTS 9.5 (STANDARD) [id:10404871] | Coby White OVER PA 16.5 (DEMON) [id:10410050],0.0,0.054,0.0007240360679246913,0.05472403606792469,38.3543060005983,"['jayson tatum', 'nique clifford', 'tristan silva', 'coby white']",1,Jayson Tatum OVER PA 19.5 (GOBLIN) [id:10397818],Nique Clifford UNDER PR 18.5 (STANDARD) [id:10400229],Tristan Silva UNDER PTS 9.5 (STANDARD) [id:10404871],Coby White OVER PA 16.5 (DEMON) [id:10410050],0,
4,Immanuel Quickley OVER RA 7.5 (GOBLIN) [id:10407835] | Ousmane Dieng UNDER PRA 17.5 (STANDARD) [id:10411921] | Tristan Silva UNDER FG3M 1.5 (STANDARD) [id:10408599] | Trae Young OVER AST 6.5 (DEMON) [id:10399271],0.36604620497412915,10.0,1.0,10.0,3.6604620497412914,10.0,atlas,0.788096285963054,0.06746778084097539,Immanuel Quickley OVER RA 7.5 (GOBLIN) [id:10407835] | Ousmane Dieng UNDER PRA 17.5 (STANDARD) [id:10411921] | Tristan Silva UNDER FG3M 1.5 (STANDARD) [id:10408599] | Trae Young OVER AST 6.5 (DEMON) [id:10399271],0.0,0.024,0.0006746778084097539,0.024674677808409755,36.579945819604504,"['immanuel quickley', 'ousmane dieng', 'tristan silva', 'trae young']",1,Immanuel Quickley OVER RA 7.5 (GOBLIN) [id:10407835],Ousmane Dieng UNDER PRA 17.5 (STANDARD) [id:10411921],Tristan Silva UNDER FG3M 1.5 (STANDARD) [id:10408599],Trae Young OVER AST 6.5 (DEMON) [id:10399271],0,
4,Jayson Tatum OVER PA 17.5 (GOBLIN) [id:10412696] | Precious Achiuwa UNDER PTS 14.5 (STANDARD) [id:10400235] | Nique Clifford UNDER PA 17.5 (STANDARD) [id:10400228] | Rui Hachimura OVER REB 2.5 (DEMON) [id:10411321],0.3595940361653321,10.0,1.0,10.0,3.5959403616533208,10.0,atlas,0.7828511616827236,0.06622943903409999,Jayson Tatum OVER PA 17.5 (GOBLIN) [id:10412696] | Precious Achiuwa UNDER PTS 14.5 (STANDARD) [id:10400235] | Nique Clifford UNDER PA 17.5 (STANDARD) [id:10400228] | Rui Hachimura OVER REB 2.5 (DEMON) [id:10411321],0.01,0.024,0.0006622943903409999,0.034662294390341006,35.924741322142864,"['jayson tatum', 'precious achiuwa', 'nique clifford', 'rui hachimura']",1,Jayson Tatum OVER PA 17.5 (GOBLIN) [id:10412696],Precious Achiuwa UNDER PTS 14.5 (STANDARD) [id:10400235],Nique Clifford UNDER PA 17.5 (STANDARD) [id:10400228],Rui Hachimura OVER REB 2.5 (DEMON) [id:10411321],0,
4,Bub Carrington OVER PTS 4.5 (GOBLIN) [id:10402925] | Guerschon Yabusele UNDER PTS 11.5 (STANDARD) [id:10400469] | Nique Clifford UNDER PA 17.5 (STANDARD) [id:10400228] | Andrew Wiggins OVER RA 7.5 (DEMON) [id:10405036],0.3403658036717507,10.0,1.0,10.0,3.403658036717507,10.0,atlas,0.7737184610227836,0.06438811385833955,Bub Carrington OVER PTS 4.5 (GOBLIN) [id:10402925] | Guerschon Yabusele UNDER PTS 11.5 (STANDARD) [id:10400469] | Nique Clifford UNDER PA 17.5 (STANDARD) [id:10400228] | Andrew Wiggins OVER RA 7.5 (DEMON) [id:10405036],0.0,0.054,0.0006438811385833955,0.05464388113858339,33.98193648603649,"['bub carrington', 'guerschon yabusele', 'nique clifford', 'andrew wiggins']",1,Bub Carrington OVER PTS 4.5 (GOBLIN) [id:10402925],Guerschon Yabusele UNDER PTS 11.5 (STANDARD) [id:10400469],Nique Clifford UNDER PA 17.5 (STANDARD) [id:10400228],Andrew Wiggins OVER RA 7.5 (DEMON) [id:10405036],0,
4,Jayson Tatum OVER PR 18.5 (GOBLIN) [id:10412697] | Nique Clifford UNDER AST 3.5 (STANDARD) [id:10400226] | Precious Achiuwa UNDER REB 9 (STANDARD) [id:10400240] | Ryan Kalkbrenner OVER PR 9.5 (DEMON) [id:10400828],0.34026734309208084,10.0,1.0,10.0,3.4026734309208084,10.0,atlas,0.7688698873781526,0.06969322612336809,Jayson Tatum OVER PR 18.5 (GOBLIN) [id:10412697] | Nique Clifford UNDER AST 3.5 (STANDARD) [id:10400226] | Precious Achiuwa UNDER REB 9 (STANDARD) [id:10400240] | Ryan Kalkbrenner OVER PR 9.5 (DEMON) [id:10400828],0.01,0.024,0.0006969322612336809,0.03469693226123368,33.99203737694685,"['jayson tatum', 'nique clifford', 'precious achiuwa', 'ryan kalkbrenner']",1,Jayson Tatum OVER PR 18.5 (GOBLIN) [id:10412697],Nique Clifford UNDER AST 3.5 (STANDARD) [id:10400226],Precious Achiuwa UNDER REB 9 (STANDARD) [id:10400240],Ryan Kalkbrenner OVER PR 9.5 (DEMON) [id:10400828],0,
4,Pascal Siakam OVER PTS 14.5 (GOBLIN) [id:10401145] | Ousmane Dieng UNDER RA 7.5 (STANDARD) [id:10411926] | Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10400568] | Russell Westbrook OVER PRA 26.5 (DEMON) [id:10400988],0.33060059274015957,10.0,1.0,10.0,3.306005927401596,10.0,atlas,0.7615204947418139,0.07566163050740948,Pascal Siakam OVER PTS 14.5 (GOBLIN) [id:10401145] | Ousmane Dieng UNDER RA 7.5 (STANDARD) [id:10411926] | Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10400568] | Russell Westbrook OVER PRA 26.5 (DEMON) [id:10400988],0.0,0.054,0.0007566163050740949,0.05475661630507409,33.00530265771088,"['pascal siakam', 'ousmane dieng', 'guerschon yabusele', 'russell westbrook']",1,Pascal Siakam OVER PTS 14.5 (GOBLIN) [id:10401145],Ousmane Dieng UNDER RA 7.5 (STANDARD) [id:10411926],Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10400568],Russell Westbrook OVER PRA 26.5 (DEMON) [id:10400988],0,
4,Jaime Jaquez OVER PR 14.5 (GOBLIN) [id:10407376] | Guerschon Yabusele UNDER PTS 11.5 (STANDARD) [id:10400469] | Oso Ighodaro UNDER PRA 19.5 (STANDARD) [id:10397284] | DeMar DeRozan OVER PRA 23.5 (DEMON) [id:10400892],0.3085193865643966,10.0,1.0,10.0,3.0851938656439657,10.0,atlas,0.7505803277750054,0.07151549296216347,Jaime Jaquez OVER PR 14.5 (GOBLIN) [id:10407376] | Guerschon Yabusele UNDER PTS 11.5 (STANDARD) [id:10400469] | Oso Ighodaro UNDER PRA 19.5 (STANDARD) [id:10397284] | DeMar DeRozan OVER PRA 23.5 (DEMON) [id:10400892],0.0,0.054,0.0007151549296216347,0.05471515492962163,30.79722350151004,"['jaime jaquez', 'guerschon yabusele', 'oso ighodaro', 'demar derozan']",1,Jaime Jaquez OVER PR 14.5 (GOBLIN) [id:10407376],Guerschon Yabusele UNDER PTS 11.5 (STANDARD) [id:10400469],Oso Ighodaro UNDER PRA 19.5 (STANDARD) [id:10397284],DeMar DeRozan OVER PRA 23.5 (DEMON) [id:10400892],0,
4,Miles Bridges OVER PTS 9.5 (GOBLIN) [id:10397693] | Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10400568] | Will Riley UNDER PTS 13.5 (STANDARD) [id:10402933] | Ryan Kalkbrenner OVER PRA 10.5 (DEMON) [id:10398425],0.30095262550539736,10.0,1.0,10.0,3.0095262550539736,10.0,atlas,0.7453954952972109,0.06614414036095749,Miles Bridges OVER PTS 9.5 (GOBLIN) [id:10397693] | Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10400568] | Will Riley UNDER PTS 13.5 (STANDARD) [id:10402933] | Ryan Kalkbrenner OVER PRA 10.5 (DEMON) [id:10398425],0.01,0.054,0.0006614414036095749,0.06466144140360958,30.03060110913613,"['miles bridges', 'guerschon yabusele', 'will riley', 'ryan kalkbrenner']",1,Miles Bridges OVER PTS 9.5 (GOBLIN) [id:10397693],Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10400568],Will Riley UNDER PTS 13.5 (STANDARD) [id:10402933],Ryan Kalkbrenner OVER PRA 10.5 (DEMON) [id:10398425],0,
