n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Jabari Smith OVER PR 14.5 (GOBLIN) [id:10320885] | Jayson Tatum OVER PRA 19.5 (GOBLIN) [id:10339739] | Tristan Silva UNDER PR 13.5 (STANDARD) [id:10323087] | Isaiah Collier UNDER PTS 17.5 (STANDARD) [id:10339198],0.5864515912236766,10.0,1.0,10.0,5.864515912236766,10.0,atlas,0.87639581623914,0.072180442104214,Jabari Smith OVER PR 14.5 (GOBLIN) [id:10320885] | Jayson Tatum OVER PRA 19.5 (GOBLIN) [id:10339739] | Tristan Silva UNDER PR 13.5 (STANDARD) [id:10323087] | Isaiah Collier UNDER PTS 17.5 (STANDARD) [id:10339198],0.0,0.054,0.00072180442104214,0.05472180442104214,58.59043731794662,"['jabari smith', 'jayson tatum', 'tristan silva', 'isaiah collier']",1,Jabari Smith OVER PR 14.5 (GOBLIN) [id:10320885],Jayson Tatum OVER PRA 19.5 (GOBLIN) [id:10339739],Tristan Silva UNDER PR 13.5 (STANDARD) [id:10323087],Isaiah Collier UNDER PTS 17.5 (STANDARD) [id:10339198],0,
4,Jabari Smith OVER PR 14.5 (GOBLIN) [id:10320885] | Russell Westbrook OVER PA 14.5 (GOBLIN) [id:10328706] | Tim Hardaway OVER PR 15.5 (STANDARD) [id:10316161] | Tristan Silva UNDER PRA 15.5 (STANDARD) [id:10323088],0.5423073624163298,10.0,1.0,10.0,5.423073624163298,10.0,atlas,0.8645787437970023,0.07674844282998641,Jabari Smith OVER PR 14.5 (GOBLIN) [id:10320885] | Russell Westbrook OVER PA 14.5 (GOBLIN) [id:10328706] | Tim Hardaway OVER PR 15.5 (STANDARD) [id:10316161] | Tristan Silva UNDER PRA 15.5 (STANDARD) [id:10323088],0.0,0.054,0.0007674844282998641,0.054767484428299866,54.175968757204686,"['jabari smith', 'russell westbrook', 'tim hardaway', 'tristan silva']",1,Jabari Smith OVER PR 14.5 (GOBLIN) [id:10320885],Russell Westbrook OVER PA 14.5 (GOBLIN) [id:10328706],Tim Hardaway OVER PR 15.5 (STANDARD) [id:10316161],Tristan Silva UNDER PRA 15.5 (STANDARD) [id:10323088],0,
4,Anthony Black OVER AST 2.5 (GOBLIN) [id:10325593] | Amen Thompson OVER PRA 24.5 (GOBLIN) [id:10320871] | Tristan Silva UNDER PR 13.5 (STANDARD) [id:10323087] | Isaiah Collier UNDER PA 27.5 (STANDARD) [id:10339202],0.5360591071459947,10.0,1.0,10.0,5.360591071459947,10.0,atlas,0.8571691104438552,0.06940175085059982,Anthony Black OVER AST 2.5 (GOBLIN) [id:10325593] | Amen Thompson OVER PRA 24.5 (GOBLIN) [id:10320871] | Tristan Silva UNDER PR 13.5 (STANDARD) [id:10323087] | Isaiah Collier UNDER PA 27.5 (STANDARD) [id:10339202],0.01,0.054,0.0006940175085059983,0.064694017508506,53.54121669709096,"['anthony black', 'amen thompson', 'tristan silva', 'isaiah collier']",1,Anthony Black OVER AST 2.5 (GOBLIN) [id:10325593],Amen Thompson OVER PRA 24.5 (GOBLIN) [id:10320871],Tristan Silva UNDER PR 13.5 (STANDARD) [id:10323087],Isaiah Collier UNDER PA 27.5 (STANDARD) [id:10339202],0,
4,Cooper Flagg OVER REB 3.5 (GOBLIN) [id:10323670] | Desmond Bane OVER PA 19.5 (GOBLIN) [id:10337198] | Nique Clifford UNDER PR 20.5 (STANDARD) [id:10315661] | Tristan Silva UNDER PA 10.5 (STANDARD) [id:10323086],0.5302224721242402,10.0,1.0,10.0,5.3022247212424025,10.0,atlas,0.8537984256172879,0.07172438520648844,Cooper Flagg OVER REB 3.5 (GOBLIN) [id:10323670] | Desmond Bane OVER PA 19.5 (GOBLIN) [id:10337198] | Nique Clifford UNDER PR 20.5 (STANDARD) [id:10315661] | Tristan Silva UNDER PA 10.5 (STANDARD) [id:10323086],0.01,0.024,0.0007172438520648844,0.034717243852064886,52.987529968571955,"['cooper flagg', 'desmond bane', 'nique clifford', 'tristan silva']",1,Cooper Flagg OVER REB 3.5 (GOBLIN) [id:10323670],Desmond Bane OVER PA 19.5 (GOBLIN) [id:10337198],Nique Clifford UNDER PR 20.5 (STANDARD) [id:10315661],Tristan Silva UNDER PA 10.5 (STANDARD) [id:10323086],0,
4,Tyler Herro OVER REB 2.5 (GOBLIN) [id:10321950] | Russell Westbrook OVER PR 14.5 (GOBLIN) [id:10324638] | Jayson Tatum OVER PA 16.5 (STANDARD) [id:10339427] | Nique Clifford UNDER PR 20.5 (STANDARD) [id:10315661],0.5200717871202535,10.0,1.0,10.0,5.200717871202535,10.0,atlas,0.8504004423978653,0.07267868135412053,Tyler Herro OVER REB 2.5 (GOBLIN) [id:10321950] | Russell Westbrook OVER PR 14.5 (GOBLIN) [id:10324638] | Jayson Tatum OVER PA 16.5 (STANDARD) [id:10339427] | Nique Clifford UNDER PR 20.5 (STANDARD) [id:10315661],0.01,0.024,0.0007267868135412053,0.03472678681354121,51.97245192521181,"['tyler herro', 'russell westbrook', 'jayson tatum', 'nique clifford']",1,Tyler Herro OVER REB 2.5 (GOBLIN) [id:10321950],Russell Westbrook OVER PR 14.5 (GOBLIN) [id:10324638],Jayson Tatum OVER PA 16.5 (STANDARD) [id:10339427],Nique Clifford UNDER PR 20.5 (STANDARD) [id:10315661],0,
4,Amen Thompson OVER RA 10.5 (GOBLIN) [id:10312675] | DeMar DeRozan OVER PA 14.5 (GOBLIN) [id:10326119] | Nique Clifford UNDER PTS 15 (STANDARD) [id:10315659] | Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10312961],0.5161079578079771,10.0,1.0,10.0,5.161079578079772,10.0,atlas,0.8476930632813742,0.07046206588165405,Amen Thompson OVER RA 10.5 (GOBLIN) [id:10312675] | DeMar DeRozan OVER PA 14.5 (GOBLIN) [id:10326119] | Nique Clifford UNDER PTS 15 (STANDARD) [id:10315659] | Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10312961],0.01,0.054,0.0007046206588165405,0.06470462065881655,51.5460911601389,"['amen thompson', 'demar derozan', 'nique clifford', 'guerschon yabusele']",1,Amen Thompson OVER RA 10.5 (GOBLIN) [id:10312675],DeMar DeRozan OVER PA 14.5 (GOBLIN) [id:10326119],Nique Clifford UNDER PTS 15 (STANDARD) [id:10315659],Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10312961],0,
4,Jaime Jaquez OVER PA 14.5 (GOBLIN) [id:10322185] | Jayson Tatum OVER PR 14.5 (GOBLIN) [id:10339735] | Nique Clifford UNDER PA 19.5 (STANDARD) [id:10315660] | Isaiah Collier UNDER PRA 30.5 (STANDARD) [id:10339204],0.5121922475621873,10.0,1.0,10.0,5.121922475621873,10.0,atlas,0.8471115386852361,0.07862608522972697,Jaime Jaquez OVER PA 14.5 (GOBLIN) [id:10322185] | Jayson Tatum OVER PR 14.5 (GOBLIN) [id:10339735] | Nique Clifford UNDER PA 19.5 (STANDARD) [id:10315660] | Isaiah Collier UNDER PRA 30.5 (STANDARD) [id:10339204],0.0,0.054,0.0007862608522972698,0.05478626085229727,51.16443849536643,"['jaime jaquez', 'jayson tatum', 'nique clifford', 'isaiah collier']",1,Jaime Jaquez OVER PA 14.5 (GOBLIN) [id:10322185],Jayson Tatum OVER PR 14.5 (GOBLIN) [id:10339735],Nique Clifford UNDER PA 19.5 (STANDARD) [id:10315660],Isaiah Collier UNDER PRA 30.5 (STANDARD) [id:10339204],0,
4,Wendell Carter OVER REB 5.5 (GOBLIN) [id:10323793] | Jabari Smith OVER PRA 19.5 (GOBLIN) [id:10325037] | Jayson Tatum OVER PA 16.5 (STANDARD) [id:10339427] | Russell Westbrook OVER PRA 23.5 (STANDARD) [id:10315694],0.5080677762882438,10.0,1.0,10.0,5.080677762882439,10.0,atlas,0.8449067917629288,0.06594721658994286,Wendell Carter OVER REB 5.5 (GOBLIN) [id:10323793] | Jabari Smith OVER PRA 19.5 (GOBLIN) [id:10325037] | Jayson Tatum OVER PA 16.5 (STANDARD) [id:10339427] | Russell Westbrook OVER PRA 23.5 (STANDARD) [id:10315694],0.0,0.024,0.0006594721658994287,0.024659472165899428,50.782118156658484,"['wendell carter', 'jabari smith', 'jayson tatum', 'russell westbrook']",1,Wendell Carter OVER REB 5.5 (GOBLIN) [id:10323793],Jabari Smith OVER PRA 19.5 (GOBLIN) [id:10325037],Jayson Tatum OVER PA 16.5 (STANDARD) [id:10339427],Russell Westbrook OVER PRA 23.5 (STANDARD) [id:10315694],0,
4,Russell Westbrook OVER PA 14.5 (GOBLIN) [id:10328706] | Jabari Smith OVER PRA 19.5 (GOBLIN) [id:10325037] | Pat Spencer UNDER PA 14.5 (STANDARD) [id:10311671] | Isaiah Collier UNDER PTS 17.5 (STANDARD) [id:10339198],0.45698289253724833,10.0,1.0,10.0,4.569828925372484,10.0,atlas,0.826639214039144,0.07303177744504871,Russell Westbrook OVER PA 14.5 (GOBLIN) [id:10328706] | Jabari Smith OVER PRA 19.5 (GOBLIN) [id:10325037] | Pat Spencer UNDER PA 14.5 (STANDARD) [id:10311671] | Isaiah Collier UNDER PTS 17.5 (STANDARD) [id:10339198],0.0,0.054,0.0007303177744504871,0.05473031777445048,45.64355893595038,"['russell westbrook', 'jabari smith', 'pat spencer', 'isaiah collier']",1,Russell Westbrook OVER PA 14.5 (GOBLIN) [id:10328706],Jabari Smith OVER PRA 19.5 (GOBLIN) [id:10325037],Pat Spencer UNDER PA 14.5 (STANDARD) [id:10311671],Isaiah Collier UNDER PTS 17.5 (STANDARD) [id:10339198],0,
4,Wendell Carter OVER PR 14.5 (GOBLIN) [id:10324788] | Jalen Suggs OVER PR 11.5 (GOBLIN) [id:10324747] | Will Riley UNDER REB 5 (STANDARD) [id:10322478] | Guerschon Yabusele UNDER PTS 10.5 (STANDARD) [id:10312959],0.4550636032361122,10.0,1.0,10.0,4.550636032361123,10.0,atlas,0.8217551868549676,0.06461797556662614,Wendell Carter OVER PR 14.5 (GOBLIN) [id:10324788] | Jalen Suggs OVER PR 11.5 (GOBLIN) [id:10324747] | Will Riley UNDER REB 5 (STANDARD) [id:10322478] | Guerschon Yabusele UNDER PTS 10.5 (STANDARD) [id:10312959],0.01,0.024,0.0006461797556662614,0.034646179755666265,45.47171414385556,"['wendell carter', 'jalen suggs', 'will riley', 'guerschon yabusele']",1,Wendell Carter OVER PR 14.5 (GOBLIN) [id:10324788],Jalen Suggs OVER PR 11.5 (GOBLIN) [id:10324747],Will Riley UNDER REB 5 (STANDARD) [id:10322478],Guerschon Yabusele UNDER PTS 10.5 (STANDARD) [id:10312959],0,
