n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Jabari Smith OVER PR 15.5 (GOBLIN) [id:10364561] | Payton Pritchard OVER RA 6.5 (GOBLIN) [id:10356743] | Nikola Jokić OVER PRA 49 (STANDARD) [id:10349715] | Neemias Queta OVER REB 7.5 (STANDARD) [id:10348344],0.31520713456652627,10.0,0.718798135667189,7.18798135667189,2.2657030067541584,10.0,pp_kernel,0.7608677132286772,0.06632144753975007,Jabari Smith OVER PR 15.5 (GOBLIN) [id:10364561] | Payton Pritchard OVER RA 6.5 (GOBLIN) [id:10356743] | Nikola Jokić OVER PRA 49 (STANDARD) [id:10349715] | Neemias Queta OVER REB 7.5 (STANDARD) [id:10348344],0.01,0.024,0.0006632144753975007,0.034663214475397504,16.251167757828938,"['jabari smith', 'payton pritchard', 'nikola jokić', 'neemias queta']",16.285830972304336,1,Jabari Smith OVER PR 15.5 (GOBLIN) [id:10364561],Payton Pritchard OVER RA 6.5 (GOBLIN) [id:10356743],Nikola Jokić OVER PRA 49 (STANDARD) [id:10349715],Neemias Queta OVER REB 7.5 (STANDARD) [id:10348344],0,
4,Amen Thompson OVER RA 10.5 (GOBLIN) [id:10353371] | Jayson Tatum OVER PA 14.5 (GOBLIN) [id:10339731] | Grant Williams OVER PA 7.5 (STANDARD) [id:10365303] | Brandon Miller OVER PR 26.5 (STANDARD) [id:10345177],0.3090352831510137,10.0,0.72109275476966,7.210927547696599,2.228431036483863,10.0,pp_kernel,0.7547769797441306,0.0778190989581912,Amen Thompson OVER RA 10.5 (GOBLIN) [id:10353371] | Jayson Tatum OVER PA 14.5 (GOBLIN) [id:10339731] | Grant Williams OVER PA 7.5 (STANDARD) [id:10365303] | Brandon Miller OVER PR 26.5 (STANDARD) [id:10345177],0.01,0.054,0.000778190989581912,0.06477819098958192,16.00427655813399,"['amen thompson', 'jayson tatum', 'grant williams', 'brandon miller']",16.069054749123573,1,Amen Thompson OVER RA 10.5 (GOBLIN) [id:10353371],Jayson Tatum OVER PA 14.5 (GOBLIN) [id:10339731],Grant Williams OVER PA 7.5 (STANDARD) [id:10365303],Brandon Miller OVER PR 26.5 (STANDARD) [id:10345177],0,
4,Jayson Tatum OVER PTS 11.5 (GOBLIN) [id:10339730] | Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10349212] | Payton Pritchard OVER PA 21.5 (STANDARD) [id:10348387] | Baylor Scheierman UNDER PRA 12.5 (STANDARD) [id:10361131],0.3822577181956886,10.0,0.652161932332558,6.521619323325581,2.4929393214753475,10.0,pp_kernel,0.7954667794955941,0.07124532027685777,Jayson Tatum OVER PTS 11.5 (GOBLIN) [id:10339730] | Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10349212] | Payton Pritchard OVER PA 21.5 (STANDARD) [id:10348387] | Baylor Scheierman UNDER PRA 12.5 (STANDARD) [id:10361131],0.04,0.054,0.0007124532027685778,0.09471245320276858,16.16328879760902,"['jayson tatum', 'kon knueppel', 'payton pritchard', 'baylor scheierman']",16.258001250811787,1,Jayson Tatum OVER PTS 11.5 (GOBLIN) [id:10339730],Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10349212],Payton Pritchard OVER PA 21.5 (STANDARD) [id:10348387],Baylor Scheierman UNDER PRA 12.5 (STANDARD) [id:10361131],0,
4,Dejounte Murray OVER PRA 19.5 (GOBLIN) [id:10353226] | Amen Thompson OVER PTS 11.5 (GOBLIN) [id:10353996] | Brandon Miller OVER PRA 30 (STANDARD) [id:10345178] | Payton Pritchard OVER PA 21.5 (STANDARD) [id:10348387],0.2946679141945801,10.0,0.7372324237234144,7.372324237234143,2.172387405751934,10.0,pp_kernel,0.7457484027912658,0.06986643827930894,Dejounte Murray OVER PRA 19.5 (GOBLIN) [id:10353226] | Amen Thompson OVER PTS 11.5 (GOBLIN) [id:10353996] | Brandon Miller OVER PRA 30 (STANDARD) [id:10345178] | Payton Pritchard OVER PA 21.5 (STANDARD) [id:10348387],0.0,0.054,0.0006986643827930894,0.05469866438279309,15.960845659704392,"['dejounte murray', 'amen thompson', 'brandon miller', 'payton pritchard']",16.015544324087184,1,Dejounte Murray OVER PRA 19.5 (GOBLIN) [id:10353226],Amen Thompson OVER PTS 11.5 (GOBLIN) [id:10353996],Brandon Miller OVER PRA 30 (STANDARD) [id:10345178],Payton Pritchard OVER PA 21.5 (STANDARD) [id:10348387],0,
4,Amen Thompson OVER RA 9.5 (GOBLIN) [id:10353187] | Jayson Tatum OVER PRA 14.5 (GOBLIN) [id:10339738] | Brandon Miller OVER PA 24.5 (STANDARD) [id:10345176] | Wendell Carter OVER REB 7.5 (STANDARD) [id:10366569],0.20191070032311664,10.0,0.8909585582596911,8.909585582596911,1.7989406645708854,10.0,pp_kernel,0.7002270357349795,0.062142061382430364,Amen Thompson OVER RA 9.5 (GOBLIN) [id:10353187] | Jayson Tatum OVER PRA 14.5 (GOBLIN) [id:10339738] | Brandon Miller OVER PA 24.5 (STANDARD) [id:10345176] | Wendell Carter OVER REB 7.5 (STANDARD) [id:10366569],0.0,0.024,0.0006214206138243037,0.024621420613824305,16.003194388394242,"['amen thompson', 'jayson tatum', 'brandon miller', 'wendell carter']",16.027815809008064,1,Amen Thompson OVER RA 9.5 (GOBLIN) [id:10353187],Jayson Tatum OVER PRA 14.5 (GOBLIN) [id:10339738],Brandon Miller OVER PA 24.5 (STANDARD) [id:10345176],Wendell Carter OVER REB 7.5 (STANDARD) [id:10366569],0,
4,Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10362094] | Tim Hardaway OVER PTS 5.5 (GOBLIN) [id:10366783] | Brandon Miller OVER PR 26.5 (STANDARD) [id:10345177] | Grant Williams OVER PR 9.5 (STANDARD) [id:10361516],0.3046333289941805,10.0,0.7246561088222871,7.2465610882228715,2.2075440280650245,10.0,pp_kernel,0.7528232323588648,0.06154098744864338,Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10362094] | Tim Hardaway OVER PTS 5.5 (GOBLIN) [id:10366783] | Brandon Miller OVER PR 26.5 (STANDARD) [id:10345177] | Grant Williams OVER PR 9.5 (STANDARD) [id:10361516],0.01,0.054,0.0006154098744864338,0.06461540987448644,15.9324872444403,"['davion mitchell', 'tim hardaway', 'brandon miller', 'grant williams']",15.997102654314785,1,Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10362094],Tim Hardaway OVER PTS 5.5 (GOBLIN) [id:10366783],Brandon Miller OVER PR 26.5 (STANDARD) [id:10345177],Grant Williams OVER PR 9.5 (STANDARD) [id:10361516],0,
4,Amen Thompson OVER PTS 11.5 (GOBLIN) [id:10353996] | Coby White OVER PTS 7.5 (GOBLIN) [id:10348862] | Payton Pritchard OVER PA 21.5 (STANDARD) [id:10348387] | Christian Braun OVER PA 12.5 (STANDARD) [id:10353688],0.2957860939772649,10.0,0.7288556470394724,7.288556470394724,2.155853649110776,10.0,pp_kernel,0.7456225566645746,0.059897489985607566,Amen Thompson OVER PTS 11.5 (GOBLIN) [id:10353996] | Coby White OVER PTS 7.5 (GOBLIN) [id:10348862] | Payton Pritchard OVER PA 21.5 (STANDARD) [id:10348387] | Christian Braun OVER PA 12.5 (STANDARD) [id:10353688],0.0,0.054,0.0005989748998560757,0.05459897489985607,15.658462088550568,"['amen thompson', 'coby white', 'payton pritchard', 'christian braun']",15.713061063450423,1,Amen Thompson OVER PTS 11.5 (GOBLIN) [id:10353996],Coby White OVER PTS 7.5 (GOBLIN) [id:10348862],Payton Pritchard OVER PA 21.5 (STANDARD) [id:10348387],Christian Braun OVER PA 12.5 (STANDARD) [id:10353688],0,
4,Ryan Kalkbrenner OVER RA 3.5 (GOBLIN) [id:10366760] | Dejounte Murray OVER PTS 9.5 (GOBLIN) [id:10351609] | Oso Ighodaro UNDER PR 17.5 (STANDARD) [id:10351221] | Christian Braun OVER PA 12.5 (STANDARD) [id:10353688],0.39141832965820333,10.0,0.6242936462949711,6.242936462949711,2.443599762490068,10.0,pp_kernel,0.7982389352804081,0.07129300774175734,Ryan Kalkbrenner OVER RA 3.5 (GOBLIN) [id:10366760] | Dejounte Murray OVER PTS 9.5 (GOBLIN) [id:10351609] | Oso Ighodaro UNDER PR 17.5 (STANDARD) [id:10351221] | Christian Braun OVER PA 12.5 (STANDARD) [id:10353688],0.0,0.054,0.0007129300774175734,0.05471293007741757,15.200525128027081,"['ryan kalkbrenner', 'dejounte murray', 'oso ighodaro', 'christian braun']",15.2552380581045,1,Ryan Kalkbrenner OVER RA 3.5 (GOBLIN) [id:10366760],Dejounte Murray OVER PTS 9.5 (GOBLIN) [id:10351609],Oso Ighodaro UNDER PR 17.5 (STANDARD) [id:10351221],Christian Braun OVER PA 12.5 (STANDARD) [id:10353688],0,
4,Tim Hardaway OVER PTS 7.5 (GOBLIN) [id:10365409] | Jayson Tatum OVER PR 14.5 (GOBLIN) [id:10339735] | Grant Williams OVER PR 9.5 (STANDARD) [id:10361516] | Baylor Scheierman UNDER PR 10.5 (STANDARD) [id:10350695],0.370549008583621,10.0,0.6410705143452373,6.410705143452374,2.375480435228197,10.0,pp_kernel,0.785896315886942,0.07305703543846868,Tim Hardaway OVER PTS 7.5 (GOBLIN) [id:10365409] | Jayson Tatum OVER PR 14.5 (GOBLIN) [id:10339735] | Grant Williams OVER PR 9.5 (STANDARD) [id:10361516] | Baylor Scheierman UNDER PR 10.5 (STANDARD) [id:10350695],0.01,0.054,0.0007305703543846869,0.06473057035438469,15.163774073933501,"['tim hardaway', 'jayson tatum', 'grant williams', 'baylor scheierman']",15.228504644287886,1,Tim Hardaway OVER PTS 7.5 (GOBLIN) [id:10365409],Jayson Tatum OVER PR 14.5 (GOBLIN) [id:10339735],Grant Williams OVER PR 9.5 (STANDARD) [id:10361516],Baylor Scheierman UNDER PR 10.5 (STANDARD) [id:10350695],0,
4,Tim Hardaway OVER PTS 7.5 (GOBLIN) [id:10365409] | Aaron Gordon OVER PTS 7.5 (GOBLIN) [id:10352638] | Cameron Johnson OVER PR 13.5 (STANDARD) [id:10350102] | Nikola Jokić OVER PRA 49 (STANDARD) [id:10349715],0.2802473646882682,10.0,0.7363389958840979,7.363389958840979,2.06357063113724,10.0,pp_kernel,0.7346757707248459,0.05905055710811568,Tim Hardaway OVER PTS 7.5 (GOBLIN) [id:10365409] | Aaron Gordon OVER PTS 7.5 (GOBLIN) [id:10352638] | Cameron Johnson OVER PR 13.5 (STANDARD) [id:10350102] | Nikola Jokić OVER PRA 49 (STANDARD) [id:10349715],0.09,0.054,0.0005905055710811568,0.14459050557108113,15.050284759104013,"['tim hardaway', 'aaron gordon', 'cameron johnson', 'nikola jokić']",15.194875264675094,1,Tim Hardaway OVER PTS 7.5 (GOBLIN) [id:10365409],Aaron Gordon OVER PTS 7.5 (GOBLIN) [id:10352638],Cameron Johnson OVER PR 13.5 (STANDARD) [id:10350102],Nikola Jokić OVER PRA 49 (STANDARD) [id:10349715],0,
