n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,Scotty Pippen OVER PA 9.5 (GOBLIN) [id:10115144] | Moses Moody UNDER PR 22.5 (STANDARD) [id:10109966] | Evan Mobley OVER PRA 20.5 (STANDARD) [id:10111149],0.5920775285160594,6.0,1.0,6.0,3.5524651710963564,6.0,atlas,0.8431103372424974,0.07910369491707032,Scotty Pippen OVER PA 9.5 (GOBLIN) [id:10115144] | Moses Moody UNDER PR 22.5 (STANDARD) [id:10109966] | Evan Mobley OVER PRA 20.5 (STANDARD) [id:10111149],0.0,0.024,0.0007910369491707033,0.024791036949170703,21.289999989628967,"['scotty pippen', 'moses moody', 'evan mobley']",1,Scotty Pippen OVER PA 9.5 (GOBLIN) [id:10115144],Moses Moody UNDER PR 22.5 (STANDARD) [id:10109966],Evan Mobley OVER PRA 20.5 (STANDARD) [id:10111149],0,
3,Ronald Holland OVER PA 4.5 (GOBLIN) [id:10123209] | Moses Moody UNDER PTS 17.5 (STANDARD) [id:10109964] | Dorian Finney-Smith UNDER PTS 5.5 (STANDARD) [id:10100799],0.5751138094900912,6.0,1.0,6.0,3.450682856940547,6.0,atlas,0.8330027519098974,0.06462224113434566,Ronald Holland OVER PA 4.5 (GOBLIN) [id:10123209] | Moses Moody UNDER PTS 17.5 (STANDARD) [id:10109964] | Dorian Finney-Smith UNDER PTS 5.5 (STANDARD) [id:10100799],0.0,0.024,0.0006462224113434566,0.024646222411343458,20.679450919231936,"['ronald holland', 'moses moody', 'dorian finney-smith']",1,Ronald Holland OVER PA 4.5 (GOBLIN) [id:10123209],Moses Moody UNDER PTS 17.5 (STANDARD) [id:10109964],Dorian Finney-Smith UNDER PTS 5.5 (STANDARD) [id:10100799],0,
3,Ronald Holland OVER PA 4.5 (GOBLIN) [id:10123209] | Evan Mobley OVER PRA 20.5 (STANDARD) [id:10111149] | Moses Moody UNDER PRA 24.5 (STANDARD) [id:10109967],0.562617286211507,6.0,1.0,6.0,3.375703717269042,6.0,atlas,0.8269993903698053,0.07857563509836811,Ronald Holland OVER PA 4.5 (GOBLIN) [id:10123209] | Evan Mobley OVER PRA 20.5 (STANDARD) [id:10111149] | Moses Moody UNDER PRA 24.5 (STANDARD) [id:10109967],0.0,0.024,0.0007857563509836811,0.024785756350983682,20.22943654726327,"['ronald holland', 'evan mobley', 'moses moody']",1,Ronald Holland OVER PA 4.5 (GOBLIN) [id:10123209],Evan Mobley OVER PRA 20.5 (STANDARD) [id:10111149],Moses Moody UNDER PRA 24.5 (STANDARD) [id:10109967],0,
3,Tim Hardaway OVER PTS 7.5 (GOBLIN) [id:10113544] | De'Anthony Melton UNDER PA 22.5 (STANDARD) [id:10109832] | Dorian Finney-Smith UNDER PR 9.5 (STANDARD) [id:10106774],0.5597556825321901,6.0,1.0,6.0,3.3585340951931406,6.0,atlas,0.8263748336715331,0.07181400149033544,Tim Hardaway OVER PTS 7.5 (GOBLIN) [id:10113544] | De'Anthony Melton UNDER PA 22.5 (STANDARD) [id:10109832] | Dorian Finney-Smith UNDER PR 9.5 (STANDARD) [id:10106774],0.0,0.024,0.0007181400149033544,0.024718140014903356,20.126486431143938,"['tim hardaway', ""de'anthony melton"", 'dorian finney-smith']",1,Tim Hardaway OVER PTS 7.5 (GOBLIN) [id:10113544],De'Anthony Melton UNDER PA 22.5 (STANDARD) [id:10109832],Dorian Finney-Smith UNDER PR 9.5 (STANDARD) [id:10106774],0,
3,Jaylen Wells OVER PTS 7.5 (GOBLIN) [id:10113013] | Dorian Finney-Smith UNDER PR 9.5 (STANDARD) [id:10106774] | Cam Spencer OVER PRA 17.5 (STANDARD) [id:10109815],0.55499874203856,6.0,1.0,6.0,3.32999245223136,6.0,atlas,0.824451388194514,0.07054303155838235,Jaylen Wells OVER PTS 7.5 (GOBLIN) [id:10113013] | Dorian Finney-Smith UNDER PR 9.5 (STANDARD) [id:10106774] | Cam Spencer OVER PRA 17.5 (STANDARD) [id:10109815],0.01,0.024,0.0007054303155838235,0.034705430315583825,19.945249283072577,"['jaylen wells', 'dorian finney-smith', 'cam spencer']",1,Jaylen Wells OVER PTS 7.5 (GOBLIN) [id:10113013],Dorian Finney-Smith UNDER PR 9.5 (STANDARD) [id:10106774],Cam Spencer OVER PRA 17.5 (STANDARD) [id:10109815],0,
3,Scotty Pippen OVER PA 11.5 (GOBLIN) [id:10112945] | Baylor Scheierman UNDER PA 9.5 (STANDARD) [id:10110057] | Dorian Finney-Smith UNDER PR 9.5 (STANDARD) [id:10106774],0.5533721554549951,6.0,1.0,6.0,3.3202329327299704,6.0,atlas,0.824578128152475,0.08317985085502849,Scotty Pippen OVER PA 11.5 (GOBLIN) [id:10112945] | Baylor Scheierman UNDER PA 9.5 (STANDARD) [id:10110057] | Dorian Finney-Smith UNDER PR 9.5 (STANDARD) [id:10106774],0.0,0.024,0.0008317985085502849,0.024831798508550284,19.896565797871272,"['scotty pippen', 'baylor scheierman', 'dorian finney-smith']",1,Scotty Pippen OVER PA 11.5 (GOBLIN) [id:10112945],Baylor Scheierman UNDER PA 9.5 (STANDARD) [id:10110057],Dorian Finney-Smith UNDER PR 9.5 (STANDARD) [id:10106774],0,
3,Cam Spencer OVER AST 3.5 (GOBLIN) [id:10109798] | Gui Santos UNDER PTS 14.5 (STANDARD) [id:10109907] | Moses Moody UNDER PA 20.5 (STANDARD) [id:10109965],0.5433873263455702,6.0,1.0,6.0,3.260323958073421,6.0,atlas,0.8166816557139414,0.059908638143131965,Cam Spencer OVER AST 3.5 (GOBLIN) [id:10109798] | Gui Santos UNDER PTS 14.5 (STANDARD) [id:10109907] | Moses Moody UNDER PA 20.5 (STANDARD) [id:10109965],0.01,0.024,0.0005990863814313197,0.034599086381431325,19.527344662059097,"['cam spencer', 'gui santos', 'moses moody']",1,Cam Spencer OVER AST 3.5 (GOBLIN) [id:10109798],Gui Santos UNDER PTS 14.5 (STANDARD) [id:10109907],Moses Moody UNDER PA 20.5 (STANDARD) [id:10109965],0,
3,Bobby Portis OVER PTS 5.5 (GOBLIN) [id:10114216] | Gui Santos UNDER PRA 24.5 (STANDARD) [id:10109910] | Evan Mobley OVER PR 18.5 (STANDARD) [id:10111148],0.5415908377458881,6.0,1.0,6.0,3.249545026475329,6.0,atlas,0.8161222639143157,0.06750725587497435,Bobby Portis OVER PTS 5.5 (GOBLIN) [id:10114216] | Gui Santos UNDER PRA 24.5 (STANDARD) [id:10109910] | Evan Mobley OVER PR 18.5 (STANDARD) [id:10111148],0.0,0.024,0.0006750725587497435,0.024675072558749744,19.47259508629322,"['bobby portis', 'gui santos', 'evan mobley']",1,Bobby Portis OVER PTS 5.5 (GOBLIN) [id:10114216],Gui Santos UNDER PRA 24.5 (STANDARD) [id:10109910],Evan Mobley OVER PR 18.5 (STANDARD) [id:10111148],0,
3,Scotty Pippen OVER PA 9.5 (GOBLIN) [id:10115144] | Gui Santos UNDER PR 21.5 (STANDARD) [id:10109909] | Julian Strawther UNDER PTS 9.5 (STANDARD) [id:10109705],0.5202330408972864,6.0,1.0,6.0,3.1213982453837184,6.0,atlas,0.8110541116591298,0.07324982940713491,Scotty Pippen OVER PA 9.5 (GOBLIN) [id:10115144] | Gui Santos UNDER PR 21.5 (STANDARD) [id:10109909] | Julian Strawther UNDER PTS 9.5 (STANDARD) [id:10109705],0.0,0.024,0.0007324982940713491,0.02473249829407135,18.70365697400824,"['scotty pippen', 'gui santos', 'julian strawther']",1,Scotty Pippen OVER PA 9.5 (GOBLIN) [id:10115144],Gui Santos UNDER PR 21.5 (STANDARD) [id:10109909],Julian Strawther UNDER PTS 9.5 (STANDARD) [id:10109705],0,
3,Jonas Valančiūnas OVER PTS 4.5 (GOBLIN) [id:10110316] | Gui Santos UNDER PRA 24.5 (STANDARD) [id:10109910] | Evan Mobley OVER PR 18.5 (STANDARD) [id:10111148],0.5156327693455283,6.0,1.0,6.0,3.0937966160731696,6.0,atlas,0.8021696509087661,0.06564038281986333,Jonas Valančiūnas OVER PTS 4.5 (GOBLIN) [id:10110316] | Gui Santos UNDER PRA 24.5 (STANDARD) [id:10109910] | Evan Mobley OVER PR 18.5 (STANDARD) [id:10111148],0.0,0.024,0.0006564038281986333,0.024656403828198635,18.538123292610816,"['jonas valančiūnas', 'gui santos', 'evan mobley']",1,Jonas Valančiūnas OVER PTS 4.5 (GOBLIN) [id:10110316],Gui Santos UNDER PRA 24.5 (STANDARD) [id:10109910],Evan Mobley OVER PR 18.5 (STANDARD) [id:10111148],0,
