n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Andrew Nembhard OVER PRA 14.5 (GOBLIN) [id:10144855] | Josh Giddey OVER AST 4.5 (GOBLIN) [id:10141161] | Nickeil Alexander-Walker OVER PRA 25.5 (GOBLIN) [id:10137249] | Jalen Suggs OVER PR 14.5 (STANDARD) [id:10143649] | Jordan Miller UNDER PR 17.5 (STANDARD) [id:10133572],0.3754167033927043,20.0,0.4034343506031113,8.068687012062226,3.02911987877593,20.0,pp_kernel,0.8286328767123289,0.07541044426369355,Andrew Nembhard OVER PRA 14.5 (GOBLIN) [id:10144855] | Josh Giddey OVER AST 4.5 (GOBLIN) [id:10141161] | Nickeil Alexander-Walker OVER PRA 25.5 (GOBLIN) [id:10137249] | Jalen Suggs OVER PR 14.5 (STANDARD) [id:10143649] | Jordan Miller UNDER PR 17.5 (STANDARD) [id:10133572],0.0,0.096,0.0007541044426369355,0.09675410444263693,24.34426611941621,"['andrew nembhard', 'josh giddey', 'nickeil alexander-walker', 'jalen suggs', 'jordan miller']",24.44102022385885,1,Andrew Nembhard OVER PRA 14.5 (GOBLIN) [id:10144855],Josh Giddey OVER AST 4.5 (GOBLIN) [id:10141161],Nickeil Alexander-Walker OVER PRA 25.5 (GOBLIN) [id:10137249],Jalen Suggs OVER PR 14.5 (STANDARD) [id:10143649],Jordan Miller UNDER PR 17.5 (STANDARD) [id:10133572],0,
5,Andrew Nembhard OVER PR 9.5 (GOBLIN) [id:10144854] | Brandon Miller OVER PR 21.5 (GOBLIN) [id:10165801] | Dejounte Murray OVER FG3M 0.5 (GOBLIN) [id:10161456] | Kris Dunn UNDER PA 14.5 (STANDARD) [id:10163217] | Derrick Jones UNDER PRA 19.5 (STANDARD) [id:10133406],0.28347497802411886,20.0,0.4461586639916569,8.923173279833138,2.5294963494061036,20.0,pp_kernel,0.7835971085674945,0.07427937723848793,Andrew Nembhard OVER PR 9.5 (GOBLIN) [id:10144854] | Brandon Miller OVER PR 21.5 (GOBLIN) [id:10165801] | Dejounte Murray OVER FG3M 0.5 (GOBLIN) [id:10161456] | Kris Dunn UNDER PA 14.5 (STANDARD) [id:10163217] | Derrick Jones UNDER PRA 19.5 (STANDARD) [id:10133406],0.01,0.054,0.0007427937723848793,0.06474279377238489,22.506391442683626,"['andrew nembhard', 'brandon miller', 'dejounte murray', 'kris dunn', 'derrick jones']",22.57113423645601,1,Andrew Nembhard OVER PR 9.5 (GOBLIN) [id:10144854],Brandon Miller OVER PR 21.5 (GOBLIN) [id:10165801],Dejounte Murray OVER FG3M 0.5 (GOBLIN) [id:10161456],Kris Dunn UNDER PA 14.5 (STANDARD) [id:10163217],Derrick Jones UNDER PRA 19.5 (STANDARD) [id:10133406],0,
5,Paolo Banchero OVER PR 24.5 (GOBLIN) [id:10146735] | Wendell Carter OVER RA 7.5 (GOBLIN) [id:10151696] | Kon Knueppel OVER PA 17.5 (GOBLIN) [id:10165835] | Derrick Jones UNDER PR 18.5 (STANDARD) [id:10133405] | Jordan Miller UNDER PA 16.5 (STANDARD) [id:10166755],0.36296988243623696,20.0,0.39370531286304816,7.874106257260963,2.8580634224884496,20.0,pp_kernel,0.8190626537346265,0.08165964210728953,Paolo Banchero OVER PR 24.5 (GOBLIN) [id:10146735] | Wendell Carter OVER RA 7.5 (GOBLIN) [id:10151696] | Kon Knueppel OVER PA 17.5 (GOBLIN) [id:10165835] | Derrick Jones UNDER PR 18.5 (STANDARD) [id:10133405] | Jordan Miller UNDER PA 16.5 (STANDARD) [id:10166755],0.02,0.096,0.0008165964210728954,0.11681659642107291,22.38787848224391,"['paolo banchero', 'wendell carter', 'kon knueppel', 'derrick jones', 'jordan miller']",22.504695078664984,1,Paolo Banchero OVER PR 24.5 (GOBLIN) [id:10146735],Wendell Carter OVER RA 7.5 (GOBLIN) [id:10151696],Kon Knueppel OVER PA 17.5 (GOBLIN) [id:10165835],Derrick Jones UNDER PR 18.5 (STANDARD) [id:10133405],Jordan Miller UNDER PA 16.5 (STANDARD) [id:10166755],0,
5,Nickeil Alexander-Walker OVER PA 19.5 (GOBLIN) [id:10137803] | Josh Giddey OVER PRA 25.5 (GOBLIN) [id:10148212] | Dejounte Murray OVER PRA 19.5 (GOBLIN) [id:10142991] | Jonathan Isaac UNDER PR 6.5 (STANDARD) [id:10162545] | Marvin Bagley UNDER PA 16.5 (STANDARD) [id:10147875],0.37276364095576114,20.0,0.3872562666964905,7.74512533392981,2.8871011191343814,20.0,pp_kernel,0.8242973080720061,0.08197427012292295,Nickeil Alexander-Walker OVER PA 19.5 (GOBLIN) [id:10137803] | Josh Giddey OVER PRA 25.5 (GOBLIN) [id:10148212] | Dejounte Murray OVER PRA 19.5 (GOBLIN) [id:10142991] | Jonathan Isaac UNDER PR 6.5 (STANDARD) [id:10162545] | Marvin Bagley UNDER PA 16.5 (STANDARD) [id:10147875],0.0,0.096,0.0008197427012292296,0.09681974270122923,22.264140276723573,"['nickeil alexander-walker', 'josh giddey', 'dejounte murray', 'jonathan isaac', 'marvin bagley']",22.3609600194248,1,Nickeil Alexander-Walker OVER PA 19.5 (GOBLIN) [id:10137803],Josh Giddey OVER PRA 25.5 (GOBLIN) [id:10148212],Dejounte Murray OVER PRA 19.5 (GOBLIN) [id:10142991],Jonathan Isaac UNDER PR 6.5 (STANDARD) [id:10162545],Marvin Bagley UNDER PA 16.5 (STANDARD) [id:10147875],0,
5,Wendell Carter OVER PRA 14.5 (GOBLIN) [id:10147071] | Paolo Banchero OVER RA 9.5 (GOBLIN) [id:10162279] | Amen Thompson OVER REB 4.5 (GOBLIN) [id:10147425] | Jordan Miller UNDER PA 16.5 (STANDARD) [id:10166755] | Jarace Walker UNDER RA 11 (STANDARD) [id:10139920],0.4404607141078362,20.0,0.3551720727519261,7.103441455038522,3.1287868959094745,20.0,pp_kernel,0.8518591534169386,0.07577229764564647,Wendell Carter OVER PRA 14.5 (GOBLIN) [id:10147071] | Paolo Banchero OVER RA 9.5 (GOBLIN) [id:10162279] | Amen Thompson OVER REB 4.5 (GOBLIN) [id:10147425] | Jordan Miller UNDER PA 16.5 (STANDARD) [id:10166755] | Jarace Walker UNDER RA 11 (STANDARD) [id:10139920],0.01,0.054,0.0007577229764564647,0.06475772297645646,22.160396817408202,"['wendell carter', 'paolo banchero', 'amen thompson', 'jordan miller', 'jarace walker']",22.225154540384658,1,Wendell Carter OVER PRA 14.5 (GOBLIN) [id:10147071],Paolo Banchero OVER RA 9.5 (GOBLIN) [id:10162279],Amen Thompson OVER REB 4.5 (GOBLIN) [id:10147425],Jordan Miller UNDER PA 16.5 (STANDARD) [id:10166755],Jarace Walker UNDER RA 11 (STANDARD) [id:10139920],0,
5,Josh Giddey OVER PRA 25.5 (GOBLIN) [id:10148212] | Kon Knueppel OVER PA 20.5 (GOBLIN) [id:10146878] | Andrew Nembhard OVER PRA 14.5 (GOBLIN) [id:10144855] | Desmond Bane OVER PTS 19.5 (STANDARD) [id:10143598] | Paolo Banchero OVER PA 26.5 (STANDARD) [id:10143691],0.35117557495761026,20.0,0.39801333033022124,7.960266606604424,2.795451202390174,20.0,pp_kernel,0.8172082791720829,0.07089205674020964,Josh Giddey OVER PRA 25.5 (GOBLIN) [id:10148212] | Kon Knueppel OVER PA 20.5 (GOBLIN) [id:10146878] | Andrew Nembhard OVER PRA 14.5 (GOBLIN) [id:10144855] | Desmond Bane OVER PTS 19.5 (STANDARD) [id:10143598] | Paolo Banchero OVER PA 26.5 (STANDARD) [id:10143691],0.01,0.096,0.0007089205674020964,0.1067089205674021,22.145827936211283,"['josh giddey', 'kon knueppel', 'andrew nembhard', 'desmond bane', 'paolo banchero']",22.252536856778686,1,Josh Giddey OVER PRA 25.5 (GOBLIN) [id:10148212],Kon Knueppel OVER PA 20.5 (GOBLIN) [id:10146878],Andrew Nembhard OVER PRA 14.5 (GOBLIN) [id:10144855],Desmond Bane OVER PTS 19.5 (STANDARD) [id:10143598],Paolo Banchero OVER PA 26.5 (STANDARD) [id:10143691],0,
5,Josh Giddey OVER AST 4.5 (GOBLIN) [id:10141161] | Dejounte Murray OVER PTS 12.5 (GOBLIN) [id:10141900] | Desmond Bane OVER RA 5.5 (GOBLIN) [id:10144018] | Kon Knueppel OVER PRA 26.5 (STANDARD) [id:10140041] | Jordan Miller UNDER PR 17.5 (STANDARD) [id:10133572],0.3840167240760833,20.0,0.3788904993535742,7.577809987071484,2.9100057669062185,20.0,pp_kernel,0.8295777610377403,0.0670518232530695,Josh Giddey OVER AST 4.5 (GOBLIN) [id:10141161] | Dejounte Murray OVER PTS 12.5 (GOBLIN) [id:10141900] | Desmond Bane OVER RA 5.5 (GOBLIN) [id:10144018] | Kon Knueppel OVER PRA 26.5 (STANDARD) [id:10140041] | Jordan Miller UNDER PR 17.5 (STANDARD) [id:10133572],0.0,0.096,0.000670518232530695,0.0966705182325307,21.954800244665023,"['josh giddey', 'dejounte murray', 'desmond bane', 'kon knueppel', 'jordan miller']",22.051470762897555,1,Josh Giddey OVER AST 4.5 (GOBLIN) [id:10141161],Dejounte Murray OVER PTS 12.5 (GOBLIN) [id:10141900],Desmond Bane OVER RA 5.5 (GOBLIN) [id:10144018],Kon Knueppel OVER PRA 26.5 (STANDARD) [id:10140041],Jordan Miller UNDER PR 17.5 (STANDARD) [id:10133572],0,
5,Nickeil Alexander-Walker OVER PA 19.5 (GOBLIN) [id:10137803] | Anthony Black OVER PR 14.5 (GOBLIN) [id:10146726] | Desmond Bane OVER PA 18.5 (GOBLIN) [id:10162262] | Wendell Carter OVER PR 17.5 (STANDARD) [id:10143734] | Marvin Bagley UNDER PA 16.5 (STANDARD) [id:10147875],0.34505623339115016,20.0,0.3946429497199925,7.89285899439985,2.7234801952950733,20.0,pp_kernel,0.8113415658434157,0.0803341361575359,Nickeil Alexander-Walker OVER PA 19.5 (GOBLIN) [id:10137803] | Anthony Black OVER PR 14.5 (GOBLIN) [id:10146726] | Desmond Bane OVER PA 18.5 (GOBLIN) [id:10162262] | Wendell Carter OVER PR 17.5 (STANDARD) [id:10143734] | Marvin Bagley UNDER PA 16.5 (STANDARD) [id:10147875],0.04,0.096,0.000803341361575359,0.13680334136157538,21.359241814143004,"['nickeil alexander-walker', 'anthony black', 'desmond bane', 'wendell carter', 'marvin bagley']",21.49604515550458,1,Nickeil Alexander-Walker OVER PA 19.5 (GOBLIN) [id:10137803],Anthony Black OVER PR 14.5 (GOBLIN) [id:10146726],Desmond Bane OVER PA 18.5 (GOBLIN) [id:10162262],Wendell Carter OVER PR 17.5 (STANDARD) [id:10143734],Marvin Bagley UNDER PA 16.5 (STANDARD) [id:10147875],0,
5,Desmond Bane OVER RA 5.5 (GOBLIN) [id:10144018] | Paolo Banchero OVER PR 24.5 (GOBLIN) [id:10146735] | Isaac Okoro OVER AST 0.5 (GOBLIN) [id:10140311] | Kam Jones UNDER RA 7 (STANDARD) [id:10140006] | Jonathan Isaac UNDER PR 6.5 (STANDARD) [id:10162545],0.31680498555411113,20.0,0.41066611313735896,8.213322262747178,2.602021440800879,20.0,pp_kernel,0.7972774722527747,0.07449008274098615,Desmond Bane OVER RA 5.5 (GOBLIN) [id:10144018] | Paolo Banchero OVER PR 24.5 (GOBLIN) [id:10146735] | Isaac Okoro OVER AST 0.5 (GOBLIN) [id:10140311] | Kam Jones UNDER RA 7 (STANDARD) [id:10140006] | Jonathan Isaac UNDER PR 6.5 (STANDARD) [id:10162545],0.04,0.096,0.0007449008274098615,0.13674490082740987,21.234495727047943,"['desmond bane', 'paolo banchero', 'isaac okoro', 'kam jones', 'jonathan isaac']",21.371240627875352,1,Desmond Bane OVER RA 5.5 (GOBLIN) [id:10144018],Paolo Banchero OVER PR 24.5 (GOBLIN) [id:10146735],Isaac Okoro OVER AST 0.5 (GOBLIN) [id:10140311],Kam Jones UNDER RA 7 (STANDARD) [id:10140006],Jonathan Isaac UNDER PR 6.5 (STANDARD) [id:10162545],0,
5,Andrew Nembhard OVER PRA 14.5 (GOBLIN) [id:10144855] | Anthony Black OVER PTS 13.5 (GOBLIN) [id:10143963] | Jalen Suggs OVER PR 11.5 (GOBLIN) [id:10148633] | Dyson Daniels UNDER PA 19.5 (STANDARD) [id:10136411] | Stephon Castle OVER PA 21.5 (STANDARD) [id:10143305],0.14682677859449908,20.0,0.5923494813900225,11.84698962780045,1.7394553230923837,20.0,pp_kernel,0.7034351786392112,0.07296327792663092,Andrew Nembhard OVER PRA 14.5 (GOBLIN) [id:10144855] | Anthony Black OVER PTS 13.5 (GOBLIN) [id:10143963] | Jalen Suggs OVER PR 11.5 (GOBLIN) [id:10148633] | Dyson Daniels UNDER PA 19.5 (STANDARD) [id:10136411] | Stephon Castle OVER PA 21.5 (STANDARD) [id:10143305],0.01,0.096,0.0007296327792663092,0.10672963277926631,20.500579537918483,"['andrew nembhard', 'anthony black', 'jalen suggs', 'dyson daniels', 'stephon castle']",20.60730917069775,1,Andrew Nembhard OVER PRA 14.5 (GOBLIN) [id:10144855],Anthony Black OVER PTS 13.5 (GOBLIN) [id:10143963],Jalen Suggs OVER PR 11.5 (GOBLIN) [id:10148633],Dyson Daniels UNDER PA 19.5 (STANDARD) [id:10136411],Stephon Castle OVER PA 21.5 (STANDARD) [id:10143305],0,
