n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Jaime Jaquez OVER PA 14.5 (GOBLIN) [id:10200160] | Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10198034] | Jrue Holiday OVER REB 2.5 (GOBLIN) [id:10198025] | Kel'el Ware OVER PR 15.5 (STANDARD) [id:10201698] | Grant Williams OVER PRA 11.5 (STANDARD) [id:10201126],0.2790759249546485,20.0,0.4415382890046259,8.830765780092518,2.4644541281371777,20.0,pp_kernel,0.7791864585600367,0.06293337378037384,Jaime Jaquez OVER PA 14.5 (GOBLIN) [id:10200160] | Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10198034] | Jrue Holiday OVER REB 2.5 (GOBLIN) [id:10198025] | Kel'el Ware OVER PR 15.5 (STANDARD) [id:10201698] | Grant Williams OVER PRA 11.5 (STANDARD) [id:10201126],0.02,0.03,0.0006293337378037384,0.05062933373780374,21.712387847623727,"['jaime jaquez', 'ryan kalkbrenner', 'jrue holiday', ""kel'el ware"", 'grant williams']",21.76301718136153,1,Jaime Jaquez OVER PA 14.5 (GOBLIN) [id:10200160],Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10198034],Jrue Holiday OVER REB 2.5 (GOBLIN) [id:10198025],Kel'el Ware OVER PR 15.5 (STANDARD) [id:10201698],Grant Williams OVER PRA 11.5 (STANDARD) [id:10201126],0,
5,Donovan Clingan OVER PRA 24.5 (GOBLIN) [id:10200657] | Brandon Miller OVER PR 19.5 (GOBLIN) [id:10206457] | Coby White OVER PTS 7.5 (GOBLIN) [id:10200883] | Grant Williams OVER PA 7.5 (STANDARD) [id:10201124] | Toumani Camara OVER RA 7.5 (STANDARD) [id:10192933],0.23628316246038902,20.0,0.47806375654577743,9.561275130915549,2.259168325086596,20.0,pp_kernel,0.7548942075337127,0.06860701604186245,Donovan Clingan OVER PRA 24.5 (GOBLIN) [id:10200657] | Brandon Miller OVER PR 19.5 (GOBLIN) [id:10206457] | Coby White OVER PTS 7.5 (GOBLIN) [id:10200883] | Grant Williams OVER PA 7.5 (STANDARD) [id:10201124] | Toumani Camara OVER RA 7.5 (STANDARD) [id:10192933],0.05,0.096,0.0006860701604186246,0.14668607016041865,21.453843853042187,"['donovan clingan', 'brandon miller', 'coby white', 'grant williams', 'toumani camara']",21.600529923202604,1,Donovan Clingan OVER PRA 24.5 (GOBLIN) [id:10200657],Brandon Miller OVER PR 19.5 (GOBLIN) [id:10206457],Coby White OVER PTS 7.5 (GOBLIN) [id:10200883],Grant Williams OVER PA 7.5 (STANDARD) [id:10201124],Toumani Camara OVER RA 7.5 (STANDARD) [id:10192933],0,
5,Kon Knueppel OVER PA 18.5 (GOBLIN) [id:10207110] | Tyler Herro OVER PTS 15.5 (GOBLIN) [id:10198865] | Jerami Grant OVER PTS 14.5 (GOBLIN) [id:10198014] | Toumani Camara OVER RA 7.5 (STANDARD) [id:10192933] | Jrue Holiday OVER PRA 28.5 (STANDARD) [id:10192800],0.2166084008569359,20.0,0.5008331367895911,10.016662735791822,2.169693297123127,20.0,pp_kernel,0.742935706429357,0.06279404575524519,Kon Knueppel OVER PA 18.5 (GOBLIN) [id:10207110] | Tyler Herro OVER PTS 15.5 (GOBLIN) [id:10198865] | Jerami Grant OVER PTS 14.5 (GOBLIN) [id:10198014] | Toumani Camara OVER RA 7.5 (STANDARD) [id:10192933] | Jrue Holiday OVER PRA 28.5 (STANDARD) [id:10192800],0.04,0.096,0.000627940457552452,0.13662794045755247,21.59645805693297,"['kon knueppel', 'tyler herro', 'jerami grant', 'toumani camara', 'jrue holiday']",21.73308599739052,1,Kon Knueppel OVER PA 18.5 (GOBLIN) [id:10207110],Tyler Herro OVER PTS 15.5 (GOBLIN) [id:10198865],Jerami Grant OVER PTS 14.5 (GOBLIN) [id:10198014],Toumani Camara OVER RA 7.5 (STANDARD) [id:10192933],Jrue Holiday OVER PRA 28.5 (STANDARD) [id:10192800],0,
5,Sion James OVER RA 3.5 (GOBLIN) [id:10193681] | Bam Adebayo OVER REB 6.5 (GOBLIN) [id:10207049] | Scoot Henderson OVER RA 5.5 (GOBLIN) [id:10207122] | Toumani Camara OVER RA 7.5 (STANDARD) [id:10192933] | Jrue Holiday OVER PRA 28.5 (STANDARD) [id:10192800],0.21321802405805607,20.0,0.5023218892778922,10.046437785557846,2.1420816134588363,20.0,pp_kernel,0.7406959304069594,0.07046197039637192,Sion James OVER RA 3.5 (GOBLIN) [id:10193681] | Bam Adebayo OVER REB 6.5 (GOBLIN) [id:10207049] | Scoot Henderson OVER RA 5.5 (GOBLIN) [id:10207122] | Toumani Camara OVER RA 7.5 (STANDARD) [id:10192933] | Jrue Holiday OVER PRA 28.5 (STANDARD) [id:10192800],0.04,0.054,0.0007046197039637192,0.09470461970396372,21.4255850414976,"['sion james', 'bam adebayo', 'scoot henderson', 'toumani camara', 'jrue holiday']",21.520289661201566,1,Sion James OVER RA 3.5 (GOBLIN) [id:10193681],Bam Adebayo OVER REB 6.5 (GOBLIN) [id:10207049],Scoot Henderson OVER RA 5.5 (GOBLIN) [id:10207122],Toumani Camara OVER RA 7.5 (STANDARD) [id:10192933],Jrue Holiday OVER PRA 28.5 (STANDARD) [id:10192800],0,
5,Keyonte George OVER REB 1.5 (GOBLIN) [id:10195237] | Scoot Henderson OVER REB 1.5 (GOBLIN) [id:10207045] | Grant Williams OVER PA 4.5 (GOBLIN) [id:10201170] | Kon Knueppel OVER PTS 20 (STANDARD) [id:10193506] | Donovan Clingan OVER PRA 28.5 (STANDARD) [id:10192714],0.2240908692701322,20.0,0.48266173583913996,9.6532347167828,2.163201758952476,20.0,pp_kernel,0.7484437614902751,0.05933220970012831,Keyonte George OVER REB 1.5 (GOBLIN) [id:10195237] | Scoot Henderson OVER REB 1.5 (GOBLIN) [id:10207045] | Grant Williams OVER PA 4.5 (GOBLIN) [id:10201170] | Kon Knueppel OVER PTS 20 (STANDARD) [id:10193506] | Donovan Clingan OVER PRA 28.5 (STANDARD) [id:10192714],0.02,0.03,0.0005933220970012832,0.050593322097001285,20.83130099682866,"['keyonte george', 'scoot henderson', 'grant williams', 'kon knueppel', 'donovan clingan']",20.88189431892566,1,Keyonte George OVER REB 1.5 (GOBLIN) [id:10195237],Scoot Henderson OVER REB 1.5 (GOBLIN) [id:10207045],Grant Williams OVER PA 4.5 (GOBLIN) [id:10201170],Kon Knueppel OVER PTS 20 (STANDARD) [id:10193506],Donovan Clingan OVER PRA 28.5 (STANDARD) [id:10192714],0,
5,Jaime Jaquez OVER REB 2.5 (GOBLIN) [id:10206806] | Bam Adebayo OVER PRA 24.5 (GOBLIN) [id:10201178] | Brandon Miller OVER PR 19.5 (GOBLIN) [id:10206457] | Toumani Camara OVER RA 7.5 (STANDARD) [id:10192933] | Zion Williamson UNDER PRA 35.5 (STANDARD) [id:10195354],0.2569334229395641,20.0,0.45034551911347687,9.006910382269538,2.3141763146264105,20.0,pp_kernel,0.7698242920072168,0.07071734166460633,Jaime Jaquez OVER REB 2.5 (GOBLIN) [id:10206806] | Bam Adebayo OVER PRA 24.5 (GOBLIN) [id:10201178] | Brandon Miller OVER PR 19.5 (GOBLIN) [id:10206457] | Toumani Camara OVER RA 7.5 (STANDARD) [id:10192933] | Zion Williamson UNDER PRA 35.5 (STANDARD) [id:10195354],0.01,0.054,0.0007071734166460633,0.06470717341664606,20.778871501194228,"['jaime jaquez', 'bam adebayo', 'brandon miller', 'toumani camara', 'zion williamson']",20.843578674610875,1,Jaime Jaquez OVER REB 2.5 (GOBLIN) [id:10206806],Bam Adebayo OVER PRA 24.5 (GOBLIN) [id:10201178],Brandon Miller OVER PR 19.5 (GOBLIN) [id:10206457],Toumani Camara OVER RA 7.5 (STANDARD) [id:10192933],Zion Williamson UNDER PRA 35.5 (STANDARD) [id:10195354],0,
5,Jaime Jaquez OVER PA 13.5 (GOBLIN) [id:10206804] | Bam Adebayo OVER PRA 24.5 (GOBLIN) [id:10201178] | Kon Knueppel OVER PA 18.5 (GOBLIN) [id:10207110] | Scoot Henderson UNDER PA 21.5 (STANDARD) [id:10192878] | Coby White OVER RA 5.5 (STANDARD) [id:10193438],0.2886360175055309,20.0,0.42508263319937645,8.501652663987528,2.4538831671486476,20.0,pp_kernel,0.7867514502220632,0.0762394726944767,Jaime Jaquez OVER PA 13.5 (GOBLIN) [id:10206804] | Bam Adebayo OVER PRA 24.5 (GOBLIN) [id:10201178] | Kon Knueppel OVER PA 18.5 (GOBLIN) [id:10207110] | Scoot Henderson UNDER PA 21.5 (STANDARD) [id:10192878] | Coby White OVER RA 5.5 (STANDARD) [id:10193438],0.02,0.096,0.000762394726944767,0.11676239472694477,20.745299970376507,"['jaime jaquez', 'bam adebayo', 'kon knueppel', 'scoot henderson', 'coby white']",20.86206236510345,1,Jaime Jaquez OVER PA 13.5 (GOBLIN) [id:10206804],Bam Adebayo OVER PRA 24.5 (GOBLIN) [id:10201178],Kon Knueppel OVER PA 18.5 (GOBLIN) [id:10207110],Scoot Henderson UNDER PA 21.5 (STANDARD) [id:10192878],Coby White OVER RA 5.5 (STANDARD) [id:10193438],0,
5,Grant Williams OVER RA 3.5 (GOBLIN) [id:10193809] | Davion Mitchell OVER PTS 4.5 (GOBLIN) [id:10198575] | Kel'el Ware OVER PR 13.5 (GOBLIN) [id:10203896] | Donovan Clingan OVER PRA 28.5 (STANDARD) [id:10192714] | Scoot Henderson UNDER PA 21.5 (STANDARD) [id:10192878],0.22865519655671718,20.0,0.47630943640904155,9.52618872818083,2.1782125560785714,20.0,pp_kernel,0.7488515748425157,0.07117505496638803,Grant Williams OVER RA 3.5 (GOBLIN) [id:10193809] | Davion Mitchell OVER PTS 4.5 (GOBLIN) [id:10198575] | Kel'el Ware OVER PR 13.5 (GOBLIN) [id:10203896] | Donovan Clingan OVER PRA 28.5 (STANDARD) [id:10192714] | Scoot Henderson UNDER PA 21.5 (STANDARD) [id:10192878],0.02,0.096,0.0007117505496638803,0.11671175054966389,20.633352148747978,"['grant williams', 'davion mitchell', ""kel'el ware"", 'donovan clingan', 'scoot henderson']",20.750063899297643,1,Grant Williams OVER RA 3.5 (GOBLIN) [id:10193809],Davion Mitchell OVER PTS 4.5 (GOBLIN) [id:10198575],Kel'el Ware OVER PR 13.5 (GOBLIN) [id:10203896],Donovan Clingan OVER PRA 28.5 (STANDARD) [id:10192714],Scoot Henderson UNDER PA 21.5 (STANDARD) [id:10192878],0,
5,Tyler Herro OVER PR 19.5 (GOBLIN) [id:10200175] | Andrew Wiggins OVER PTS 11.5 (GOBLIN) [id:10200136] | Kyshawn George OVER PTS 7.5 (GOBLIN) [id:10200278] | Donovan Clingan OVER PRA 28.5 (STANDARD) [id:10192714] | Jaime Jaquez OVER RA 8 (STANDARD) [id:10198627],0.19969078971020882,20.0,0.5010619888772646,10.021239777545292,2.0011492850533767,20.0,pp_kernel,0.7293417241229954,0.06437273856669694,Tyler Herro OVER PR 19.5 (GOBLIN) [id:10200175] | Andrew Wiggins OVER PTS 11.5 (GOBLIN) [id:10200136] | Kyshawn George OVER PTS 7.5 (GOBLIN) [id:10200278] | Donovan Clingan OVER PRA 28.5 (STANDARD) [id:10192714] | Jaime Jaquez OVER RA 8 (STANDARD) [id:10198627],0.04,0.096,0.0006437273856669694,0.136643727385667,19.91735308879755,"['tyler herro', 'andrew wiggins', 'kyshawn george', 'donovan clingan', 'jaime jaquez']",20.05399681618322,1,Tyler Herro OVER PR 19.5 (GOBLIN) [id:10200175],Andrew Wiggins OVER PTS 11.5 (GOBLIN) [id:10200136],Kyshawn George OVER PTS 7.5 (GOBLIN) [id:10200278],Donovan Clingan OVER PRA 28.5 (STANDARD) [id:10192714],Jaime Jaquez OVER RA 8 (STANDARD) [id:10198627],0,
5,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10198034] | Vít Krejčí OVER AST 0.5 (GOBLIN) [id:10193690] | Kristaps Porziņģis OVER PTS 9.5 (GOBLIN) [id:10192369] | Jrue Holiday OVER PRA 28.5 (STANDARD) [id:10192800] | Bam Adebayo OVER PR 28.5 (STANDARD) [id:10198534],0.1982799425417871,20.0,0.4999856574522184,9.999713149044368,1.9827425486268702,20.0,pp_kernel,0.7286711865573794,0.05712428723939188,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10198034] | Vít Krejčí OVER AST 0.5 (GOBLIN) [id:10193690] | Kristaps Porziņģis OVER PTS 9.5 (GOBLIN) [id:10192369] | Jrue Holiday OVER PRA 28.5 (STANDARD) [id:10192800] | Bam Adebayo OVER PR 28.5 (STANDARD) [id:10198534],0.01,0.054,0.0005712428723939187,0.06457124287239392,19.762285491801464,"['ryan kalkbrenner', 'vít krejčí', 'kristaps porziņģis', 'jrue holiday', 'bam adebayo']",19.826856734673857,1,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10198034],Vít Krejčí OVER AST 0.5 (GOBLIN) [id:10193690],Kristaps Porziņģis OVER PTS 9.5 (GOBLIN) [id:10192369],Jrue Holiday OVER PRA 28.5 (STANDARD) [id:10192800],Bam Adebayo OVER PR 28.5 (STANDARD) [id:10198534],0,
