n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Jalen Suggs OVER PTS 5.5 (GOBLIN) [id:10216118] | Onyeka Okongwu OVER PRA 19.5 (GOBLIN) [id:10228573] | Kobe Brown UNDER PRA 20.5 (STANDARD) [id:10217859] | Tristan Silva UNDER REB 4 (STANDARD) [id:10228308] | Anthony Black OVER AST 3.5 (DEMON) [id:10228574],0.44294839589093427,20.0,1.0,20.0,8.858967917818685,20.0,atlas,0.8570300439227843,0.05792482865245724,Jalen Suggs OVER PTS 5.5 (GOBLIN) [id:10216118] | Onyeka Okongwu OVER PRA 19.5 (GOBLIN) [id:10228573] | Kobe Brown UNDER PRA 20.5 (STANDARD) [id:10217859] | Tristan Silva UNDER REB 4 (STANDARD) [id:10228308] | Anthony Black OVER AST 3.5 (DEMON) [id:10228574],0.04,0.054,0.0005792482865245724,0.09457924828652457,177.0847791080872,"['jalen suggs', 'onyeka okongwu', 'kobe brown', 'tristan silva', 'anthony black']",1,Jalen Suggs OVER PTS 5.5 (GOBLIN) [id:10216118],Onyeka Okongwu OVER PRA 19.5 (GOBLIN) [id:10228573],Kobe Brown UNDER PRA 20.5 (STANDARD) [id:10217859],Tristan Silva UNDER REB 4 (STANDARD) [id:10228308],Anthony Black OVER AST 3.5 (DEMON) [id:10228574],0,
5,Wendell Carter OVER PA 7.5 (GOBLIN) [id:10219061] | Josh Giddey OVER AST 4.5 (GOBLIN) [id:10216316] | Paolo Banchero OVER PR 28.5 (STANDARD) [id:10216124] | Tristan Silva UNDER FG3M 1.5 (STANDARD) [id:10212715] | Jalen Suggs OVER PRA 19.5 (DEMON) [id:10215980],0.4263784526905988,20.0,1.0,20.0,8.527569053811977,20.0,atlas,0.849533485913778,0.06379398840107363,Wendell Carter OVER PA 7.5 (GOBLIN) [id:10219061] | Josh Giddey OVER AST 4.5 (GOBLIN) [id:10216316] | Paolo Banchero OVER PR 28.5 (STANDARD) [id:10216124] | Tristan Silva UNDER FG3M 1.5 (STANDARD) [id:10212715] | Jalen Suggs OVER PRA 19.5 (DEMON) [id:10215980],0.09,0.054,0.0006379398840107363,0.14463793988401072,170.40674313635552,"['wendell carter', 'josh giddey', 'paolo banchero', 'tristan silva', 'jalen suggs']",1,Wendell Carter OVER PA 7.5 (GOBLIN) [id:10219061],Josh Giddey OVER AST 4.5 (GOBLIN) [id:10216316],Paolo Banchero OVER PR 28.5 (STANDARD) [id:10216124],Tristan Silva UNDER FG3M 1.5 (STANDARD) [id:10212715],Jalen Suggs OVER PRA 19.5 (DEMON) [id:10215980],0,
5,Josh Giddey OVER REB 4.5 (GOBLIN) [id:10216199] | T.J. McConnell OVER PA 9.5 (GOBLIN) [id:10229873] | Kobe Brown UNDER PR 17.5 (STANDARD) [id:10217857] | Guerschon Yabusele UNDER PA 11.5 (STANDARD) [id:10213934] | Jalen Suggs OVER PRA 19.5 (DEMON) [id:10215980],0.42066033414151394,20.0,1.0,20.0,8.413206682830278,20.0,atlas,0.8440120387961203,0.07317373926575008,Josh Giddey OVER REB 4.5 (GOBLIN) [id:10216199] | T.J. McConnell OVER PA 9.5 (GOBLIN) [id:10229873] | Kobe Brown UNDER PR 17.5 (STANDARD) [id:10217857] | Guerschon Yabusele UNDER PA 11.5 (STANDARD) [id:10213934] | Jalen Suggs OVER PRA 19.5 (DEMON) [id:10215980],0.02,0.054,0.0007317373926575008,0.0747317373926575,168.1894019192129,"['josh giddey', 't.j. mcconnell', 'kobe brown', 'guerschon yabusele', 'jalen suggs']",1,Josh Giddey OVER REB 4.5 (GOBLIN) [id:10216199],T.J. McConnell OVER PA 9.5 (GOBLIN) [id:10229873],Kobe Brown UNDER PR 17.5 (STANDARD) [id:10217857],Guerschon Yabusele UNDER PA 11.5 (STANDARD) [id:10213934],Jalen Suggs OVER PRA 19.5 (DEMON) [id:10215980],0,
5,Paolo Banchero OVER PRA 29.5 (GOBLIN) [id:10216128] | Tre Jones OVER PTS 7.5 (GOBLIN) [id:10216442] | Tristan Silva UNDER REB 4 (STANDARD) [id:10228308] | Kobe Brown UNDER PR 17.5 (STANDARD) [id:10217857] | Anthony Black OVER PRA 22.5 (DEMON) [id:10217047],0.411774613325894,20.0,1.0,20.0,8.23549226651788,20.0,atlas,0.844284645261053,0.06300838743964468,Paolo Banchero OVER PRA 29.5 (GOBLIN) [id:10216128] | Tre Jones OVER PTS 7.5 (GOBLIN) [id:10216442] | Tristan Silva UNDER REB 4 (STANDARD) [id:10228308] | Kobe Brown UNDER PR 17.5 (STANDARD) [id:10217857] | Anthony Black OVER PRA 22.5 (DEMON) [id:10217047],0.04,0.054,0.0006300838743964468,0.09463008387439645,164.61521524648322,"['paolo banchero', 'tre jones', 'tristan silva', 'kobe brown', 'anthony black']",1,Paolo Banchero OVER PRA 29.5 (GOBLIN) [id:10216128],Tre Jones OVER PTS 7.5 (GOBLIN) [id:10216442],Tristan Silva UNDER REB 4 (STANDARD) [id:10228308],Kobe Brown UNDER PR 17.5 (STANDARD) [id:10217857],Anthony Black OVER PRA 22.5 (DEMON) [id:10217047],0,
5,T.J. McConnell OVER PTS 4.5 (GOBLIN) [id:10218014] | Josh Giddey OVER RA 11.5 (GOBLIN) [id:10220306] | Kobe Brown UNDER PR 17.5 (STANDARD) [id:10217857] | Guerschon Yabusele UNDER PR 16.5 (STANDARD) [id:10213384] | Onyeka Okongwu OVER PR 24.5 (DEMON) [id:10222908],0.40278831546969684,20.0,1.0,20.0,8.055766309393936,20.0,atlas,0.8423212478752123,0.07173118657000058,T.J. McConnell OVER PTS 4.5 (GOBLIN) [id:10218014] | Josh Giddey OVER RA 11.5 (GOBLIN) [id:10220306] | Kobe Brown UNDER PR 17.5 (STANDARD) [id:10217857] | Guerschon Yabusele UNDER PR 16.5 (STANDARD) [id:10213384] | Onyeka Okongwu OVER PR 24.5 (DEMON) [id:10222908],0.02,0.096,0.0007173118657000058,0.11671731186570002,160.99860887601304,"['t.j. mcconnell', 'josh giddey', 'kobe brown', 'guerschon yabusele', 'onyeka okongwu']",1,T.J. McConnell OVER PTS 4.5 (GOBLIN) [id:10218014],Josh Giddey OVER RA 11.5 (GOBLIN) [id:10220306],Kobe Brown UNDER PR 17.5 (STANDARD) [id:10217857],Guerschon Yabusele UNDER PR 16.5 (STANDARD) [id:10213384],Onyeka Okongwu OVER PR 24.5 (DEMON) [id:10222908],0,
5,Evan Mobley OVER AST 1.5 (GOBLIN) [id:10220952] | CJ McCollum OVER PTS 14.5 (GOBLIN) [id:10221289] | Tristan Silva UNDER FG3M 1.5 (STANDARD) [id:10212715] | Jarace Walker UNDER PR 26.5 (STANDARD) [id:10217694] | Desmond Bane OVER PRA 29.5 (DEMON) [id:10215965],0.39590560943105574,20.0,1.0,20.0,7.918112188621115,20.0,atlas,0.8361396712951688,0.0583395340983359,Evan Mobley OVER AST 1.5 (GOBLIN) [id:10220952] | CJ McCollum OVER PTS 14.5 (GOBLIN) [id:10221289] | Tristan Silva UNDER FG3M 1.5 (STANDARD) [id:10212715] | Jarace Walker UNDER PR 26.5 (STANDARD) [id:10217694] | Desmond Bane OVER PRA 29.5 (DEMON) [id:10215965],0.01,0.054,0.0005833953409833591,0.06458339534098335,158.2976603770813,"['evan mobley', 'cj mccollum', 'tristan silva', 'jarace walker', 'desmond bane']",1,Evan Mobley OVER AST 1.5 (GOBLIN) [id:10220952],CJ McCollum OVER PTS 14.5 (GOBLIN) [id:10221289],Tristan Silva UNDER FG3M 1.5 (STANDARD) [id:10212715],Jarace Walker UNDER PR 26.5 (STANDARD) [id:10217694],Desmond Bane OVER PRA 29.5 (DEMON) [id:10215965],0,
5,Tim Hardaway OVER PR 9.5 (GOBLIN) [id:10225079] | CJ McCollum OVER PTS 14.5 (GOBLIN) [id:10221289] | Jarace Walker UNDER PRA 29.5 (STANDARD) [id:10217696] | Devin Carter UNDER PR 15.5 (STANDARD) [id:10223697] | Josh Giddey OVER PRA 32.5 (DEMON) [id:10213466],0.3749598088089855,20.0,1.0,20.0,7.49919617617971,20.0,atlas,0.8240609058268517,0.07194567522765345,Tim Hardaway OVER PR 9.5 (GOBLIN) [id:10225079] | CJ McCollum OVER PTS 14.5 (GOBLIN) [id:10221289] | Jarace Walker UNDER PRA 29.5 (STANDARD) [id:10217696] | Devin Carter UNDER PR 15.5 (STANDARD) [id:10223697] | Josh Giddey OVER PRA 32.5 (DEMON) [id:10213466],0.0,0.096,0.0007194567522765345,0.09671945675227654,149.88720406684192,"['tim hardaway', 'cj mccollum', 'jarace walker', 'devin carter', 'josh giddey']",1,Tim Hardaway OVER PR 9.5 (GOBLIN) [id:10225079],CJ McCollum OVER PTS 14.5 (GOBLIN) [id:10221289],Jarace Walker UNDER PRA 29.5 (STANDARD) [id:10217696],Devin Carter UNDER PR 15.5 (STANDARD) [id:10223697],Josh Giddey OVER PRA 32.5 (DEMON) [id:10213466],0,
5,T.J. McConnell OVER PA 9.5 (GOBLIN) [id:10229873] | Paolo Banchero OVER PRA 29.5 (GOBLIN) [id:10216128] | Guerschon Yabusele UNDER PR 16.5 (STANDARD) [id:10213384] | GG Jackson UNDER PTS 16.5 (STANDARD) [id:10217646] | Jalen Suggs OVER PRA 19.5 (DEMON) [id:10215980],0.34620817556002553,20.0,1.0,20.0,6.92416351120051,20.0,atlas,0.8108602596572576,0.07366906165609449,T.J. McConnell OVER PA 9.5 (GOBLIN) [id:10229873] | Paolo Banchero OVER PRA 29.5 (GOBLIN) [id:10216128] | Guerschon Yabusele UNDER PR 16.5 (STANDARD) [id:10213384] | GG Jackson UNDER PTS 16.5 (STANDARD) [id:10217646] | Jalen Suggs OVER PRA 19.5 (DEMON) [id:10215980],0.01,0.096,0.0007366906165609449,0.10673669061656094,138.37653353339365,"['t.j. mcconnell', 'paolo banchero', 'guerschon yabusele', 'gg jackson', 'jalen suggs']",1,T.J. McConnell OVER PA 9.5 (GOBLIN) [id:10229873],Paolo Banchero OVER PRA 29.5 (GOBLIN) [id:10216128],Guerschon Yabusele UNDER PR 16.5 (STANDARD) [id:10213384],GG Jackson UNDER PTS 16.5 (STANDARD) [id:10217646],Jalen Suggs OVER PRA 19.5 (DEMON) [id:10215980],0,
5,Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10226481] | Desmond Bane OVER PTS 14.5 (GOBLIN) [id:10212683] | Rob Dillingham UNDER AST 4 (STANDARD) [id:10228340] | Guerschon Yabusele UNDER PR 16.5 (STANDARD) [id:10213384] | Onyeka Okongwu OVER PRA 27.5 (DEMON) [id:10221633],0.33206275744140684,20.0,1.0,20.0,6.641255148828137,20.0,atlas,0.8061983982694336,0.06345248027910835,Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10226481] | Desmond Bane OVER PTS 14.5 (GOBLIN) [id:10212683] | Rob Dillingham UNDER AST 4 (STANDARD) [id:10228340] | Guerschon Yabusele UNDER PR 16.5 (STANDARD) [id:10213384] | Onyeka Okongwu OVER PRA 27.5 (DEMON) [id:10221633],0.01,0.096,0.0006345248027910835,0.10663452480279108,132.71846845175995,"['dejounte murray', 'desmond bane', 'rob dillingham', 'guerschon yabusele', 'onyeka okongwu']",1,Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10226481],Desmond Bane OVER PTS 14.5 (GOBLIN) [id:10212683],Rob Dillingham UNDER AST 4 (STANDARD) [id:10228340],Guerschon Yabusele UNDER PR 16.5 (STANDARD) [id:10213384],Onyeka Okongwu OVER PRA 27.5 (DEMON) [id:10221633],0,
5,Onyeka Okongwu OVER RA 7.5 (GOBLIN) [id:10223757] | Desmond Bane OVER PTS 14.5 (GOBLIN) [id:10212683] | Devin Carter UNDER PA 15.5 (STANDARD) [id:10223600] | Jarace Walker UNDER PRA 29.5 (STANDARD) [id:10217696] | Harrison Barnes OVER AST 1.5 (DEMON) [id:10231045],0.31856888659507954,20.0,1.0,20.0,6.371377731901591,20.0,atlas,0.8036874426854558,0.0658169978221842,Onyeka Okongwu OVER RA 7.5 (GOBLIN) [id:10223757] | Desmond Bane OVER PTS 14.5 (GOBLIN) [id:10212683] | Devin Carter UNDER PA 15.5 (STANDARD) [id:10223600] | Jarace Walker UNDER PRA 29.5 (STANDARD) [id:10217696] | Harrison Barnes OVER AST 1.5 (DEMON) [id:10231045],0.0,0.096,0.000658169978221842,0.09665816997822184,127.33089646805358,"['onyeka okongwu', 'desmond bane', 'devin carter', 'jarace walker', 'harrison barnes']",1,Onyeka Okongwu OVER RA 7.5 (GOBLIN) [id:10223757],Desmond Bane OVER PTS 14.5 (GOBLIN) [id:10212683],Devin Carter UNDER PA 15.5 (STANDARD) [id:10223600],Jarace Walker UNDER PRA 29.5 (STANDARD) [id:10217696],Harrison Barnes OVER AST 1.5 (DEMON) [id:10231045],0,
