n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Darius Garland OVER PTS 9.5 (GOBLIN) [id:10241811] | Neemias Queta OVER PR 17.5 (STANDARD) [id:10241477] | RJ Barrett OVER PR 22.5 (STANDARD) [id:10242382] | Amen Thompson OVER PA 29.5 (DEMON) [id:10239742],0.05676796367756091,10.0,2.0803207695734653,20.803207695734653,1.1809557388482204,10.0,pp_kernel,0.5255232632823379,0.060315476647749104,Darius Garland OVER PTS 9.5 (GOBLIN) [id:10241811] | Neemias Queta OVER PR 17.5 (STANDARD) [id:10241477] | RJ Barrett OVER PR 22.5 (STANDARD) [id:10242382] | Amen Thompson OVER PA 29.5 (DEMON) [id:10239742],0.0,0.054,0.000603154766477491,0.054603154766477494,24.51306435996282,"['darius garland', 'neemias queta', 'rj barrett', 'amen thompson']",24.567667514729298,1,Darius Garland OVER PTS 9.5 (GOBLIN) [id:10241811],Neemias Queta OVER PR 17.5 (STANDARD) [id:10241477],RJ Barrett OVER PR 22.5 (STANDARD) [id:10242382],Amen Thompson OVER PA 29.5 (DEMON) [id:10239742],0,
4,Amen Thompson OVER RA 10.5 (GOBLIN) [id:10240405] | Al Horford UNDER REB 5 (STANDARD) [id:10248828] | Jalen Brunson OVER FG3M 2.5 (STANDARD) [id:10242324] | Alperen Sengun OVER PRA 39.5 (DEMON) [id:10239734],0.07037619382059444,10.0,1.815697231859441,18.156972318594413,1.2778186030885685,10.0,pp_kernel,0.5424051512025839,0.054557124344628116,Amen Thompson OVER RA 10.5 (GOBLIN) [id:10240405] | Al Horford UNDER REB 5 (STANDARD) [id:10248828] | Jalen Brunson OVER FG3M 2.5 (STANDARD) [id:10242324] | Alperen Sengun OVER PRA 39.5 (DEMON) [id:10239734],0.01,0.006,0.0005455712434462812,0.016545571243446282,23.18477143322067,"['amen thompson', 'al horford', 'jalen brunson', 'alperen sengun']",23.20131700446412,1,Amen Thompson OVER RA 10.5 (GOBLIN) [id:10240405],Al Horford UNDER REB 5 (STANDARD) [id:10248828],Jalen Brunson OVER FG3M 2.5 (STANDARD) [id:10242324],Alperen Sengun OVER PRA 39.5 (DEMON) [id:10239734],0,
4,Amen Thompson OVER PR 19.5 (GOBLIN) [id:10239746] | Payton Pritchard UNDER PRA 27.5 (STANDARD) [id:10241452] | Tre Johnson OVER PA 13.5 (STANDARD) [id:10240693] | AJ Green OVER RA 5.5 (DEMON) [id:10242810],0.06254334169530587,10.0,1.9071644932426306,19.071644932426306,1.1928044057002871,10.0,pp_kernel,0.541405177731301,0.07120227699750997,Amen Thompson OVER PR 19.5 (GOBLIN) [id:10239746] | Payton Pritchard UNDER PRA 27.5 (STANDARD) [id:10241452] | Tre Johnson OVER PA 13.5 (STANDARD) [id:10240693] | AJ Green OVER RA 5.5 (DEMON) [id:10242810],0.0,0.054,0.0007120227699750997,0.0547120227699751,22.694030076579676,"['amen thompson', 'payton pritchard', 'tre johnson', 'aj green']",22.748742099349652,1,Amen Thompson OVER PR 19.5 (GOBLIN) [id:10239746],Payton Pritchard UNDER PRA 27.5 (STANDARD) [id:10241452],Tre Johnson OVER PA 13.5 (STANDARD) [id:10240693],AJ Green OVER RA 5.5 (DEMON) [id:10242810],0,
4,Darius Garland OVER FG3M 0.5 (GOBLIN) [id:10241936] | Kawhi Leonard UNDER RA 10.5 (STANDARD) [id:10240895] | Christian Braun UNDER RA 8 (STANDARD) [id:10238801] | Reed Sheppard OVER PTS 17.5 (DEMON) [id:10239849],0.06564435153543627,10.0,1.8589264599850415,18.589264599850416,1.2202802201778218,10.0,pp_kernel,0.5397175862394484,0.05572754219198791,Darius Garland OVER FG3M 0.5 (GOBLIN) [id:10241936] | Kawhi Leonard UNDER RA 10.5 (STANDARD) [id:10240895] | Christian Braun UNDER RA 8 (STANDARD) [id:10238801] | Reed Sheppard OVER PTS 17.5 (DEMON) [id:10239849],0.01,0.024,0.0005572754219198791,0.03455727542191988,22.64955462342733,"['darius garland', 'kawhi leonard', 'christian braun', 'reed sheppard']",22.684111898849252,1,Darius Garland OVER FG3M 0.5 (GOBLIN) [id:10241936],Kawhi Leonard UNDER RA 10.5 (STANDARD) [id:10240895],Christian Braun UNDER RA 8 (STANDARD) [id:10238801],Reed Sheppard OVER PTS 17.5 (DEMON) [id:10239849],0,
4,Kyle Kuzma OVER AST 1.5 (GOBLIN) [id:10241213] | Tari Eason UNDER PRA 23.5 (STANDARD) [id:10237924] | Draymond Green UNDER AST 5 (STANDARD) [id:10248833] | Amen Thompson OVER PRA 39.5 (DEMON) [id:10239748],0.06507165737732044,10.0,1.8562975712465892,18.562975712465892,1.2079235954651013,10.0,pp_kernel,0.5268135690021539,0.0638675868733631,Kyle Kuzma OVER AST 1.5 (GOBLIN) [id:10241213] | Tari Eason UNDER PRA 23.5 (STANDARD) [id:10237924] | Draymond Green UNDER AST 5 (STANDARD) [id:10248833] | Amen Thompson OVER PRA 39.5 (DEMON) [id:10239748],0.01,0.054,0.0006386758687336309,0.06463867586873363,22.358017689264422,"['kyle kuzma', 'tari eason', 'draymond green', 'amen thompson']",22.422656365133154,1,Kyle Kuzma OVER AST 1.5 (GOBLIN) [id:10241213],Tari Eason UNDER PRA 23.5 (STANDARD) [id:10237924],Draymond Green UNDER AST 5 (STANDARD) [id:10248833],Amen Thompson OVER PRA 39.5 (DEMON) [id:10239748],0,
4,Derrick White OVER PTS 11.5 (GOBLIN) [id:10245050] | Neemias Queta UNDER RA 9.5 (STANDARD) [id:10243028] | Alperen Sengun UNDER RA 15.5 (STANDARD) [id:10237821] | Stephon Castle OVER PTS 19.5 (DEMON) [id:10243722],0.05049226687537233,10.0,2.0782031357944515,20.782031357944515,1.0493318735376909,10.0,pp_kernel,0.4993055988507566,0.06531353950251138,Derrick White OVER PTS 11.5 (GOBLIN) [id:10245050] | Neemias Queta UNDER RA 9.5 (STANDARD) [id:10243028] | Alperen Sengun UNDER RA 15.5 (STANDARD) [id:10237821] | Stephon Castle OVER PTS 19.5 (DEMON) [id:10243722],0.01,0.054,0.0006531353950251139,0.06465313539502511,21.742594765355932,"['derrick white', 'neemias queta', 'alperen sengun', 'stephon castle']",21.80724790075096,1,Derrick White OVER PTS 11.5 (GOBLIN) [id:10245050],Neemias Queta UNDER RA 9.5 (STANDARD) [id:10243028],Alperen Sengun UNDER RA 15.5 (STANDARD) [id:10237821],Stephon Castle OVER PTS 19.5 (DEMON) [id:10243722],0,
4,John Collins OVER PTS 9.5 (GOBLIN) [id:10241136] | Alperen Sengun OVER PRA 35 (STANDARD) [id:10237816] | Stephon Castle OVER AST 6.5 (STANDARD) [id:10243720] | Nikola Jokić OVER PRA 55.5 (DEMON) [id:10240337],0.05645434764781886,10.0,1.9246490825940774,19.246490825940775,1.086548084088217,10.0,pp_kernel,0.5128295237965003,0.047282316293434525,John Collins OVER PTS 9.5 (GOBLIN) [id:10241136] | Alperen Sengun OVER PRA 35 (STANDARD) [id:10237816] | Stephon Castle OVER AST 6.5 (STANDARD) [id:10243720] | Nikola Jokić OVER PRA 55.5 (DEMON) [id:10240337],0.0,0.054,0.00047282316293434525,0.05447282316293434,20.857764909184457,"['john collins', 'alperen sengun', 'stephon castle', 'nikola jokić']",20.912237732347393,1,John Collins OVER PTS 9.5 (GOBLIN) [id:10241136],Alperen Sengun OVER PRA 35 (STANDARD) [id:10237816],Stephon Castle OVER AST 6.5 (STANDARD) [id:10243720],Nikola Jokić OVER PRA 55.5 (DEMON) [id:10240337],0,
4,Bub Carrington OVER FG3M 0.5 (GOBLIN) [id:10237849] | Derrick Jones UNDER PR 14.5 (STANDARD) [id:10241074] | Kyle Filipowski UNDER RA 10.5 (STANDARD) [id:10238822] | Myles Turner OVER RA 7.5 (DEMON) [id:10243001],0.06421491585692134,10.0,1.799547434112786,17.99547434112786,1.1555778706209126,10.0,pp_kernel,0.5380947816768056,0.07487508781884324,Bub Carrington OVER FG3M 0.5 (GOBLIN) [id:10237849] | Derrick Jones UNDER PR 14.5 (STANDARD) [id:10241074] | Kyle Filipowski UNDER RA 10.5 (STANDARD) [id:10238822] | Myles Turner OVER RA 7.5 (DEMON) [id:10243001],0.0,0.024,0.0007487508781884324,0.02474875087818843,20.77042316905561,"['bub carrington', 'derrick jones', 'kyle filipowski', 'myles turner']",20.7951719199338,1,Bub Carrington OVER FG3M 0.5 (GOBLIN) [id:10237849],Derrick Jones UNDER PR 14.5 (STANDARD) [id:10241074],Kyle Filipowski UNDER RA 10.5 (STANDARD) [id:10238822],Myles Turner OVER RA 7.5 (DEMON) [id:10243001],0,
4,Darius Garland OVER PTS 7.5 (GOBLIN) [id:10243295] | Al Horford UNDER PTS 9.5 (STANDARD) [id:10241671] | Christian Braun UNDER PA 15.5 (STANDARD) [id:10238797] | Jalen Brunson OVER AST 7.5 (DEMON) [id:10242470],0.0818746132873642,10.0,1.5891975375477876,15.891975375477877,1.3011493382395656,10.0,pp_kernel,0.5769696262933068,0.049493505824013254,Darius Garland OVER PTS 7.5 (GOBLIN) [id:10243295] | Al Horford UNDER PTS 9.5 (STANDARD) [id:10241671] | Christian Braun UNDER PA 15.5 (STANDARD) [id:10238797] | Jalen Brunson OVER AST 7.5 (DEMON) [id:10242470],0.0,0.054,0.0004949350582401325,0.05449493505824013,20.62333830806427,"['darius garland', 'al horford', 'christian braun', 'jalen brunson']",20.67783324312251,1,Darius Garland OVER PTS 7.5 (GOBLIN) [id:10243295],Al Horford UNDER PTS 9.5 (STANDARD) [id:10241671],Christian Braun UNDER PA 15.5 (STANDARD) [id:10238797],Jalen Brunson OVER AST 7.5 (DEMON) [id:10242470],0,
4,Josh Hart OVER PRA 19.5 (GOBLIN) [id:10246479] | Jaylen Brown UNDER PR 35.5 (STANDARD) [id:10241327] | Alperen Sengun OVER PR 28.5 (STANDARD) [id:10237815] | Kevin Porter OVER PRA 32.5 (DEMON) [id:10242962],0.05272795268044119,10.0,1.9763443774155451,19.76344377415545,1.0420859281262287,10.0,pp_kernel,0.5018391971551008,0.06709962945467264,Josh Hart OVER PRA 19.5 (GOBLIN) [id:10246479] | Jaylen Brown UNDER PR 35.5 (STANDARD) [id:10241327] | Alperen Sengun OVER PR 28.5 (STANDARD) [id:10237815] | Kevin Porter OVER PRA 32.5 (DEMON) [id:10242962],0.0,0.054,0.0006709962945467264,0.05467099629454673,20.540535652066772,"['josh hart', 'jaylen brown', 'alperen sengun', 'kevin porter']",20.59520664836132,1,Josh Hart OVER PRA 19.5 (GOBLIN) [id:10246479],Jaylen Brown UNDER PR 35.5 (STANDARD) [id:10241327],Alperen Sengun OVER PR 28.5 (STANDARD) [id:10237815],Kevin Porter OVER PRA 32.5 (DEMON) [id:10242962],0,
