n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Dejounte Murray OVER PTS 9.5 (GOBLIN) [id:10265019] | Josh Giddey OVER RA 11.5 (GOBLIN) [id:10264898] | Russell Westbrook OVER RA 6.5 (GOBLIN) [id:10272535] | Tristan Silva UNDER PA 13.5 (STANDARD) [id:10276963] | Nique Clifford UNDER PTS 13.5 (STANDARD) [id:10265321],0.5498153979214487,20.0,1.0,20.0,10.996307958428975,20.0,atlas,0.8882707014473057,0.06757597754824085,Dejounte Murray OVER PTS 9.5 (GOBLIN) [id:10265019] | Josh Giddey OVER RA 11.5 (GOBLIN) [id:10264898] | Russell Westbrook OVER RA 6.5 (GOBLIN) [id:10272535] | Tristan Silva UNDER PA 13.5 (STANDARD) [id:10276963] | Nique Clifford UNDER PTS 13.5 (STANDARD) [id:10265321],0.01,0.096,0.0006757597754824085,0.10667575977548241,219.81948340880402,"['dejounte murray', 'josh giddey', 'russell westbrook', 'tristan silva', 'nique clifford']",1,Dejounte Murray OVER PTS 9.5 (GOBLIN) [id:10265019],Josh Giddey OVER RA 11.5 (GOBLIN) [id:10264898],Russell Westbrook OVER RA 6.5 (GOBLIN) [id:10272535],Tristan Silva UNDER PA 13.5 (STANDARD) [id:10276963],Nique Clifford UNDER PTS 13.5 (STANDARD) [id:10265321],0,
5,Tre Jones OVER PTS 7.5 (GOBLIN) [id:10267139] | Josh Giddey OVER PRA 26.5 (GOBLIN) [id:10269506] | Dejounte Murray OVER PA 14.5 (GOBLIN) [id:10267502] | Jevon Carter UNDER RA 5.5 (STANDARD) [id:10277103] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10276964],0.4931081747942035,20.0,1.0,20.0,9.86216349588407,20.0,atlas,0.8684219041394516,0.07145287927420343,Tre Jones OVER PTS 7.5 (GOBLIN) [id:10267139] | Josh Giddey OVER PRA 26.5 (GOBLIN) [id:10269506] | Dejounte Murray OVER PA 14.5 (GOBLIN) [id:10267502] | Jevon Carter UNDER RA 5.5 (STANDARD) [id:10277103] | Tristan Silva UNDER PR 16.5 (STANDARD) [id:10276964],0.02,0.096,0.0007145287927420343,0.11671452879274204,197.12655538888865,"['tre jones', 'josh giddey', 'dejounte murray', 'jevon carter', 'tristan silva']",1,Tre Jones OVER PTS 7.5 (GOBLIN) [id:10267139],Josh Giddey OVER PRA 26.5 (GOBLIN) [id:10269506],Dejounte Murray OVER PA 14.5 (GOBLIN) [id:10267502],Jevon Carter UNDER RA 5.5 (STANDARD) [id:10277103],Tristan Silva UNDER PR 16.5 (STANDARD) [id:10276964],0,
5,Kon Knueppel OVER PTS 14.5 (GOBLIN) [id:10264586] | RJ Barrett OVER FG3M 0.5 (GOBLIN) [id:10242507] | Josh Giddey OVER PA 19.5 (GOBLIN) [id:10266807] | Cason Wallace UNDER PTS 14.5 (STANDARD) [id:10260192] | Tristan Silva UNDER REB 4.5 (STANDARD) [id:10276974],0.4878305647104993,20.0,1.0,20.0,9.756611294209986,20.0,atlas,0.8678310681470602,0.05093304794858702,Kon Knueppel OVER PTS 14.5 (GOBLIN) [id:10264586] | RJ Barrett OVER FG3M 0.5 (GOBLIN) [id:10242507] | Josh Giddey OVER PA 19.5 (GOBLIN) [id:10266807] | Cason Wallace UNDER PTS 14.5 (STANDARD) [id:10260192] | Tristan Silva UNDER REB 4.5 (STANDARD) [id:10276974],0.0,0.024,0.0005093304794858702,0.02450933047948587,195.10771655372025,"['kon knueppel', 'rj barrett', 'josh giddey', 'cason wallace', 'tristan silva']",1,Kon Knueppel OVER PTS 14.5 (GOBLIN) [id:10264586],RJ Barrett OVER FG3M 0.5 (GOBLIN) [id:10242507],Josh Giddey OVER PA 19.5 (GOBLIN) [id:10266807],Cason Wallace UNDER PTS 14.5 (STANDARD) [id:10260192],Tristan Silva UNDER REB 4.5 (STANDARD) [id:10276974],0,
5,James Harden OVER PRA 29.5 (GOBLIN) [id:10266236] | Evan Mobley OVER PTS 11.5 (GOBLIN) [id:10267161] | Russell Westbrook OVER RA 6.5 (GOBLIN) [id:10272535] | Guerschon Yabusele UNDER PRA 17.5 (STANDARD) [id:10264648] | Josh Giddey OVER AST 7 (STANDARD) [id:10267096],0.48301429052394207,20.0,1.0,20.0,9.660285810478841,20.0,atlas,0.8659971002899711,0.06682905978588002,James Harden OVER PRA 29.5 (GOBLIN) [id:10266236] | Evan Mobley OVER PTS 11.5 (GOBLIN) [id:10267161] | Russell Westbrook OVER RA 6.5 (GOBLIN) [id:10272535] | Guerschon Yabusele UNDER PRA 17.5 (STANDARD) [id:10264648] | Josh Giddey OVER AST 7 (STANDARD) [id:10267096],0.02,0.096,0.0006682905978588002,0.11666829059785881,193.08904791897896,"['james harden', 'evan mobley', 'russell westbrook', 'guerschon yabusele', 'josh giddey']",1,James Harden OVER PRA 29.5 (GOBLIN) [id:10266236],Evan Mobley OVER PTS 11.5 (GOBLIN) [id:10267161],Russell Westbrook OVER RA 6.5 (GOBLIN) [id:10272535],Guerschon Yabusele UNDER PRA 17.5 (STANDARD) [id:10264648],Josh Giddey OVER AST 7 (STANDARD) [id:10267096],0,
5,Dejounte Murray OVER PTS 9.5 (GOBLIN) [id:10265019] | RJ Barrett OVER PTS 11.5 (GOBLIN) [id:10254064] | DeMar DeRozan OVER PA 14.5 (GOBLIN) [id:10272061] | Tristan Silva UNDER PA 13.5 (STANDARD) [id:10276963] | Guerschon Yabusele UNDER PA 11.5 (STANDARD) [id:10264647],0.4824343718705931,20.0,1.0,20.0,9.648687437411862,20.0,atlas,0.8649244605968734,0.06671549560522547,Dejounte Murray OVER PTS 9.5 (GOBLIN) [id:10265019] | RJ Barrett OVER PTS 11.5 (GOBLIN) [id:10254064] | DeMar DeRozan OVER PA 14.5 (GOBLIN) [id:10272061] | Tristan Silva UNDER PA 13.5 (STANDARD) [id:10276963] | Guerschon Yabusele UNDER PA 11.5 (STANDARD) [id:10264647],0.0,0.096,0.0006671549560522547,0.09666715495605226,192.8770815932812,"['dejounte murray', 'rj barrett', 'demar derozan', 'tristan silva', 'guerschon yabusele']",1,Dejounte Murray OVER PTS 9.5 (GOBLIN) [id:10265019],RJ Barrett OVER PTS 11.5 (GOBLIN) [id:10254064],DeMar DeRozan OVER PA 14.5 (GOBLIN) [id:10272061],Tristan Silva UNDER PA 13.5 (STANDARD) [id:10276963],Guerschon Yabusele UNDER PA 11.5 (STANDARD) [id:10264647],0,
5,Desmond Bane OVER PA 19.5 (GOBLIN) [id:10271996] | Russell Westbrook OVER RA 7.5 (GOBLIN) [id:10265502] | Dennis Schröder OVER RA 5.5 (GOBLIN) [id:10261512] | Guerschon Yabusele UNDER PRA 17.5 (STANDARD) [id:10264648] | Jevon Carter UNDER RA 5.5 (STANDARD) [id:10277103],0.44653207558758007,20.0,1.0,20.0,8.9306415117516,20.0,atlas,0.8515304469553044,0.07965948579876514,Desmond Bane OVER PA 19.5 (GOBLIN) [id:10271996] | Russell Westbrook OVER RA 7.5 (GOBLIN) [id:10265502] | Dennis Schröder OVER RA 5.5 (GOBLIN) [id:10261512] | Guerschon Yabusele UNDER PRA 17.5 (STANDARD) [id:10264648] | Jevon Carter UNDER RA 5.5 (STANDARD) [id:10277103],0.01,0.096,0.0007965948579876514,0.10679659485798765,178.50603364017402,"['desmond bane', 'russell westbrook', 'dennis schröder', 'guerschon yabusele', 'jevon carter']",1,Desmond Bane OVER PA 19.5 (GOBLIN) [id:10271996],Russell Westbrook OVER RA 7.5 (GOBLIN) [id:10265502],Dennis Schröder OVER RA 5.5 (GOBLIN) [id:10261512],Guerschon Yabusele UNDER PRA 17.5 (STANDARD) [id:10264648],Jevon Carter UNDER RA 5.5 (STANDARD) [id:10277103],0,
5,Grant Williams OVER RA 3.5 (GOBLIN) [id:10263093] | RJ Barrett OVER PTS 11.5 (GOBLIN) [id:10254064] | Evan Mobley OVER PA 14.5 (GOBLIN) [id:10266214] | Russell Westbrook OVER PRA 22.5 (STANDARD) [id:10265494] | Nique Clifford UNDER PR 19.5 (STANDARD) [id:10265326],0.43775871003881467,20.0,1.0,20.0,8.755174200776294,20.0,atlas,0.8487423502904535,0.07206302033378895,Grant Williams OVER RA 3.5 (GOBLIN) [id:10263093] | RJ Barrett OVER PTS 11.5 (GOBLIN) [id:10254064] | Evan Mobley OVER PA 14.5 (GOBLIN) [id:10266214] | Russell Westbrook OVER PRA 22.5 (STANDARD) [id:10265494] | Nique Clifford UNDER PR 19.5 (STANDARD) [id:10265326],0.01,0.096,0.0007206302033378895,0.10672063020333789,174.99676338532254,"['grant williams', 'rj barrett', 'evan mobley', 'russell westbrook', 'nique clifford']",1,Grant Williams OVER RA 3.5 (GOBLIN) [id:10263093],RJ Barrett OVER PTS 11.5 (GOBLIN) [id:10254064],Evan Mobley OVER PA 14.5 (GOBLIN) [id:10266214],Russell Westbrook OVER PRA 22.5 (STANDARD) [id:10265494],Nique Clifford UNDER PR 19.5 (STANDARD) [id:10265326],0,
5,Evan Mobley OVER REB 5.5 (GOBLIN) [id:10258415] | James Harden OVER RA 10.5 (GOBLIN) [id:10261649] | Dennis Schröder OVER AST 2.5 (GOBLIN) [id:10261495] | Cason Wallace UNDER AST 5 (STANDARD) [id:10273488] | Guerschon Yabusele UNDER PR 15.5 (STANDARD) [id:10260203],0.4321337236346505,20.0,1.0,20.0,8.64267447269301,20.0,atlas,0.8458281572211417,0.061007892768196945,Evan Mobley OVER REB 5.5 (GOBLIN) [id:10258415] | James Harden OVER RA 10.5 (GOBLIN) [id:10261649] | Dennis Schröder OVER AST 2.5 (GOBLIN) [id:10261495] | Cason Wallace UNDER AST 5 (STANDARD) [id:10273488] | Guerschon Yabusele UNDER PR 15.5 (STANDARD) [id:10260203],0.04,0.054,0.0006100789276819694,0.09461007892768197,172.75887937493255,"['evan mobley', 'james harden', 'dennis schröder', 'cason wallace', 'guerschon yabusele']",1,Evan Mobley OVER REB 5.5 (GOBLIN) [id:10258415],James Harden OVER RA 10.5 (GOBLIN) [id:10261649],Dennis Schröder OVER AST 2.5 (GOBLIN) [id:10261495],Cason Wallace UNDER AST 5 (STANDARD) [id:10273488],Guerschon Yabusele UNDER PR 15.5 (STANDARD) [id:10260203],0,
5,James Harden OVER PR 19.5 (GOBLIN) [id:10266235] | Evan Mobley OVER PTS 13.5 (GOBLIN) [id:10269418] | Khris Middleton OVER RA 4.5 (GOBLIN) [id:10276830] | Ryan Kalkbrenner OVER PR 9.5 (STANDARD) [id:10277398] | DeMar DeRozan OVER PRA 18.5 (STANDARD) [id:10265096],0.42291062997188045,20.0,1.0,20.0,8.458212599437609,20.0,atlas,0.842865713428657,0.0683354656353925,James Harden OVER PR 19.5 (GOBLIN) [id:10266235] | Evan Mobley OVER PTS 13.5 (GOBLIN) [id:10269418] | Khris Middleton OVER RA 4.5 (GOBLIN) [id:10276830] | Ryan Kalkbrenner OVER PR 9.5 (STANDARD) [id:10277398] | DeMar DeRozan OVER PRA 18.5 (STANDARD) [id:10265096],0.01,0.096,0.000683354656353925,0.10668335465635392,169.05756863409582,"['james harden', 'evan mobley', 'khris middleton', 'ryan kalkbrenner', 'demar derozan']",1,James Harden OVER PR 19.5 (GOBLIN) [id:10266235],Evan Mobley OVER PTS 13.5 (GOBLIN) [id:10269418],Khris Middleton OVER RA 4.5 (GOBLIN) [id:10276830],Ryan Kalkbrenner OVER PR 9.5 (STANDARD) [id:10277398],DeMar DeRozan OVER PRA 18.5 (STANDARD) [id:10265096],0,
5,Tyler Herro OVER PTS 14.5 (GOBLIN) [id:10262630] | DeMar DeRozan OVER PRA 15.5 (GOBLIN) [id:10270447] | James Harden OVER PRA 29.5 (GOBLIN) [id:10266236] | Ryan Kalkbrenner OVER PR 9.5 (STANDARD) [id:10277398] | Dennis Schröder OVER AST 4 (STANDARD) [id:10273480],0.3997849580563887,20.0,1.0,20.0,7.995699161127774,20.0,atlas,0.8360663933606638,0.061828892423938964,Tyler Herro OVER PTS 14.5 (GOBLIN) [id:10262630] | DeMar DeRozan OVER PRA 15.5 (GOBLIN) [id:10270447] | James Harden OVER PRA 29.5 (GOBLIN) [id:10266236] | Ryan Kalkbrenner OVER PR 9.5 (STANDARD) [id:10277398] | Dennis Schröder OVER AST 4 (STANDARD) [id:10273480],0.01,0.096,0.0006182889242393896,0.10661828892423938,159.80736493363125,"['tyler herro', 'demar derozan', 'james harden', 'ryan kalkbrenner', 'dennis schröder']",1,Tyler Herro OVER PTS 14.5 (GOBLIN) [id:10262630],DeMar DeRozan OVER PRA 15.5 (GOBLIN) [id:10270447],James Harden OVER PRA 29.5 (GOBLIN) [id:10266236],Ryan Kalkbrenner OVER PR 9.5 (STANDARD) [id:10277398],Dennis Schröder OVER AST 4 (STANDARD) [id:10273480],0,
