n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Evan Mobley OVER RA 8.5 (GOBLIN) [id:10173671] | Nic Claxton OVER PTS 7.5 (GOBLIN) [id:10175309] | Caris LeVert OVER REB 0.5 (GOBLIN) [id:10174115] | Caleb Martin UNDER PTS 8 (STANDARD) [id:10180116] | GG Jackson UNDER PTS 16.5 (STANDARD) [id:10175818],0.3539277952493826,20.0,1.0,20.0,7.0785559049876525,20.0,atlas,0.814153344514828,0.0563019045264805,Evan Mobley OVER RA 8.5 (GOBLIN) [id:10173671] | Nic Claxton OVER PTS 7.5 (GOBLIN) [id:10175309] | Caris LeVert OVER REB 0.5 (GOBLIN) [id:10174115] | Caleb Martin UNDER PTS 8 (STANDARD) [id:10180116] | GG Jackson UNDER PTS 16.5 (STANDARD) [id:10175818],0.0,0.054,0.000563019045264805,0.0545630190452648,141.51655508070778,"['evan mobley', 'nic claxton', 'caris levert', 'caleb martin', 'gg jackson']",1,Evan Mobley OVER RA 8.5 (GOBLIN) [id:10173671],Nic Claxton OVER PTS 7.5 (GOBLIN) [id:10175309],Caris LeVert OVER REB 0.5 (GOBLIN) [id:10174115],Caleb Martin UNDER PTS 8 (STANDARD) [id:10180116],GG Jackson UNDER PTS 16.5 (STANDARD) [id:10175818],0,
5,Cam Spencer OVER AST 2.5 (GOBLIN) [id:10177397] | Ronald Holland OVER PR 7.5 (GOBLIN) [id:10178341] | Evan Mobley OVER PR 20.5 (GOBLIN) [id:10177915] | Walter Clayton UNDER PR 12.5 (STANDARD) [id:10172240] | Caleb Martin UNDER PRA 15.5 (STANDARD) [id:10175725],0.3431398418902982,20.0,1.0,20.0,6.8627968378059645,20.0,atlas,0.8101917908660358,0.0736349426270783,Cam Spencer OVER AST 2.5 (GOBLIN) [id:10177397] | Ronald Holland OVER PR 7.5 (GOBLIN) [id:10178341] | Evan Mobley OVER PR 20.5 (GOBLIN) [id:10177915] | Walter Clayton UNDER PR 12.5 (STANDARD) [id:10172240] | Caleb Martin UNDER PRA 15.5 (STANDARD) [id:10175725],0.01,0.096,0.0007363494262707831,0.10673634942627078,137.149200406693,"['cam spencer', 'ronald holland', 'evan mobley', 'walter clayton', 'caleb martin']",1,Cam Spencer OVER AST 2.5 (GOBLIN) [id:10177397],Ronald Holland OVER PR 7.5 (GOBLIN) [id:10178341],Evan Mobley OVER PR 20.5 (GOBLIN) [id:10177915],Walter Clayton UNDER PR 12.5 (STANDARD) [id:10172240],Caleb Martin UNDER PRA 15.5 (STANDARD) [id:10175725],0,
5,James Harden OVER PTS 17.5 (GOBLIN) [id:10173719] | Evan Mobley OVER PTS 11.5 (GOBLIN) [id:10173654] | Sam Merrill OVER PR 9.5 (GOBLIN) [id:10173889] | Caleb Martin UNDER PTS 8 (STANDARD) [id:10180116] | Jericho Sims UNDER REB 6.5 (STANDARD) [id:10180508],0.3377727804026394,20.0,1.0,20.0,6.755455608052788,20.0,atlas,0.8079319520851275,0.05691294208139193,James Harden OVER PTS 17.5 (GOBLIN) [id:10173719] | Evan Mobley OVER PTS 11.5 (GOBLIN) [id:10173654] | Sam Merrill OVER PR 9.5 (GOBLIN) [id:10173889] | Caleb Martin UNDER PTS 8 (STANDARD) [id:10180116] | Jericho Sims UNDER REB 6.5 (STANDARD) [id:10180508],0.04,0.054,0.0005691294208139193,0.09456912942081391,135.01454303163496,"['james harden', 'evan mobley', 'sam merrill', 'caleb martin', 'jericho sims']",1,James Harden OVER PTS 17.5 (GOBLIN) [id:10173719],Evan Mobley OVER PTS 11.5 (GOBLIN) [id:10173654],Sam Merrill OVER PR 9.5 (GOBLIN) [id:10173889],Caleb Martin UNDER PTS 8 (STANDARD) [id:10180116],Jericho Sims UNDER REB 6.5 (STANDARD) [id:10180508],0,
5,Sam Merrill OVER PTS 7.5 (GOBLIN) [id:10173883] | Jarrett Allen OVER PTS 11.5 (GOBLIN) [id:10173754] | Cade Cunningham OVER RA 11.5 (GOBLIN) [id:10175218] | Taylor Hendricks UNDER REB 5 (STANDARD) [id:10179432] | Evan Mobley OVER PRA 25.5 (STANDARD) [id:10170926],0.3242520632049384,20.0,1.0,20.0,6.485041264098768,20.0,atlas,0.8014851418918466,0.06155719531224688,Sam Merrill OVER PTS 7.5 (GOBLIN) [id:10173883] | Jarrett Allen OVER PTS 11.5 (GOBLIN) [id:10173754] | Cade Cunningham OVER RA 11.5 (GOBLIN) [id:10175218] | Taylor Hendricks UNDER REB 5 (STANDARD) [id:10179432] | Evan Mobley OVER PRA 25.5 (STANDARD) [id:10170926],0.04,0.054,0.0006155719531224688,0.09461557195312247,129.60620971002223,"['sam merrill', 'jarrett allen', 'cade cunningham', 'taylor hendricks', 'evan mobley']",1,Sam Merrill OVER PTS 7.5 (GOBLIN) [id:10173883],Jarrett Allen OVER PTS 11.5 (GOBLIN) [id:10173754],Cade Cunningham OVER RA 11.5 (GOBLIN) [id:10175218],Taylor Hendricks UNDER REB 5 (STANDARD) [id:10179432],Evan Mobley OVER PRA 25.5 (STANDARD) [id:10170926],0,
5,Cade Cunningham OVER PRA 34.5 (GOBLIN) [id:10173489] | Duncan Robinson OVER PTS 7.5 (GOBLIN) [id:10173618] | Cam Spencer OVER AST 2.5 (GOBLIN) [id:10177397] | GG Jackson UNDER PR 22 (STANDARD) [id:10172027] | Caleb Martin UNDER PTS 8 (STANDARD) [id:10180116],0.3176198130163285,20.0,1.0,20.0,6.352396260326571,20.0,atlas,0.7967403341484481,0.061602771843181935,Cade Cunningham OVER PRA 34.5 (GOBLIN) [id:10173489] | Duncan Robinson OVER PTS 7.5 (GOBLIN) [id:10173618] | Cam Spencer OVER AST 2.5 (GOBLIN) [id:10177397] | GG Jackson UNDER PR 22 (STANDARD) [id:10172027] | Caleb Martin UNDER PTS 8 (STANDARD) [id:10180116],0.02,0.096,0.0006160277184318194,0.11661602771843183,126.93130917881297,"['cade cunningham', 'duncan robinson', 'cam spencer', 'gg jackson', 'caleb martin']",1,Cade Cunningham OVER PRA 34.5 (GOBLIN) [id:10173489],Duncan Robinson OVER PTS 7.5 (GOBLIN) [id:10173618],Cam Spencer OVER AST 2.5 (GOBLIN) [id:10177397],GG Jackson UNDER PR 22 (STANDARD) [id:10172027],Caleb Martin UNDER PTS 8 (STANDARD) [id:10180116],0,
5,Shai Gilgeous-Alexander OVER FG3M 0.5 (GOBLIN) [id:10171333] | Josh Hart OVER PTS 7.5 (GOBLIN) [id:10172128] | Duncan Robinson OVER FG3M 1.5 (GOBLIN) [id:10171788] | Julian Strawther UNDER PTS 10 (STANDARD) [id:10169991] | GG Jackson UNDER PRA 24.5 (STANDARD) [id:10175823],0.2639490331708784,20.0,1.0,20.0,5.278980663417569,20.0,atlas,0.7668122963646888,0.06045097470494724,Shai Gilgeous-Alexander OVER FG3M 0.5 (GOBLIN) [id:10171333] | Josh Hart OVER PTS 7.5 (GOBLIN) [id:10172128] | Duncan Robinson OVER FG3M 1.5 (GOBLIN) [id:10171788] | Julian Strawther UNDER PTS 10 (STANDARD) [id:10169991] | GG Jackson UNDER PRA 24.5 (STANDARD) [id:10175823],0.0,0.03,0.0006045097470494723,0.030604509747049473,105.54900875860432,"['shai gilgeous-alexander', 'josh hart', 'duncan robinson', 'julian strawther', 'gg jackson']",1,Shai Gilgeous-Alexander OVER FG3M 0.5 (GOBLIN) [id:10171333],Josh Hart OVER PTS 7.5 (GOBLIN) [id:10172128],Duncan Robinson OVER FG3M 1.5 (GOBLIN) [id:10171788],Julian Strawther UNDER PTS 10 (STANDARD) [id:10169991],GG Jackson UNDER PRA 24.5 (STANDARD) [id:10175823],0,
5,Jarrett Allen OVER PTS 11.5 (GOBLIN) [id:10173754] | Duncan Robinson OVER PA 9.5 (GOBLIN) [id:10173621] | Jaylon Tyson OVER PR 14.5 (GOBLIN) [id:10175224] | Taylor Hendricks UNDER REB 5 (STANDARD) [id:10179432] | GG Jackson UNDER PTS 16.5 (STANDARD) [id:10175818],0.2598938936919478,20.0,1.0,20.0,5.197877873838957,20.0,atlas,0.7648833277564834,0.06477669520350779,Jarrett Allen OVER PTS 11.5 (GOBLIN) [id:10173754] | Duncan Robinson OVER PA 9.5 (GOBLIN) [id:10173621] | Jaylon Tyson OVER PR 14.5 (GOBLIN) [id:10175224] | Taylor Hendricks UNDER REB 5 (STANDARD) [id:10179432] | GG Jackson UNDER PTS 16.5 (STANDARD) [id:10175818],0.02,0.054,0.0006477669520350779,0.07464776695203508,103.88290970982709,"['jarrett allen', 'duncan robinson', 'jaylon tyson', 'taylor hendricks', 'gg jackson']",1,Jarrett Allen OVER PTS 11.5 (GOBLIN) [id:10173754],Duncan Robinson OVER PA 9.5 (GOBLIN) [id:10173621],Jaylon Tyson OVER PR 14.5 (GOBLIN) [id:10175224],Taylor Hendricks UNDER REB 5 (STANDARD) [id:10179432],GG Jackson UNDER PTS 16.5 (STANDARD) [id:10175818],0,
5,Duncan Robinson OVER RA 2.5 (GOBLIN) [id:10175219] | James Harden OVER FG3M 1.5 (GOBLIN) [id:10170934] | Bobby Portis OVER FG3M 0.5 (GOBLIN) [id:10170982] | Jaylon Tyson OVER PR 17.5 (STANDARD) [id:10170968] | Julian Strawther UNDER PTS 10 (STANDARD) [id:10169991],0.24943282085744486,20.0,1.0,20.0,4.988656417148897,20.0,atlas,0.7607409231590843,0.06333692469374128,Duncan Robinson OVER RA 2.5 (GOBLIN) [id:10175219] | James Harden OVER FG3M 1.5 (GOBLIN) [id:10170934] | Bobby Portis OVER FG3M 0.5 (GOBLIN) [id:10170982] | Jaylon Tyson OVER PR 17.5 (STANDARD) [id:10170968] | Julian Strawther UNDER PTS 10 (STANDARD) [id:10169991],0.01,0.03,0.0006333692469374127,0.04063336924693741,99.73249497373101,"['duncan robinson', 'james harden', 'bobby portis', 'jaylon tyson', 'julian strawther']",1,Duncan Robinson OVER RA 2.5 (GOBLIN) [id:10175219],James Harden OVER FG3M 1.5 (GOBLIN) [id:10170934],Bobby Portis OVER FG3M 0.5 (GOBLIN) [id:10170982],Jaylon Tyson OVER PR 17.5 (STANDARD) [id:10170968],Julian Strawther UNDER PTS 10 (STANDARD) [id:10169991],0,
5,Caris LeVert OVER PTS 4.5 (GOBLIN) [id:10174173] | Bobby Portis OVER PTS 7.5 (GOBLIN) [id:10175616] | Cam Spencer OVER AST 2.5 (GOBLIN) [id:10177397] | Julian Strawther UNDER PTS 10 (STANDARD) [id:10169991] | Walter Clayton UNDER PRA 16.5 (STANDARD) [id:10172241],0.24476078883148497,20.0,1.0,20.0,4.8952157766296995,20.0,atlas,0.7575443858038383,0.05823237921686828,Caris LeVert OVER PTS 4.5 (GOBLIN) [id:10174173] | Bobby Portis OVER PTS 7.5 (GOBLIN) [id:10175616] | Cam Spencer OVER AST 2.5 (GOBLIN) [id:10177397] | Julian Strawther UNDER PTS 10 (STANDARD) [id:10169991] | Walter Clayton UNDER PRA 16.5 (STANDARD) [id:10172241],0.01,0.096,0.0005823237921686828,0.10658232379216868,97.79773320880182,"['caris levert', 'bobby portis', 'cam spencer', 'julian strawther', 'walter clayton']",1,Caris LeVert OVER PTS 4.5 (GOBLIN) [id:10174173],Bobby Portis OVER PTS 7.5 (GOBLIN) [id:10175616],Cam Spencer OVER AST 2.5 (GOBLIN) [id:10177397],Julian Strawther UNDER PTS 10 (STANDARD) [id:10169991],Walter Clayton UNDER PRA 16.5 (STANDARD) [id:10172241],0,
5,Cam Spencer OVER AST 2.5 (GOBLIN) [id:10177397] | Cade Cunningham OVER RA 11.5 (GOBLIN) [id:10175218] | Ausar Thompson OVER PR 11.5 (GOBLIN) [id:10175018] | Walter Clayton UNDER PTS 9.5 (STANDARD) [id:10172238] | P.J. Washington UNDER PR 24.5 (STANDARD) [id:10175407],0.2433640676455061,20.0,1.0,20.0,4.867281352910123,20.0,atlas,0.7596606072635268,0.06966743881345572,Cam Spencer OVER AST 2.5 (GOBLIN) [id:10177397] | Cade Cunningham OVER RA 11.5 (GOBLIN) [id:10175218] | Ausar Thompson OVER PR 11.5 (GOBLIN) [id:10175018] | Walter Clayton UNDER PTS 9.5 (STANDARD) [id:10172238] | P.J. Washington UNDER PR 24.5 (STANDARD) [id:10175407],0.02,0.096,0.0006966743881345571,0.11669667438813457,97.2289303838143,"['cam spencer', 'cade cunningham', 'ausar thompson', 'walter clayton', 'p.j. washington']",1,Cam Spencer OVER AST 2.5 (GOBLIN) [id:10177397],Cade Cunningham OVER RA 11.5 (GOBLIN) [id:10175218],Ausar Thompson OVER PR 11.5 (GOBLIN) [id:10175018],Walter Clayton UNDER PTS 9.5 (STANDARD) [id:10172238],P.J. Washington UNDER PR 24.5 (STANDARD) [id:10175407],0,
