n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,Jabari Smith OVER PR 14.5 (GOBLIN) [id:10320885] | Will Riley UNDER REB 5 (STANDARD) [id:10322478] | Tristan Silva UNDER PR 13.5 (STANDARD) [id:10323087],0.6695336872702248,6.0,1.0,6.0,4.017202123621349,6.0,atlas,0.8761025845283759,0.06947908154854197,Jabari Smith OVER PR 14.5 (GOBLIN) [id:10320885] | Will Riley UNDER REB 5 (STANDARD) [id:10322478] | Tristan Silva UNDER PR 13.5 (STANDARD) [id:10323087],0.0,0.006,0.0006947908154854198,0.00669479081548542,24.09651795091261,"['jabari smith', 'will riley', 'tristan silva']",1,Jabari Smith OVER PR 14.5 (GOBLIN) [id:10320885],Will Riley UNDER REB 5 (STANDARD) [id:10322478],Tristan Silva UNDER PR 13.5 (STANDARD) [id:10323087],0,
3,Jabari Smith OVER PR 14.5 (GOBLIN) [id:10320885] | Nique Clifford UNDER PA 19.5 (STANDARD) [id:10315660] | Guerschon Yabusele UNDER REB 7 (STANDARD) [id:10330740],0.6669755758499133,6.0,1.0,6.0,4.0018534550994795,6.0,atlas,0.8746669126462709,0.0703287895237907,Jabari Smith OVER PR 14.5 (GOBLIN) [id:10320885] | Nique Clifford UNDER PA 19.5 (STANDARD) [id:10315660] | Guerschon Yabusele UNDER REB 7 (STANDARD) [id:10330740],0.0,0.006,0.000703287895237907,0.006703287895237907,24.00441744270164,"['jabari smith', 'nique clifford', 'guerschon yabusele']",1,Jabari Smith OVER PR 14.5 (GOBLIN) [id:10320885],Nique Clifford UNDER PA 19.5 (STANDARD) [id:10315660],Guerschon Yabusele UNDER REB 7 (STANDARD) [id:10330740],0,
3,Russell Westbrook OVER PA 14.5 (GOBLIN) [id:10328706] | Guerschon Yabusele UNDER PTS 10.5 (STANDARD) [id:10312959] | Nique Clifford UNDER PA 19.5 (STANDARD) [id:10315660],0.6619267539085086,6.0,1.0,6.0,3.9715605234510516,6.0,atlas,0.8728950677019386,0.0699280689829733,Russell Westbrook OVER PA 14.5 (GOBLIN) [id:10328706] | Guerschon Yabusele UNDER PTS 10.5 (STANDARD) [id:10312959] | Nique Clifford UNDER PA 19.5 (STANDARD) [id:10315660],0.01,0.024,0.000699280689829733,0.034699280689829734,23.79466386001648,"['russell westbrook', 'guerschon yabusele', 'nique clifford']",1,Russell Westbrook OVER PA 14.5 (GOBLIN) [id:10328706],Guerschon Yabusele UNDER PTS 10.5 (STANDARD) [id:10312959],Nique Clifford UNDER PA 19.5 (STANDARD) [id:10315660],0,
3,Jabari Smith OVER PR 17.5 (GOBLIN) [id:10324920] | Jayson Tatum OVER PR 17.5 (STANDARD) [id:10339340] | Tristan Silva UNDER PR 13.5 (STANDARD) [id:10323087],0.6586623397224831,6.0,1.0,6.0,3.9519740383348987,6.0,atlas,0.8704394068078795,0.07653228567752753,Jabari Smith OVER PR 17.5 (GOBLIN) [id:10324920] | Jayson Tatum OVER PR 17.5 (STANDARD) [id:10339340] | Tristan Silva UNDER PR 13.5 (STANDARD) [id:10323087],0.0,0.024,0.0007653228567752753,0.024765322856775275,23.687078907152614,"['jabari smith', 'jayson tatum', 'tristan silva']",1,Jabari Smith OVER PR 17.5 (GOBLIN) [id:10324920],Jayson Tatum OVER PR 17.5 (STANDARD) [id:10339340],Tristan Silva UNDER PR 13.5 (STANDARD) [id:10323087],0,
3,Bam Adebayo OVER RA 9.5 (GOBLIN) [id:10324223] | Tristan Silva UNDER PR 13.5 (STANDARD) [id:10323087] | Jayson Tatum OVER PRA 20.5 (STANDARD) [id:10339341],0.6540071336793682,6.0,1.0,6.0,3.9240428020762095,6.0,atlas,0.8681810989068803,0.07567375396982018,Bam Adebayo OVER RA 9.5 (GOBLIN) [id:10324223] | Tristan Silva UNDER PR 13.5 (STANDARD) [id:10323087] | Jayson Tatum OVER PRA 20.5 (STANDARD) [id:10339341],0.0,0.024,0.0007567375396982018,0.024756737539698204,23.51950007491756,"['bam adebayo', 'tristan silva', 'jayson tatum']",1,Bam Adebayo OVER RA 9.5 (GOBLIN) [id:10324223],Tristan Silva UNDER PR 13.5 (STANDARD) [id:10323087],Jayson Tatum OVER PRA 20.5 (STANDARD) [id:10339341],0,
3,Amen Thompson OVER PRA 25.5 (GOBLIN) [id:10324902] | Isaiah Collier UNDER PA 27.5 (STANDARD) [id:10339202] | Tristan Silva UNDER REB 4.5 (STANDARD) [id:10323094],0.6519084605866683,6.0,1.0,6.0,3.9114507635200098,6.0,atlas,0.8695888230113717,0.06451587224052761,Amen Thompson OVER PRA 25.5 (GOBLIN) [id:10324902] | Isaiah Collier UNDER PA 27.5 (STANDARD) [id:10339202] | Tristan Silva UNDER REB 4.5 (STANDARD) [id:10323094],0.0,0.006,0.0006451587224052762,0.006645158722405276,23.46205942239765,"['amen thompson', 'isaiah collier', 'tristan silva']",1,Amen Thompson OVER PRA 25.5 (GOBLIN) [id:10324902],Isaiah Collier UNDER PA 27.5 (STANDARD) [id:10339202],Tristan Silva UNDER REB 4.5 (STANDARD) [id:10323094],0,
3,Amen Thompson OVER REB 5.5 (GOBLIN) [id:10311462] | Jayson Tatum OVER PRA 20.5 (STANDARD) [id:10339341] | Nique Clifford UNDER PRA 24.5 (STANDARD) [id:10315662],0.6458178297872573,6.0,1.0,6.0,3.874906978723544,6.0,atlas,0.8646280109595351,0.070460506757055,Amen Thompson OVER REB 5.5 (GOBLIN) [id:10311462] | Jayson Tatum OVER PRA 20.5 (STANDARD) [id:10339341] | Nique Clifford UNDER PRA 24.5 (STANDARD) [id:10315662],0.0,0.006,0.0007046050675705499,0.0067046050675705505,23.242737267273693,"['amen thompson', 'jayson tatum', 'nique clifford']",1,Amen Thompson OVER REB 5.5 (GOBLIN) [id:10311462],Jayson Tatum OVER PRA 20.5 (STANDARD) [id:10339341],Nique Clifford UNDER PRA 24.5 (STANDARD) [id:10315662],0,
3,Amen Thompson OVER PR 19.5 (GOBLIN) [id:10320869] | Jayson Tatum OVER PR 17.5 (STANDARD) [id:10339340] | Nique Clifford UNDER PR 20.5 (STANDARD) [id:10315661],0.645375448648035,6.0,1.0,6.0,3.87225269188821,6.0,atlas,0.8646865388385363,0.08079873524455826,Amen Thompson OVER PR 19.5 (GOBLIN) [id:10320869] | Jayson Tatum OVER PR 17.5 (STANDARD) [id:10339340] | Nique Clifford UNDER PR 20.5 (STANDARD) [id:10315661],0.0,0.024,0.0008079873524455826,0.024807987352445583,23.208708163976812,"['amen thompson', 'jayson tatum', 'nique clifford']",1,Amen Thompson OVER PR 19.5 (GOBLIN) [id:10320869],Jayson Tatum OVER PR 17.5 (STANDARD) [id:10339340],Nique Clifford UNDER PR 20.5 (STANDARD) [id:10315661],0,
3,Desmond Bane OVER PR 19.5 (GOBLIN) [id:10324738] | Guerschon Yabusele UNDER PTS 10.5 (STANDARD) [id:10312959] | Will Riley UNDER REB 5 (STANDARD) [id:10322478],0.5620172899824476,6.0,1.0,6.0,3.3721037398946856,6.0,atlas,0.8254532300830558,0.06092791796914271,Desmond Bane OVER PR 19.5 (GOBLIN) [id:10324738] | Guerschon Yabusele UNDER PTS 10.5 (STANDARD) [id:10312959] | Will Riley UNDER REB 5 (STANDARD) [id:10322478],0.0,0.006,0.0006092791796914271,0.0066092791796914276,20.226013160188423,"['desmond bane', 'guerschon yabusele', 'will riley']",1,Desmond Bane OVER PR 19.5 (GOBLIN) [id:10324738],Guerschon Yabusele UNDER PTS 10.5 (STANDARD) [id:10312959],Will Riley UNDER REB 5 (STANDARD) [id:10322478],0,
3,Russell Westbrook OVER AST 3.5 (GOBLIN) [id:10319745] | Oso Ighodaro UNDER PR 17.5 (STANDARD) [id:10315216] | Guerschon Yabusele UNDER REB 7 (STANDARD) [id:10330740],0.553800407335698,6.0,1.0,6.0,3.3228024440141883,6.0,atlas,0.8227387721269895,0.06249449814766083,Russell Westbrook OVER AST 3.5 (GOBLIN) [id:10319745] | Oso Ighodaro UNDER PR 17.5 (STANDARD) [id:10315216] | Guerschon Yabusele UNDER REB 7 (STANDARD) [id:10330740],0.0,0.006,0.0006249449814766083,0.006624944981476608,19.93018971910365,"['russell westbrook', 'oso ighodaro', 'guerschon yabusele']",1,Russell Westbrook OVER AST 3.5 (GOBLIN) [id:10319745],Oso Ighodaro UNDER PR 17.5 (STANDARD) [id:10315216],Guerschon Yabusele UNDER REB 7 (STANDARD) [id:10330740],0,
