n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Wendell Carter OVER PR 13.5 (GOBLIN) [id:10162280] | Josh Giddey OVER PRA 24.5 (GOBLIN) [id:10142709] | Paolo Banchero OVER PR 23.5 (GOBLIN) [id:10162277] | Yanic Niederhäuser UNDER PR 13.5 (STANDARD) [id:10166250] | Guerschon Yabusele UNDER REB 6.5 (STANDARD) [id:10139277],0.5253562890426862,20.0,1.0,20.0,10.507125780853723,20.0,atlas,0.8801312174485176,0.07174574697193295,Wendell Carter OVER PR 13.5 (GOBLIN) [id:10162280] | Josh Giddey OVER PRA 24.5 (GOBLIN) [id:10142709] | Paolo Banchero OVER PR 23.5 (GOBLIN) [id:10162277] | Yanic Niederhäuser UNDER PR 13.5 (STANDARD) [id:10166250] | Guerschon Yabusele UNDER REB 6.5 (STANDARD) [id:10139277],0.02,0.054,0.0007174574697193295,0.07471745746971932,210.06779815960476,"['wendell carter', 'josh giddey', 'paolo banchero', 'yanic niederhäuser', 'guerschon yabusele']",1,Wendell Carter OVER PR 13.5 (GOBLIN) [id:10162280],Josh Giddey OVER PRA 24.5 (GOBLIN) [id:10142709],Paolo Banchero OVER PR 23.5 (GOBLIN) [id:10162277],Yanic Niederhäuser UNDER PR 13.5 (STANDARD) [id:10166250],Guerschon Yabusele UNDER REB 6.5 (STANDARD) [id:10139277],0,
5,Ryan Kalkbrenner OVER PTS 2.5 (GOBLIN) [id:10165848] | Andrew Nembhard OVER PRA 14.5 (GOBLIN) [id:10144855] | Ayo Dosunmu OVER PR 9.5 (GOBLIN) [id:10162674] | Josh Giddey OVER RA 12.5 (STANDARD) [id:10139333] | Rob Dillingham UNDER PR 13.5 (STANDARD) [id:10165579],0.516391585030196,20.0,1.0,20.0,10.32783170060392,20.0,atlas,0.8777191087721243,0.07055245949311859,Ryan Kalkbrenner OVER PTS 2.5 (GOBLIN) [id:10165848] | Andrew Nembhard OVER PRA 14.5 (GOBLIN) [id:10144855] | Ayo Dosunmu OVER PR 9.5 (GOBLIN) [id:10162674] | Josh Giddey OVER RA 12.5 (STANDARD) [id:10139333] | Rob Dillingham UNDER PR 13.5 (STANDARD) [id:10165579],0.01,0.096,0.0007055245949311858,0.10670552459493118,206.44992848748348,"['ryan kalkbrenner', 'andrew nembhard', 'ayo dosunmu', 'josh giddey', 'rob dillingham']",1,Ryan Kalkbrenner OVER PTS 2.5 (GOBLIN) [id:10165848],Andrew Nembhard OVER PRA 14.5 (GOBLIN) [id:10144855],Ayo Dosunmu OVER PR 9.5 (GOBLIN) [id:10162674],Josh Giddey OVER RA 12.5 (STANDARD) [id:10139333],Rob Dillingham UNDER PR 13.5 (STANDARD) [id:10165579],0,
5,Ryan Kalkbrenner OVER PRA 8.5 (GOBLIN) [id:10140200] | Wendell Carter OVER PRA 14.5 (GOBLIN) [id:10147071] | Paolo Banchero OVER RA 9.5 (GOBLIN) [id:10162279] | Rob Dillingham UNDER REB 3.5 (STANDARD) [id:10165587] | Guerschon Yabusele UNDER PA 13.5 (STANDARD) [id:10139273],0.5122280971427013,20.0,1.0,20.0,10.244561942854027,20.0,atlas,0.8757224277572243,0.07242710938964658,Ryan Kalkbrenner OVER PRA 8.5 (GOBLIN) [id:10140200] | Wendell Carter OVER PRA 14.5 (GOBLIN) [id:10147071] | Paolo Banchero OVER RA 9.5 (GOBLIN) [id:10162279] | Rob Dillingham UNDER REB 3.5 (STANDARD) [id:10165587] | Guerschon Yabusele UNDER PA 13.5 (STANDARD) [id:10139273],0.02,0.054,0.0007242710938964659,0.07472427109389647,204.81651458598665,"['ryan kalkbrenner', 'wendell carter', 'paolo banchero', 'rob dillingham', 'guerschon yabusele']",1,Ryan Kalkbrenner OVER PRA 8.5 (GOBLIN) [id:10140200],Wendell Carter OVER PRA 14.5 (GOBLIN) [id:10147071],Paolo Banchero OVER RA 9.5 (GOBLIN) [id:10162279],Rob Dillingham UNDER REB 3.5 (STANDARD) [id:10165587],Guerschon Yabusele UNDER PA 13.5 (STANDARD) [id:10139273],0,
5,Nickeil Alexander-Walker OVER PA 19.5 (GOBLIN) [id:10137803] | Wendell Carter OVER PA 9.5 (GOBLIN) [id:10147070] | Josh Giddey OVER RA 9.5 (GOBLIN) [id:10148674] | Rob Dillingham UNDER RA 7.5 (STANDARD) [id:10165592] | Guerschon Yabusele UNDER PA 13.5 (STANDARD) [id:10139273],0.5053882690741353,20.0,1.0,20.0,10.107765381482706,20.0,atlas,0.8741825817418258,0.08003804029948249,Nickeil Alexander-Walker OVER PA 19.5 (GOBLIN) [id:10137803] | Wendell Carter OVER PA 9.5 (GOBLIN) [id:10147070] | Josh Giddey OVER RA 9.5 (GOBLIN) [id:10148674] | Rob Dillingham UNDER RA 7.5 (STANDARD) [id:10165592] | Guerschon Yabusele UNDER PA 13.5 (STANDARD) [id:10139273],0.04,0.096,0.0008003804029948249,0.13680038040299483,202.0185072492511,"['nickeil alexander-walker', 'wendell carter', 'josh giddey', 'rob dillingham', 'guerschon yabusele']",1,Nickeil Alexander-Walker OVER PA 19.5 (GOBLIN) [id:10137803],Wendell Carter OVER PA 9.5 (GOBLIN) [id:10147070],Josh Giddey OVER RA 9.5 (GOBLIN) [id:10148674],Rob Dillingham UNDER RA 7.5 (STANDARD) [id:10165592],Guerschon Yabusele UNDER PA 13.5 (STANDARD) [id:10139273],0,
5,Grant Williams OVER AST 0.5 (GOBLIN) [id:10139848] | Josh Giddey OVER RA 11.5 (GOBLIN) [id:10149042] | Desmond Bane OVER PTS 14.5 (GOBLIN) [id:10143597] | Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10139274] | Kobe Brown UNDER PTS 9.5 (STANDARD) [id:10165820],0.505312668731358,20.0,1.0,20.0,10.106253374627162,20.0,atlas,0.8732626737326268,0.06158701083826592,Grant Williams OVER AST 0.5 (GOBLIN) [id:10139848] | Josh Giddey OVER RA 11.5 (GOBLIN) [id:10149042] | Desmond Bane OVER PTS 14.5 (GOBLIN) [id:10143597] | Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10139274] | Kobe Brown UNDER PTS 9.5 (STANDARD) [id:10165820],0.01,0.096,0.0006158701083826592,0.10661587010838265,202.01845162243484,"['grant williams', 'josh giddey', 'desmond bane', 'guerschon yabusele', 'kobe brown']",1,Grant Williams OVER AST 0.5 (GOBLIN) [id:10139848],Josh Giddey OVER RA 11.5 (GOBLIN) [id:10149042],Desmond Bane OVER PTS 14.5 (GOBLIN) [id:10143597],Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10139274],Kobe Brown UNDER PTS 9.5 (STANDARD) [id:10165820],0,
5,Paolo Banchero OVER PR 23.5 (GOBLIN) [id:10162277] | Desmond Bane OVER PTS 14.5 (GOBLIN) [id:10143597] | Wendell Carter OVER PR 13.5 (GOBLIN) [id:10162280] | Kobe Brown UNDER PR 15.5 (STANDARD) [id:10165823] | Jarace Walker UNDER PTS 16.5 (STANDARD) [id:10139903],0.4897354149993376,20.0,1.0,20.0,9.794708299986752,20.0,atlas,0.8675032496750325,0.06793358630094247,Paolo Banchero OVER PR 23.5 (GOBLIN) [id:10162277] | Desmond Bane OVER PTS 14.5 (GOBLIN) [id:10143597] | Wendell Carter OVER PR 13.5 (GOBLIN) [id:10162280] | Kobe Brown UNDER PR 15.5 (STANDARD) [id:10165823] | Jarace Walker UNDER PTS 16.5 (STANDARD) [id:10139903],0.05,0.096,0.0006793358630094248,0.14667933586300944,195.74748666387202,"['paolo banchero', 'desmond bane', 'wendell carter', 'kobe brown', 'jarace walker']",1,Paolo Banchero OVER PR 23.5 (GOBLIN) [id:10162277],Desmond Bane OVER PTS 14.5 (GOBLIN) [id:10143597],Wendell Carter OVER PR 13.5 (GOBLIN) [id:10162280],Kobe Brown UNDER PR 15.5 (STANDARD) [id:10165823],Jarace Walker UNDER PTS 16.5 (STANDARD) [id:10139903],0,
5,Jaime Jaquez OVER PTS 7.5 (GOBLIN) [id:10142201] | Paolo Banchero OVER PRA 31.5 (GOBLIN) [id:10147315] | Kon Knueppel OVER PTS 16.5 (GOBLIN) [id:10142744] | Yanic Niederhäuser UNDER PTS 7.5 (STANDARD) [id:10163558] | Kobe Brown UNDER PR 15.5 (STANDARD) [id:10165823],0.47028366258502896,20.0,1.0,20.0,9.405673251700579,20.0,atlas,0.8610503975764559,0.05680081044399238,Jaime Jaquez OVER PTS 7.5 (GOBLIN) [id:10142201] | Paolo Banchero OVER PRA 31.5 (GOBLIN) [id:10147315] | Kon Knueppel OVER PTS 16.5 (GOBLIN) [id:10142744] | Yanic Niederhäuser UNDER PTS 7.5 (STANDARD) [id:10163558] | Kobe Brown UNDER PR 15.5 (STANDARD) [id:10165823],0.0,0.096,0.0005680081044399238,0.09656800810443993,188.01689702590716,"['jaime jaquez', 'paolo banchero', 'kon knueppel', 'yanic niederhäuser', 'kobe brown']",1,Jaime Jaquez OVER PTS 7.5 (GOBLIN) [id:10142201],Paolo Banchero OVER PRA 31.5 (GOBLIN) [id:10147315],Kon Knueppel OVER PTS 16.5 (GOBLIN) [id:10142744],Yanic Niederhäuser UNDER PTS 7.5 (STANDARD) [id:10163558],Kobe Brown UNDER PR 15.5 (STANDARD) [id:10165823],0,
5,Ryan Kalkbrenner OVER PTS 2.5 (GOBLIN) [id:10165848] | Kon Knueppel OVER PTS 14.5 (GOBLIN) [id:10140034] | Anthony Black OVER PR 14.5 (GOBLIN) [id:10146726] | Yanic Niederhäuser UNDER PRA 14.5 (STANDARD) [id:10163560] | Marvin Bagley UNDER PR 24.5 (STANDARD) [id:10144912],0.4530846543721226,20.0,1.0,20.0,9.061693087442451,20.0,atlas,0.8540104820872931,0.06494809949504986,Ryan Kalkbrenner OVER PTS 2.5 (GOBLIN) [id:10165848] | Kon Knueppel OVER PTS 14.5 (GOBLIN) [id:10140034] | Anthony Black OVER PR 14.5 (GOBLIN) [id:10146726] | Yanic Niederhäuser UNDER PRA 14.5 (STANDARD) [id:10163560] | Marvin Bagley UNDER PR 24.5 (STANDARD) [id:10144912],0.01,0.096,0.0006494809949504986,0.1066494809949505,181.12721226785408,"['ryan kalkbrenner', 'kon knueppel', 'anthony black', 'yanic niederhäuser', 'marvin bagley']",1,Ryan Kalkbrenner OVER PTS 2.5 (GOBLIN) [id:10165848],Kon Knueppel OVER PTS 14.5 (GOBLIN) [id:10140034],Anthony Black OVER PR 14.5 (GOBLIN) [id:10146726],Yanic Niederhäuser UNDER PRA 14.5 (STANDARD) [id:10163560],Marvin Bagley UNDER PR 24.5 (STANDARD) [id:10144912],0,
5,Grant Williams OVER AST 0.5 (GOBLIN) [id:10139848] | Desmond Bane OVER PTS 14.5 (GOBLIN) [id:10143597] | Kon Knueppel OVER PRA 25.5 (GOBLIN) [id:10142745] | Yanic Niederhäuser UNDER PTS 7.5 (STANDARD) [id:10163558] | Marvin Bagley UNDER PR 24.5 (STANDARD) [id:10144912],0.44975972197615205,20.0,1.0,20.0,8.995194439523042,20.0,atlas,0.853542184123745,0.059684967678707165,Grant Williams OVER AST 0.5 (GOBLIN) [id:10139848] | Desmond Bane OVER PTS 14.5 (GOBLIN) [id:10143597] | Kon Knueppel OVER PRA 25.5 (GOBLIN) [id:10142745] | Yanic Niederhäuser UNDER PTS 7.5 (STANDARD) [id:10163558] | Marvin Bagley UNDER PR 24.5 (STANDARD) [id:10144912],0.01,0.096,0.0005968496767870717,0.10659684967678706,179.79729194078405,"['grant williams', 'desmond bane', 'kon knueppel', 'yanic niederhäuser', 'marvin bagley']",1,Grant Williams OVER AST 0.5 (GOBLIN) [id:10139848],Desmond Bane OVER PTS 14.5 (GOBLIN) [id:10143597],Kon Knueppel OVER PRA 25.5 (GOBLIN) [id:10142745],Yanic Niederhäuser UNDER PTS 7.5 (STANDARD) [id:10163558],Marvin Bagley UNDER PR 24.5 (STANDARD) [id:10144912],0,
5,Tre Jones OVER PR 9.5 (GOBLIN) [id:10142723] | Desmond Bane OVER PTS 14.5 (GOBLIN) [id:10143597] | Ryan Kalkbrenner OVER PRA 8.5 (GOBLIN) [id:10140200] | Tristan Vukcevic UNDER REB 5.5 (STANDARD) [id:10161263] | Kobe Brown UNDER RA 7.5 (STANDARD) [id:10165831],0.44018936552888477,20.0,1.0,20.0,8.803787310577695,20.0,atlas,0.8490008871839267,0.06580430014144663,Tre Jones OVER PR 9.5 (GOBLIN) [id:10142723] | Desmond Bane OVER PTS 14.5 (GOBLIN) [id:10143597] | Ryan Kalkbrenner OVER PRA 8.5 (GOBLIN) [id:10140200] | Tristan Vukcevic UNDER REB 5.5 (STANDARD) [id:10161263] | Kobe Brown UNDER RA 7.5 (STANDARD) [id:10165831],0.0,0.054,0.0006580430014144663,0.05465804300141447,176.0210881685525,"['tre jones', 'desmond bane', 'ryan kalkbrenner', 'tristan vukcevic', 'kobe brown']",1,Tre Jones OVER PR 9.5 (GOBLIN) [id:10142723],Desmond Bane OVER PTS 14.5 (GOBLIN) [id:10143597],Ryan Kalkbrenner OVER PRA 8.5 (GOBLIN) [id:10140200],Tristan Vukcevic UNDER REB 5.5 (STANDARD) [id:10161263],Kobe Brown UNDER RA 7.5 (STANDARD) [id:10165831],0,
