n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Jrue Holiday OVER RA 7.5 (GOBLIN) [id:10203582] | Kon Knueppel OVER PA 18.5 (GOBLIN) [id:10207110] | Kris Murray UNDER PTS 8.5 (STANDARD) [id:10192834] | Gui Santos UNDER PRA 22.5 (STANDARD) [id:10198331],0.42249284386083674,10.0,1.0,10.0,4.224928438608368,10.0,atlas,0.8099695207917202,0.07295907599057957,Jrue Holiday OVER RA 7.5 (GOBLIN) [id:10203582] | Kon Knueppel OVER PA 18.5 (GOBLIN) [id:10207110] | Kris Murray UNDER PTS 8.5 (STANDARD) [id:10192834] | Gui Santos UNDER PRA 22.5 (STANDARD) [id:10198331],0.01,0.054,0.0007295907599057957,0.0647295907599058,42.18455479532377,"['jrue holiday', 'kon knueppel', 'kris murray', 'gui santos']",1,Jrue Holiday OVER RA 7.5 (GOBLIN) [id:10203582],Kon Knueppel OVER PA 18.5 (GOBLIN) [id:10207110],Kris Murray UNDER PTS 8.5 (STANDARD) [id:10192834],Gui Santos UNDER PRA 22.5 (STANDARD) [id:10198331],0,
4,Jrue Holiday OVER REB 2.5 (GOBLIN) [id:10198025] | Kel'el Ware OVER PR 11.5 (GOBLIN) [id:10202463] | Gui Santos UNDER PA 17.5 (STANDARD) [id:10192358] | Kris Murray UNDER PR 13.5 (STANDARD) [id:10192836],0.40689157230691864,10.0,1.0,10.0,4.068915723069186,10.0,atlas,0.8016473716441201,0.07247311847262472,Jrue Holiday OVER REB 2.5 (GOBLIN) [id:10198025] | Kel'el Ware OVER PR 11.5 (GOBLIN) [id:10202463] | Gui Santos UNDER PA 17.5 (STANDARD) [id:10192358] | Kris Murray UNDER PR 13.5 (STANDARD) [id:10192836],0.01,0.024,0.0007247311847262473,0.03472473118472625,40.65443249950714,"['jrue holiday', ""kel'el ware"", 'gui santos', 'kris murray']",1,Jrue Holiday OVER REB 2.5 (GOBLIN) [id:10198025],Kel'el Ware OVER PR 11.5 (GOBLIN) [id:10202463],Gui Santos UNDER PA 17.5 (STANDARD) [id:10192358],Kris Murray UNDER PR 13.5 (STANDARD) [id:10192836],0,
4,Tyler Herro OVER PR 19.5 (GOBLIN) [id:10200175] | Jrue Holiday OVER RA 8.5 (GOBLIN) [id:10192810] | John Konchar UNDER PR 10.5 (STANDARD) [id:10195157] | Gui Santos UNDER PTS 14 (STANDARD) [id:10192357],0.40200614242690264,10.0,1.0,10.0,4.020061424269026,10.0,atlas,0.7975421073830411,0.07281900157987278,Tyler Herro OVER PR 19.5 (GOBLIN) [id:10200175] | Jrue Holiday OVER RA 8.5 (GOBLIN) [id:10192810] | John Konchar UNDER PR 10.5 (STANDARD) [id:10195157] | Gui Santos UNDER PTS 14 (STANDARD) [id:10192357],0.0,0.054,0.0007281900157987279,0.054728190015798726,40.14588605267446,"['tyler herro', 'jrue holiday', 'john konchar', 'gui santos']",1,Tyler Herro OVER PR 19.5 (GOBLIN) [id:10200175],Jrue Holiday OVER RA 8.5 (GOBLIN) [id:10192810],John Konchar UNDER PR 10.5 (STANDARD) [id:10195157],Gui Santos UNDER PTS 14 (STANDARD) [id:10192357],0,
4,Kel'el Ware OVER PTS 5.5 (GOBLIN) [id:10203434] | Kyshawn George OVER AST 1.5 (GOBLIN) [id:10196357] | Gui Santos UNDER PA 17.5 (STANDARD) [id:10192358] | Scoot Henderson UNDER PA 21.5 (STANDARD) [id:10192878],0.388879832549851,10.0,1.0,10.0,3.88879832549851,10.0,atlas,0.7924270547569642,0.06292202779114071,Kel'el Ware OVER PTS 5.5 (GOBLIN) [id:10203434] | Kyshawn George OVER AST 1.5 (GOBLIN) [id:10196357] | Gui Santos UNDER PA 17.5 (STANDARD) [id:10192358] | Scoot Henderson UNDER PA 21.5 (STANDARD) [id:10192878],0.0,0.054,0.0006292202779114071,0.05462922027791141,38.833354034707185,"[""kel'el ware"", 'kyshawn george', 'gui santos', 'scoot henderson']",1,Kel'el Ware OVER PTS 5.5 (GOBLIN) [id:10203434],Kyshawn George OVER AST 1.5 (GOBLIN) [id:10196357],Gui Santos UNDER PA 17.5 (STANDARD) [id:10192358],Scoot Henderson UNDER PA 21.5 (STANDARD) [id:10192878],0,
4,Bam Adebayo OVER PRA 24.5 (GOBLIN) [id:10201178] | Kon Knueppel OVER PRA 24.5 (GOBLIN) [id:10200683] | Ryan Kalkbrenner OVER PRA 9.5 (STANDARD) [id:10205202] | Jaime Jaquez OVER REB 4 (STANDARD) [id:10198622],0.3796526741382086,10.0,1.0,10.0,3.7965267413820856,10.0,atlas,0.7903959604039597,0.06274223702923235,Bam Adebayo OVER PRA 24.5 (GOBLIN) [id:10201178] | Kon Knueppel OVER PRA 24.5 (GOBLIN) [id:10200683] | Ryan Kalkbrenner OVER PRA 9.5 (STANDARD) [id:10205202] | Jaime Jaquez OVER REB 4 (STANDARD) [id:10198622],0.02,0.024,0.0006274223702923235,0.04462742237029232,37.92063999145057,"['bam adebayo', 'kon knueppel', 'ryan kalkbrenner', 'jaime jaquez']",1,Bam Adebayo OVER PRA 24.5 (GOBLIN) [id:10201178],Kon Knueppel OVER PRA 24.5 (GOBLIN) [id:10200683],Ryan Kalkbrenner OVER PRA 9.5 (STANDARD) [id:10205202],Jaime Jaquez OVER REB 4 (STANDARD) [id:10198622],0,
4,Tyler Herro OVER PTS 14.5 (GOBLIN) [id:10198864] | Donovan Clingan OVER RA 11.5 (GOBLIN) [id:10202175] | Kel'el Ware OVER PTS 8 (STANDARD) [id:10201834] | Isaiah Collier UNDER PTS 15.5 (STANDARD) [id:10195072],0.3767066435377846,10.0,1.0,10.0,3.767066435377846,10.0,atlas,0.7876674201578602,0.05591835599673028,Tyler Herro OVER PTS 14.5 (GOBLIN) [id:10198864] | Donovan Clingan OVER RA 11.5 (GOBLIN) [id:10202175] | Kel'el Ware OVER PTS 8 (STANDARD) [id:10201834] | Isaiah Collier UNDER PTS 15.5 (STANDARD) [id:10195072],0.01,0.054,0.0005591835599673028,0.0645591835599673,37.6061051702185,"['tyler herro', 'donovan clingan', ""kel'el ware"", 'isaiah collier']",1,Tyler Herro OVER PTS 14.5 (GOBLIN) [id:10198864],Donovan Clingan OVER RA 11.5 (GOBLIN) [id:10202175],Kel'el Ware OVER PTS 8 (STANDARD) [id:10201834],Isaiah Collier UNDER PTS 15.5 (STANDARD) [id:10195072],0,
4,Bam Adebayo OVER PA 16.5 (GOBLIN) [id:10206736] | Coby White OVER AST 1.5 (GOBLIN) [id:10207536] | John Konchar UNDER PA 8.5 (STANDARD) [id:10195156] | Isaiah Collier UNDER PTS 15.5 (STANDARD) [id:10195072],0.371827425983263,10.0,1.0,10.0,3.71827425983263,10.0,atlas,0.7820579382998609,0.06750671536543573,Bam Adebayo OVER PA 16.5 (GOBLIN) [id:10206736] | Coby White OVER AST 1.5 (GOBLIN) [id:10207536] | John Konchar UNDER PA 8.5 (STANDARD) [id:10195156] | Isaiah Collier UNDER PTS 15.5 (STANDARD) [id:10195072],0.01,0.054,0.0006750671536543574,0.06467506715365436,37.11806753117265,"['bam adebayo', 'coby white', 'john konchar', 'isaiah collier']",1,Bam Adebayo OVER PA 16.5 (GOBLIN) [id:10206736],Coby White OVER AST 1.5 (GOBLIN) [id:10207536],John Konchar UNDER PA 8.5 (STANDARD) [id:10195156],Isaiah Collier UNDER PTS 15.5 (STANDARD) [id:10195072],0,
4,Pelle Larsson OVER PA 10.5 (GOBLIN) [id:10206815] | Jrue Holiday OVER REB 2.5 (GOBLIN) [id:10198025] | Ryan Kalkbrenner OVER PRA 9.5 (STANDARD) [id:10205202] | Kris Murray UNDER REB 5 (STANDARD) [id:10194217],0.36935553932365117,10.0,1.0,10.0,3.6935553932365117,10.0,atlas,0.7832869112468218,0.06370196161250022,Pelle Larsson OVER PA 10.5 (GOBLIN) [id:10206815] | Jrue Holiday OVER REB 2.5 (GOBLIN) [id:10198025] | Ryan Kalkbrenner OVER PRA 9.5 (STANDARD) [id:10205202] | Kris Murray UNDER REB 5 (STANDARD) [id:10194217],0.01,0.012,0.0006370196161250022,0.022637019616125,36.91291691274899,"['pelle larsson', 'jrue holiday', 'ryan kalkbrenner', 'kris murray']",1,Pelle Larsson OVER PA 10.5 (GOBLIN) [id:10206815],Jrue Holiday OVER REB 2.5 (GOBLIN) [id:10198025],Ryan Kalkbrenner OVER PRA 9.5 (STANDARD) [id:10205202],Kris Murray UNDER REB 5 (STANDARD) [id:10194217],0,
4,Ryan Kalkbrenner OVER PR 5.5 (GOBLIN) [id:10207121] | Jaime Jaquez OVER PA 14.5 (GOBLIN) [id:10200160] | Kyshawn George OVER PRA 17.5 (STANDARD) [id:10196377] | Tristan Vukcevic UNDER REB 5 (STANDARD) [id:10205183],0.36245360395022036,10.0,1.0,10.0,3.6245360395022037,10.0,atlas,0.7789095652015539,0.06977869119786771,Ryan Kalkbrenner OVER PR 5.5 (GOBLIN) [id:10207121] | Jaime Jaquez OVER PA 14.5 (GOBLIN) [id:10200160] | Kyshawn George OVER PRA 17.5 (STANDARD) [id:10196377] | Tristan Vukcevic UNDER REB 5 (STANDARD) [id:10205183],0.01,0.024,0.0006977869119786771,0.03469778691197868,36.210662608110056,"['ryan kalkbrenner', 'jaime jaquez', 'kyshawn george', 'tristan vukcevic']",1,Ryan Kalkbrenner OVER PR 5.5 (GOBLIN) [id:10207121],Jaime Jaquez OVER PA 14.5 (GOBLIN) [id:10200160],Kyshawn George OVER PRA 17.5 (STANDARD) [id:10196377],Tristan Vukcevic UNDER REB 5 (STANDARD) [id:10205183],0,
4,Jaime Jaquez OVER PA 13.5 (GOBLIN) [id:10206804] | Andrew Wiggins OVER PR 15.5 (GOBLIN) [id:10206734] | Brice Sensabaugh UNDER PR 20.5 (STANDARD) [id:10194848] | Tristan Vukcevic UNDER REB 5 (STANDARD) [id:10205183],0.36237336675915294,10.0,1.0,10.0,3.6237336675915293,10.0,atlas,0.7811478761245323,0.07220873909102715,Jaime Jaquez OVER PA 13.5 (GOBLIN) [id:10206804] | Andrew Wiggins OVER PR 15.5 (GOBLIN) [id:10206734] | Brice Sensabaugh UNDER PR 20.5 (STANDARD) [id:10194848] | Tristan Vukcevic UNDER REB 5 (STANDARD) [id:10205183],0.01,0.024,0.0007220873909102715,0.034722087390910275,36.20261458852438,"['jaime jaquez', 'andrew wiggins', 'brice sensabaugh', 'tristan vukcevic']",1,Jaime Jaquez OVER PA 13.5 (GOBLIN) [id:10206804],Andrew Wiggins OVER PR 15.5 (GOBLIN) [id:10206734],Brice Sensabaugh UNDER PR 20.5 (STANDARD) [id:10194848],Tristan Vukcevic UNDER REB 5 (STANDARD) [id:10205183],0,
