n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,Darius Garland OVER AST 3.5 (GOBLIN) [id:10290358] | Jaylen Wells OVER PTS 12.5 (STANDARD) [id:10293366] | GG Jackson UNDER PR 19.5 (STANDARD) [id:10293642],0.3159304786929371,6.0,1.1007446074195717,6.60446764451743,2.0865526244444066,6.0,pp_kernel,0.6901671643321833,0.06096787269292878,Darius Garland OVER AST 3.5 (GOBLIN) [id:10290358] | Jaylen Wells OVER PTS 12.5 (STANDARD) [id:10293366] | GG Jackson UNDER PR 19.5 (STANDARD) [id:10293642],0.01,0.024,0.0006096787269292878,0.03460967872692929,13.745959617999084,"['darius garland', 'jaylen wells', 'gg jackson']",13.780569296726012,1,Darius Garland OVER AST 3.5 (GOBLIN) [id:10290358],Jaylen Wells OVER PTS 12.5 (STANDARD) [id:10293366],GG Jackson UNDER PR 19.5 (STANDARD) [id:10293642],0,
3,Kon Knueppel OVER PRA 19.5 (GOBLIN) [id:10293616] | GG Jackson UNDER PA 14.5 (STANDARD) [id:10303495] | Jaylen Wells OVER PRA 17.5 (STANDARD) [id:10293374],0.2916459176111158,6.0,1.1427003013623451,6.85620180817407,1.999583267671918,6.0,pp_kernel,0.667329823374025,0.07926098840686495,Kon Knueppel OVER PRA 19.5 (GOBLIN) [id:10293616] | GG Jackson UNDER PA 14.5 (STANDARD) [id:10303495] | Jaylen Wells OVER PRA 17.5 (STANDARD) [id:10293374],0.01,0.024,0.0007926098840686496,0.034792609884068654,13.674753805522753,"['kon knueppel', 'gg jackson', 'jaylen wells']",13.709546415406821,1,Kon Knueppel OVER PRA 19.5 (GOBLIN) [id:10293616],GG Jackson UNDER PA 14.5 (STANDARD) [id:10303495],Jaylen Wells OVER PRA 17.5 (STANDARD) [id:10293374],0,
3,Bobby Portis OVER PA 9.5 (GOBLIN) [id:10287629] | Jaylen Wells OVER PRA 17.5 (STANDARD) [id:10293374] | GG Jackson UNDER PRA 20.5 (STANDARD) [id:10303365],0.2832766962721413,6.0,1.1391672861496982,6.835003716898189,1.9361972719307252,6.0,pp_kernel,0.6595074930558448,0.07929459860224743,Bobby Portis OVER PA 9.5 (GOBLIN) [id:10287629] | Jaylen Wells OVER PRA 17.5 (STANDARD) [id:10293374] | GG Jackson UNDER PRA 20.5 (STANDARD) [id:10303365],0.01,0.024,0.0007929459860224743,0.03479294598602248,13.199122604308618,"['bobby portis', 'jaylen wells', 'gg jackson']",13.233915550294642,1,Bobby Portis OVER PA 9.5 (GOBLIN) [id:10287629],Jaylen Wells OVER PRA 17.5 (STANDARD) [id:10293374],GG Jackson UNDER PRA 20.5 (STANDARD) [id:10303365],0,
3,Shai Gilgeous-Alexander OVER PTS 24.5 (GOBLIN) [id:10290938] | Jerami Grant OVER RA 5.5 (STANDARD) [id:10295205] | Jaylen Wells UNDER PRA 17.5 (STANDARD) [id:10293374],0.14511139413239582,6.0,1.5854653076185812,9.512791845711487,1.3804144868224806,6.0,pp_kernel,0.5527069260725349,0.06614345033100198,Shai Gilgeous-Alexander OVER PTS 24.5 (GOBLIN) [id:10290938] | Jerami Grant OVER RA 5.5 (STANDARD) [id:10295205] | Jaylen Wells UNDER PRA 17.5 (STANDARD) [id:10293374],0.0,0.024,0.0006614345033100199,0.02466143450331002,13.106934239443591,"['shai gilgeous-alexander', 'jerami grant', 'jaylen wells']",13.1315956739469,1,Shai Gilgeous-Alexander OVER PTS 24.5 (GOBLIN) [id:10290938],Jerami Grant OVER RA 5.5 (STANDARD) [id:10295205],Jaylen Wells UNDER PRA 17.5 (STANDARD) [id:10293374],0,
3,Ryan Rollins OVER PTS 9.5 (GOBLIN) [id:10284867] | Myles Turner UNDER PRA 17.5 (STANDARD) [id:10286279] | GG Jackson UNDER PRA 20.5 (STANDARD) [id:10303365],0.20975625860964897,6.0,1.3093063784160834,7.8558382704965,1.6478112438618413,6.0,pp_kernel,0.6179318430498585,0.07605978821454752,Ryan Rollins OVER PTS 9.5 (GOBLIN) [id:10284867] | Myles Turner UNDER PRA 17.5 (STANDARD) [id:10286279] | GG Jackson UNDER PRA 20.5 (STANDARD) [id:10303365],0.01,0.024,0.0007605978821454753,0.03476059788214548,12.910178034202149,"['ryan rollins', 'myles turner', 'gg jackson']",12.944938632084295,1,Ryan Rollins OVER PTS 9.5 (GOBLIN) [id:10284867],Myles Turner UNDER PRA 17.5 (STANDARD) [id:10286279],GG Jackson UNDER PRA 20.5 (STANDARD) [id:10303365],0,
3,Darius Garland OVER AST 3.5 (GOBLIN) [id:10290358] | Sam Hauser OVER PTS 9.5 (STANDARD) [id:10286876] | Myles Turner OVER RA 6.5 (STANDARD) [id:10286517],0.14678124828330047,6.0,1.519460540103737,9.116763240622422,1.3381698887618667,6.0,pp_kernel,0.5597301942339826,0.04864141505532409,Darius Garland OVER AST 3.5 (GOBLIN) [id:10290358] | Sam Hauser OVER PTS 9.5 (STANDARD) [id:10286876] | Myles Turner OVER RA 6.5 (STANDARD) [id:10286517],0.0,0.024,0.00048641415055324094,0.02448641415055324,12.175291637421429,"['darius garland', 'sam hauser', 'myles turner']",12.199778051571982,1,Darius Garland OVER AST 3.5 (GOBLIN) [id:10290358],Sam Hauser OVER PTS 9.5 (STANDARD) [id:10286876],Myles Turner OVER RA 6.5 (STANDARD) [id:10286517],0,
3,Darius Garland OVER AST 3.5 (GOBLIN) [id:10290358] | Nikola Vučević UNDER REB 6.5 (STANDARD) [id:10286859] | Derrick White OVER PA 22.5 (STANDARD) [id:10286660],0.15908544898957203,6.0,1.4526196298740275,8.715717779244166,1.3865438761774538,6.0,pp_kernel,0.5728520384106895,0.05377220538762694,Darius Garland OVER AST 3.5 (GOBLIN) [id:10290358] | Nikola Vučević UNDER REB 6.5 (STANDARD) [id:10286859] | Derrick White OVER PA 22.5 (STANDARD) [id:10286660],0.01,0.006,0.0005377220538762695,0.01653772205387627,12.068187391248077,"['darius garland', 'nikola vučević', 'derrick white']",12.084725113301953,1,Darius Garland OVER AST 3.5 (GOBLIN) [id:10290358],Nikola Vučević UNDER REB 6.5 (STANDARD) [id:10286859],Derrick White OVER PA 22.5 (STANDARD) [id:10286660],0,
3,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10303389] | Moussa Diabaté UNDER PR 16.5 (STANDARD) [id:10291968] | Robert Williams UNDER PTS 6 (STANDARD) [id:10296093],0.17574544624867805,6.0,1.3728455220793867,8.23707313247632,1.4476280934500472,6.0,pp_kernel,0.5830532227674429,0.06362655294980826,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10303389] | Moussa Diabaté UNDER PR 16.5 (STANDARD) [id:10291968] | Robert Williams UNDER PTS 6 (STANDARD) [id:10296093],0.01,0.006,0.0006362655294980826,0.01663626552949808,11.907582208845806,"['ryan kalkbrenner', 'moussa diabaté', 'robert williams']",11.924218474375305,1,Ryan Kalkbrenner OVER REB 2.5 (GOBLIN) [id:10303389],Moussa Diabaté UNDER PR 16.5 (STANDARD) [id:10291968],Robert Williams UNDER PTS 6 (STANDARD) [id:10296093],0,
3,Darius Garland OVER PA 14.5 (GOBLIN) [id:10292066] | Keyonte George UNDER PTS 22.5 (STANDARD) [id:10291457] | LaMelo Ball UNDER REB 4 (STANDARD) [id:10297836],0.14921648273697014,6.0,1.478441049464879,8.870646296789275,1.3236466400106248,6.0,pp_kernel,0.5561354974468984,0.06288174307373069,Darius Garland OVER PA 14.5 (GOBLIN) [id:10292066] | Keyonte George UNDER PTS 22.5 (STANDARD) [id:10291457] | LaMelo Ball UNDER REB 4 (STANDARD) [id:10297836],0.0,0.006,0.000628817430737307,0.006628817430737307,11.734972348037077,"['darius garland', 'keyonte george', 'lamelo ball']",11.741601165467815,1,Darius Garland OVER PA 14.5 (GOBLIN) [id:10292066],Keyonte George UNDER PTS 22.5 (STANDARD) [id:10291457],LaMelo Ball UNDER REB 4 (STANDARD) [id:10297836],0,
3,Nickeil Alexander-Walker OVER PR 14.5 (GOBLIN) [id:10286939] | Nikola Vučević UNDER REB 6.5 (STANDARD) [id:10286859] | Jay Huff OVER PRA 16.5 (STANDARD) [id:10290456],0.12181231251368947,6.0,1.6294361528840864,9.77661691730452,1.1909123152573216,6.0,pp_kernel,0.5270014121493004,0.05944119982335285,Nickeil Alexander-Walker OVER PR 14.5 (GOBLIN) [id:10286939] | Nikola Vučević UNDER REB 6.5 (STANDARD) [id:10286859] | Jay Huff OVER PRA 16.5 (STANDARD) [id:10290456],0.0,0.006,0.0005944119982335285,0.0065944119982335285,11.636499076372788,"['nickeil alexander-walker', 'nikola vučević', 'jay huff']",11.643093488371022,1,Nickeil Alexander-Walker OVER PR 14.5 (GOBLIN) [id:10286939],Nikola Vučević UNDER REB 6.5 (STANDARD) [id:10286859],Jay Huff OVER PRA 16.5 (STANDARD) [id:10290456],0,
