n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10352014] | Carter Bryant UNDER PTS 7.5 (STANDARD) [id:10365457] | Ryan Kalkbrenner OVER PRA 9.5 (STANDARD) [id:10365361] | Aaron Gordon OVER PRA 17.5 (DEMON) [id:10354011],0.45554444734719773,10.0,1.0,10.0,4.555444473471978,10.0,atlas,0.8219188821989704,0.06093523732523477,Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10352014] | Carter Bryant UNDER PTS 7.5 (STANDARD) [id:10365457] | Ryan Kalkbrenner OVER PRA 9.5 (STANDARD) [id:10365361] | Aaron Gordon OVER PRA 17.5 (DEMON) [id:10354011],0.0,0.054,0.0006093523732523477,0.054609352373252346,45.49983538234652,"['dejounte murray', 'carter bryant', 'ryan kalkbrenner', 'aaron gordon']",1,Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10352014],Carter Bryant UNDER PTS 7.5 (STANDARD) [id:10365457],Ryan Kalkbrenner OVER PRA 9.5 (STANDARD) [id:10365361],Aaron Gordon OVER PRA 17.5 (DEMON) [id:10354011],0,
4,Amen Thompson OVER RA 9.5 (GOBLIN) [id:10353187] | Jayson Tatum OVER PRA 22.5 (STANDARD) [id:10339341] | Carter Bryant UNDER PTS 7.5 (STANDARD) [id:10365457] | Aaron Gordon OVER PA 14.5 (DEMON) [id:10364571],0.43376001247903606,10.0,1.0,10.0,4.33760012479036,10.0,atlas,0.8138111399593505,0.07221794951713122,Amen Thompson OVER RA 9.5 (GOBLIN) [id:10353187] | Jayson Tatum OVER PRA 22.5 (STANDARD) [id:10339341] | Carter Bryant UNDER PTS 7.5 (STANDARD) [id:10365457] | Aaron Gordon OVER PA 14.5 (DEMON) [id:10364571],0.0,0.054,0.0007221794951713121,0.05472217949517131,43.32127906840844,"['amen thompson', 'jayson tatum', 'carter bryant', 'aaron gordon']",1,Amen Thompson OVER RA 9.5 (GOBLIN) [id:10353187],Jayson Tatum OVER PRA 22.5 (STANDARD) [id:10339341],Carter Bryant UNDER PTS 7.5 (STANDARD) [id:10365457],Aaron Gordon OVER PA 14.5 (DEMON) [id:10364571],0,
4,Jayson Tatum OVER PTS 11.5 (GOBLIN) [id:10339730] | Amen Thompson OVER REB 7 (STANDARD) [id:10357106] | Carter Bryant UNDER PRA 12.5 (STANDARD) [id:10365462] | Aaron Gordon OVER PRA 17.5 (DEMON) [id:10354011],0.42242122545405625,10.0,1.0,10.0,4.2242122545405625,10.0,atlas,0.8095183354046017,0.0643930424153757,Jayson Tatum OVER PTS 11.5 (GOBLIN) [id:10339730] | Amen Thompson OVER REB 7 (STANDARD) [id:10357106] | Carter Bryant UNDER PRA 12.5 (STANDARD) [id:10365462] | Aaron Gordon OVER PRA 17.5 (DEMON) [id:10354011],0.0,0.024,0.0006439304241537571,0.02464393042415376,42.21747861498147,"['jayson tatum', 'amen thompson', 'carter bryant', 'aaron gordon']",1,Jayson Tatum OVER PTS 11.5 (GOBLIN) [id:10339730],Amen Thompson OVER REB 7 (STANDARD) [id:10357106],Carter Bryant UNDER PRA 12.5 (STANDARD) [id:10365462],Aaron Gordon OVER PRA 17.5 (DEMON) [id:10354011],0,
4,Amen Thompson OVER PR 19.5 (GOBLIN) [id:10349973] | Jaxson Hayes UNDER PRA 17.5 (STANDARD) [id:10355440] | Kon Knueppel OVER PRA 27.5 (STANDARD) [id:10345187] | Jayson Tatum OVER PA 19.5 (DEMON) [id:10339732],0.42236561502403486,10.0,1.0,10.0,4.223656150240348,10.0,atlas,0.8095939009284949,0.07957079580650717,Amen Thompson OVER PR 19.5 (GOBLIN) [id:10349973] | Jaxson Hayes UNDER PRA 17.5 (STANDARD) [id:10355440] | Kon Knueppel OVER PRA 27.5 (STANDARD) [id:10345187] | Jayson Tatum OVER PA 19.5 (DEMON) [id:10339732],0.0,0.054,0.0007957079580650717,0.05479570795806507,42.18176579444542,"['amen thompson', 'jaxson hayes', 'kon knueppel', 'jayson tatum']",1,Amen Thompson OVER PR 19.5 (GOBLIN) [id:10349973],Jaxson Hayes UNDER PRA 17.5 (STANDARD) [id:10355440],Kon Knueppel OVER PRA 27.5 (STANDARD) [id:10345187],Jayson Tatum OVER PA 19.5 (DEMON) [id:10339732],0,
4,Ryan Kalkbrenner OVER RA 3.5 (GOBLIN) [id:10366760] | Payton Pritchard OVER PRA 24.5 (STANDARD) [id:10348389] | Carter Bryant UNDER PTS 7.5 (STANDARD) [id:10365457] | Jayson Tatum OVER PA 19.5 (DEMON) [id:10339732],0.4205918231395166,10.0,1.0,10.0,4.205918231395166,10.0,atlas,0.8088092004514777,0.07042331638496543,Ryan Kalkbrenner OVER RA 3.5 (GOBLIN) [id:10366760] | Payton Pritchard OVER PRA 24.5 (STANDARD) [id:10348389] | Carter Bryant UNDER PTS 7.5 (STANDARD) [id:10365457] | Jayson Tatum OVER PA 19.5 (DEMON) [id:10339732],0.01,0.054,0.0007042331638496544,0.06470423316384966,41.99447808078781,"['ryan kalkbrenner', 'payton pritchard', 'carter bryant', 'jayson tatum']",1,Ryan Kalkbrenner OVER RA 3.5 (GOBLIN) [id:10366760],Payton Pritchard OVER PRA 24.5 (STANDARD) [id:10348389],Carter Bryant UNDER PTS 7.5 (STANDARD) [id:10365457],Jayson Tatum OVER PA 19.5 (DEMON) [id:10339732],0,
4,Dejounte Murray OVER PA 14.5 (GOBLIN) [id:10353219] | Oso Ighodaro UNDER REB 8.5 (STANDARD) [id:10351223] | Jabari Smith OVER PR 19.5 (STANDARD) [id:10349242] | Aaron Gordon OVER PA 14.5 (DEMON) [id:10364571],0.3860309087342751,10.0,1.0,10.0,3.860309087342751,10.0,atlas,0.7897375351832303,0.074154580855608,Dejounte Murray OVER PA 14.5 (GOBLIN) [id:10353219] | Oso Ighodaro UNDER REB 8.5 (STANDARD) [id:10351223] | Jabari Smith OVER PR 19.5 (STANDARD) [id:10349242] | Aaron Gordon OVER PA 14.5 (DEMON) [id:10364571],0.0,0.024,0.00074154580855608,0.02474154580855608,38.57834932761896,"['dejounte murray', 'oso ighodaro', 'jabari smith', 'aaron gordon']",1,Dejounte Murray OVER PA 14.5 (GOBLIN) [id:10353219],Oso Ighodaro UNDER REB 8.5 (STANDARD) [id:10351223],Jabari Smith OVER PR 19.5 (STANDARD) [id:10349242],Aaron Gordon OVER PA 14.5 (DEMON) [id:10364571],0,
4,Coby White OVER PTS 7.5 (GOBLIN) [id:10348862] | Oso Ighodaro UNDER REB 8.5 (STANDARD) [id:10351223] | Tim Hardaway OVER PRA 12.5 (STANDARD) [id:10365412] | Ryan Kalkbrenner OVER PR 9.5 (DEMON) [id:10367806],0.349854806291435,10.0,1.0,10.0,3.49854806291435,10.0,atlas,0.7734660879438084,0.06514418800242014,Coby White OVER PTS 7.5 (GOBLIN) [id:10348862] | Oso Ighodaro UNDER REB 8.5 (STANDARD) [id:10351223] | Tim Hardaway OVER PRA 12.5 (STANDARD) [id:10365412] | Ryan Kalkbrenner OVER PR 9.5 (DEMON) [id:10367806],0.01,0.024,0.0006514418800242014,0.034651441880024204,34.95082918726348,"['coby white', 'oso ighodaro', 'tim hardaway', 'ryan kalkbrenner']",1,Coby White OVER PTS 7.5 (GOBLIN) [id:10348862],Oso Ighodaro UNDER REB 8.5 (STANDARD) [id:10351223],Tim Hardaway OVER PRA 12.5 (STANDARD) [id:10365412],Ryan Kalkbrenner OVER PR 9.5 (DEMON) [id:10367806],0,
4,Amen Thompson OVER REB 5.5 (GOBLIN) [id:10349559] | Myron Gardner UNDER PTS 6.5 (STANDARD) [id:10368162] | Oso Ighodaro UNDER REB 8.5 (STANDARD) [id:10351223] | Cameron Johnson OVER AST 1.5 (DEMON) [id:10353646],0.3399270933793414,10.0,1.0,10.0,3.399270933793414,10.0,atlas,0.7696451363121,0.051352397610114175,Amen Thompson OVER REB 5.5 (GOBLIN) [id:10349559] | Myron Gardner UNDER PTS 6.5 (STANDARD) [id:10368162] | Oso Ighodaro UNDER REB 8.5 (STANDARD) [id:10351223] | Cameron Johnson OVER AST 1.5 (DEMON) [id:10353646],0.0,0.012,0.0005135239761011418,0.012513523976101141,33.980195813958034,"['amen thompson', 'myron gardner', 'oso ighodaro', 'cameron johnson']",1,Amen Thompson OVER REB 5.5 (GOBLIN) [id:10349559],Myron Gardner UNDER PTS 6.5 (STANDARD) [id:10368162],Oso Ighodaro UNDER REB 8.5 (STANDARD) [id:10351223],Cameron Johnson OVER AST 1.5 (DEMON) [id:10353646],0,
4,Dejounte Murray OVER PA 14.5 (GOBLIN) [id:10353219] | Tim Hardaway OVER PRA 12.5 (STANDARD) [id:10365412] | Oso Ighodaro UNDER REB 8.5 (STANDARD) [id:10351223] | Jaylen Brown OVER PRA 41.5 (DEMON) [id:10348689],0.3297313172493556,10.0,1.0,10.0,3.2973131724935563,10.0,atlas,0.7648650224345053,0.07324895048530014,Dejounte Murray OVER PA 14.5 (GOBLIN) [id:10353219] | Tim Hardaway OVER PRA 12.5 (STANDARD) [id:10365412] | Oso Ighodaro UNDER REB 8.5 (STANDARD) [id:10351223] | Jaylen Brown OVER PRA 41.5 (DEMON) [id:10348689],0.0,0.024,0.0007324895048530014,0.024732489504853003,32.948399235430706,"['dejounte murray', 'tim hardaway', 'oso ighodaro', 'jaylen brown']",1,Dejounte Murray OVER PA 14.5 (GOBLIN) [id:10353219],Tim Hardaway OVER PRA 12.5 (STANDARD) [id:10365412],Oso Ighodaro UNDER REB 8.5 (STANDARD) [id:10351223],Jaylen Brown OVER PRA 41.5 (DEMON) [id:10348689],0,
4,Coby White OVER AST 1.5 (GOBLIN) [id:10361085] | Brook Lopez UNDER PR 14.5 (STANDARD) [id:10349387] | Ryan Kalkbrenner OVER PRA 9.5 (STANDARD) [id:10365361] | Tim Hardaway OVER PTS 11.5 (DEMON) [id:10365407],0.3056541053179003,10.0,1.0,10.0,3.056541053179003,10.0,atlas,0.7482701917722329,0.06440547748107148,Coby White OVER AST 1.5 (GOBLIN) [id:10361085] | Brook Lopez UNDER PR 14.5 (STANDARD) [id:10349387] | Ryan Kalkbrenner OVER PRA 9.5 (STANDARD) [id:10365361] | Tim Hardaway OVER PTS 11.5 (DEMON) [id:10365407],0.01,0.054,0.0006440547748107147,0.06464405477481072,30.500766477015222,"['coby white', 'brook lopez', 'ryan kalkbrenner', 'tim hardaway']",1,Coby White OVER AST 1.5 (GOBLIN) [id:10361085],Brook Lopez UNDER PR 14.5 (STANDARD) [id:10349387],Ryan Kalkbrenner OVER PRA 9.5 (STANDARD) [id:10365361],Tim Hardaway OVER PTS 11.5 (DEMON) [id:10365407],0,
