n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Josh Giddey OVER REB 4.5 (GOBLIN) [id:10216199] | Jalen Suggs OVER PA 9.5 (GOBLIN) [id:10215976] | Derrick White OVER PR 14.5 (GOBLIN) [id:10215697] | Kobe Brown UNDER PR 17.5 (STANDARD) [id:10217857] | Rob Dillingham UNDER PR 11.5 (STANDARD) [id:10216211],0.5703133005941746,20.0,1.0,20.0,11.406266011883492,20.0,atlas,0.8946205379462053,0.07326201958111327,Josh Giddey OVER REB 4.5 (GOBLIN) [id:10216199] | Jalen Suggs OVER PA 9.5 (GOBLIN) [id:10215976] | Derrick White OVER PR 14.5 (GOBLIN) [id:10215697] | Kobe Brown UNDER PR 17.5 (STANDARD) [id:10217857] | Rob Dillingham UNDER PR 11.5 (STANDARD) [id:10216211],0.01,0.054,0.0007326201958111327,0.06473262019581114,228.06058761747406,"['josh giddey', 'jalen suggs', 'derrick white', 'kobe brown', 'rob dillingham']",1,Josh Giddey OVER REB 4.5 (GOBLIN) [id:10216199],Jalen Suggs OVER PA 9.5 (GOBLIN) [id:10215976],Derrick White OVER PR 14.5 (GOBLIN) [id:10215697],Kobe Brown UNDER PR 17.5 (STANDARD) [id:10217857],Rob Dillingham UNDER PR 11.5 (STANDARD) [id:10216211],0,
5,Jalen Suggs OVER RA 5.5 (GOBLIN) [id:10217204] | Onyeka Okongwu OVER PRA 19.5 (GOBLIN) [id:10228573] | Desmond Bane OVER PTS 14.5 (GOBLIN) [id:10212683] | Kobe Brown UNDER PR 17.5 (STANDARD) [id:10217857] | Devin Carter UNDER PTS 11.5 (STANDARD) [id:10223599],0.4972836179059278,20.0,1.0,20.0,9.945672358118555,20.0,atlas,0.8705197316645317,0.06637533006306365,Jalen Suggs OVER RA 5.5 (GOBLIN) [id:10217204] | Onyeka Okongwu OVER PRA 19.5 (GOBLIN) [id:10228573] | Desmond Bane OVER PTS 14.5 (GOBLIN) [id:10212683] | Kobe Brown UNDER PR 17.5 (STANDARD) [id:10217857] | Devin Carter UNDER PTS 11.5 (STANDARD) [id:10223599],0.01,0.096,0.0006637533006306365,0.10666375330063063,198.80678340907048,"['jalen suggs', 'onyeka okongwu', 'desmond bane', 'kobe brown', 'devin carter']",1,Jalen Suggs OVER RA 5.5 (GOBLIN) [id:10217204],Onyeka Okongwu OVER PRA 19.5 (GOBLIN) [id:10228573],Desmond Bane OVER PTS 14.5 (GOBLIN) [id:10212683],Kobe Brown UNDER PR 17.5 (STANDARD) [id:10217857],Devin Carter UNDER PTS 11.5 (STANDARD) [id:10223599],0,
5,Jalen Suggs OVER PTS 5.5 (GOBLIN) [id:10216118] | Anthony Black OVER FG3M 0.5 (GOBLIN) [id:10212662] | Nickeil Alexander-Walker OVER PA 19.5 (GOBLIN) [id:10222897] | Kobe Brown UNDER PRA 20.5 (STANDARD) [id:10217859] | Tristan Silva UNDER PA 10.5 (STANDARD) [id:10212720],0.4804628473026621,20.0,1.0,20.0,9.609256946053241,20.0,atlas,0.8645816056112988,0.06583935984190492,Jalen Suggs OVER PTS 5.5 (GOBLIN) [id:10216118] | Anthony Black OVER FG3M 0.5 (GOBLIN) [id:10212662] | Nickeil Alexander-Walker OVER PA 19.5 (GOBLIN) [id:10222897] | Kobe Brown UNDER PRA 20.5 (STANDARD) [id:10217859] | Tristan Silva UNDER PA 10.5 (STANDARD) [id:10212720],0.04,0.054,0.0006583935984190492,0.09465839359841904,192.0904805274664,"['jalen suggs', 'anthony black', 'nickeil alexander-walker', 'kobe brown', 'tristan silva']",1,Jalen Suggs OVER PTS 5.5 (GOBLIN) [id:10216118],Anthony Black OVER FG3M 0.5 (GOBLIN) [id:10212662],Nickeil Alexander-Walker OVER PA 19.5 (GOBLIN) [id:10222897],Kobe Brown UNDER PRA 20.5 (STANDARD) [id:10217859],Tristan Silva UNDER PA 10.5 (STANDARD) [id:10212720],0,
5,Anthony Black OVER AST 2.5 (GOBLIN) [id:10215939] | Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10226481] | Josh Giddey OVER REB 4.5 (GOBLIN) [id:10216199] | Tristan Silva UNDER PR 13 (STANDARD) [id:10213782] | Rob Dillingham UNDER PRA 15.5 (STANDARD) [id:10228369],0.48032030379723767,20.0,1.0,20.0,9.606406075944754,20.0,atlas,0.8641650121783051,0.05946853342200462,Anthony Black OVER AST 2.5 (GOBLIN) [id:10215939] | Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10226481] | Josh Giddey OVER REB 4.5 (GOBLIN) [id:10216199] | Tristan Silva UNDER PR 13 (STANDARD) [id:10213782] | Rob Dillingham UNDER PRA 15.5 (STANDARD) [id:10228369],0.02,0.054,0.0005946853342200462,0.07459468533422005,192.05352683356082,"['anthony black', 'dejounte murray', 'josh giddey', 'tristan silva', 'rob dillingham']",1,Anthony Black OVER AST 2.5 (GOBLIN) [id:10215939],Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10226481],Josh Giddey OVER REB 4.5 (GOBLIN) [id:10216199],Tristan Silva UNDER PR 13 (STANDARD) [id:10213782],Rob Dillingham UNDER PRA 15.5 (STANDARD) [id:10228369],0,
5,Wendell Carter OVER PTS 5.5 (GOBLIN) [id:10216004] | Josh Giddey OVER PRA 27.5 (GOBLIN) [id:10218313] | Payton Pritchard OVER REB 2.5 (GOBLIN) [id:10215739] | Guerschon Yabusele UNDER PRA 17.5 (STANDARD) [id:10213385] | Kobe Brown UNDER PR 17.5 (STANDARD) [id:10217857],0.47672531507457094,20.0,1.0,20.0,9.534506301491419,20.0,atlas,0.8628837116288371,0.06751534651161167,Wendell Carter OVER PTS 5.5 (GOBLIN) [id:10216004] | Josh Giddey OVER PRA 27.5 (GOBLIN) [id:10218313] | Payton Pritchard OVER REB 2.5 (GOBLIN) [id:10215739] | Guerschon Yabusele UNDER PRA 17.5 (STANDARD) [id:10213385] | Kobe Brown UNDER PR 17.5 (STANDARD) [id:10217857],0.01,0.054,0.0006751534651161168,0.06467515346511611,190.62545087636326,"['wendell carter', 'josh giddey', 'payton pritchard', 'guerschon yabusele', 'kobe brown']",1,Wendell Carter OVER PTS 5.5 (GOBLIN) [id:10216004],Josh Giddey OVER PRA 27.5 (GOBLIN) [id:10218313],Payton Pritchard OVER REB 2.5 (GOBLIN) [id:10215739],Guerschon Yabusele UNDER PRA 17.5 (STANDARD) [id:10213385],Kobe Brown UNDER PR 17.5 (STANDARD) [id:10217857],0,
5,Nickeil Alexander-Walker OVER PTS 14.5 (GOBLIN) [id:10222894] | Jalen Suggs OVER PRA 14.5 (GOBLIN) [id:10215982] | Paolo Banchero OVER PA 19.5 (GOBLIN) [id:10216121] | GG Jackson UNDER PTS 16.5 (STANDARD) [id:10217646] | Jarace Walker UNDER PA 22.5 (STANDARD) [id:10217693],0.46773041336410176,20.0,1.0,20.0,9.354608267282035,20.0,atlas,0.8606184638368395,0.06712989612933652,Nickeil Alexander-Walker OVER PTS 14.5 (GOBLIN) [id:10222894] | Jalen Suggs OVER PRA 14.5 (GOBLIN) [id:10215982] | Paolo Banchero OVER PA 19.5 (GOBLIN) [id:10216121] | GG Jackson UNDER PTS 16.5 (STANDARD) [id:10217646] | Jarace Walker UNDER PA 22.5 (STANDARD) [id:10217693],0.01,0.096,0.0006712989612933652,0.10667129896129336,186.9854940466794,"['nickeil alexander-walker', 'jalen suggs', 'paolo banchero', 'gg jackson', 'jarace walker']",1,Nickeil Alexander-Walker OVER PTS 14.5 (GOBLIN) [id:10222894],Jalen Suggs OVER PRA 14.5 (GOBLIN) [id:10215982],Paolo Banchero OVER PA 19.5 (GOBLIN) [id:10216121],GG Jackson UNDER PTS 16.5 (STANDARD) [id:10217646],Jarace Walker UNDER PA 22.5 (STANDARD) [id:10217693],0,
5,Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10226481] | Onyeka Okongwu OVER PRA 23.5 (GOBLIN) [id:10221634] | Josh Giddey OVER PRA 26.5 (GOBLIN) [id:10213469] | Jarace Walker UNDER REB 7.5 (STANDARD) [id:10217703] | Tristan Silva UNDER FG3M 1.5 (STANDARD) [id:10212715],0.4658869197488106,20.0,1.0,20.0,9.317738394976212,20.0,atlas,0.8599137450769103,0.05889293183141879,Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10226481] | Onyeka Okongwu OVER PRA 23.5 (GOBLIN) [id:10221634] | Josh Giddey OVER PRA 26.5 (GOBLIN) [id:10213469] | Jarace Walker UNDER REB 7.5 (STANDARD) [id:10217703] | Tristan Silva UNDER FG3M 1.5 (STANDARD) [id:10212715],0.0,0.024,0.0005889293183141879,0.02458892931831419,186.3301789702059,"['dejounte murray', 'onyeka okongwu', 'josh giddey', 'jarace walker', 'tristan silva']",1,Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10226481],Onyeka Okongwu OVER PRA 23.5 (GOBLIN) [id:10221634],Josh Giddey OVER PRA 26.5 (GOBLIN) [id:10213469],Jarace Walker UNDER REB 7.5 (STANDARD) [id:10217703],Tristan Silva UNDER FG3M 1.5 (STANDARD) [id:10212715],0,
5,Dejounte Murray OVER PA 14.5 (GOBLIN) [id:10226258] | Wendell Carter OVER PRA 16.5 (GOBLIN) [id:10226661] | Onyeka Okongwu OVER RA 7.5 (GOBLIN) [id:10223757] | Jarace Walker UNDER PTS 18.5 (STANDARD) [id:10217689] | Tristan Silva UNDER PR 13 (STANDARD) [id:10213782],0.4541088639977368,20.0,1.0,20.0,9.082177279954736,20.0,atlas,0.8544485660898351,0.07230678255839779,Dejounte Murray OVER PA 14.5 (GOBLIN) [id:10226258] | Wendell Carter OVER PRA 16.5 (GOBLIN) [id:10226661] | Onyeka Okongwu OVER RA 7.5 (GOBLIN) [id:10223757] | Jarace Walker UNDER PTS 18.5 (STANDARD) [id:10217689] | Tristan Silva UNDER PR 13 (STANDARD) [id:10213782],0.01,0.096,0.0007230678255839779,0.10672306782558398,181.53682253126914,"['dejounte murray', 'wendell carter', 'onyeka okongwu', 'jarace walker', 'tristan silva']",1,Dejounte Murray OVER PA 14.5 (GOBLIN) [id:10226258],Wendell Carter OVER PRA 16.5 (GOBLIN) [id:10226661],Onyeka Okongwu OVER RA 7.5 (GOBLIN) [id:10223757],Jarace Walker UNDER PTS 18.5 (STANDARD) [id:10217689],Tristan Silva UNDER PR 13 (STANDARD) [id:10213782],0,
5,Dejounte Murray OVER PR 14.5 (GOBLIN) [id:10223493] | Paolo Banchero OVER AST 3.5 (GOBLIN) [id:10214445] | T.J. McConnell OVER AST 2.5 (GOBLIN) [id:10218002] | Guerschon Yabusele UNDER PTS 10.5 (STANDARD) [id:10213379] | Jarace Walker UNDER PRA 29.5 (STANDARD) [id:10217696],0.4494896403808682,20.0,1.0,20.0,8.989792807617365,20.0,atlas,0.8523498585674115,0.06058744103575486,Dejounte Murray OVER PR 14.5 (GOBLIN) [id:10223493] | Paolo Banchero OVER AST 3.5 (GOBLIN) [id:10214445] | T.J. McConnell OVER AST 2.5 (GOBLIN) [id:10218002] | Guerschon Yabusele UNDER PTS 10.5 (STANDARD) [id:10213379] | Jarace Walker UNDER PRA 29.5 (STANDARD) [id:10217696],0.01,0.096,0.0006058744103575487,0.10660587441035754,179.68925027793694,"['dejounte murray', 'paolo banchero', 't.j. mcconnell', 'guerschon yabusele', 'jarace walker']",1,Dejounte Murray OVER PR 14.5 (GOBLIN) [id:10223493],Paolo Banchero OVER AST 3.5 (GOBLIN) [id:10214445],T.J. McConnell OVER AST 2.5 (GOBLIN) [id:10218002],Guerschon Yabusele UNDER PTS 10.5 (STANDARD) [id:10213379],Jarace Walker UNDER PRA 29.5 (STANDARD) [id:10217696],0,
5,Paolo Banchero OVER PR 24.5 (GOBLIN) [id:10216125] | Ayo Dosunmu OVER PTS 7.5 (GOBLIN) [id:10225027] | Onyeka Okongwu OVER PRA 19.5 (GOBLIN) [id:10228573] | Devin Carter UNDER PR 15.5 (STANDARD) [id:10223697] | Nolan Traore UNDER PRA 19.5 (STANDARD) [id:10219310],0.3827761751273394,20.0,1.0,20.0,7.655523502546789,20.0,atlas,0.8269733115004962,0.07175169702702781,Paolo Banchero OVER PR 24.5 (GOBLIN) [id:10216125] | Ayo Dosunmu OVER PTS 7.5 (GOBLIN) [id:10225027] | Onyeka Okongwu OVER PRA 19.5 (GOBLIN) [id:10228573] | Devin Carter UNDER PR 15.5 (STANDARD) [id:10223697] | Nolan Traore UNDER PRA 19.5 (STANDARD) [id:10219310],0.0,0.096,0.0007175169702702782,0.09671751697027028,153.0137525339655,"['paolo banchero', 'ayo dosunmu', 'onyeka okongwu', 'devin carter', 'nolan traore']",1,Paolo Banchero OVER PR 24.5 (GOBLIN) [id:10216125],Ayo Dosunmu OVER PTS 7.5 (GOBLIN) [id:10225027],Onyeka Okongwu OVER PRA 19.5 (GOBLIN) [id:10228573],Devin Carter UNDER PR 15.5 (STANDARD) [id:10223697],Nolan Traore UNDER PRA 19.5 (STANDARD) [id:10219310],0,
