n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Keyonte George OVER PRA 19.5 (GOBLIN) [id:10240867] | Amen Thompson OVER REB 5.5 (GOBLIN) [id:10237836] | Isaiah Collier UNDER PTS 13.5 (STANDARD) [id:10238806] | Gui Santos UNDER PTS 13.5 (STANDARD) [id:10241368] | Darius Garland OVER FG3M 1.5 (DEMON) [id:10241806],0.2444743135709121,20.0,1.0,20.0,4.889486271418242,20.0,atlas,0.7598530650135594,0.05567640887245455,Keyonte George OVER PRA 19.5 (GOBLIN) [id:10240867] | Amen Thompson OVER REB 5.5 (GOBLIN) [id:10237836] | Isaiah Collier UNDER PTS 13.5 (STANDARD) [id:10238806] | Gui Santos UNDER PTS 13.5 (STANDARD) [id:10241368] | Darius Garland OVER FG3M 1.5 (DEMON) [id:10241806],0.01,0.024,0.0005567640887245455,0.034556764088724545,97.75516866427611,"['keyonte george', 'amen thompson', 'isaiah collier', 'gui santos', 'darius garland']",1,Keyonte George OVER PRA 19.5 (GOBLIN) [id:10240867],Amen Thompson OVER REB 5.5 (GOBLIN) [id:10237836],Isaiah Collier UNDER PTS 13.5 (STANDARD) [id:10238806],Gui Santos UNDER PTS 13.5 (STANDARD) [id:10241368],Darius Garland OVER FG3M 1.5 (DEMON) [id:10241806],0,
5,Tre Johnson OVER PTS 7.5 (GOBLIN) [id:10239878] | Amen Thompson OVER PRA 26.5 (GOBLIN) [id:10240402] | Jericho Sims UNDER REB 7 (STANDARD) [id:10246301] | Gui Santos UNDER PA 16.5 (STANDARD) [id:10241335] | Darius Garland OVER AST 5.5 (DEMON) [id:10241939],0.23537469542841002,20.0,1.0,20.0,4.707493908568201,20.0,atlas,0.752853863918556,0.061145412013767476,Tre Johnson OVER PTS 7.5 (GOBLIN) [id:10239878] | Amen Thompson OVER PRA 26.5 (GOBLIN) [id:10240402] | Jericho Sims UNDER REB 7 (STANDARD) [id:10246301] | Gui Santos UNDER PA 16.5 (STANDARD) [id:10241335] | Darius Garland OVER AST 5.5 (DEMON) [id:10241939],0.0,0.054,0.0006114541201376748,0.054611454120137674,94.09526671724387,"['tre johnson', 'amen thompson', 'jericho sims', 'gui santos', 'darius garland']",1,Tre Johnson OVER PTS 7.5 (GOBLIN) [id:10239878],Amen Thompson OVER PRA 26.5 (GOBLIN) [id:10240402],Jericho Sims UNDER REB 7 (STANDARD) [id:10246301],Gui Santos UNDER PA 16.5 (STANDARD) [id:10241335],Darius Garland OVER AST 5.5 (DEMON) [id:10241939],0,
5,Scottie Barnes OVER PTS 11.5 (GOBLIN) [id:10247055] | Amen Thompson OVER PR 19.5 (GOBLIN) [id:10239746] | Baylor Scheierman UNDER PRA 14.5 (STANDARD) [id:10242831] | Gui Santos UNDER PA 16.5 (STANDARD) [id:10241335] | Kyshawn George OVER REB 3.5 (DEMON) [id:10237895],0.2287475749666115,20.0,1.0,20.0,4.57495149933223,20.0,atlas,0.7493974267071678,0.06786855039256377,Scottie Barnes OVER PTS 11.5 (GOBLIN) [id:10247055] | Amen Thompson OVER PR 19.5 (GOBLIN) [id:10239746] | Baylor Scheierman UNDER PRA 14.5 (STANDARD) [id:10242831] | Gui Santos UNDER PA 16.5 (STANDARD) [id:10241335] | Kyshawn George OVER REB 3.5 (DEMON) [id:10237895],0.0,0.054,0.0006786855039256377,0.054678685503925635,91.44435130114067,"['scottie barnes', 'amen thompson', 'baylor scheierman', 'gui santos', 'kyshawn george']",1,Scottie Barnes OVER PTS 11.5 (GOBLIN) [id:10247055],Amen Thompson OVER PR 19.5 (GOBLIN) [id:10239746],Baylor Scheierman UNDER PRA 14.5 (STANDARD) [id:10242831],Gui Santos UNDER PA 16.5 (STANDARD) [id:10241335],Kyshawn George OVER REB 3.5 (DEMON) [id:10237895],0,
5,Keyonte George OVER PR 14.5 (GOBLIN) [id:10247396] | Amen Thompson OVER PRA 24.5 (GOBLIN) [id:10239749] | Darius Garland OVER PA 17.5 (STANDARD) [id:10241812] | Brook Lopez UNDER PRA 16 (STANDARD) [id:10247079] | Bobby Portis OVER PTS 11.5 (DEMON) [id:10242284],0.21468796757142283,20.0,1.0,20.0,4.293759351428457,20.0,atlas,0.742860464343272,0.0741210322666089,Keyonte George OVER PR 14.5 (GOBLIN) [id:10247396] | Amen Thompson OVER PRA 24.5 (GOBLIN) [id:10239749] | Darius Garland OVER PA 17.5 (STANDARD) [id:10241812] | Brook Lopez UNDER PRA 16 (STANDARD) [id:10247079] | Bobby Portis OVER PTS 11.5 (DEMON) [id:10242284],0.01,0.096,0.0007412103226660891,0.10674121032266609,85.76844581824646,"['keyonte george', 'amen thompson', 'darius garland', 'brook lopez', 'bobby portis']",1,Keyonte George OVER PR 14.5 (GOBLIN) [id:10247396],Amen Thompson OVER PRA 24.5 (GOBLIN) [id:10239749],Darius Garland OVER PA 17.5 (STANDARD) [id:10241812],Brook Lopez UNDER PRA 16 (STANDARD) [id:10247079],Bobby Portis OVER PTS 11.5 (DEMON) [id:10242284],0,
5,RJ Barrett OVER FG3M 0.5 (GOBLIN) [id:10242507] | Kyshawn George OVER PTS 8.5 (GOBLIN) [id:10244819] | Tristan Vukcevic UNDER REB 4 (STANDARD) [id:10248759] | Tari Eason UNDER PR 21.5 (STANDARD) [id:10237923] | Darius Garland OVER PA 18.5 (DEMON) [id:10246391],0.20681943644773088,20.0,1.0,20.0,4.136388728954618,20.0,atlas,0.7313649422070088,0.06439738844738038,RJ Barrett OVER FG3M 0.5 (GOBLIN) [id:10242507] | Kyshawn George OVER PTS 8.5 (GOBLIN) [id:10244819] | Tristan Vukcevic UNDER REB 4 (STANDARD) [id:10248759] | Tari Eason UNDER PR 21.5 (STANDARD) [id:10237923] | Darius Garland OVER PA 18.5 (DEMON) [id:10246391],0.01,0.024,0.0006439738844738038,0.03464397388447381,82.69313060520788,"['rj barrett', 'kyshawn george', 'tristan vukcevic', 'tari eason', 'darius garland']",1,RJ Barrett OVER FG3M 0.5 (GOBLIN) [id:10242507],Kyshawn George OVER PTS 8.5 (GOBLIN) [id:10244819],Tristan Vukcevic UNDER REB 4 (STANDARD) [id:10248759],Tari Eason UNDER PR 21.5 (STANDARD) [id:10237923],Darius Garland OVER PA 18.5 (DEMON) [id:10246391],0,
5,Tre Johnson OVER PR 9.5 (GOBLIN) [id:10240811] | Bobby Portis OVER PTS 7.5 (GOBLIN) [id:10242286] | Kyshawn George OVER AST 2.5 (STANDARD) [id:10237886] | Gui Santos UNDER PA 16.5 (STANDARD) [id:10241335] | Keyonte George OVER PRA 27.5 (DEMON) [id:10240309],0.2018101987301767,20.0,1.0,20.0,4.036203974603534,20.0,atlas,0.7301792151590012,0.06530777456722578,Tre Johnson OVER PR 9.5 (GOBLIN) [id:10240811] | Bobby Portis OVER PTS 7.5 (GOBLIN) [id:10242286] | Kyshawn George OVER AST 2.5 (STANDARD) [id:10237886] | Gui Santos UNDER PA 16.5 (STANDARD) [id:10241335] | Keyonte George OVER PRA 27.5 (DEMON) [id:10240309],0.01,0.096,0.0006530777456722578,0.10665307774567226,80.617426414325,"['tre johnson', 'bobby portis', 'kyshawn george', 'gui santos', 'keyonte george']",1,Tre Johnson OVER PR 9.5 (GOBLIN) [id:10240811],Bobby Portis OVER PTS 7.5 (GOBLIN) [id:10242286],Kyshawn George OVER AST 2.5 (STANDARD) [id:10237886],Gui Santos UNDER PA 16.5 (STANDARD) [id:10241335],Keyonte George OVER PRA 27.5 (DEMON) [id:10240309],0,
5,Tre Johnson OVER PR 9.5 (GOBLIN) [id:10240811] | Kyshawn George OVER PTS 7.5 (GOBLIN) [id:10239837] | Brook Lopez UNDER REB 4.5 (STANDARD) [id:10240952] | Baylor Scheierman UNDER PRA 14.5 (STANDARD) [id:10242831] | Bobby Portis OVER PTS 11.5 (DEMON) [id:10242284],0.18715905800946345,20.0,1.0,20.0,3.743181160189269,20.0,atlas,0.7183228529254638,0.06407239377656224,Tre Johnson OVER PR 9.5 (GOBLIN) [id:10240811] | Kyshawn George OVER PTS 7.5 (GOBLIN) [id:10239837] | Brook Lopez UNDER REB 4.5 (STANDARD) [id:10240952] | Baylor Scheierman UNDER PRA 14.5 (STANDARD) [id:10242831] | Bobby Portis OVER PTS 11.5 (DEMON) [id:10242284],0.01,0.054,0.0006407239377656224,0.06464072393776563,74.79898247984761,"['tre johnson', 'kyshawn george', 'brook lopez', 'baylor scheierman', 'bobby portis']",1,Tre Johnson OVER PR 9.5 (GOBLIN) [id:10240811],Kyshawn George OVER PTS 7.5 (GOBLIN) [id:10239837],Brook Lopez UNDER REB 4.5 (STANDARD) [id:10240952],Baylor Scheierman UNDER PRA 14.5 (STANDARD) [id:10242831],Bobby Portis OVER PTS 11.5 (DEMON) [id:10242284],0,
5,Tre Johnson OVER RA 2.5 (GOBLIN) [id:10240470] | Bobby Portis OVER FG3M 0.5 (GOBLIN) [id:10241245] | Julian Strawther UNDER PR 13.5 (STANDARD) [id:10240046] | Tristan Vukcevic UNDER REB 4 (STANDARD) [id:10248759] | Keyonte George OVER PRA 28.5 (DEMON) [id:10240307],0.16569662232611876,20.0,1.0,20.0,3.313932446522375,20.0,atlas,0.7029674625764036,0.07152650691712185,Tre Johnson OVER RA 2.5 (GOBLIN) [id:10240470] | Bobby Portis OVER FG3M 0.5 (GOBLIN) [id:10241245] | Julian Strawther UNDER PR 13.5 (STANDARD) [id:10240046] | Tristan Vukcevic UNDER REB 4 (STANDARD) [id:10248759] | Keyonte George OVER PRA 28.5 (DEMON) [id:10240307],0.01,0.024,0.0007152650691712185,0.03471526506917122,66.24393366537834,"['tre johnson', 'bobby portis', 'julian strawther', 'tristan vukcevic', 'keyonte george']",1,Tre Johnson OVER RA 2.5 (GOBLIN) [id:10240470],Bobby Portis OVER FG3M 0.5 (GOBLIN) [id:10241245],Julian Strawther UNDER PR 13.5 (STANDARD) [id:10240046],Tristan Vukcevic UNDER REB 4 (STANDARD) [id:10248759],Keyonte George OVER PRA 28.5 (DEMON) [id:10240307],0,
5,RJ Barrett OVER FG3M 0.5 (GOBLIN) [id:10242507] | Bub Carrington OVER FG3M 0.5 (GOBLIN) [id:10237849] | Julian Strawther UNDER PR 13.5 (STANDARD) [id:10240046] | Brandin Podziemski UNDER PRA 26.5 (STANDARD) [id:10241276] | Julian Champagnie OVER REB 5.5 (DEMON) [id:10243703],0.163907612581356,20.0,1.0,20.0,3.27815225162712,20.0,atlas,0.7055517947586887,0.06265512619476026,RJ Barrett OVER FG3M 0.5 (GOBLIN) [id:10242507] | Bub Carrington OVER FG3M 0.5 (GOBLIN) [id:10237849] | Julian Strawther UNDER PR 13.5 (STANDARD) [id:10240046] | Brandin Podziemski UNDER PRA 26.5 (STANDARD) [id:10241276] | Julian Champagnie OVER REB 5.5 (DEMON) [id:10243703],0.0,0.012,0.0006265512619476025,0.012626551261947602,65.55041848128046,"['rj barrett', 'bub carrington', 'julian strawther', 'brandin podziemski', 'julian champagnie']",1,RJ Barrett OVER FG3M 0.5 (GOBLIN) [id:10242507],Bub Carrington OVER FG3M 0.5 (GOBLIN) [id:10237849],Julian Strawther UNDER PR 13.5 (STANDARD) [id:10240046],Brandin Podziemski UNDER PRA 26.5 (STANDARD) [id:10241276],Julian Champagnie OVER REB 5.5 (DEMON) [id:10243703],0,
5,VJ Edgecombe OVER REB 3.5 (GOBLIN) [id:10243765] | Kevin Porter OVER AST 4.5 (GOBLIN) [id:10242786] | Baylor Scheierman UNDER PA 9.5 (STANDARD) [id:10242829] | Tristan Vukcevic UNDER REB 4 (STANDARD) [id:10248759] | Nikola Vučević OVER AST 2.5 (DEMON) [id:10243043],0.15329168506429408,20.0,1.0,20.0,3.0658337012858814,20.0,atlas,0.6932864129583676,0.056377619507374424,VJ Edgecombe OVER REB 3.5 (GOBLIN) [id:10243765] | Kevin Porter OVER AST 4.5 (GOBLIN) [id:10242786] | Baylor Scheierman UNDER PA 9.5 (STANDARD) [id:10242829] | Tristan Vukcevic UNDER REB 4 (STANDARD) [id:10248759] | Nikola Vučević OVER AST 2.5 (DEMON) [id:10243043],0.01,0.03,0.0005637761950737443,0.040563776195073745,61.27611024952256,"['vj edgecombe', 'kevin porter', 'baylor scheierman', 'tristan vukcevic', 'nikola vučević']",1,VJ Edgecombe OVER REB 3.5 (GOBLIN) [id:10243765],Kevin Porter OVER AST 4.5 (GOBLIN) [id:10242786],Baylor Scheierman UNDER PA 9.5 (STANDARD) [id:10242829],Tristan Vukcevic UNDER REB 4 (STANDARD) [id:10248759],Nikola Vučević OVER AST 2.5 (DEMON) [id:10243043],0,
