projection_id,source_projection_id,game_id,game_date,home,opp,player_key,player,team,stat,stat_raw,stat_is_canonical,line,direction,tier,more_allowed,less_allowed,main_line,alt_line,is_main,odds_type,start_time,updated_at
10239735|Alperen Sengun|PRA|DEMON|44.5|OVER,10239735,132388,2026-03-02,0,WAS,alperen sengun,Alperen Sengun,HOU,PRA,PTS+REBS+ASTS,1,44.5,OVER,DEMON,1,0,,,0,demon,2026-03-02T19:00:00.000-05:00,2026-03-02 04:50:53.068000+00:00
10239830|Kevin Durant|PRA|DEMON|44.5|OVER,10239830,132388,2026-03-02,0,WAS,kevin durant,Kevin Durant,HOU,PRA,PTS+REBS+ASTS,1,44.5,OVER,DEMON,1,0,,,0,demon,2026-03-02T19:00:00.000-05:00,2026-03-02 02:29:24.518000+00:00
10239732|Alperen Sengun|PR|DEMON|39.5|OVER,10239732,132388,2026-03-02,0,WAS,alperen sengun,Alperen Sengun,HOU,PR,PTS+REBS,1,39.5,OVER,DEMON,1,0,,,0,demon,2026-03-02T19:00:00.000-05:00,2026-03-02 01:43:54.133000+00:00
10239734|Alperen Sengun|PRA|DEMON|39.5|OVER,10239734,132388,2026-03-02,0,WAS,alperen sengun,Alperen Sengun,HOU,PRA,PTS+REBS+ASTS,1,39.5,OVER,DEMON,1,0,,,0,demon,2026-03-02T19:00:00.000-05:00,2026-03-02 01:47:34.328000+00:00
10239748|Amen Thompson|PRA|DEMON|39.5|OVER,10239748,132388,2026-03-02,0,WAS,amen thompson,Amen Thompson,HOU,PRA,PTS+REBS+ASTS,1,39.5,OVER,DEMON,1,0,,,0,demon,2026-03-02T19:00:00.000-05:00,2026-03-02 05:37:48.870000+00:00
10239824|Kevin Durant|PA|DEMON|39.5|OVER,10239824,132388,2026-03-02,0,WAS,kevin durant,Kevin Durant,HOU,PA,PTS+ASTS,1,39.5,OVER,DEMON,1,0,,,0,demon,2026-03-02T19:00:00.000-05:00,2026-03-02 04:32:47.873000+00:00
10239827|Kevin Durant|PR|DEMON|39.5|OVER,10239827,132388,2026-03-02,0,WAS,kevin durant,Kevin Durant,HOU,PR,PTS+REBS,1,39.5,OVER,DEMON,1,0,,,0,demon,2026-03-02T19:00:00.000-05:00,2026-03-02 05:20:52.309000+00:00
10239829|Kevin Durant|PRA|DEMON|39.5|OVER,10239829,132388,2026-03-02,0,WAS,kevin durant,Kevin Durant,HOU,PRA,PTS+REBS+ASTS,1,39.5,OVER,DEMON,1,0,,,0,demon,2026-03-02T19:00:00.000-05:00,2026-03-02 01:51:58.703000+00:00
10240391|Alperen Sengun|PRA|DEMON|38.5|OVER,10240391,132388,2026-03-02,0,WAS,alperen sengun,Alperen Sengun,HOU,PRA,PTS+REBS+ASTS,1,38.5,OVER,DEMON,1,0,,,0,demon,2026-03-02T19:00:00.000-05:00,2026-03-02 03:13:12.444000+00:00
10237879|Kevin Durant|PRA|STANDARD|35.5|OVER,10237879,132388,2026-03-02,0,WAS,kevin durant,Kevin Durant,HOU,PRA,PTS+REBS+ASTS,1,35.5,OVER,STANDARD,1,0,,,0,standard,2026-03-02T19:00:00.000-05:00,2026-03-02 08:18:01.671000+00:00
10237879|Kevin Durant|PRA|STANDARD|35.5|UNDER,10237879,132388,2026-03-02,0,WAS,kevin durant,Kevin Durant,HOU,PRA,PTS+REBS+ASTS,1,35.5,UNDER,STANDARD,0,1,,,0,standard,2026-03-02T19:00:00.000-05:00,2026-03-02 08:18:01.671000+00:00
10237816|Alperen Sengun|PRA|STANDARD|35|OVER,10237816,132388,2026-03-02,0,WAS,alperen sengun,Alperen Sengun,HOU,PRA,PTS+REBS+ASTS,1,35.0,OVER,STANDARD,1,0,,,0,standard,2026-03-02T19:00:00.000-05:00,2026-03-02 12:46:51.376000+00:00
10237816|Alperen Sengun|PRA|STANDARD|35|UNDER,10237816,132388,2026-03-02,0,WAS,alperen sengun,Alperen Sengun,HOU,PRA,PTS+REBS+ASTS,1,35.0,UNDER,STANDARD,0,1,,,0,standard,2026-03-02T19:00:00.000-05:00,2026-03-02 12:46:51.376000+00:00
10237874|Kevin Durant|PTS|DEMON|34.5|OVER,10237874,132388,2026-03-02,0,WAS,kevin durant,Kevin Durant,HOU,PTS,POINTS,1,34.5,OVER,DEMON,1,0,,,0,demon,2026-03-02T19:00:00.000-05:00,2026-03-02 00:31:51.710000+00:00
10239729|Alperen Sengun|PA|DEMON|34.5|OVER,10239729,132388,2026-03-02,0,WAS,alperen sengun,Alperen Sengun,HOU,PA,PTS+ASTS,1,34.5,OVER,DEMON,1,0,,,0,demon,2026-03-02T19:00:00.000-05:00,2026-03-02 01:43:53.717000+00:00
10239731|Alperen Sengun|PR|DEMON|34.5|OVER,10239731,132388,2026-03-02,0,WAS,alperen sengun,Alperen Sengun,HOU,PR,PTS+REBS,1,34.5,OVER,DEMON,1,0,,,0,demon,2026-03-02T19:00:00.000-05:00,2026-03-02 05:14:02.226000+00:00
10239745|Amen Thompson|PR|DEMON|34.5|OVER,10239745,132388,2026-03-02,0,WAS,amen thompson,Amen Thompson,HOU,PR,PTS+REBS,1,34.5,OVER,DEMON,1,0,,,0,demon,2026-03-02T19:00:00.000-05:00,2026-03-02 01:43:56.184000+00:00
10239747|Amen Thompson|PRA|DEMON|34.5|OVER,10239747,132388,2026-03-02,0,WAS,amen thompson,Amen Thompson,HOU,PRA,PTS+REBS+ASTS,1,34.5,OVER,DEMON,1,0,,,0,demon,2026-03-02T19:00:00.000-05:00,2026-03-02 03:34:31.535000+00:00
10239823|Kevin Durant|PA|DEMON|34.5|OVER,10239823,132388,2026-03-02,0,WAS,kevin durant,Kevin Durant,HOU,PA,PTS+ASTS,1,34.5,OVER,DEMON,1,0,,,0,demon,2026-03-02T19:00:00.000-05:00,2026-03-02 02:28:55.299000+00:00
10239826|Kevin Durant|PR|DEMON|34.5|OVER,10239826,132388,2026-03-02,0,WAS,kevin durant,Kevin Durant,HOU,PR,PTS+REBS,1,34.5,OVER,DEMON,1,0,,,0,demon,2026-03-02T19:00:00.000-05:00,2026-03-02 02:50:03.297000+00:00
10239858|Reed Sheppard|PRA|DEMON|34.5|OVER,10239858,132388,2026-03-02,0,WAS,reed sheppard,Reed Sheppard,HOU,PRA,PTS+REBS+ASTS,1,34.5,OVER,DEMON,1,0,,,0,demon,2026-03-02T19:00:00.000-05:00,2026-03-02 01:44:08.267000+00:00
10239873|Tari Eason|PRA|DEMON|34.5|OVER,10239873,132388,2026-03-02,0,WAS,tari eason,Tari Eason,HOU,PRA,PTS+REBS+ASTS,1,34.5,OVER,DEMON,1,0,,,0,demon,2026-03-02T19:00:00.000-05:00,2026-03-02 05:37:17.918000+00:00
