n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Russell Westbrook OVER PR 14.5 (GOBLIN) [id:10324638] | Jabari Smith OVER PR 14.5 (GOBLIN) [id:10320885] | Jayson Tatum OVER PRA 19.5 (GOBLIN) [id:10339739] | Tristan Silva UNDER PRA 15.5 (STANDARD) [id:10323088] | Will Riley UNDER PTS 16.5 (STANDARD) [id:10322474],0.5051036045383172,20.0,1.0,20.0,10.102072090766343,20.0,atlas,0.8733408472167653,0.07210029977041207,Russell Westbrook OVER PR 14.5 (GOBLIN) [id:10324638] | Jabari Smith OVER PR 14.5 (GOBLIN) [id:10320885] | Jayson Tatum OVER PRA 19.5 (GOBLIN) [id:10339739] | Tristan Silva UNDER PRA 15.5 (STANDARD) [id:10323088] | Will Riley UNDER PTS 16.5 (STANDARD) [id:10322474],0.0,0.096,0.0007210029977041207,0.09672100299770413,201.94472081232917,"['russell westbrook', 'jabari smith', 'jayson tatum', 'tristan silva', 'will riley']",1,Russell Westbrook OVER PR 14.5 (GOBLIN) [id:10324638],Jabari Smith OVER PR 14.5 (GOBLIN) [id:10320885],Jayson Tatum OVER PRA 19.5 (GOBLIN) [id:10339739],Tristan Silva UNDER PRA 15.5 (STANDARD) [id:10323088],Will Riley UNDER PTS 16.5 (STANDARD) [id:10322474],0,
5,Sandro Mamukelashvili OVER REB 2.5 (GOBLIN) [id:10323814] | Amen Thompson OVER PTS 11.5 (GOBLIN) [id:10320741] | Ayo Dosunmu OVER PTS 7.5 (GOBLIN) [id:10323276] | Jayson Tatum OVER PR 17.5 (STANDARD) [id:10339340] | Tristan Silva UNDER PR 13.5 (STANDARD) [id:10323087],0.44232448944850306,20.0,1.0,20.0,8.84648978897006,20.0,atlas,0.8502681711874077,0.05626976759257431,Sandro Mamukelashvili OVER REB 2.5 (GOBLIN) [id:10323814] | Amen Thompson OVER PTS 11.5 (GOBLIN) [id:10320741] | Ayo Dosunmu OVER PTS 7.5 (GOBLIN) [id:10323276] | Jayson Tatum OVER PR 17.5 (STANDARD) [id:10339340] | Tristan Silva UNDER PR 13.5 (STANDARD) [id:10323087],0.0,0.054,0.0005626976759257431,0.05456269767592574,176.8752330817253,"['sandro mamukelashvili', 'amen thompson', 'ayo dosunmu', 'jayson tatum', 'tristan silva']",1,Sandro Mamukelashvili OVER REB 2.5 (GOBLIN) [id:10323814],Amen Thompson OVER PTS 11.5 (GOBLIN) [id:10320741],Ayo Dosunmu OVER PTS 7.5 (GOBLIN) [id:10323276],Jayson Tatum OVER PR 17.5 (STANDARD) [id:10339340],Tristan Silva UNDER PR 13.5 (STANDARD) [id:10323087],0,
5,Jayson Tatum OVER PTS 9.5 (GOBLIN) [id:10339335] | Russell Westbrook OVER RA 7.5 (GOBLIN) [id:10318695] | Jalen Suggs OVER PR 11.5 (GOBLIN) [id:10324747] | Nique Clifford UNDER PR 20.5 (STANDARD) [id:10315661] | Isaiah Collier UNDER PRA 30.5 (STANDARD) [id:10339204],0.43610655219871935,20.0,1.0,20.0,8.722131043974388,20.0,atlas,0.84859668386117,0.07157949194055263,Jayson Tatum OVER PTS 9.5 (GOBLIN) [id:10339335] | Russell Westbrook OVER RA 7.5 (GOBLIN) [id:10318695] | Jalen Suggs OVER PR 11.5 (GOBLIN) [id:10324747] | Nique Clifford UNDER PR 20.5 (STANDARD) [id:10315661] | Isaiah Collier UNDER PRA 30.5 (STANDARD) [id:10339204],0.01,0.096,0.0007157949194055263,0.10671579491940553,174.33590508456834,"['jayson tatum', 'russell westbrook', 'jalen suggs', 'nique clifford', 'isaiah collier']",1,Jayson Tatum OVER PTS 9.5 (GOBLIN) [id:10339335],Russell Westbrook OVER RA 7.5 (GOBLIN) [id:10318695],Jalen Suggs OVER PR 11.5 (GOBLIN) [id:10324747],Nique Clifford UNDER PR 20.5 (STANDARD) [id:10315661],Isaiah Collier UNDER PRA 30.5 (STANDARD) [id:10339204],0,
5,Jonas Valančiūnas OVER PTS 4.5 (GOBLIN) [id:10319722] | Ayo Dosunmu OVER PA 9.5 (GOBLIN) [id:10323278] | Amen Thompson OVER PRA 25.5 (GOBLIN) [id:10324902] | Isaiah Collier UNDER PA 27.5 (STANDARD) [id:10339202] | Tristan Silva UNDER REB 4.5 (STANDARD) [id:10323094],0.4278758049584714,20.0,1.0,20.0,8.557516099169428,20.0,atlas,0.8458203097839576,0.06245245956085854,Jonas Valančiūnas OVER PTS 4.5 (GOBLIN) [id:10319722] | Ayo Dosunmu OVER PA 9.5 (GOBLIN) [id:10323278] | Amen Thompson OVER PRA 25.5 (GOBLIN) [id:10324902] | Isaiah Collier UNDER PA 27.5 (STANDARD) [id:10339202] | Tristan Silva UNDER REB 4.5 (STANDARD) [id:10323094],0.0,0.054,0.0006245245956085855,0.054624524595608584,171.09569745879296,"['jonas valančiūnas', 'ayo dosunmu', 'amen thompson', 'isaiah collier', 'tristan silva']",1,Jonas Valančiūnas OVER PTS 4.5 (GOBLIN) [id:10319722],Ayo Dosunmu OVER PA 9.5 (GOBLIN) [id:10323278],Amen Thompson OVER PRA 25.5 (GOBLIN) [id:10324902],Isaiah Collier UNDER PA 27.5 (STANDARD) [id:10339202],Tristan Silva UNDER REB 4.5 (STANDARD) [id:10323094],0,
5,Anthony Black OVER AST 2.5 (GOBLIN) [id:10325593] | Bruce Brown OVER RA 4.5 (GOBLIN) [id:10316535] | Jabari Smith OVER PRA 19.5 (GOBLIN) [id:10325037] | Tristan Silva UNDER PR 13.5 (STANDARD) [id:10323087] | Nique Clifford UNDER PA 19.5 (STANDARD) [id:10315660],0.42689760828869006,20.0,1.0,20.0,8.5379521657738,20.0,atlas,0.8444747830919532,0.0716532206714475,Anthony Black OVER AST 2.5 (GOBLIN) [id:10325593] | Bruce Brown OVER RA 4.5 (GOBLIN) [id:10316535] | Jabari Smith OVER PRA 19.5 (GOBLIN) [id:10325037] | Tristan Silva UNDER PR 13.5 (STANDARD) [id:10323087] | Nique Clifford UNDER PA 19.5 (STANDARD) [id:10315660],0.01,0.096,0.000716532206714475,0.10671653220671447,170.6523267832693,"['anthony black', 'bruce brown', 'jabari smith', 'tristan silva', 'nique clifford']",1,Anthony Black OVER AST 2.5 (GOBLIN) [id:10325593],Bruce Brown OVER RA 4.5 (GOBLIN) [id:10316535],Jabari Smith OVER PRA 19.5 (GOBLIN) [id:10325037],Tristan Silva UNDER PR 13.5 (STANDARD) [id:10323087],Nique Clifford UNDER PA 19.5 (STANDARD) [id:10315660],0,
5,Wendell Carter OVER REB 5.5 (GOBLIN) [id:10323793] | Jonas Valančiūnas OVER PTS 4.5 (GOBLIN) [id:10319722] | Russell Westbrook OVER PR 14.5 (GOBLIN) [id:10324638] | Nique Clifford UNDER PTS 15 (STANDARD) [id:10315659] | Amen Thompson OVER PRA 28.5 (STANDARD) [id:10311459],0.4152629191708691,20.0,1.0,20.0,8.305258383417382,20.0,atlas,0.8394860513948605,0.05866753600724502,Wendell Carter OVER REB 5.5 (GOBLIN) [id:10323793] | Jonas Valančiūnas OVER PTS 4.5 (GOBLIN) [id:10319722] | Russell Westbrook OVER PR 14.5 (GOBLIN) [id:10324638] | Nique Clifford UNDER PTS 15 (STANDARD) [id:10315659] | Amen Thompson OVER PRA 28.5 (STANDARD) [id:10311459],0.01,0.054,0.0005866753600724502,0.06458667536007245,166.04058099298757,"['wendell carter', 'jonas valančiūnas', 'russell westbrook', 'nique clifford', 'amen thompson']",1,Wendell Carter OVER REB 5.5 (GOBLIN) [id:10323793],Jonas Valančiūnas OVER PTS 4.5 (GOBLIN) [id:10319722],Russell Westbrook OVER PR 14.5 (GOBLIN) [id:10324638],Nique Clifford UNDER PTS 15 (STANDARD) [id:10315659],Amen Thompson OVER PRA 28.5 (STANDARD) [id:10311459],0,
5,Bam Adebayo OVER REB 7.5 (GOBLIN) [id:10328300] | Trae Young OVER AST 4.5 (GOBLIN) [id:10322723] | Jayson Tatum OVER PTS 11.5 (GOBLIN) [id:10339730] | Nique Clifford UNDER PA 19.5 (STANDARD) [id:10315660] | Oso Ighodaro UNDER REB 8 (STANDARD) [id:10315224],0.4051870383177017,20.0,1.0,20.0,8.103740766354035,20.0,atlas,0.8363739721721846,0.05411508589226947,Bam Adebayo OVER REB 7.5 (GOBLIN) [id:10328300] | Trae Young OVER AST 4.5 (GOBLIN) [id:10322723] | Jayson Tatum OVER PTS 11.5 (GOBLIN) [id:10339730] | Nique Clifford UNDER PA 19.5 (STANDARD) [id:10315660] | Oso Ighodaro UNDER REB 8 (STANDARD) [id:10315224],0.0,0.03,0.0005411508589226947,0.030541150858922693,162.04427417622176,"['bam adebayo', 'trae young', 'jayson tatum', 'nique clifford', 'oso ighodaro']",1,Bam Adebayo OVER REB 7.5 (GOBLIN) [id:10328300],Trae Young OVER AST 4.5 (GOBLIN) [id:10322723],Jayson Tatum OVER PTS 11.5 (GOBLIN) [id:10339730],Nique Clifford UNDER PA 19.5 (STANDARD) [id:10315660],Oso Ighodaro UNDER REB 8 (STANDARD) [id:10315224],0,
5,Amen Thompson OVER REB 5.5 (GOBLIN) [id:10311462] | Jabari Smith OVER REB 4.5 (GOBLIN) [id:10320752] | Austin Reaves OVER RA 5.5 (GOBLIN) [id:10338133] | Isaiah Collier UNDER PTS 17.5 (STANDARD) [id:10339198] | Guerschon Yabusele UNDER REB 7 (STANDARD) [id:10330740],0.382740840057997,20.0,1.0,20.0,7.6548168011599405,20.0,atlas,0.8263343853690245,0.054087497740230014,Amen Thompson OVER REB 5.5 (GOBLIN) [id:10311462] | Jabari Smith OVER REB 4.5 (GOBLIN) [id:10320752] | Austin Reaves OVER RA 5.5 (GOBLIN) [id:10338133] | Isaiah Collier UNDER PTS 17.5 (STANDARD) [id:10339198] | Guerschon Yabusele UNDER REB 7 (STANDARD) [id:10330740],0.01,0.03,0.0005408749774023002,0.0405408749774023,153.0557951482214,"['amen thompson', 'jabari smith', 'austin reaves', 'isaiah collier', 'guerschon yabusele']",1,Amen Thompson OVER REB 5.5 (GOBLIN) [id:10311462],Jabari Smith OVER REB 4.5 (GOBLIN) [id:10320752],Austin Reaves OVER RA 5.5 (GOBLIN) [id:10338133],Isaiah Collier UNDER PTS 17.5 (STANDARD) [id:10339198],Guerschon Yabusele UNDER REB 7 (STANDARD) [id:10330740],0,
5,Anthony Black OVER RA 5.5 (GOBLIN) [id:10326395] | Grayson Allen OVER PRA 19.5 (GOBLIN) [id:10326363] | Bam Adebayo OVER RA 9.5 (GOBLIN) [id:10324223] | Russell Westbrook OVER PRA 23.5 (STANDARD) [id:10315694] | Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10312961],0.3706251237527869,20.0,1.0,20.0,7.412502475055738,20.0,atlas,0.8201341434012965,0.0749128181966147,Anthony Black OVER RA 5.5 (GOBLIN) [id:10326395] | Grayson Allen OVER PRA 19.5 (GOBLIN) [id:10326363] | Bam Adebayo OVER RA 9.5 (GOBLIN) [id:10324223] | Russell Westbrook OVER PRA 23.5 (STANDARD) [id:10315694] | Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10312961],0.0,0.096,0.0007491281819661471,0.09674912818196615,148.1533003729328,"['anthony black', 'grayson allen', 'bam adebayo', 'russell westbrook', 'guerschon yabusele']",1,Anthony Black OVER RA 5.5 (GOBLIN) [id:10326395],Grayson Allen OVER PRA 19.5 (GOBLIN) [id:10326363],Bam Adebayo OVER RA 9.5 (GOBLIN) [id:10324223],Russell Westbrook OVER PRA 23.5 (STANDARD) [id:10315694],Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10312961],0,
5,Noah Clowney OVER AST 0.5 (GOBLIN) [id:10318961] | Desmond Bane OVER PR 19.5 (GOBLIN) [id:10324738] | Jamal Murray OVER PRA 29.5 (GOBLIN) [id:10323196] | Will Riley UNDER PR 22 (STANDARD) [id:10322476] | Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10312961],0.3465568041821633,20.0,1.0,20.0,6.931136083643265,20.0,atlas,0.8094631034184957,0.0726220857720449,Noah Clowney OVER AST 0.5 (GOBLIN) [id:10318961] | Desmond Bane OVER PR 19.5 (GOBLIN) [id:10324738] | Jamal Murray OVER PRA 29.5 (GOBLIN) [id:10323196] | Will Riley UNDER PR 22 (STANDARD) [id:10322476] | Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10312961],0.0,0.096,0.000726220857720449,0.09672622085772045,138.52599545200758,"['noah clowney', 'desmond bane', 'jamal murray', 'will riley', 'guerschon yabusele']",1,Noah Clowney OVER AST 0.5 (GOBLIN) [id:10318961],Desmond Bane OVER PR 19.5 (GOBLIN) [id:10324738],Jamal Murray OVER PRA 29.5 (GOBLIN) [id:10323196],Will Riley UNDER PR 22 (STANDARD) [id:10322476],Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10312961],0,
