n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Josh Giddey OVER RA 11.5 (GOBLIN) [id:10264898] | Russell Westbrook OVER RA 6.5 (GOBLIN) [id:10272535] | Tristan Silva UNDER PRA 18.5 (STANDARD) [id:10276968] | Nique Clifford UNDER PTS 13.5 (STANDARD) [id:10265321],0.5990448075450874,10.0,1.0,10.0,5.990448075450874,10.0,atlas,0.8809234458682412,0.07297368412354883,Josh Giddey OVER RA 11.5 (GOBLIN) [id:10264898] | Russell Westbrook OVER RA 6.5 (GOBLIN) [id:10272535] | Tristan Silva UNDER PRA 18.5 (STANDARD) [id:10276968] | Nique Clifford UNDER PTS 13.5 (STANDARD) [id:10265321],0.01,0.054,0.0007297368412354883,0.0647297368412355,59.8397510176675,"['josh giddey', 'russell westbrook', 'tristan silva', 'nique clifford']",1,Josh Giddey OVER RA 11.5 (GOBLIN) [id:10264898],Russell Westbrook OVER RA 6.5 (GOBLIN) [id:10272535],Tristan Silva UNDER PRA 18.5 (STANDARD) [id:10276968],Nique Clifford UNDER PTS 13.5 (STANDARD) [id:10265321],0,
4,Tyler Herro OVER PTS 14.5 (GOBLIN) [id:10262630] | Evan Mobley OVER PTS 11.5 (GOBLIN) [id:10267161] | Tristan Silva UNDER PRA 18.5 (STANDARD) [id:10276968] | Russell Westbrook OVER AST 4.5 (STANDARD) [id:10265476],0.5694583976401217,10.0,1.0,10.0,5.694583976401217,10.0,atlas,0.8698745507577523,0.05315744386024965,Tyler Herro OVER PTS 14.5 (GOBLIN) [id:10262630] | Evan Mobley OVER PTS 11.5 (GOBLIN) [id:10267161] | Tristan Silva UNDER PRA 18.5 (STANDARD) [id:10276968] | Russell Westbrook OVER AST 4.5 (STANDARD) [id:10265476],0.0,0.054,0.0005315744386024965,0.054531574438602494,56.89130818957357,"['tyler herro', 'evan mobley', 'tristan silva', 'russell westbrook']",1,Tyler Herro OVER PTS 14.5 (GOBLIN) [id:10262630],Evan Mobley OVER PTS 11.5 (GOBLIN) [id:10267161],Tristan Silva UNDER PRA 18.5 (STANDARD) [id:10276968],Russell Westbrook OVER AST 4.5 (STANDARD) [id:10265476],0,
4,P.J. Washington OVER REB 3.5 (GOBLIN) [id:10263252] | DeMar DeRozan OVER PTS 9.5 (GOBLIN) [id:10265088] | Nique Clifford UNDER PA 17.5 (STANDARD) [id:10265325] | Tristan Silva UNDER PA 13.5 (STANDARD) [id:10276963],0.5601616427487444,10.0,1.0,10.0,5.601616427487444,10.0,atlas,0.8655749807147566,0.06310078267248138,P.J. Washington OVER REB 3.5 (GOBLIN) [id:10263252] | DeMar DeRozan OVER PTS 9.5 (GOBLIN) [id:10265088] | Nique Clifford UNDER PA 17.5 (STANDARD) [id:10265325] | Tristan Silva UNDER PA 13.5 (STANDARD) [id:10276963],0.01,0.024,0.0006310078267248139,0.03463100782672482,55.98153326704771,"['p.j. washington', 'demar derozan', 'nique clifford', 'tristan silva']",1,P.J. Washington OVER REB 3.5 (GOBLIN) [id:10263252],DeMar DeRozan OVER PTS 9.5 (GOBLIN) [id:10265088],Nique Clifford UNDER PA 17.5 (STANDARD) [id:10265325],Tristan Silva UNDER PA 13.5 (STANDARD) [id:10276963],0,
4,RJ Barrett OVER FG3M 0.5 (GOBLIN) [id:10242507] | Josh Giddey OVER PA 19.5 (GOBLIN) [id:10266807] | Russell Westbrook OVER AST 4.5 (STANDARD) [id:10265476] | Tristan Silva UNDER PTS 11.5 (STANDARD) [id:10276961],0.5480200505375674,10.0,1.0,10.0,5.480200505375674,10.0,atlas,0.8622489462787317,0.052332515129021484,RJ Barrett OVER FG3M 0.5 (GOBLIN) [id:10242507] | Josh Giddey OVER PA 19.5 (GOBLIN) [id:10266807] | Russell Westbrook OVER AST 4.5 (STANDARD) [id:10265476] | Tristan Silva UNDER PTS 11.5 (STANDARD) [id:10276961],0.0,0.024,0.0005233251512902149,0.024523325151290215,54.77748172860545,"['rj barrett', 'josh giddey', 'russell westbrook', 'tristan silva']",1,RJ Barrett OVER FG3M 0.5 (GOBLIN) [id:10242507],Josh Giddey OVER PA 19.5 (GOBLIN) [id:10266807],Russell Westbrook OVER AST 4.5 (STANDARD) [id:10265476],Tristan Silva UNDER PTS 11.5 (STANDARD) [id:10276961],0,
4,Russell Westbrook OVER PRA 19.5 (GOBLIN) [id:10272082] | Evan Mobley OVER PR 19.5 (GOBLIN) [id:10266217] | James Harden OVER PRA 33.5 (STANDARD) [id:10257546] | Guerschon Yabusele UNDER PA 11.5 (STANDARD) [id:10264647],0.5372689316012446,10.0,1.0,10.0,5.372689316012446,10.0,atlas,0.8581641835816418,0.07848800684518119,Russell Westbrook OVER PRA 19.5 (GOBLIN) [id:10272082] | Evan Mobley OVER PR 19.5 (GOBLIN) [id:10266217] | James Harden OVER PRA 33.5 (STANDARD) [id:10257546] | Guerschon Yabusele UNDER PA 11.5 (STANDARD) [id:10264647],0.01,0.054,0.0007848800684518119,0.06478488006845182,53.662108280056,"['russell westbrook', 'evan mobley', 'james harden', 'guerschon yabusele']",1,Russell Westbrook OVER PRA 19.5 (GOBLIN) [id:10272082],Evan Mobley OVER PR 19.5 (GOBLIN) [id:10266217],James Harden OVER PRA 33.5 (STANDARD) [id:10257546],Guerschon Yabusele UNDER PA 11.5 (STANDARD) [id:10264647],0,
4,Kon Knueppel OVER PRA 24.5 (GOBLIN) [id:10269084] | James Harden OVER PRA 29.5 (GOBLIN) [id:10266236] | Jevon Carter UNDER RA 5.5 (STANDARD) [id:10277103] | Josh Giddey OVER PRA 29.5 (STANDARD) [id:10260221],0.5322678957733012,10.0,1.0,10.0,5.322678957733013,10.0,atlas,0.8544895510448955,0.07586525506738803,Kon Knueppel OVER PRA 24.5 (GOBLIN) [id:10269084] | James Harden OVER PRA 29.5 (GOBLIN) [id:10266236] | Jevon Carter UNDER RA 5.5 (STANDARD) [id:10277103] | Josh Giddey OVER PRA 29.5 (STANDARD) [id:10260221],0.0,0.054,0.0007586525506738804,0.05475865255067388,53.17203092477945,"['kon knueppel', 'james harden', 'jevon carter', 'josh giddey']",1,Kon Knueppel OVER PRA 24.5 (GOBLIN) [id:10269084],James Harden OVER PRA 29.5 (GOBLIN) [id:10266236],Jevon Carter UNDER RA 5.5 (STANDARD) [id:10277103],Josh Giddey OVER PRA 29.5 (STANDARD) [id:10260221],0,
4,Josh Giddey OVER RA 9.5 (GOBLIN) [id:10267136] | Ryan Kalkbrenner OVER REB 3.5 (GOBLIN) [id:10263273] | Cason Wallace UNDER AST 5 (STANDARD) [id:10273488] | Nolan Traore UNDER PTS 11.5 (STANDARD) [id:10260666],0.5034072474954056,10.0,1.0,10.0,5.034072474954056,10.0,atlas,0.8460805846030299,0.05782692348659149,Josh Giddey OVER RA 9.5 (GOBLIN) [id:10267136] | Ryan Kalkbrenner OVER REB 3.5 (GOBLIN) [id:10263273] | Cason Wallace UNDER AST 5 (STANDARD) [id:10273488] | Nolan Traore UNDER PTS 11.5 (STANDARD) [id:10260666],0.0,0.024,0.000578269234865915,0.024578269234865915,50.31614648030569,"['josh giddey', 'ryan kalkbrenner', 'cason wallace', 'nolan traore']",1,Josh Giddey OVER RA 9.5 (GOBLIN) [id:10267136],Ryan Kalkbrenner OVER REB 3.5 (GOBLIN) [id:10263273],Cason Wallace UNDER AST 5 (STANDARD) [id:10273488],Nolan Traore UNDER PTS 11.5 (STANDARD) [id:10260666],0,
4,Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10265807] | DeMar DeRozan OVER PRA 15.5 (GOBLIN) [id:10270447] | James Harden OVER PRA 33.5 (STANDARD) [id:10257546] | Ryan Kalkbrenner OVER PR 9.5 (STANDARD) [id:10277398],0.5029655886814214,10.0,1.0,10.0,5.029655886814214,10.0,atlas,0.8434808995466209,0.06655051630101921,Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10265807] | DeMar DeRozan OVER PRA 15.5 (GOBLIN) [id:10270447] | James Harden OVER PRA 33.5 (STANDARD) [id:10257546] | Ryan Kalkbrenner OVER PR 9.5 (STANDARD) [id:10277398],0.0,0.054,0.0006655051630101922,0.05466550516301019,50.24189336297913,"['dejounte murray', 'demar derozan', 'james harden', 'ryan kalkbrenner']",1,Dejounte Murray OVER PTS 11.5 (GOBLIN) [id:10265807],DeMar DeRozan OVER PRA 15.5 (GOBLIN) [id:10270447],James Harden OVER PRA 33.5 (STANDARD) [id:10257546],Ryan Kalkbrenner OVER PR 9.5 (STANDARD) [id:10277398],0,
4,Trey Murphy OVER PTS 14.5 (GOBLIN) [id:10265029] | Desmond Bane OVER PA 19.5 (GOBLIN) [id:10271996] | DeMar DeRozan OVER PRA 18.5 (STANDARD) [id:10265096] | Guerschon Yabusele UNDER PR 15.5 (STANDARD) [id:10260203],0.49481755226404983,10.0,1.0,10.0,4.948175522640498,10.0,atlas,0.8392526551196992,0.07148065554918162,Trey Murphy OVER PTS 14.5 (GOBLIN) [id:10265029] | Desmond Bane OVER PA 19.5 (GOBLIN) [id:10271996] | DeMar DeRozan OVER PRA 18.5 (STANDARD) [id:10265096] | Guerschon Yabusele UNDER PR 15.5 (STANDARD) [id:10260203],0.0,0.054,0.0007148065554918162,0.05471480655549182,49.42704041984949,"['trey murphy', 'desmond bane', 'demar derozan', 'guerschon yabusele']",1,Trey Murphy OVER PTS 14.5 (GOBLIN) [id:10265029],Desmond Bane OVER PA 19.5 (GOBLIN) [id:10271996],DeMar DeRozan OVER PRA 18.5 (STANDARD) [id:10265096],Guerschon Yabusele UNDER PR 15.5 (STANDARD) [id:10260203],0,
4,DeMar DeRozan OVER RA 4.5 (GOBLIN) [id:10265105] | James Harden OVER PR 19.5 (GOBLIN) [id:10266235] | Guerschon Yabusele UNDER REB 6 (STANDARD) [id:10273465] | Jevon Carter UNDER RA 5.5 (STANDARD) [id:10277103],0.49008482610284093,10.0,1.0,10.0,4.900848261028409,10.0,atlas,0.8385661433856615,0.07523789003550141,DeMar DeRozan OVER RA 4.5 (GOBLIN) [id:10265105] | James Harden OVER PR 19.5 (GOBLIN) [id:10266235] | Guerschon Yabusele UNDER REB 6 (STANDARD) [id:10273465] | Jevon Carter UNDER RA 5.5 (STANDARD) [id:10277103],0.0,0.024,0.0007523789003550141,0.024752378900355015,48.98373023138374,"['demar derozan', 'james harden', 'guerschon yabusele', 'jevon carter']",1,DeMar DeRozan OVER RA 4.5 (GOBLIN) [id:10265105],James Harden OVER PR 19.5 (GOBLIN) [id:10266235],Guerschon Yabusele UNDER REB 6 (STANDARD) [id:10273465],Jevon Carter UNDER RA 5.5 (STANDARD) [id:10277103],0,
