n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Amen Thompson OVER PRA 24.5 (GOBLIN) [id:10239749] | Darius Garland OVER FG3M 0.5 (GOBLIN) [id:10241936] | Baylor Scheierman UNDER PA 9.5 (STANDARD) [id:10242829] | Gui Santos UNDER PRA 21.5 (STANDARD) [id:10241337],0.39088066867044824,10.0,1.0,10.0,3.9088066867044824,10.0,atlas,0.7942906380673338,0.07575392144269336,Amen Thompson OVER PRA 24.5 (GOBLIN) [id:10239749] | Darius Garland OVER FG3M 0.5 (GOBLIN) [id:10241936] | Baylor Scheierman UNDER PA 9.5 (STANDARD) [id:10242829] | Gui Santos UNDER PRA 21.5 (STANDARD) [id:10241337],0.0,0.024,0.0007575392144269336,0.024757539214426933,39.063309327830396,"['amen thompson', 'darius garland', 'baylor scheierman', 'gui santos']",1,Amen Thompson OVER PRA 24.5 (GOBLIN) [id:10239749],Darius Garland OVER FG3M 0.5 (GOBLIN) [id:10241936],Baylor Scheierman UNDER PA 9.5 (STANDARD) [id:10242829],Gui Santos UNDER PRA 21.5 (STANDARD) [id:10241337],0,
4,Darius Garland OVER PTS 7.5 (GOBLIN) [id:10243295] | Amen Thompson OVER PRA 24.5 (GOBLIN) [id:10239749] | Brice Sensabaugh UNDER PTS 16.5 (STANDARD) [id:10238788] | Gui Santos UNDER PA 16.5 (STANDARD) [id:10241335],0.38181564989218425,10.0,1.0,10.0,3.8181564989218426,10.0,atlas,0.7945708529441908,0.06582289431115808,Darius Garland OVER PTS 7.5 (GOBLIN) [id:10243295] | Amen Thompson OVER PRA 24.5 (GOBLIN) [id:10239749] | Brice Sensabaugh UNDER PTS 16.5 (STANDARD) [id:10238788] | Gui Santos UNDER PA 16.5 (STANDARD) [id:10241335],0.0,0.054,0.0006582289431115808,0.05465822894311158,38.12690676027531,"['darius garland', 'amen thompson', 'brice sensabaugh', 'gui santos']",1,Darius Garland OVER PTS 7.5 (GOBLIN) [id:10243295],Amen Thompson OVER PRA 24.5 (GOBLIN) [id:10239749],Brice Sensabaugh UNDER PTS 16.5 (STANDARD) [id:10238788],Gui Santos UNDER PA 16.5 (STANDARD) [id:10241335],0,
4,Darius Garland OVER PTS 7.5 (GOBLIN) [id:10243295] | Kyshawn George OVER PA 9.5 (GOBLIN) [id:10239839] | Baylor Scheierman UNDER PTS 7.5 (STANDARD) [id:10241420] | Julian Strawther UNDER PA 11.5 (STANDARD) [id:10240045],0.37971445756303357,10.0,1.0,10.0,3.7971445756303357,10.0,atlas,0.7881520532176278,0.06726310233510109,Darius Garland OVER PTS 7.5 (GOBLIN) [id:10243295] | Kyshawn George OVER PA 9.5 (GOBLIN) [id:10239839] | Baylor Scheierman UNDER PTS 7.5 (STANDARD) [id:10241420] | Julian Strawther UNDER PA 11.5 (STANDARD) [id:10240045],0.0,0.054,0.0006726310233510109,0.05467263102335101,37.91677312528,"['darius garland', 'kyshawn george', 'baylor scheierman', 'julian strawther']",1,Darius Garland OVER PTS 7.5 (GOBLIN) [id:10243295],Kyshawn George OVER PA 9.5 (GOBLIN) [id:10239839],Baylor Scheierman UNDER PTS 7.5 (STANDARD) [id:10241420],Julian Strawther UNDER PA 11.5 (STANDARD) [id:10240045],0,
4,Amen Thompson OVER PRA 24.5 (GOBLIN) [id:10239749] | Bobby Portis OVER PTS 7.5 (GOBLIN) [id:10242286] | Gui Santos UNDER PRA 21.5 (STANDARD) [id:10241337] | Pat Spencer UNDER PA 12.5 (STANDARD) [id:10241391],0.34906183755356934,10.0,1.0,10.0,3.4906183755356937,10.0,atlas,0.7746069106110427,0.07371196263655629,Amen Thompson OVER PRA 24.5 (GOBLIN) [id:10239749] | Bobby Portis OVER PTS 7.5 (GOBLIN) [id:10242286] | Gui Santos UNDER PRA 21.5 (STANDARD) [id:10241337] | Pat Spencer UNDER PA 12.5 (STANDARD) [id:10241391],0.01,0.054,0.0007371196263655629,0.06473711962636557,34.84144663573057,"['amen thompson', 'bobby portis', 'gui santos', 'pat spencer']",1,Amen Thompson OVER PRA 24.5 (GOBLIN) [id:10239749],Bobby Portis OVER PTS 7.5 (GOBLIN) [id:10242286],Gui Santos UNDER PRA 21.5 (STANDARD) [id:10241337],Pat Spencer UNDER PA 12.5 (STANDARD) [id:10241391],0,
4,Bobby Portis OVER PTS 8.5 (GOBLIN) [id:10242857] | Keyonte George OVER REB 1.5 (GOBLIN) [id:10240310] | Tristan Vukcevic UNDER REB 4 (STANDARD) [id:10248759] | Kyshawn George OVER AST 2.5 (STANDARD) [id:10237886],0.3350521759045133,10.0,1.0,10.0,3.350521759045133,10.0,atlas,0.7614292385498111,0.04801410432201253,Bobby Portis OVER PTS 8.5 (GOBLIN) [id:10242857] | Keyonte George OVER REB 1.5 (GOBLIN) [id:10240310] | Tristan Vukcevic UNDER REB 4 (STANDARD) [id:10248759] | Kyshawn George OVER AST 2.5 (STANDARD) [id:10237886],0.01,0.012,0.0004801410432201253,0.022480141043220124,33.48273744940811,"['bobby portis', 'keyonte george', 'tristan vukcevic', 'kyshawn george']",1,Bobby Portis OVER PTS 8.5 (GOBLIN) [id:10242857],Keyonte George OVER REB 1.5 (GOBLIN) [id:10240310],Tristan Vukcevic UNDER REB 4 (STANDARD) [id:10248759],Kyshawn George OVER AST 2.5 (STANDARD) [id:10237886],0,
4,Darius Garland OVER AST 3.5 (GOBLIN) [id:10241938] | Kyshawn George OVER AST 1.5 (GOBLIN) [id:10237887] | Julian Strawther UNDER AST 1.5 (STANDARD) [id:10240036] | Brook Lopez UNDER PRA 15.5 (STANDARD) [id:10245506],0.3299890826731592,10.0,1.0,10.0,3.299890826731592,10.0,atlas,0.7641612060260013,0.05946892023343926,Darius Garland OVER AST 3.5 (GOBLIN) [id:10241938] | Kyshawn George OVER AST 1.5 (GOBLIN) [id:10237887] | Julian Strawther UNDER AST 1.5 (STANDARD) [id:10240036] | Brook Lopez UNDER PRA 15.5 (STANDARD) [id:10245506],0.01,0.054,0.0005946892023343926,0.0645946892023344,32.93431357811358,"['darius garland', 'kyshawn george', 'julian strawther', 'brook lopez']",1,Darius Garland OVER AST 3.5 (GOBLIN) [id:10241938],Kyshawn George OVER AST 1.5 (GOBLIN) [id:10237887],Julian Strawther UNDER AST 1.5 (STANDARD) [id:10240036],Brook Lopez UNDER PRA 15.5 (STANDARD) [id:10245506],0,
4,Keyonte George OVER AST 3.5 (GOBLIN) [id:10239262] | Bobby Portis OVER FG3M 0.5 (GOBLIN) [id:10241245] | Gui Santos UNDER PR 18.5 (STANDARD) [id:10241336] | Baylor Scheierman UNDER FG3M 1.5 (STANDARD) [id:10241679],0.3284473570243379,10.0,1.0,10.0,3.284473570243379,10.0,atlas,0.7578218036167725,0.059952506493115065,Keyonte George OVER AST 3.5 (GOBLIN) [id:10239262] | Bobby Portis OVER FG3M 0.5 (GOBLIN) [id:10241245] | Gui Santos UNDER PR 18.5 (STANDARD) [id:10241336] | Baylor Scheierman UNDER FG3M 1.5 (STANDARD) [id:10241679],0.0,0.012,0.0005995250649311507,0.012599525064931151,32.83213617736887,"['keyonte george', 'bobby portis', 'gui santos', 'baylor scheierman']",1,Keyonte George OVER AST 3.5 (GOBLIN) [id:10239262],Bobby Portis OVER FG3M 0.5 (GOBLIN) [id:10241245],Gui Santos UNDER PR 18.5 (STANDARD) [id:10241336],Baylor Scheierman UNDER FG3M 1.5 (STANDARD) [id:10241679],0,
4,Amen Thompson OVER PRA 24.5 (GOBLIN) [id:10239749] | Bub Carrington OVER PTS 5.5 (GOBLIN) [id:10239775] | Reed Sheppard UNDER PA 20.5 (STANDARD) [id:10237910] | Julian Strawther UNDER PA 11.5 (STANDARD) [id:10240045],0.32387570321265124,10.0,1.0,10.0,3.2387570321265127,10.0,atlas,0.7613054723936582,0.07599893205669403,Amen Thompson OVER PRA 24.5 (GOBLIN) [id:10239749] | Bub Carrington OVER PTS 5.5 (GOBLIN) [id:10239775] | Reed Sheppard UNDER PA 20.5 (STANDARD) [id:10237910] | Julian Strawther UNDER PA 11.5 (STANDARD) [id:10240045],0.01,0.054,0.0007599893205669403,0.06475998932056694,32.32281033194456,"['amen thompson', 'bub carrington', 'reed sheppard', 'julian strawther']",1,Amen Thompson OVER PRA 24.5 (GOBLIN) [id:10239749],Bub Carrington OVER PTS 5.5 (GOBLIN) [id:10239775],Reed Sheppard UNDER PA 20.5 (STANDARD) [id:10237910],Julian Strawther UNDER PA 11.5 (STANDARD) [id:10240045],0,
4,Bub Carrington OVER PTS 5.5 (GOBLIN) [id:10239775] | Keyonte George OVER PRA 19.5 (GOBLIN) [id:10240867] | Tristan Vukcevic UNDER REB 4 (STANDARD) [id:10248759] | Bobby Portis OVER PR 15 (STANDARD) [id:10241250],0.3137886328550342,10.0,1.0,10.0,3.1378863285503424,10.0,atlas,0.7505525717212641,0.06278151903341067,Bub Carrington OVER PTS 5.5 (GOBLIN) [id:10239775] | Keyonte George OVER PRA 19.5 (GOBLIN) [id:10240867] | Tristan Vukcevic UNDER REB 4 (STANDARD) [id:10248759] | Bobby Portis OVER PR 15 (STANDARD) [id:10241250],0.01,0.024,0.0006278151903341068,0.03462781519033411,31.344235470313087,"['bub carrington', 'keyonte george', 'tristan vukcevic', 'bobby portis']",1,Bub Carrington OVER PTS 5.5 (GOBLIN) [id:10239775],Keyonte George OVER PRA 19.5 (GOBLIN) [id:10240867],Tristan Vukcevic UNDER REB 4 (STANDARD) [id:10248759],Bobby Portis OVER PR 15 (STANDARD) [id:10241250],0,
4,Payton Pritchard OVER AST 3.5 (GOBLIN) [id:10241444] | Kyshawn George OVER PA 9.5 (GOBLIN) [id:10239839] | Brook Lopez UNDER REB 4.5 (STANDARD) [id:10240952] | Baylor Scheierman UNDER FG3M 1.5 (STANDARD) [id:10241679],0.31003232853173934,10.0,1.0,10.0,3.100323285317393,10.0,atlas,0.747123383333895,0.06158362161567178,Payton Pritchard OVER AST 3.5 (GOBLIN) [id:10241444] | Kyshawn George OVER PA 9.5 (GOBLIN) [id:10239839] | Brook Lopez UNDER REB 4.5 (STANDARD) [id:10240952] | Baylor Scheierman UNDER FG3M 1.5 (STANDARD) [id:10241679],0.01,0.006,0.0006158362161567179,0.01661583621615672,30.986617016957776,"['payton pritchard', 'kyshawn george', 'brook lopez', 'baylor scheierman']",1,Payton Pritchard OVER AST 3.5 (GOBLIN) [id:10241444],Kyshawn George OVER PA 9.5 (GOBLIN) [id:10239839],Brook Lopez UNDER REB 4.5 (STANDARD) [id:10240952],Baylor Scheierman UNDER FG3M 1.5 (STANDARD) [id:10241679],0,
