n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,Evan Mobley OVER RA 7.5 (GOBLIN) [id:10269359] | Russell Westbrook OVER AST 4.5 (STANDARD) [id:10265476] | Tristan Silva UNDER REB 4.5 (STANDARD) [id:10276974],0.6788360922617811,6.0,1.0,6.0,4.073016553570687,6.0,atlas,0.8808244814554502,0.05572585232090845,Evan Mobley OVER RA 7.5 (GOBLIN) [id:10269359] | Russell Westbrook OVER AST 4.5 (STANDARD) [id:10265476] | Tristan Silva UNDER REB 4.5 (STANDARD) [id:10276974],0.0,0.006,0.0005572585232090845,0.006557258523209084,24.43154206290091,"['evan mobley', 'russell westbrook', 'tristan silva']",1,Evan Mobley OVER RA 7.5 (GOBLIN) [id:10269359],Russell Westbrook OVER AST 4.5 (STANDARD) [id:10265476],Tristan Silva UNDER REB 4.5 (STANDARD) [id:10276974],0,
3,Josh Giddey OVER PA 19.5 (GOBLIN) [id:10266807] | Russell Westbrook OVER AST 4.5 (STANDARD) [id:10265476] | Tristan Silva UNDER PTS 11.5 (STANDARD) [id:10276961],0.6734736260109886,6.0,1.0,6.0,4.040841756065932,6.0,atlas,0.8784247214314527,0.0542547002548184,Josh Giddey OVER PA 19.5 (GOBLIN) [id:10266807] | Russell Westbrook OVER AST 4.5 (STANDARD) [id:10265476] | Tristan Silva UNDER PTS 11.5 (STANDARD) [id:10276961],0.0,0.024,0.000542547002548184,0.024542547002548185,24.22050798939304,"['josh giddey', 'russell westbrook', 'tristan silva']",1,Josh Giddey OVER PA 19.5 (GOBLIN) [id:10266807],Russell Westbrook OVER AST 4.5 (STANDARD) [id:10265476],Tristan Silva UNDER PTS 11.5 (STANDARD) [id:10276961],0,
3,Josh Giddey OVER RA 9.5 (GOBLIN) [id:10267136] | DeMar DeRozan OVER PRA 18.5 (STANDARD) [id:10265096] | Russell Westbrook OVER PRA 22.5 (STANDARD) [id:10265494],0.6719569422388232,6.0,1.0,6.0,4.031741653432939,6.0,atlas,0.8784621537846217,0.07295843345602986,Josh Giddey OVER RA 9.5 (GOBLIN) [id:10267136] | DeMar DeRozan OVER PRA 18.5 (STANDARD) [id:10265096] | Russell Westbrook OVER PRA 22.5 (STANDARD) [id:10265494],0.01,0.024,0.0007295843345602985,0.034729584334560304,24.155720336263077,"['josh giddey', 'demar derozan', 'russell westbrook']",1,Josh Giddey OVER RA 9.5 (GOBLIN) [id:10267136],DeMar DeRozan OVER PRA 18.5 (STANDARD) [id:10265096],Russell Westbrook OVER PRA 22.5 (STANDARD) [id:10265494],0,
3,Evan Mobley OVER PR 19.5 (GOBLIN) [id:10266217] | Tristan Silva UNDER PTS 11.5 (STANDARD) [id:10276961] | Josh Giddey OVER AST 7 (STANDARD) [id:10267096],0.665101893527349,6.0,1.0,6.0,3.9906113611640945,6.0,atlas,0.8753250314004557,0.05449520302147676,Evan Mobley OVER PR 19.5 (GOBLIN) [id:10266217] | Tristan Silva UNDER PTS 11.5 (STANDARD) [id:10276961] | Josh Giddey OVER AST 7 (STANDARD) [id:10267096],0.0,0.024,0.0005449520302147676,0.024544952030214767,23.91912321495435,"['evan mobley', 'tristan silva', 'josh giddey']",1,Evan Mobley OVER PR 19.5 (GOBLIN) [id:10266217],Tristan Silva UNDER PTS 11.5 (STANDARD) [id:10276961],Josh Giddey OVER AST 7 (STANDARD) [id:10267096],0,
3,James Harden OVER PR 19.5 (GOBLIN) [id:10266235] | Dejounte Murray OVER PR 17.5 (STANDARD) [id:10263603] | Tristan Silva UNDER PTS 11.5 (STANDARD) [id:10276961],0.6617512093098938,6.0,1.0,6.0,3.970507255859363,6.0,atlas,0.8747374877083298,0.0630489264425883,James Harden OVER PR 19.5 (GOBLIN) [id:10266235] | Dejounte Murray OVER PR 17.5 (STANDARD) [id:10263603] | Tristan Silva UNDER PTS 11.5 (STANDARD) [id:10276961],0.0,0.024,0.000630489264425883,0.024630489264425882,23.798413045891753,"['james harden', 'dejounte murray', 'tristan silva']",1,James Harden OVER PR 19.5 (GOBLIN) [id:10266235],Dejounte Murray OVER PR 17.5 (STANDARD) [id:10263603],Tristan Silva UNDER PTS 11.5 (STANDARD) [id:10276961],0,
3,Josh Giddey OVER AST 5.5 (GOBLIN) [id:10264882] | Jevon Carter UNDER RA 5.5 (STANDARD) [id:10277103] | DeMar DeRozan OVER PA 15.5 (STANDARD) [id:10265093],0.6378284875263747,6.0,1.0,6.0,3.826970925158248,6.0,atlas,0.8614971836149717,0.06667244478066246,Josh Giddey OVER AST 5.5 (GOBLIN) [id:10264882] | Jevon Carter UNDER RA 5.5 (STANDARD) [id:10277103] | DeMar DeRozan OVER PA 15.5 (STANDARD) [id:10265093],0.0,0.024,0.0006667244478066246,0.024666724447806626,22.93715882650168,"['josh giddey', 'jevon carter', 'demar derozan']",1,Josh Giddey OVER AST 5.5 (GOBLIN) [id:10264882],Jevon Carter UNDER RA 5.5 (STANDARD) [id:10277103],DeMar DeRozan OVER PA 15.5 (STANDARD) [id:10265093],0,
3,Ryan Kalkbrenner OVER PRA 8.5 (GOBLIN) [id:10263269] | Russell Westbrook OVER RA 8 (STANDARD) [id:10272084] | Guerschon Yabusele UNDER PA 11.5 (STANDARD) [id:10264647],0.608002610822442,6.0,1.0,6.0,3.6480156649346522,6.0,atlas,0.8476652334766523,0.07902877791856729,Ryan Kalkbrenner OVER PRA 8.5 (GOBLIN) [id:10263269] | Russell Westbrook OVER RA 8 (STANDARD) [id:10272084] | Guerschon Yabusele UNDER PA 11.5 (STANDARD) [id:10264647],0.0,0.024,0.0007902877791856729,0.024790287779185672,21.863303701828727,"['ryan kalkbrenner', 'russell westbrook', 'guerschon yabusele']",1,Ryan Kalkbrenner OVER PRA 8.5 (GOBLIN) [id:10263269],Russell Westbrook OVER RA 8 (STANDARD) [id:10272084],Guerschon Yabusele UNDER PA 11.5 (STANDARD) [id:10264647],0,
3,DeMar DeRozan OVER PRA 15.5 (GOBLIN) [id:10270447] | Ryan Kalkbrenner OVER PR 9.5 (STANDARD) [id:10277398] | Cason Wallace UNDER PA 19.5 (STANDARD) [id:10260193],0.5933981510734752,6.0,1.0,6.0,3.560388906440851,6.0,atlas,0.8414984469432546,0.07635777985352715,DeMar DeRozan OVER PRA 15.5 (GOBLIN) [id:10270447] | Ryan Kalkbrenner OVER PR 9.5 (STANDARD) [id:10277398] | Cason Wallace UNDER PA 19.5 (STANDARD) [id:10260193],0.0,0.024,0.0007635777985352715,0.02476357779853527,21.33756986084657,"['demar derozan', 'ryan kalkbrenner', 'cason wallace']",1,DeMar DeRozan OVER PRA 15.5 (GOBLIN) [id:10270447],Ryan Kalkbrenner OVER PR 9.5 (STANDARD) [id:10277398],Cason Wallace UNDER PA 19.5 (STANDARD) [id:10260193],0,
3,James Harden OVER PR 19.5 (GOBLIN) [id:10266235] | Jevon Carter UNDER REB 2.5 (STANDARD) [id:10277098] | Cason Wallace UNDER PRA 23.5 (STANDARD) [id:10260194],0.5891634172735661,6.0,1.0,6.0,3.534980503641397,6.0,atlas,0.8403129136263287,0.07359843208845097,James Harden OVER PR 19.5 (GOBLIN) [id:10266235] | Jevon Carter UNDER REB 2.5 (STANDARD) [id:10277098] | Cason Wallace UNDER PRA 23.5 (STANDARD) [id:10260194],0.0,0.006,0.0007359843208845098,0.00673598432088451,21.203147037527497,"['james harden', 'jevon carter', 'cason wallace']",1,James Harden OVER PR 19.5 (GOBLIN) [id:10266235],Jevon Carter UNDER REB 2.5 (STANDARD) [id:10277098],Cason Wallace UNDER PRA 23.5 (STANDARD) [id:10260194],0,
3,Evan Mobley OVER PR 19.5 (GOBLIN) [id:10266217] | Guerschon Yabusele UNDER PA 11.5 (STANDARD) [id:10264647] | DeMar DeRozan OVER PTS 12.5 (STANDARD) [id:10265089],0.5853091732710333,6.0,1.0,6.0,3.5118550396262,6.0,atlas,0.8381328533813285,0.07103331550778945,Evan Mobley OVER PR 19.5 (GOBLIN) [id:10266217] | Guerschon Yabusele UNDER PA 11.5 (STANDARD) [id:10264647] | DeMar DeRozan OVER PTS 12.5 (STANDARD) [id:10265089],0.0,0.024,0.0007103331550778945,0.024710333155077896,21.04641990460212,"['evan mobley', 'guerschon yabusele', 'demar derozan']",1,Evan Mobley OVER PR 19.5 (GOBLIN) [id:10266217],Guerschon Yabusele UNDER PA 11.5 (STANDARD) [id:10264647],DeMar DeRozan OVER PTS 12.5 (STANDARD) [id:10265089],0,
