n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Josh Giddey OVER RA 10.5 (GOBLIN) [id:10213477] | Desmond Bane OVER PTS 14.5 (GOBLIN) [id:10212683] | Khris Middleton UNDER PRA 20.5 (STANDARD) [id:10216237] | Paolo Banchero OVER PR 28.5 (STANDARD) [id:10216124] | Collin Sexton OVER PRA 25.5 (DEMON) [id:10213347],0.15635544290406705,20.0,0.8020997827622338,16.041995655244676,2.5082533357409007,20.0,pp_kernel,0.7227777222277771,0.06685926679421783,Josh Giddey OVER RA 10.5 (GOBLIN) [id:10213477] | Desmond Bane OVER PTS 14.5 (GOBLIN) [id:10212683] | Khris Middleton UNDER PRA 20.5 (STANDARD) [id:10216237] | Paolo Banchero OVER PR 28.5 (STANDARD) [id:10216124] | Collin Sexton OVER PRA 25.5 (DEMON) [id:10213347],0.02,0.096,0.0006685926679421783,0.11666859266794219,40.120720521540555,"['josh giddey', 'desmond bane', 'khris middleton', 'paolo banchero', 'collin sexton']",40.2373891142085,1,Josh Giddey OVER RA 10.5 (GOBLIN) [id:10213477],Desmond Bane OVER PTS 14.5 (GOBLIN) [id:10212683],Khris Middleton UNDER PRA 20.5 (STANDARD) [id:10216237],Paolo Banchero OVER PR 28.5 (STANDARD) [id:10216124],Collin Sexton OVER PRA 25.5 (DEMON) [id:10213347],0,
5,Khris Middleton OVER REB 2.5 (GOBLIN) [id:10230626] | Paolo Banchero OVER PA 19.5 (GOBLIN) [id:10216121] | CJ McCollum OVER PR 22.5 (STANDARD) [id:10221292] | Christian Braun OVER PA 13.5 (STANDARD) [id:10211282] | Onyeka Okongwu OVER PR 29.5 (DEMON) [id:10222907],0.11338729070086964,20.0,0.8586811750836533,17.173623501673067,1.9472706403714908,20.0,pp_kernel,0.668923107689231,0.06791981517089012,Khris Middleton OVER REB 2.5 (GOBLIN) [id:10230626] | Paolo Banchero OVER PA 19.5 (GOBLIN) [id:10216121] | CJ McCollum OVER PR 22.5 (STANDARD) [id:10221292] | Christian Braun OVER PA 13.5 (STANDARD) [id:10211282] | Onyeka Okongwu OVER PR 29.5 (DEMON) [id:10222907],0.01,0.054,0.0006791981517089012,0.0646791981517089,33.37701363545008,"['khris middleton', 'paolo banchero', 'cj mccollum', 'christian braun', 'onyeka okongwu']",33.44169283360179,1,Khris Middleton OVER REB 2.5 (GOBLIN) [id:10230626],Paolo Banchero OVER PA 19.5 (GOBLIN) [id:10216121],CJ McCollum OVER PR 22.5 (STANDARD) [id:10221292],Christian Braun OVER PA 13.5 (STANDARD) [id:10211282],Onyeka Okongwu OVER PR 29.5 (DEMON) [id:10222907],0,
5,Onyeka Okongwu OVER AST 1.5 (GOBLIN) [id:10221613] | Josh Giddey OVER PTS 11.5 (GOBLIN) [id:10216427] | CJ McCollum OVER RA 7.5 (STANDARD) [id:10223587] | Jalen Brunson UNDER PR 29.5 (STANDARD) [id:10212499] | Derrick White OVER PA 29.5 (DEMON) [id:10215696],0.0884394855570068,20.0,0.9602441134121029,19.20488226824206,1.6984699079862096,20.0,pp_kernel,0.6395193272010601,0.06698810647441125,Onyeka Okongwu OVER AST 1.5 (GOBLIN) [id:10221613] | Josh Giddey OVER PTS 11.5 (GOBLIN) [id:10216427] | CJ McCollum OVER RA 7.5 (STANDARD) [id:10223587] | Jalen Brunson UNDER PR 29.5 (STANDARD) [id:10212499] | Derrick White OVER PA 29.5 (DEMON) [id:10215696],0.01,0.096,0.0006698810647441125,0.10666988106474411,32.512244737962334,"['onyeka okongwu', 'josh giddey', 'cj mccollum', 'jalen brunson', 'derrick white']",32.61891461902708,1,Onyeka Okongwu OVER AST 1.5 (GOBLIN) [id:10221613],Josh Giddey OVER PTS 11.5 (GOBLIN) [id:10216427],CJ McCollum OVER RA 7.5 (STANDARD) [id:10223587],Jalen Brunson UNDER PR 29.5 (STANDARD) [id:10212499],Derrick White OVER PA 29.5 (DEMON) [id:10215696],0,
5,Jonas Valančiūnas OVER REB 2.5 (GOBLIN) [id:10212211] | Keldon Johnson OVER PR 10.5 (GOBLIN) [id:10224343] | Matas Buzelis UNDER PR 26.5 (STANDARD) [id:10213584] | Jalen Suggs OVER PR 14.5 (STANDARD) [id:10212699] | Desmond Bane OVER RA 9.5 (DEMON) [id:10217152],0.11871994246883058,20.0,0.8139548842489107,16.279097684978215,1.9326535406050867,20.0,pp_kernel,0.6750471515726364,0.07228571427959044,Jonas Valančiūnas OVER REB 2.5 (GOBLIN) [id:10212211] | Keldon Johnson OVER PR 10.5 (GOBLIN) [id:10224343] | Matas Buzelis UNDER PR 26.5 (STANDARD) [id:10213584] | Jalen Suggs OVER PR 14.5 (STANDARD) [id:10212699] | Desmond Bane OVER RA 9.5 (DEMON) [id:10217152],0.01,0.054,0.0007228571427959044,0.06472285714279591,31.397132921586422,"['jonas valančiūnas', 'keldon johnson', 'matas buzelis', 'jalen suggs', 'desmond bane']",31.46185577872922,1,Jonas Valančiūnas OVER REB 2.5 (GOBLIN) [id:10212211],Keldon Johnson OVER PR 10.5 (GOBLIN) [id:10224343],Matas Buzelis UNDER PR 26.5 (STANDARD) [id:10213584],Jalen Suggs OVER PR 14.5 (STANDARD) [id:10212699],Desmond Bane OVER RA 9.5 (DEMON) [id:10217152],0,
5,CJ McCollum OVER PA 21.5 (GOBLIN) [id:10226600] | Onyeka Okongwu OVER PRA 19.5 (GOBLIN) [id:10228573] | Derrick Jones UNDER PR 15.5 (STANDARD) [id:10224618] | Desmond Bane OVER RA 8 (STANDARD) [id:10217150] | Tre Jones OVER RA 9.5 (DEMON) [id:10213774],0.0957521069043693,20.0,0.8621163747661599,17.2423274953232,1.650989185612333,20.0,pp_kernel,0.6472122796813811,0.07864026135415851,CJ McCollum OVER PA 21.5 (GOBLIN) [id:10226600] | Onyeka Okongwu OVER PRA 19.5 (GOBLIN) [id:10228573] | Derrick Jones UNDER PR 15.5 (STANDARD) [id:10224618] | Desmond Bane OVER RA 8 (STANDARD) [id:10217150] | Tre Jones OVER RA 9.5 (DEMON) [id:10213774],0.01,0.096,0.0007864026135415851,0.10678640261354158,28.36010982695125,"['cj mccollum', 'onyeka okongwu', 'derrick jones', 'desmond bane', 'tre jones']",28.46689622956479,1,CJ McCollum OVER PA 21.5 (GOBLIN) [id:10226600],Onyeka Okongwu OVER PRA 19.5 (GOBLIN) [id:10228573],Derrick Jones UNDER PR 15.5 (STANDARD) [id:10224618],Desmond Bane OVER RA 8 (STANDARD) [id:10217150],Tre Jones OVER RA 9.5 (DEMON) [id:10213774],0,
5,Jalen Suggs OVER PRA 14.5 (GOBLIN) [id:10215982] | Onyeka Okongwu OVER PR 19.5 (GOBLIN) [id:10222909] | Ben Sheppard UNDER PRA 14.5 (STANDARD) [id:10217584] | Payton Pritchard OVER RA 9 (STANDARD) [id:10214413] | Tobias Harris OVER PA 16.5 (DEMON) [id:10229580],0.10618478111476856,20.0,0.8177451439189841,16.354902878379683,1.736641782294045,20.0,pp_kernel,0.6659710588084823,0.07356728433276988,Jalen Suggs OVER PRA 14.5 (GOBLIN) [id:10215982] | Onyeka Okongwu OVER PR 19.5 (GOBLIN) [id:10222909] | Ben Sheppard UNDER PRA 14.5 (STANDARD) [id:10217584] | Payton Pritchard OVER RA 9 (STANDARD) [id:10214413] | Tobias Harris OVER PA 16.5 (DEMON) [id:10229580],0.0,0.096,0.0007356728433276988,0.0967356728433277,28.30587201111197,"['jalen suggs', 'onyeka okongwu', 'ben sheppard', 'payton pritchard', 'tobias harris']",28.402607683955296,1,Jalen Suggs OVER PRA 14.5 (GOBLIN) [id:10215982],Onyeka Okongwu OVER PR 19.5 (GOBLIN) [id:10222909],Ben Sheppard UNDER PRA 14.5 (STANDARD) [id:10217584],Payton Pritchard OVER RA 9 (STANDARD) [id:10214413],Tobias Harris OVER PA 16.5 (DEMON) [id:10229580],0,
5,Wendell Carter OVER PRA 14.5 (GOBLIN) [id:10216012] | Keldon Johnson OVER PR 10.5 (GOBLIN) [id:10224343] | Baylor Scheierman UNDER REB 4 (STANDARD) [id:10228309] | Jalen Suggs OVER PR 14.5 (STANDARD) [id:10212699] | Anthony Black OVER PA 24.5 (DEMON) [id:10215943],0.11749891102540734,20.0,0.7769312535650568,15.538625071301135,1.825771524709976,20.0,pp_kernel,0.6751110835801278,0.06934896520000502,Wendell Carter OVER PRA 14.5 (GOBLIN) [id:10216012] | Keldon Johnson OVER PR 10.5 (GOBLIN) [id:10224343] | Baylor Scheierman UNDER REB 4 (STANDARD) [id:10228309] | Jalen Suggs OVER PR 14.5 (STANDARD) [id:10212699] | Anthony Black OVER PA 24.5 (DEMON) [id:10215943],0.04,0.054,0.0006934896520000502,0.09469348965200006,28.275285698674132,"['wendell carter', 'keldon johnson', 'baylor scheierman', 'jalen suggs', 'anthony black']",28.36997918832613,1,Wendell Carter OVER PRA 14.5 (GOBLIN) [id:10216012],Keldon Johnson OVER PR 10.5 (GOBLIN) [id:10224343],Baylor Scheierman UNDER REB 4 (STANDARD) [id:10228309],Jalen Suggs OVER PR 14.5 (STANDARD) [id:10212699],Anthony Black OVER PA 24.5 (DEMON) [id:10215943],0,
5,Paolo Banchero OVER PTS 19.5 (GOBLIN) [id:10214449] | T.J. McConnell OVER PA 9.5 (GOBLIN) [id:10229873] | Dyson Daniels OVER RA 13 (STANDARD) [id:10221425] | Nick Richards UNDER PTS 8.5 (STANDARD) [id:10213650] | Jamal Murray OVER PRA 38.5 (DEMON) [id:10212961],0.09285686893530976,20.0,0.8716538352041577,17.433076704083156,1.6187809186502513,20.0,pp_kernel,0.6406059394060594,0.05984125821077817,Paolo Banchero OVER PTS 19.5 (GOBLIN) [id:10214449] | T.J. McConnell OVER PA 9.5 (GOBLIN) [id:10229873] | Dyson Daniels OVER RA 13 (STANDARD) [id:10221425] | Nick Richards UNDER PTS 8.5 (STANDARD) [id:10213650] | Jamal Murray OVER PRA 38.5 (DEMON) [id:10212961],0.0,0.096,0.0005984125821077817,0.09659841258210779,28.12373350935392,"['paolo banchero', 't.j. mcconnell', 'dyson daniels', 'nick richards', 'jamal murray']",28.220331921936026,1,Paolo Banchero OVER PTS 19.5 (GOBLIN) [id:10214449],T.J. McConnell OVER PA 9.5 (GOBLIN) [id:10229873],Dyson Daniels OVER RA 13 (STANDARD) [id:10221425],Nick Richards UNDER PTS 8.5 (STANDARD) [id:10213650],Jamal Murray OVER PRA 38.5 (DEMON) [id:10212961],0,
5,Josh Giddey OVER RA 10.5 (GOBLIN) [id:10213477] | Cameron Johnson OVER AST 1.5 (GOBLIN) [id:10211250] | Khris Middleton UNDER PRA 20.5 (STANDARD) [id:10216237] | Day'Ron Sharpe UNDER PRA 23.5 (STANDARD) [id:10231131] | Bruce Brown OVER PR 14.5 (DEMON) [id:10214583],0.12014992143226383,20.0,0.7653251858826094,15.30650371765219,1.8390752190785649,20.0,pp_kernel,0.6800371985245458,0.07511394318574974,Josh Giddey OVER RA 10.5 (GOBLIN) [id:10213477] | Cameron Johnson OVER AST 1.5 (GOBLIN) [id:10211250] | Khris Middleton UNDER PRA 20.5 (STANDARD) [id:10216237] | Day'Ron Sharpe UNDER PRA 23.5 (STANDARD) [id:10231131] | Bruce Brown OVER PR 14.5 (DEMON) [id:10214583],0.01,0.096,0.0007511394318574974,0.10675113943185749,28.04306053843621,"['josh giddey', 'cameron johnson', 'khris middleton', ""day'ron sharpe"", 'bruce brown']",28.14981167786807,1,Josh Giddey OVER RA 10.5 (GOBLIN) [id:10213477],Cameron Johnson OVER AST 1.5 (GOBLIN) [id:10211250],Khris Middleton UNDER PRA 20.5 (STANDARD) [id:10216237],Day'Ron Sharpe UNDER PRA 23.5 (STANDARD) [id:10231131],Bruce Brown OVER PR 14.5 (DEMON) [id:10214583],0,
5,Derrick White OVER PR 14.5 (GOBLIN) [id:10215697] | Andrew Nembhard OVER PR 14.5 (GOBLIN) [id:10229826] | Kris Dunn UNDER AST 5 (STANDARD) [id:10228350] | Nickeil Alexander-Walker OVER RA 7.5 (STANDARD) [id:10221601] | Wendell Carter OVER PA 14.5 (DEMON) [id:10216005],0.11271393157853644,20.0,0.7873342017726471,15.746684035452942,1.7748706669608751,20.0,pp_kernel,0.6669410418504673,0.07174221580960696,Derrick White OVER PR 14.5 (GOBLIN) [id:10215697] | Andrew Nembhard OVER PR 14.5 (GOBLIN) [id:10229826] | Kris Dunn UNDER AST 5 (STANDARD) [id:10228350] | Nickeil Alexander-Walker OVER RA 7.5 (STANDARD) [id:10221601] | Wendell Carter OVER PA 14.5 (DEMON) [id:10216005],0.0,0.096,0.0007174221580960697,0.09671742215809608,27.85161017426843,"['derrick white', 'andrew nembhard', 'kris dunn', 'nickeil alexander-walker', 'wendell carter']",27.948327596426527,1,Derrick White OVER PR 14.5 (GOBLIN) [id:10215697],Andrew Nembhard OVER PR 14.5 (GOBLIN) [id:10229826],Kris Dunn UNDER AST 5 (STANDARD) [id:10228350],Nickeil Alexander-Walker OVER RA 7.5 (STANDARD) [id:10221601],Wendell Carter OVER PA 14.5 (DEMON) [id:10216005],0,
