n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,Keyonte George OVER REB 1.5 (GOBLIN) [id:10195237] | Tristan Vukcevic UNDER REB 5 (STANDARD) [id:10205183] | Austin Reaves OVER AST 3.5 (DEMON) [id:10202020],0.41393160628145537,6.0,1.0,6.0,2.4835896376887323,6.0,atlas,0.7494931026144555,0.04824373956988689,Keyonte George OVER REB 1.5 (GOBLIN) [id:10195237] | Tristan Vukcevic UNDER REB 5 (STANDARD) [id:10205183] | Austin Reaves OVER AST 3.5 (DEMON) [id:10202020],0.0,0.006,0.0004824373956988689,0.006482437395698869,14.895055388736695,"['keyonte george', 'tristan vukcevic', 'austin reaves']",1,Keyonte George OVER REB 1.5 (GOBLIN) [id:10195237],Tristan Vukcevic UNDER REB 5 (STANDARD) [id:10205183],Austin Reaves OVER AST 3.5 (DEMON) [id:10202020],0,
3,Coby White OVER AST 1.5 (GOBLIN) [id:10207536] | Ryan Kalkbrenner OVER PRA 9.5 (STANDARD) [id:10205202] | Jrue Holiday OVER AST 6.5 (DEMON) [id:10192782],0.4124083171818059,6.0,1.0,6.0,2.4744499030908353,6.0,atlas,0.7532608549631202,0.05253130753683307,Coby White OVER AST 1.5 (GOBLIN) [id:10207536] | Ryan Kalkbrenner OVER PRA 9.5 (STANDARD) [id:10205202] | Jrue Holiday OVER AST 6.5 (DEMON) [id:10192782],0.01,0.024,0.0005253130753683307,0.03452531307536833,14.812174105469643,"['coby white', 'ryan kalkbrenner', 'jrue holiday']",1,Coby White OVER AST 1.5 (GOBLIN) [id:10207536],Ryan Kalkbrenner OVER PRA 9.5 (STANDARD) [id:10205202],Jrue Holiday OVER AST 6.5 (DEMON) [id:10192782],0,
3,Bam Adebayo OVER REB 6.5 (GOBLIN) [id:10207049] | John Konchar UNDER PA 8.5 (STANDARD) [id:10195156] | Kon Knueppel OVER PA 24.5 (DEMON) [id:10202180],0.4086030573939266,6.0,1.0,6.0,2.4516183443635597,6.0,atlas,0.7501420810017033,0.0687602457657469,Bam Adebayo OVER REB 6.5 (GOBLIN) [id:10207049] | John Konchar UNDER PA 8.5 (STANDARD) [id:10195156] | Kon Knueppel OVER PA 24.5 (DEMON) [id:10202180],0.0,0.006,0.0006876024576574689,0.006687602457657469,14.7030224637237,"['bam adebayo', 'john konchar', 'kon knueppel']",1,Bam Adebayo OVER REB 6.5 (GOBLIN) [id:10207049],John Konchar UNDER PA 8.5 (STANDARD) [id:10195156],Kon Knueppel OVER PA 24.5 (DEMON) [id:10202180],0,
3,Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10200679] | Gui Santos UNDER PA 17.5 (STANDARD) [id:10192358] | Jrue Holiday OVER AST 6.5 (DEMON) [id:10192782],0.4044559533640743,6.0,1.0,6.0,2.4267357201844457,6.0,atlas,0.7488559751977654,0.06449271752609069,Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10200679] | Gui Santos UNDER PA 17.5 (STANDARD) [id:10192358] | Jrue Holiday OVER AST 6.5 (DEMON) [id:10192782],0.0,0.024,0.0006449271752609069,0.024644927175260907,14.535769393931414,"['kon knueppel', 'gui santos', 'jrue holiday']",1,Kon Knueppel OVER PR 19.5 (GOBLIN) [id:10200679],Gui Santos UNDER PA 17.5 (STANDARD) [id:10192358],Jrue Holiday OVER AST 6.5 (DEMON) [id:10192782],0,
3,Jaime Jaquez OVER PA 13.5 (GOBLIN) [id:10206804] | John Konchar UNDER PRA 13.5 (STANDARD) [id:10195159] | Kon Knueppel OVER PA 24.5 (DEMON) [id:10202180],0.40412731141698943,6.0,1.0,6.0,2.4247638685019366,6.0,atlas,0.7466623124697044,0.07698421737345036,Jaime Jaquez OVER PA 13.5 (GOBLIN) [id:10206804] | John Konchar UNDER PRA 13.5 (STANDARD) [id:10195159] | Kon Knueppel OVER PA 24.5 (DEMON) [id:10202180],0.0,0.024,0.0007698421737345036,0.024769842173734503,14.523813368837885,"['jaime jaquez', 'john konchar', 'kon knueppel']",1,Jaime Jaquez OVER PA 13.5 (GOBLIN) [id:10206804],John Konchar UNDER PRA 13.5 (STANDARD) [id:10195159],Kon Knueppel OVER PA 24.5 (DEMON) [id:10202180],0,
3,Kel'el Ware OVER PTS 4.5 (GOBLIN) [id:10201697] | Ryan Kalkbrenner OVER PTS 4.5 (STANDARD) [id:10201138] | Austin Reaves OVER AST 3.5 (DEMON) [id:10202020],0.40335145714480714,6.0,1.0,6.0,2.420108742868843,6.0,atlas,0.744903525109352,0.04488377777541206,Kel'el Ware OVER PTS 4.5 (GOBLIN) [id:10201697] | Ryan Kalkbrenner OVER PTS 4.5 (STANDARD) [id:10201138] | Austin Reaves OVER AST 3.5 (DEMON) [id:10202020],0.0,0.024,0.0004488377777541206,0.024448837777754123,14.496203619435303,"[""kel'el ware"", 'ryan kalkbrenner', 'austin reaves']",1,Kel'el Ware OVER PTS 4.5 (GOBLIN) [id:10201697],Ryan Kalkbrenner OVER PTS 4.5 (STANDARD) [id:10201138],Austin Reaves OVER AST 3.5 (DEMON) [id:10202020],0,
3,Bam Adebayo OVER RA 9.5 (GOBLIN) [id:10202454] | Tristan Vukcevic UNDER REB 5 (STANDARD) [id:10205183] | Kyshawn George OVER PRA 19.5 (DEMON) [id:10196374],0.40300843242794393,6.0,1.0,6.0,2.4180505945676636,6.0,atlas,0.7480633318417876,0.07026155891820274,Bam Adebayo OVER RA 9.5 (GOBLIN) [id:10202454] | Tristan Vukcevic UNDER REB 5 (STANDARD) [id:10205183] | Kyshawn George OVER PRA 19.5 (DEMON) [id:10196374],0.01,0.006,0.0007026155891820274,0.016702615589182027,14.4916009518168,"['bam adebayo', 'tristan vukcevic', 'kyshawn george']",1,Bam Adebayo OVER RA 9.5 (GOBLIN) [id:10202454],Tristan Vukcevic UNDER REB 5 (STANDARD) [id:10205183],Kyshawn George OVER PRA 19.5 (DEMON) [id:10196374],0,
3,Davion Mitchell OVER PTS 4.5 (GOBLIN) [id:10198575] | Ryan Kalkbrenner OVER PRA 9.5 (STANDARD) [id:10205202] | Jaime Jaquez OVER PA 18.5 (DEMON) [id:10206467],0.400698592325319,6.0,1.0,6.0,2.404191553951914,6.0,atlas,0.7446755324467554,0.06565892200025604,Davion Mitchell OVER PTS 4.5 (GOBLIN) [id:10198575] | Ryan Kalkbrenner OVER PRA 9.5 (STANDARD) [id:10205202] | Jaime Jaquez OVER PA 18.5 (DEMON) [id:10206467],0.01,0.024,0.0006565892200025604,0.03465658922000256,14.390492734491481,"['davion mitchell', 'ryan kalkbrenner', 'jaime jaquez']",1,Davion Mitchell OVER PTS 4.5 (GOBLIN) [id:10198575],Ryan Kalkbrenner OVER PRA 9.5 (STANDARD) [id:10205202],Jaime Jaquez OVER PA 18.5 (DEMON) [id:10206467],0,
3,Grant Williams OVER PA 4.5 (GOBLIN) [id:10201170] | Gui Santos UNDER PA 17.5 (STANDARD) [id:10192358] | Coby White OVER PRA 19.5 (DEMON) [id:10193426],0.3985997957737729,6.0,1.0,6.0,2.3915987746426373,6.0,atlas,0.7432270557470445,0.07759087949034212,Grant Williams OVER PA 4.5 (GOBLIN) [id:10201170] | Gui Santos UNDER PA 17.5 (STANDARD) [id:10192358] | Coby White OVER PRA 19.5 (DEMON) [id:10193426],0.01,0.024,0.0007759087949034211,0.03477590879490342,14.314816739060921,"['grant williams', 'gui santos', 'coby white']",1,Grant Williams OVER PA 4.5 (GOBLIN) [id:10201170],Gui Santos UNDER PA 17.5 (STANDARD) [id:10192358],Coby White OVER PRA 19.5 (DEMON) [id:10193426],0,
3,Donovan Clingan OVER RA 11.5 (GOBLIN) [id:10202175] | Gui Santos UNDER PA 17.5 (STANDARD) [id:10192358] | Jrue Holiday OVER AST 6.5 (DEMON) [id:10192782],0.39845478074096985,6.0,1.0,6.0,2.3907286844458193,6.0,atlas,0.7445230751544364,0.06507112306685231,Donovan Clingan OVER RA 11.5 (GOBLIN) [id:10202175] | Gui Santos UNDER PA 17.5 (STANDARD) [id:10192358] | Jrue Holiday OVER AST 6.5 (DEMON) [id:10192782],0.01,0.024,0.0006507112306685231,0.03465071123066853,14.309721395444246,"['donovan clingan', 'gui santos', 'jrue holiday']",1,Donovan Clingan OVER RA 11.5 (GOBLIN) [id:10202175],Gui Santos UNDER PA 17.5 (STANDARD) [id:10192358],Jrue Holiday OVER AST 6.5 (DEMON) [id:10192782],0,
