n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,T.J. McConnell OVER AST 2.5 (GOBLIN) [id:10218002] | Dejounte Murray OVER REB 2.5 (GOBLIN) [id:10224444] | CJ McCollum OVER PR 22.5 (STANDARD) [id:10221292] | Naji Marshall UNDER PR 23.5 (STANDARD) [id:10216271] | Cameron Johnson OVER RA 7.5 (DEMON) [id:10212902],0.12198226212908336,20.0,0.9008825361142697,18.017650722285396,2.1978337933560854,20.0,pp_kernel,0.6811275245031384,0.061458183623107523,T.J. McConnell OVER AST 2.5 (GOBLIN) [id:10218002] | Dejounte Murray OVER REB 2.5 (GOBLIN) [id:10224444] | CJ McCollum OVER PR 22.5 (STANDARD) [id:10221292] | Naji Marshall UNDER PR 23.5 (STANDARD) [id:10216271] | Cameron Johnson OVER RA 7.5 (DEMON) [id:10212902],0.0,0.054,0.0006145818362310753,0.05461458183623107,39.54518705248928,"['t.j. mcconnell', 'dejounte murray', 'cj mccollum', 'naji marshall', 'cameron johnson']",39.599801634325516,1,T.J. McConnell OVER AST 2.5 (GOBLIN) [id:10218002],Dejounte Murray OVER REB 2.5 (GOBLIN) [id:10224444],CJ McCollum OVER PR 22.5 (STANDARD) [id:10221292],Naji Marshall UNDER PR 23.5 (STANDARD) [id:10216271],Cameron Johnson OVER RA 7.5 (DEMON) [id:10212902],0,
5,CJ McCollum OVER FG3M 1.5 (GOBLIN) [id:10222859] | Derrick White OVER PRA 24.5 (GOBLIN) [id:10215700] | Payton Pritchard OVER RA 9 (STANDARD) [id:10214413] | Khris Middleton UNDER PA 16.5 (STANDARD) [id:10216235] | Jonas Valančiūnas OVER RA 7.5 (DEMON) [id:10212977],0.0912355269523851,20.0,0.9887757951289305,19.77551590257861,1.804229614127031,20.0,pp_kernel,0.6406659334066593,0.06641467933279875,CJ McCollum OVER FG3M 1.5 (GOBLIN) [id:10222859] | Derrick White OVER PRA 24.5 (GOBLIN) [id:10215700] | Payton Pritchard OVER RA 9 (STANDARD) [id:10214413] | Khris Middleton UNDER PA 16.5 (STANDARD) [id:10216235] | Jonas Valančiūnas OVER RA 7.5 (DEMON) [id:10212977],0.01,0.054,0.0006641467933279875,0.06466414679332799,35.614907279279045,"['cj mccollum', 'derrick white', 'payton pritchard', 'khris middleton', 'jonas valančiūnas']",35.67957142607237,1,CJ McCollum OVER FG3M 1.5 (GOBLIN) [id:10222859],Derrick White OVER PRA 24.5 (GOBLIN) [id:10215700],Payton Pritchard OVER RA 9 (STANDARD) [id:10214413],Khris Middleton UNDER PA 16.5 (STANDARD) [id:10216235],Jonas Valančiūnas OVER RA 7.5 (DEMON) [id:10212977],0,
5,Nickeil Alexander-Walker OVER PR 20.5 (GOBLIN) [id:10229573] | Keldon Johnson OVER REB 2.5 (GOBLIN) [id:10215465] | Bruce Brown OVER PRA 14.5 (STANDARD) [id:10211239] | Moritz Wagner OVER FG3M 0.5 (STANDARD) [id:10227392] | Nikola Jokić OVER RA 26.5 (DEMON) [id:10213014],0.07581365844144952,20.0,1.0573930425176268,21.147860850352536,1.6032966992759294,20.0,pp_kernel,0.6171369935848764,0.058266523078775036,Nickeil Alexander-Walker OVER PR 20.5 (GOBLIN) [id:10229573] | Keldon Johnson OVER REB 2.5 (GOBLIN) [id:10215465] | Bruce Brown OVER PRA 14.5 (STANDARD) [id:10211239] | Moritz Wagner OVER FG3M 0.5 (STANDARD) [id:10227392] | Nikola Jokić OVER RA 26.5 (DEMON) [id:10213014],0.01,0.024,0.0005826652307877504,0.034582665230787756,33.87171283288609,"['nickeil alexander-walker', 'keldon johnson', 'bruce brown', 'moritz wagner', 'nikola jokić']",33.906295498116876,1,Nickeil Alexander-Walker OVER PR 20.5 (GOBLIN) [id:10229573],Keldon Johnson OVER REB 2.5 (GOBLIN) [id:10215465],Bruce Brown OVER PRA 14.5 (STANDARD) [id:10211239],Moritz Wagner OVER FG3M 0.5 (STANDARD) [id:10227392],Nikola Jokić OVER RA 26.5 (DEMON) [id:10213014],0,
5,Tim Hardaway OVER REB 1.5 (GOBLIN) [id:10213046] | Paolo Banchero OVER PRA 29.5 (GOBLIN) [id:10216128] | Khris Middleton UNDER PTS 12.5 (STANDARD) [id:10216233] | Micah Potter UNDER PA 13.5 (STANDARD) [id:10218367] | Cameron Johnson OVER RA 7.5 (DEMON) [id:10212902],0.1298026233727499,20.0,0.8040313930168276,16.080627860336552,2.0873076817526144,20.0,pp_kernel,0.6873612638736126,0.06532270367762424,Tim Hardaway OVER REB 1.5 (GOBLIN) [id:10213046] | Paolo Banchero OVER PRA 29.5 (GOBLIN) [id:10216128] | Khris Middleton UNDER PTS 12.5 (STANDARD) [id:10216233] | Micah Potter UNDER PA 13.5 (STANDARD) [id:10218367] | Cameron Johnson OVER RA 7.5 (DEMON) [id:10212902],0.01,0.054,0.0006532270367762425,0.06465322703677624,33.50056483324881,"['tim hardaway', 'paolo banchero', 'khris middleton', 'micah potter', 'cameron johnson']",33.56521806028559,1,Tim Hardaway OVER REB 1.5 (GOBLIN) [id:10213046],Paolo Banchero OVER PRA 29.5 (GOBLIN) [id:10216128],Khris Middleton UNDER PTS 12.5 (STANDARD) [id:10216233],Micah Potter UNDER PA 13.5 (STANDARD) [id:10218367],Cameron Johnson OVER RA 7.5 (DEMON) [id:10212902],0,
5,T.J. McConnell OVER PRA 12.5 (GOBLIN) [id:10227942] | Evan Mobley OVER PR 19.5 (GOBLIN) [id:10221871] | Derrick White OVER PA 22.5 (STANDARD) [id:10213786] | Khris Middleton UNDER PRA 20.5 (STANDARD) [id:10216237] | Jonas Valančiūnas OVER RA 7.5 (DEMON) [id:10212977],0.10565430576756289,20.0,0.8855643113580735,17.71128622716147,1.8712736505813432,20.0,pp_kernel,0.6580776321657005,0.07193286767539948,T.J. McConnell OVER PRA 12.5 (GOBLIN) [id:10227942] | Evan Mobley OVER PR 19.5 (GOBLIN) [id:10221871] | Derrick White OVER PA 22.5 (STANDARD) [id:10213786] | Khris Middleton UNDER PRA 20.5 (STANDARD) [id:10216237] | Jonas Valančiūnas OVER RA 7.5 (DEMON) [id:10212977],0.0,0.096,0.0007193286767539948,0.096719328676754,33.04594390611475,"['t.j. mcconnell', 'evan mobley', 'derrick white', 'khris middleton', 'jonas valančiūnas']",33.142663234791506,1,T.J. McConnell OVER PRA 12.5 (GOBLIN) [id:10227942],Evan Mobley OVER PR 19.5 (GOBLIN) [id:10221871],Derrick White OVER PA 22.5 (STANDARD) [id:10213786],Khris Middleton UNDER PRA 20.5 (STANDARD) [id:10216237],Jonas Valančiūnas OVER RA 7.5 (DEMON) [id:10212977],0,
5,Tim Hardaway OVER PRA 12.5 (GOBLIN) [id:10214397] | Jalen Suggs OVER PA 9.5 (GOBLIN) [id:10215976] | Matas Buzelis UNDER RA 9 (STANDARD) [id:10228380] | Nolan Traore UNDER PR 13.5 (STANDARD) [id:10219309] | Wendell Carter OVER PRA 23.5 (DEMON) [id:10217328],0.12953655148028895,20.0,0.7938134497460654,15.876268994921308,2.056557135975539,20.0,pp_kernel,0.6930271742593679,0.07736724861019324,Tim Hardaway OVER PRA 12.5 (GOBLIN) [id:10214397] | Jalen Suggs OVER PA 9.5 (GOBLIN) [id:10215976] | Matas Buzelis UNDER RA 9 (STANDARD) [id:10228380] | Nolan Traore UNDER PR 13.5 (STANDARD) [id:10219309] | Wendell Carter OVER PRA 23.5 (DEMON) [id:10217328],0.01,0.096,0.0007736724861019325,0.10677367248610192,32.54368062168652,"['tim hardaway', 'jalen suggs', 'matas buzelis', 'nolan traore', 'wendell carter']",32.65045429417262,1,Tim Hardaway OVER PRA 12.5 (GOBLIN) [id:10214397],Jalen Suggs OVER PA 9.5 (GOBLIN) [id:10215976],Matas Buzelis UNDER RA 9 (STANDARD) [id:10228380],Nolan Traore UNDER PR 13.5 (STANDARD) [id:10219309],Wendell Carter OVER PRA 23.5 (DEMON) [id:10217328],0,
5,Josh Giddey OVER AST 6.5 (GOBLIN) [id:10224970] | Josh Hart OVER PRA 18.5 (GOBLIN) [id:10224329] | Max Christie UNDER PA 17.5 (STANDARD) [id:10216257] | James Harden OVER PRA 33.5 (STANDARD) [id:10219455] | Nickeil Alexander-Walker OVER PA 29.5 (DEMON) [id:10222895],0.09213575840926001,20.0,0.93215552947976,18.6431105895952,1.7176971332800604,20.0,pp_kernel,0.6422425895267334,0.06920629113009658,Josh Giddey OVER AST 6.5 (GOBLIN) [id:10224970] | Josh Hart OVER PRA 18.5 (GOBLIN) [id:10224329] | Max Christie UNDER PA 17.5 (STANDARD) [id:10216257] | James Harden OVER PRA 33.5 (STANDARD) [id:10219455] | Nickeil Alexander-Walker OVER PA 29.5 (DEMON) [id:10222895],0.0,0.096,0.0006920629113009658,0.09669206291130097,31.926525552259513,"['josh giddey', 'josh hart', 'max christie', 'james harden', 'nickeil alexander-walker']",32.023217615170815,1,Josh Giddey OVER AST 6.5 (GOBLIN) [id:10224970],Josh Hart OVER PRA 18.5 (GOBLIN) [id:10224329],Max Christie UNDER PA 17.5 (STANDARD) [id:10216257],James Harden OVER PRA 33.5 (STANDARD) [id:10219455],Nickeil Alexander-Walker OVER PA 29.5 (DEMON) [id:10222895],0,
5,Cameron Johnson OVER PTS 7.5 (GOBLIN) [id:10214436] | Tim Hardaway OVER PTS 7.5 (GOBLIN) [id:10214440] | Jarrett Allen UNDER PTS 18 (STANDARD) [id:10219486] | Nickeil Alexander-Walker OVER RA 7.5 (STANDARD) [id:10221601] | Anthony Black OVER PA 24.5 (DEMON) [id:10215943],0.093169643084746,20.0,0.9230427832009147,18.460855664018293,1.719991333255596,20.0,pp_kernel,0.6428030040633511,0.05681883129822958,Cameron Johnson OVER PTS 7.5 (GOBLIN) [id:10214436] | Tim Hardaway OVER PTS 7.5 (GOBLIN) [id:10214440] | Jarrett Allen UNDER PTS 18 (STANDARD) [id:10219486] | Nickeil Alexander-Walker OVER RA 7.5 (STANDARD) [id:10221601] | Anthony Black OVER PA 24.5 (DEMON) [id:10215943],0.01,0.096,0.0005681883129822959,0.10656818831298229,31.645943558280962,"['cameron johnson', 'tim hardaway', 'jarrett allen', 'nickeil alexander-walker', 'anthony black']",31.752511746593942,1,Cameron Johnson OVER PTS 7.5 (GOBLIN) [id:10214436],Tim Hardaway OVER PTS 7.5 (GOBLIN) [id:10214440],Jarrett Allen UNDER PTS 18 (STANDARD) [id:10219486],Nickeil Alexander-Walker OVER RA 7.5 (STANDARD) [id:10221601],Anthony Black OVER PA 24.5 (DEMON) [id:10215943],0,
5,Evan Mobley OVER AST 1.5 (GOBLIN) [id:10220952] | Nikola Vučević OVER FG3M 0.5 (GOBLIN) [id:10214503] | Jaylen Wells UNDER RA 5.5 (STANDARD) [id:10217828] | Isaac Okoro UNDER PA 12.5 (STANDARD) [id:10213420] | Derrick White OVER RA 12.5 (DEMON) [id:10216956],0.0783156988833355,20.0,1.0006377016627477,20.012754033254954,1.567312818694653,20.0,pp_kernel,0.6201380049909109,0.06752105948556539,Evan Mobley OVER AST 1.5 (GOBLIN) [id:10220952] | Nikola Vučević OVER FG3M 0.5 (GOBLIN) [id:10214503] | Jaylen Wells UNDER RA 5.5 (STANDARD) [id:10217828] | Isaac Okoro UNDER PA 12.5 (STANDARD) [id:10213420] | Derrick White OVER RA 12.5 (DEMON) [id:10216956],0.01,0.054,0.0006752105948556539,0.06467521059485566,31.301570723108753,"['evan mobley', 'nikola vučević', 'jaylen wells', 'isaac okoro', 'derrick white']",31.36624593370361,1,Evan Mobley OVER AST 1.5 (GOBLIN) [id:10220952],Nikola Vučević OVER FG3M 0.5 (GOBLIN) [id:10214503],Jaylen Wells UNDER RA 5.5 (STANDARD) [id:10217828],Isaac Okoro UNDER PA 12.5 (STANDARD) [id:10213420],Derrick White OVER RA 12.5 (DEMON) [id:10216956],0,
5,Derrick White OVER PR 14.5 (GOBLIN) [id:10215697] | Dejounte Murray OVER REB 2.5 (GOBLIN) [id:10224444] | Desmond Bane OVER PR 24.5 (STANDARD) [id:10212685] | Jalen Johnson OVER PR 33.5 (STANDARD) [id:10221456] | Julian Champagnie OVER PRA 19.5 (DEMON) [id:10214148],0.1115881658852961,20.0,0.8374665047691887,16.749330095383776,1.8690270251512673,20.0,pp_kernel,0.6732103202676674,0.06696261801183481,Derrick White OVER PR 14.5 (GOBLIN) [id:10215697] | Dejounte Murray OVER REB 2.5 (GOBLIN) [id:10224444] | Desmond Bane OVER PR 24.5 (STANDARD) [id:10212685] | Jalen Johnson OVER PR 33.5 (STANDARD) [id:10221456] | Julian Champagnie OVER PRA 19.5 (DEMON) [id:10214148],0.0,0.054,0.0006696261801183482,0.05466962618011835,31.25028097527161,"['derrick white', 'dejounte murray', 'desmond bane', 'jalen johnson', 'julian champagnie']",31.30495060145173,1,Derrick White OVER PR 14.5 (GOBLIN) [id:10215697],Dejounte Murray OVER REB 2.5 (GOBLIN) [id:10224444],Desmond Bane OVER PR 24.5 (STANDARD) [id:10212685],Jalen Johnson OVER PR 33.5 (STANDARD) [id:10221456],Julian Champagnie OVER PRA 19.5 (DEMON) [id:10214148],0,
