n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,Nickeil Alexander-Walker OVER PRA 22.5 (GOBLIN) [id:10373537] | Jaylin Williams UNDER PRA 20.5 (STANDARD) [id:10379271] | Jaylen Wells OVER PR 19.5 (DEMON) [id:10384846],0.180909299667015,6.0,1.2783303709490388,7.669982225694232,1.3875711129087964,6.0,pp_kernel,0.6058227510582275,0.08071334787312541,Nickeil Alexander-Walker OVER PRA 22.5 (GOBLIN) [id:10373537] | Jaylin Williams UNDER PRA 20.5 (STANDARD) [id:10379271] | Jaylen Wells OVER PR 19.5 (DEMON) [id:10384846],0.0,0.024,0.0008071334787312541,0.024807133478731255,10.617838639418503,"['nickeil alexander-walker', 'jaylin williams', 'jaylen wells']",10.642645772897234,1,Nickeil Alexander-Walker OVER PRA 22.5 (GOBLIN) [id:10373537],Jaylin Williams UNDER PRA 20.5 (STANDARD) [id:10379271],Jaylen Wells OVER PR 19.5 (DEMON) [id:10384846],0,
3,Cam Spencer OVER AST 3.5 (GOBLIN) [id:10381414] | Jaylen Wells UNDER PTS 13.5 (STANDARD) [id:10381583] | CJ McCollum OVER PA 29.5 (DEMON) [id:10376977],0.14877315234557797,6.0,1.4032674925862985,8.41960495551779,1.2526111707368315,6.0,pp_kernel,0.5699263406992634,0.056275189511156544,Cam Spencer OVER AST 3.5 (GOBLIN) [id:10381414] | Jaylen Wells UNDER PTS 13.5 (STANDARD) [id:10381583] | CJ McCollum OVER PA 29.5 (DEMON) [id:10376977],0.01,0.024,0.0005627518951115655,0.03456275189511157,10.511928468577658,"['cam spencer', 'jaylen wells', 'cj mccollum']",10.546491220472769,1,Cam Spencer OVER AST 3.5 (GOBLIN) [id:10381414],Jaylen Wells UNDER PTS 13.5 (STANDARD) [id:10381583],CJ McCollum OVER PA 29.5 (DEMON) [id:10376977],0,
3,Cam Spencer OVER AST 3.5 (GOBLIN) [id:10381414] | Isaiah Joe UNDER PTS 10.5 (STANDARD) [id:10369651] | Jalen Duren OVER PA 24.5 (DEMON) [id:10377747],0.15923752450723785,6.0,1.287116857000919,7.722701142005514,1.2297438123621767,6.0,pp_kernel,0.57675899076759,0.047085939976164864,Cam Spencer OVER AST 3.5 (GOBLIN) [id:10381414] | Isaiah Joe UNDER PTS 10.5 (STANDARD) [id:10369651] | Jalen Duren OVER PA 24.5 (DEMON) [id:10377747],0.0,0.024,0.00047085939976164866,0.02447085939976165,9.472473084703836,"['cam spencer', 'isaiah joe', 'jalen duren']",9.496943944103597,1,Cam Spencer OVER AST 3.5 (GOBLIN) [id:10381414],Isaiah Joe UNDER PTS 10.5 (STANDARD) [id:10369651],Jalen Duren OVER PA 24.5 (DEMON) [id:10377747],0,
3,CJ McCollum OVER RA 5.5 (GOBLIN) [id:10373330] | Day'Ron Sharpe OVER PRA 16.5 (STANDARD) [id:10376536] | Jaylen Wells OVER PR 19.5 (DEMON) [id:10384846],0.14147382085209817,6.0,1.3469395273921074,8.081637164352644,1.1433400883812845,6.0,pp_kernel,0.5546367456891442,0.074389910953764,CJ McCollum OVER RA 5.5 (GOBLIN) [id:10373330] | Day'Ron Sharpe OVER PRA 16.5 (STANDARD) [id:10376536] | Jaylen Wells OVER PR 19.5 (DEMON) [id:10384846],0.0,0.024,0.00074389910953764,0.02474389910953764,9.215315850646888,"['cj mccollum', ""day'ron sharpe"", 'jaylen wells']",9.240059749756426,1,CJ McCollum OVER RA 5.5 (GOBLIN) [id:10373330],Day'Ron Sharpe OVER PRA 16.5 (STANDARD) [id:10376536],Jaylen Wells OVER PR 19.5 (DEMON) [id:10384846],0,
3,Cason Wallace OVER REB 2.5 (GOBLIN) [id:10369521] | Luguentz Dort OVER PRA 15.5 (STANDARD) [id:10369682] | Shai Gilgeous-Alexander OVER PR 44.5 (DEMON) [id:10377115],0.1197585218536935,6.0,1.4561736186556895,8.737041711934136,1.046335200795296,6.0,pp_kernel,0.512332100123321,0.053960689216606794,Cason Wallace OVER REB 2.5 (GOBLIN) [id:10369521] | Luguentz Dort OVER PRA 15.5 (STANDARD) [id:10369682] | Shai Gilgeous-Alexander OVER PR 44.5 (DEMON) [id:10377115],0.04,0.006,0.000539606892166068,0.04653960689216607,9.095334687121314,"['cason wallace', 'luguentz dort', 'shai gilgeous-alexander']",9.14187429401348,1,Cason Wallace OVER REB 2.5 (GOBLIN) [id:10369521],Luguentz Dort OVER PRA 15.5 (STANDARD) [id:10369682],Shai Gilgeous-Alexander OVER PR 44.5 (DEMON) [id:10377115],0,
3,Jalen Johnson OVER PRA 34.5 (GOBLIN) [id:10377004] | Giannis Antetokounmpo UNDER PTS 26.5 (STANDARD) [id:10374568] | Jalen Duren OVER RA 16.5 (DEMON) [id:10376590],0.12263281036069329,6.0,1.4273272254526448,8.563963352715868,1.0502228937695322,6.0,pp_kernel,0.525770395901174,0.05774444468001586,Jalen Johnson OVER PRA 34.5 (GOBLIN) [id:10377004] | Giannis Antetokounmpo UNDER PTS 26.5 (STANDARD) [id:10374568] | Jalen Duren OVER RA 16.5 (DEMON) [id:10376590],0.0,0.024,0.0005774444468001586,0.02457744444680016,8.969492929978683,"['jalen johnson', 'giannis antetokounmpo', 'jalen duren']",8.994070374425483,1,Jalen Johnson OVER PRA 34.5 (GOBLIN) [id:10377004],Giannis Antetokounmpo UNDER PTS 26.5 (STANDARD) [id:10374568],Jalen Duren OVER RA 16.5 (DEMON) [id:10376590],0,
3,Jaylen Wells OVER PTS 9.5 (GOBLIN) [id:10381579] | Al Horford UNDER AST 2.5 (STANDARD) [id:10369446] | Jalen Duren OVER RA 16.5 (DEMON) [id:10376590],0.125142344370312,6.0,1.4069750709614937,8.441850425768962,1.0564329531042445,6.0,pp_kernel,0.5292929764177301,0.04402669294511724,Jaylen Wells OVER PTS 9.5 (GOBLIN) [id:10381579] | Al Horford UNDER AST 2.5 (STANDARD) [id:10369446] | Jalen Duren OVER RA 16.5 (DEMON) [id:10376590],0.0,0.024,0.0004402669294511724,0.024440266929451174,8.893808708029976,"['jaylen wells', 'al horford', 'jalen duren']",8.918248974959427,1,Jaylen Wells OVER PTS 9.5 (GOBLIN) [id:10381579],Al Horford UNDER AST 2.5 (STANDARD) [id:10369446],Jalen Duren OVER RA 16.5 (DEMON) [id:10376590],0,
3,Michael Porter OVER PTS 17.5 (GOBLIN) [id:10377307] | Isaiah Joe OVER PA 12.5 (STANDARD) [id:10369653] | Shai Gilgeous-Alexander OVER PTS 36.5 (DEMON) [id:10371956],0.14055640417940446,6.0,1.3230799280786782,7.9384795684720695,1.1158041427961045,6.0,pp_kernel,0.5471300233257503,0.04427650683694023,Michael Porter OVER PTS 17.5 (GOBLIN) [id:10377307] | Isaiah Joe OVER PA 12.5 (STANDARD) [id:10369653] | Shai Gilgeous-Alexander OVER PTS 36.5 (DEMON) [id:10371956],0.01,0.024,0.00044276506836940234,0.03444276506836941,8.823345624934998,"['michael porter', 'isaiah joe', 'shai gilgeous-alexander']",8.857788390003368,1,Michael Porter OVER PTS 17.5 (GOBLIN) [id:10377307],Isaiah Joe OVER PA 12.5 (STANDARD) [id:10369653],Shai Gilgeous-Alexander OVER PTS 36.5 (DEMON) [id:10371956],0,
3,Noah Clowney OVER PTS 8.5 (GOBLIN) [id:10376648] | Jalen Duren OVER RA 12 (STANDARD) [id:10376125] | Duncan Robinson OVER RA 5.5 (DEMON) [id:10376564],0.16807654658588286,6.0,1.1994068213581581,7.196440928148949,1.209552938912581,6.0,pp_kernel,0.5751244027278214,0.06537355188638545,Noah Clowney OVER PTS 8.5 (GOBLIN) [id:10376648] | Jalen Duren OVER RA 12 (STANDARD) [id:10376125] | Duncan Robinson OVER RA 5.5 (DEMON) [id:10376564],0.01,0.024,0.0006537355188638546,0.03465373551886386,8.669822538834477,"['noah clowney', 'jalen duren', 'duncan robinson']",8.704476274353341,1,Noah Clowney OVER PTS 8.5 (GOBLIN) [id:10376648],Jalen Duren OVER RA 12 (STANDARD) [id:10376125],Duncan Robinson OVER RA 5.5 (DEMON) [id:10376564],0,
3,Desmond Bane OVER PR 19.5 (GOBLIN) [id:10370161] | Jalen Johnson OVER PRA 41.5 (STANDARD) [id:10374065] | Shai Gilgeous-Alexander OVER PR 44.5 (DEMON) [id:10377115],0.1342914144485259,6.0,1.3336370784834564,8.001822470900738,1.0745760577832586,6.0,pp_kernel,0.5318267914686992,0.06782609580110886,Desmond Bane OVER PR 19.5 (GOBLIN) [id:10370161] | Jalen Johnson OVER PRA 41.5 (STANDARD) [id:10374065] | Shai Gilgeous-Alexander OVER PR 44.5 (DEMON) [id:10377115],0.0,0.024,0.0006782609580110886,0.024678260958011088,8.573888584903997,"['desmond bane', 'jalen johnson', 'shai gilgeous-alexander']",8.598566845862008,1,Desmond Bane OVER PR 19.5 (GOBLIN) [id:10370161],Jalen Johnson OVER PRA 41.5 (STANDARD) [id:10374065],Shai Gilgeous-Alexander OVER PR 44.5 (DEMON) [id:10377115],0,
