n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10403906] | James Harden OVER AST 5.5 (GOBLIN) [id:10395472] | Grayson Allen OVER PRA 24.5 (STANDARD) [id:10397350] | Donovan Clingan OVER PR 25.5 (STANDARD) [id:10400808],0.2509250363375825,10.0,0.8232942112565124,8.232942112565123,2.0658512987606166,10.0,pp_kernel,0.717194911836877,0.0589172550587275,Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10403906] | James Harden OVER AST 5.5 (GOBLIN) [id:10395472] | Grayson Allen OVER PRA 24.5 (STANDARD) [id:10397350] | Donovan Clingan OVER PR 25.5 (STANDARD) [id:10400808],0.0,0.054,0.000589172550587275,0.054589172550587275,16.953444983313048,"['jaime jaquez', 'james harden', 'grayson allen', 'donovan clingan']",17.008034155863637,1,Jaime Jaquez OVER PTS 9.5 (GOBLIN) [id:10403906],James Harden OVER AST 5.5 (GOBLIN) [id:10395472],Grayson Allen OVER PRA 24.5 (STANDARD) [id:10397350],Donovan Clingan OVER PR 25.5 (STANDARD) [id:10400808],0,
4,Russell Westbrook OVER PTS 9.5 (GOBLIN) [id:10400491] | James Harden OVER PA 22.5 (GOBLIN) [id:10412868] | Donovan Clingan OVER PR 25.5 (STANDARD) [id:10400808] | Maxime Raynaud UNDER PR 24.5 (STANDARD) [id:10400220],0.2638999718596807,10.0,0.7951616245189839,7.951616245189839,2.0984313033445785,10.0,pp_kernel,0.7252857135834317,0.07334137935523669,Russell Westbrook OVER PTS 9.5 (GOBLIN) [id:10400491] | James Harden OVER PA 22.5 (GOBLIN) [id:10412868] | Donovan Clingan OVER PR 25.5 (STANDARD) [id:10400808] | Maxime Raynaud UNDER PR 24.5 (STANDARD) [id:10400220],0.01,0.054,0.0007334137935523669,0.06473341379355237,16.621187027296088,"['russell westbrook', 'james harden', 'donovan clingan', 'maxime raynaud']",16.68592044108964,1,Russell Westbrook OVER PTS 9.5 (GOBLIN) [id:10400491],James Harden OVER PA 22.5 (GOBLIN) [id:10412868],Donovan Clingan OVER PR 25.5 (STANDARD) [id:10400808],Maxime Raynaud UNDER PR 24.5 (STANDARD) [id:10400220],0,
4,T.J. McConnell OVER AST 2.5 (GOBLIN) [id:10405918] | Andrew Wiggins OVER PTS 9.5 (GOBLIN) [id:10403887] | Maxime Raynaud UNDER PRA 25.5 (STANDARD) [id:10400711] | Oso Ighodaro UNDER PA 11.5 (STANDARD) [id:10397282],0.2652384715407595,10.0,0.7900460636245414,7.900460636245414,2.09550610362567,10.0,pp_kernel,0.7259277785005145,0.06559869871152782,T.J. McConnell OVER AST 2.5 (GOBLIN) [id:10405918] | Andrew Wiggins OVER PTS 9.5 (GOBLIN) [id:10403887] | Maxime Raynaud UNDER PRA 25.5 (STANDARD) [id:10400711] | Oso Ighodaro UNDER PA 11.5 (STANDARD) [id:10397282],0.0,0.054,0.0006559869871152782,0.054655986987115275,16.500807497719496,"['t.j. mcconnell', 'andrew wiggins', 'maxime raynaud', 'oso ighodaro']",16.55546348470661,1,T.J. McConnell OVER AST 2.5 (GOBLIN) [id:10405918],Andrew Wiggins OVER PTS 9.5 (GOBLIN) [id:10403887],Maxime Raynaud UNDER PRA 25.5 (STANDARD) [id:10400711],Oso Ighodaro UNDER PA 11.5 (STANDARD) [id:10397282],0,
4,Rui Hachimura OVER PTS 4.5 (GOBLIN) [id:10408858] | Toumani Camara OVER REB 3.5 (GOBLIN) [id:10401158] | Grayson Allen OVER PRA 24.5 (STANDARD) [id:10397350] | Collin Gillespie OVER PR 16.5 (STANDARD) [id:10397273],0.2617516429218356,10.0,0.7935687298519775,7.935687298519775,2.0771791881014945,10.0,pp_kernel,0.7230108488564333,0.06027460792064003,Rui Hachimura OVER PTS 4.5 (GOBLIN) [id:10408858] | Toumani Camara OVER REB 3.5 (GOBLIN) [id:10401158] | Grayson Allen OVER PRA 24.5 (STANDARD) [id:10397350] | Collin Gillespie OVER PR 16.5 (STANDARD) [id:10397273],0.01,0.024,0.0006027460792064004,0.0346027460792064,16.449241753687442,"['rui hachimura', 'toumani camara', 'grayson allen', 'collin gillespie']",16.483844499766647,1,Rui Hachimura OVER PTS 4.5 (GOBLIN) [id:10408858],Toumani Camara OVER REB 3.5 (GOBLIN) [id:10401158],Grayson Allen OVER PRA 24.5 (STANDARD) [id:10397350],Collin Gillespie OVER PR 16.5 (STANDARD) [id:10397273],0,
4,DeMar DeRozan OVER PR 14.5 (GOBLIN) [id:10401403] | Donovan Clingan OVER RA 12.5 (GOBLIN) [id:10402215] | Grayson Allen OVER PRA 24.5 (STANDARD) [id:10397350] | Bam Adebayo OVER PR 28.5 (STANDARD) [id:10403740],0.24162544388371537,10.0,0.8242449313074738,8.242449313074738,1.9915854739607084,10.0,pp_kernel,0.7078792120787922,0.07452851521380648,DeMar DeRozan OVER PR 14.5 (GOBLIN) [id:10401403] | Donovan Clingan OVER RA 12.5 (GOBLIN) [id:10402215] | Grayson Allen OVER PRA 24.5 (STANDARD) [id:10397350] | Bam Adebayo OVER PR 28.5 (STANDARD) [id:10403740],0.0,0.054,0.0007452851521380648,0.054745285152138064,16.36079703662493,"['demar derozan', 'donovan clingan', 'grayson allen', 'bam adebayo']",16.415542321777068,1,DeMar DeRozan OVER PR 14.5 (GOBLIN) [id:10401403],Donovan Clingan OVER RA 12.5 (GOBLIN) [id:10402215],Grayson Allen OVER PRA 24.5 (STANDARD) [id:10397350],Bam Adebayo OVER PR 28.5 (STANDARD) [id:10403740],0,
4,Jaime Jaquez OVER PRA 19.5 (GOBLIN) [id:10407379] | Collin Gillespie OVER PR 11.5 (GOBLIN) [id:10407777] | DeMar DeRozan OVER PR 17.5 (STANDARD) [id:10400214] | Andrew Wiggins OVER PR 18.5 (STANDARD) [id:10403733],0.30641552598723976,10.0,0.7299353736035559,7.299353736035559,2.236635314394259,10.0,pp_kernel,0.7498000199980002,0.07859246334076954,Jaime Jaquez OVER PRA 19.5 (GOBLIN) [id:10407379] | Collin Gillespie OVER PR 11.5 (GOBLIN) [id:10407777] | DeMar DeRozan OVER PR 17.5 (STANDARD) [id:10400214] | Andrew Wiggins OVER PR 18.5 (STANDARD) [id:10403733],0.01,0.054,0.0007859246334076955,0.0647859246334077,16.261206413639396,"['jaime jaquez', 'collin gillespie', 'demar derozan', 'andrew wiggins']",16.325992338272805,1,Jaime Jaquez OVER PRA 19.5 (GOBLIN) [id:10407379],Collin Gillespie OVER PR 11.5 (GOBLIN) [id:10407777],DeMar DeRozan OVER PR 17.5 (STANDARD) [id:10400214],Andrew Wiggins OVER PR 18.5 (STANDARD) [id:10403733],0,
4,Rui Hachimura OVER PTS 4.5 (GOBLIN) [id:10408858] | James Harden OVER PTS 14.5 (GOBLIN) [id:10395474] | Bam Adebayo OVER PR 28.5 (STANDARD) [id:10403740] | Jaime Jaquez OVER PR 18.5 (STANDARD) [id:10403909],0.2690822871372963,10.0,0.7783510798288927,7.783510798288927,2.0944048875614274,10.0,pp_kernel,0.727696796806276,0.060996991856567255,Rui Hachimura OVER PTS 4.5 (GOBLIN) [id:10408858] | James Harden OVER PTS 14.5 (GOBLIN) [id:10395474] | Bam Adebayo OVER PR 28.5 (STANDARD) [id:10403740] | Jaime Jaquez OVER PR 18.5 (STANDARD) [id:10403909],0.01,0.054,0.0006099699185656726,0.06460996991856567,16.237213088404914,"['rui hachimura', 'james harden', 'bam adebayo', 'jaime jaquez']",16.301823058323478,1,Rui Hachimura OVER PTS 4.5 (GOBLIN) [id:10408858],James Harden OVER PTS 14.5 (GOBLIN) [id:10395474],Bam Adebayo OVER PR 28.5 (STANDARD) [id:10403740],Jaime Jaquez OVER PR 18.5 (STANDARD) [id:10403909],0,
4,Jayson Tatum OVER FG3M 1.5 (GOBLIN) [id:10395675] | Davion Mitchell OVER PTS 4.5 (GOBLIN) [id:10403901] | Andrew Wiggins OVER PA 16.5 (STANDARD) [id:10404887] | DeMar DeRozan OVER PTS 15.5 (STANDARD) [id:10400212],0.2816410187319507,10.0,0.7600195793665753,7.600195793665753,2.140526885890309,10.0,pp_kernel,0.7394113502816867,0.05404129096556287,Jayson Tatum OVER FG3M 1.5 (GOBLIN) [id:10395675] | Davion Mitchell OVER PTS 4.5 (GOBLIN) [id:10403901] | Andrew Wiggins OVER PA 16.5 (STANDARD) [id:10404887] | DeMar DeRozan OVER PTS 15.5 (STANDARD) [id:10400212],0.01,0.024,0.0005404129096556287,0.03454041290965563,16.233883021462322,"['jayson tatum', 'davion mitchell', 'andrew wiggins', 'demar derozan']",16.26842343437198,1,Jayson Tatum OVER FG3M 1.5 (GOBLIN) [id:10395675],Davion Mitchell OVER PTS 4.5 (GOBLIN) [id:10403901],Andrew Wiggins OVER PA 16.5 (STANDARD) [id:10404887],DeMar DeRozan OVER PTS 15.5 (STANDARD) [id:10400212],0,
4,James Harden OVER PRA 24.5 (GOBLIN) [id:10412396] | Grayson Allen OVER AST 2.5 (GOBLIN) [id:10397944] | Maxime Raynaud UNDER PRA 25.5 (STANDARD) [id:10400711] | Jaime Jaquez OVER PA 18.5 (STANDARD) [id:10403908],0.23799416379697116,10.0,0.8272009571077639,8.27200957107764,1.9686900007891648,10.0,pp_kernel,0.7061691985510374,0.07615881812242245,James Harden OVER PRA 24.5 (GOBLIN) [id:10412396] | Grayson Allen OVER AST 2.5 (GOBLIN) [id:10397944] | Maxime Raynaud UNDER PRA 25.5 (STANDARD) [id:10400711] | Jaime Jaquez OVER PA 18.5 (STANDARD) [id:10403908],0.0,0.054,0.0007615881812242245,0.05476158818122422,16.23026094083159,"['james harden', 'grayson allen', 'maxime raynaud', 'jaime jaquez']",16.285022529012817,1,James Harden OVER PRA 24.5 (GOBLIN) [id:10412396],Grayson Allen OVER AST 2.5 (GOBLIN) [id:10397944],Maxime Raynaud UNDER PRA 25.5 (STANDARD) [id:10400711],Jaime Jaquez OVER PA 18.5 (STANDARD) [id:10403908],0,
4,Myles Turner OVER PTS 5.5 (GOBLIN) [id:10408983] | Miles Bridges OVER PTS 9.5 (GOBLIN) [id:10397693] | Collin Gillespie OVER PRA 21.5 (STANDARD) [id:10397274] | Bam Adebayo OVER PRA 31.5 (STANDARD) [id:10403741],0.253584464736162,10.0,0.792830833813605,7.92830833813605,2.01049582618948,10.0,pp_kernel,0.7165430941918457,0.05752587989832615,Myles Turner OVER PTS 5.5 (GOBLIN) [id:10408983] | Miles Bridges OVER PTS 9.5 (GOBLIN) [id:10397693] | Collin Gillespie OVER PRA 21.5 (STANDARD) [id:10397274] | Bam Adebayo OVER PRA 31.5 (STANDARD) [id:10403741],0.0,0.054,0.0005752587989832615,0.05457525879898326,15.8852555637668,"['myles turner', 'miles bridges', 'collin gillespie', 'bam adebayo']",15.939830822565783,1,Myles Turner OVER PTS 5.5 (GOBLIN) [id:10408983],Miles Bridges OVER PTS 9.5 (GOBLIN) [id:10397693],Collin Gillespie OVER PRA 21.5 (STANDARD) [id:10397274],Bam Adebayo OVER PRA 31.5 (STANDARD) [id:10403741],0,
