n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Shai Gilgeous-Alexander OVER PA 34.5 (GOBLIN) [id:10377110] | Desmond Bane OVER PTS 20.5 (STANDARD) [id:10366137] | Tobias Harris OVER PA 14.5 (STANDARD) [id:10376226] | Jalen Duren OVER RA 16.5 (DEMON) [id:10376590],0.07060161105265562,10.0,1.4276968321927843,14.276968321927843,1.007976964475835,10.0,pp_kernel,0.5483769422515088,0.05303417337613805,Shai Gilgeous-Alexander OVER PA 34.5 (GOBLIN) [id:10377110] | Desmond Bane OVER PTS 20.5 (STANDARD) [id:10366137] | Tobias Harris OVER PA 14.5 (STANDARD) [id:10376226] | Jalen Duren OVER RA 16.5 (DEMON) [id:10376590],0.01,0.054,0.0005303417337613805,0.06453034173376138,14.326324849320722,"['shai gilgeous-alexander', 'desmond bane', 'tobias harris', 'jalen duren']",14.390855191054483,1,Shai Gilgeous-Alexander OVER PA 34.5 (GOBLIN) [id:10377110],Desmond Bane OVER PTS 20.5 (STANDARD) [id:10366137],Tobias Harris OVER PA 14.5 (STANDARD) [id:10376226],Jalen Duren OVER RA 16.5 (DEMON) [id:10376590],0,
4,Onyeka Okongwu OVER AST 1.5 (GOBLIN) [id:10373560] | Day'Ron Sharpe OVER REB 6.5 (STANDARD) [id:10376049] | Jalen Johnson OVER PRA 41.5 (STANDARD) [id:10374065] | CJ McCollum OVER PA 29.5 (DEMON) [id:10376977],0.0779737968059636,10.0,1.3295827019361333,13.295827019361333,1.0367261143749211,10.0,pp_kernel,0.5501756005510069,0.05848540140119843,Onyeka Okongwu OVER AST 1.5 (GOBLIN) [id:10373560] | Day'Ron Sharpe OVER REB 6.5 (STANDARD) [id:10376049] | Jalen Johnson OVER PRA 41.5 (STANDARD) [id:10374065] | CJ McCollum OVER PA 29.5 (DEMON) [id:10376977],0.04,0.024,0.0005848540140119843,0.06458485401401198,13.719546229169554,"['onyeka okongwu', ""day'ron sharpe"", 'jalen johnson', 'cj mccollum']",13.784131083183565,1,Onyeka Okongwu OVER AST 1.5 (GOBLIN) [id:10373560],Day'Ron Sharpe OVER REB 6.5 (STANDARD) [id:10376049],Jalen Johnson OVER PRA 41.5 (STANDARD) [id:10374065],CJ McCollum OVER PA 29.5 (DEMON) [id:10376977],0,
4,Duncan Robinson OVER FG3M 1.5 (GOBLIN) [id:10376067] | Olivier-Maxence Prosper UNDER PR 14.5 (STANDARD) [id:10381750] | Cam Spencer OVER PR 12.5 (STANDARD) [id:10381426] | Ronald Holland OVER PR 14.5 (DEMON) [id:10383265],0.11858604974602227,10.0,1.1036357787904807,11.036357787904807,1.3087580736513797,10.0,pp_kernel,0.6082891710828917,0.07112462596948359,Duncan Robinson OVER FG3M 1.5 (GOBLIN) [id:10376067] | Olivier-Maxence Prosper UNDER PR 14.5 (STANDARD) [id:10381750] | Cam Spencer OVER PR 12.5 (STANDARD) [id:10381426] | Ronald Holland OVER PR 14.5 (DEMON) [id:10383265],0.02,0.024,0.0007112462596948359,0.04471124625969483,14.399211112366004,"['duncan robinson', 'olivier-maxence prosper', 'cam spencer', 'ronald holland']",14.443922358625699,1,Duncan Robinson OVER FG3M 1.5 (GOBLIN) [id:10376067],Olivier-Maxence Prosper UNDER PR 14.5 (STANDARD) [id:10381750],Cam Spencer OVER PR 12.5 (STANDARD) [id:10381426],Ronald Holland OVER PR 14.5 (DEMON) [id:10383265],0,
4,Jalen Duren OVER REB 7.5 (GOBLIN) [id:10377305] | Jaylen Wells OVER PRA 17.5 (STANDARD) [id:10381590] | Cam Spencer OVER PA 14.5 (STANDARD) [id:10381425] | CJ McCollum OVER PA 29.5 (DEMON) [id:10376977],0.12047876227717995,10.0,1.1062842293955601,11.062842293955601,1.332837546843409,10.0,pp_kernel,0.6198630136986302,0.0667199135223529,Jalen Duren OVER REB 7.5 (GOBLIN) [id:10377305] | Jaylen Wells OVER PRA 17.5 (STANDARD) [id:10381590] | Cam Spencer OVER PA 14.5 (STANDARD) [id:10381425] | CJ McCollum OVER PA 29.5 (DEMON) [id:10376977],0.01,0.024,0.000667199135223529,0.03466719913522353,14.710304385056073,"['jalen duren', 'jaylen wells', 'cam spencer', 'cj mccollum']",14.744971584191296,1,Jalen Duren OVER REB 7.5 (GOBLIN) [id:10377305],Jaylen Wells OVER PRA 17.5 (STANDARD) [id:10381590],Cam Spencer OVER PA 14.5 (STANDARD) [id:10381425],CJ McCollum OVER PA 29.5 (DEMON) [id:10376977],0,
4,Cam Spencer OVER PR 9.5 (GOBLIN) [id:10385370] | Kawhi Leonard OVER PTS 26.5 (STANDARD) [id:10381625] | GG Jackson UNDER PRA 20.5 (STANDARD) [id:10381549] | CJ McCollum OVER REB 4.5 (DEMON) [id:10373328],0.07879683312663756,10.0,1.3070653002276524,13.070653002276524,1.0299260634765675,10.0,pp_kernel,0.5583738449595828,0.06327936536921472,Cam Spencer OVER PR 9.5 (GOBLIN) [id:10385370] | Kawhi Leonard OVER PTS 26.5 (STANDARD) [id:10381625] | GG Jackson UNDER PRA 20.5 (STANDARD) [id:10381549] | CJ McCollum OVER REB 4.5 (DEMON) [id:10373328],0.01,0.024,0.0006327936536921472,0.03463279365369215,13.427173400049146,"['cam spencer', 'kawhi leonard', 'gg jackson', 'cj mccollum']",13.461806193702838,1,Cam Spencer OVER PR 9.5 (GOBLIN) [id:10385370],Kawhi Leonard OVER PTS 26.5 (STANDARD) [id:10381625],GG Jackson UNDER PRA 20.5 (STANDARD) [id:10381549],CJ McCollum OVER REB 4.5 (DEMON) [id:10373328],0,
4,Cam Spencer OVER PRA 14.5 (GOBLIN) [id:10385371] | Jalen Johnson OVER REB 10.5 (STANDARD) [id:10373455] | Ryan Rollins UNDER PR 23.5 (STANDARD) [id:10374657] | Ronald Holland OVER REB 5.5 (DEMON) [id:10382068],0.09021690160125537,10.0,1.2113054785515083,12.113054785515082,1.0928022716754295,10.0,pp_kernel,0.5779493357041589,0.0599140189472476,Cam Spencer OVER PRA 14.5 (GOBLIN) [id:10385371] | Jalen Johnson OVER REB 10.5 (STANDARD) [id:10373455] | Ryan Rollins UNDER PR 23.5 (STANDARD) [id:10374657] | Ronald Holland OVER REB 5.5 (DEMON) [id:10382068],0.0,0.012,0.000599140189472476,0.012599140189472476,13.224574646350344,"['cam spencer', 'jalen johnson', 'ryan rollins', 'ronald holland']",13.237173786539817,1,Cam Spencer OVER PRA 14.5 (GOBLIN) [id:10385371],Jalen Johnson OVER REB 10.5 (STANDARD) [id:10373455],Ryan Rollins UNDER PR 23.5 (STANDARD) [id:10374657],Ronald Holland OVER REB 5.5 (DEMON) [id:10382068],0,
4,Keyonte George OVER PRA 24.5 (GOBLIN) [id:10378318] | Jaylin Williams UNDER PR 16.5 (STANDARD) [id:10379266] | Isaiah Joe UNDER RA 5 (STANDARD) [id:10369662] | Ronald Holland OVER REB 5.5 (DEMON) [id:10382068],0.09082516237848041,10.0,1.2041764842163833,12.041764842163833,1.0936952471130066,10.0,pp_kernel,0.5700397120503375,0.07776850683314065,Keyonte George OVER PRA 24.5 (GOBLIN) [id:10378318] | Jaylin Williams UNDER PR 16.5 (STANDARD) [id:10379266] | Isaiah Joe UNDER RA 5 (STANDARD) [id:10369662] | Ronald Holland OVER REB 5.5 (DEMON) [id:10382068],0.01,0.024,0.0007776850683314066,0.034777685068331406,13.135243289658758,"['keyonte george', 'jaylin williams', 'isaiah joe', 'ronald holland']",13.17002097472709,1,Keyonte George OVER PRA 24.5 (GOBLIN) [id:10378318],Jaylin Williams UNDER PR 16.5 (STANDARD) [id:10379266],Isaiah Joe UNDER RA 5 (STANDARD) [id:10369662],Ronald Holland OVER REB 5.5 (DEMON) [id:10382068],0,
4,Donte DiVincenzo OVER FG3M 1.5 (GOBLIN) [id:10366165] | Al Horford UNDER AST 2.5 (STANDARD) [id:10369446] | Jalen Johnson UNDER PA 30.5 (STANDARD) [id:10373447] | Olivier-Maxence Prosper OVER PRA 18.5 (DEMON) [id:10381753],0.062020172372602406,10.0,1.4427273433997854,14.427273433997854,0.8947819852432144,10.0,pp_kernel,0.5231567073638516,0.062189898096678464,Donte DiVincenzo OVER FG3M 1.5 (GOBLIN) [id:10366165] | Al Horford UNDER AST 2.5 (STANDARD) [id:10369446] | Jalen Johnson UNDER PA 30.5 (STANDARD) [id:10373447] | Olivier-Maxence Prosper OVER PRA 18.5 (DEMON) [id:10381753],0.0,0.024,0.0006218989809667847,0.024621898980966787,12.884642465938319,"['donte divincenzo', 'al horford', 'jalen johnson', 'olivier-maxence prosper']",12.909264364919286,1,Donte DiVincenzo OVER FG3M 1.5 (GOBLIN) [id:10366165],Al Horford UNDER AST 2.5 (STANDARD) [id:10369446],Jalen Johnson UNDER PA 30.5 (STANDARD) [id:10373447],Olivier-Maxence Prosper OVER PRA 18.5 (DEMON) [id:10381753],0,
4,Shai Gilgeous-Alexander OVER PA 34.5 (GOBLIN) [id:10377110] | Ace Bailey UNDER PRA 23.5 (STANDARD) [id:10375140] | Nickeil Alexander-Walker OVER RA 7 (STANDARD) [id:10385924] | Ronald Holland OVER REB 5.5 (DEMON) [id:10382068],0.12446313514657917,10.0,1.015269195077107,10.152691950771068,1.263635870370406,10.0,pp_kernel,0.6281154410867874,0.07122026452495898,Shai Gilgeous-Alexander OVER PA 34.5 (GOBLIN) [id:10377110] | Ace Bailey UNDER PRA 23.5 (STANDARD) [id:10375140] | Nickeil Alexander-Walker OVER RA 7 (STANDARD) [id:10385924] | Ronald Holland OVER REB 5.5 (DEMON) [id:10382068],0.0,0.024,0.0007122026452495899,0.02471220264524959,12.804593527169963,"['shai gilgeous-alexander', 'ace bailey', 'nickeil alexander-walker', 'ronald holland']",12.829305729815212,1,Shai Gilgeous-Alexander OVER PA 34.5 (GOBLIN) [id:10377110],Ace Bailey UNDER PRA 23.5 (STANDARD) [id:10375140],Nickeil Alexander-Walker OVER RA 7 (STANDARD) [id:10385924],Ronald Holland OVER REB 5.5 (DEMON) [id:10382068],0,
4,Jalen Johnson OVER REB 8.5 (GOBLIN) [id:10373454] | Al Horford UNDER AST 2.5 (STANDARD) [id:10369446] | Jaylin Williams UNDER PR 16.5 (STANDARD) [id:10379266] | Nickeil Alexander-Walker OVER PA 29.5 (DEMON) [id:10377019],0.0774999598418575,10.0,1.2817817169135584,12.817817169135584,0.9933803158682792,10.0,pp_kernel,0.5471172175647725,0.06566912901341479,Jalen Johnson OVER REB 8.5 (GOBLIN) [id:10373454] | Al Horford UNDER AST 2.5 (STANDARD) [id:10369446] | Jaylin Williams UNDER PR 16.5 (STANDARD) [id:10379266] | Nickeil Alexander-Walker OVER PA 29.5 (DEMON) [id:10377019],0.01,0.024,0.0006566912901341479,0.03465669129013415,12.698310576927623,"['jalen johnson', 'al horford', 'jaylin williams', 'nickeil alexander-walker']",12.732967268217758,1,Jalen Johnson OVER REB 8.5 (GOBLIN) [id:10373454],Al Horford UNDER AST 2.5 (STANDARD) [id:10369446],Jaylin Williams UNDER PR 16.5 (STANDARD) [id:10379266],Nickeil Alexander-Walker OVER PA 29.5 (DEMON) [id:10377019],0,
