n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Shai Gilgeous-Alexander OVER FG3M 0.5 (GOBLIN) [id:10369693] | Nickeil Alexander-Walker OVER PRA 22.5 (GOBLIN) [id:10373537] | Isaiah Joe OVER PTS 10.5 (STANDARD) [id:10369651] | GG Jackson OVER PA 14.5 (STANDARD) [id:10381544],0.14064939143433988,10.0,0.8063688314239467,8.063688314239467,1.1341528541139791,10.0,pp_kernel,0.6515598440155984,0.050291110808253756,Shai Gilgeous-Alexander OVER FG3M 0.5 (GOBLIN) [id:10369693] | Nickeil Alexander-Walker OVER PRA 22.5 (GOBLIN) [id:10373537] | Isaiah Joe OVER PTS 10.5 (STANDARD) [id:10369651] | GG Jackson OVER PA 14.5 (STANDARD) [id:10381544],0.01,0.024,0.0005029111080825376,0.03450291110808254,9.110952205172149,"['shai gilgeous-alexander', 'nickeil alexander-walker', 'isaiah joe', 'gg jackson']",9.145455116280232,1,Shai Gilgeous-Alexander OVER FG3M 0.5 (GOBLIN) [id:10369693],Nickeil Alexander-Walker OVER PRA 22.5 (GOBLIN) [id:10373537],Isaiah Joe OVER PTS 10.5 (STANDARD) [id:10369651],GG Jackson OVER PA 14.5 (STANDARD) [id:10381544],0,
4,Isaiah Stewart OVER PTS 5.5 (GOBLIN) [id:10383887] | Noah Clowney OVER PTS 8.5 (GOBLIN) [id:10376648] | Luguentz Dort OVER PR 14 (STANDARD) [id:10369681] | Isaiah Joe OVER PR 14.5 (STANDARD) [id:10369654],0.15611157161563527,10.0,0.7397705725230663,7.397705725230663,1.1548674671157417,10.0,pp_kernel,0.646189980171016,0.056606368895555634,Isaiah Stewart OVER PTS 5.5 (GOBLIN) [id:10383887] | Noah Clowney OVER PTS 8.5 (GOBLIN) [id:10376648] | Luguentz Dort OVER PR 14 (STANDARD) [id:10369681] | Isaiah Joe OVER PR 14.5 (STANDARD) [id:10369654],0.01,0.054,0.0005660636889555563,0.06456606368895555,8.478803609675802,"['isaiah stewart', 'noah clowney', 'luguentz dort', 'isaiah joe']",8.543369673364758,1,Isaiah Stewart OVER PTS 5.5 (GOBLIN) [id:10383887],Noah Clowney OVER PTS 8.5 (GOBLIN) [id:10376648],Luguentz Dort OVER PR 14 (STANDARD) [id:10369681],Isaiah Joe OVER PR 14.5 (STANDARD) [id:10369654],0,
4,Nickeil Alexander-Walker OVER PRA 19.5 (GOBLIN) [id:10377023] | Luguentz Dort OVER PTS 5.5 (GOBLIN) [id:10377105] | Olivier-Maxence Prosper UNDER RA 6.5 (STANDARD) [id:10381765] | Jaylin Williams UNDER PR 16.5 (STANDARD) [id:10379266],0.3214403140015721,10.0,0.5282586487355749,5.282586487355749,1.6980362592360936,10.0,pp_kernel,0.7610488951104889,0.07951074167636568,Nickeil Alexander-Walker OVER PRA 19.5 (GOBLIN) [id:10377023] | Luguentz Dort OVER PTS 5.5 (GOBLIN) [id:10377105] | Olivier-Maxence Prosper UNDER RA 6.5 (STANDARD) [id:10381765] | Jaylin Williams UNDER PR 16.5 (STANDARD) [id:10379266],0.01,0.054,0.0007951074167636569,0.06479510741676366,8.905228290663928,"['nickeil alexander-walker', 'luguentz dort', 'olivier-maxence prosper', 'jaylin williams']",8.970023398080691,1,Nickeil Alexander-Walker OVER PRA 19.5 (GOBLIN) [id:10377023],Luguentz Dort OVER PTS 5.5 (GOBLIN) [id:10377105],Olivier-Maxence Prosper UNDER RA 6.5 (STANDARD) [id:10381765],Jaylin Williams UNDER PR 16.5 (STANDARD) [id:10379266],0,
4,Cam Spencer OVER AST 3.5 (GOBLIN) [id:10381414] | Nickeil Alexander-Walker OVER PA 19.5 (GOBLIN) [id:10377017] | Shai Gilgeous-Alexander OVER PR 35.5 (STANDARD) [id:10369711] | GG Jackson UNDER PRA 20.5 (STANDARD) [id:10381549],0.3462146458810947,10.0,0.4930111065014711,4.930111065014711,1.7068766565285347,10.0,pp_kernel,0.7723727627237276,0.07455913997025947,Cam Spencer OVER AST 3.5 (GOBLIN) [id:10381414] | Nickeil Alexander-Walker OVER PA 19.5 (GOBLIN) [id:10377017] | Shai Gilgeous-Alexander OVER PR 35.5 (STANDARD) [id:10369711] | GG Jackson UNDER PRA 20.5 (STANDARD) [id:10381549],0.01,0.054,0.0007455913997025947,0.0647455913997026,8.35034589956694,"['cam spencer', 'nickeil alexander-walker', 'shai gilgeous-alexander', 'gg jackson']",8.415091490966644,1,Cam Spencer OVER AST 3.5 (GOBLIN) [id:10381414],Nickeil Alexander-Walker OVER PA 19.5 (GOBLIN) [id:10377017],Shai Gilgeous-Alexander OVER PR 35.5 (STANDARD) [id:10369711],GG Jackson UNDER PRA 20.5 (STANDARD) [id:10381549],0,
4,Shai Gilgeous-Alexander OVER PRA 39.5 (GOBLIN) [id:10371957] | Isaiah Stewart OVER PTS 5.5 (GOBLIN) [id:10383887] | Jaylin Williams UNDER PRA 20.5 (STANDARD) [id:10379271] | Cam Spencer OVER RA 7.5 (STANDARD) [id:10381433],0.3323298948606759,10.0,0.511481125905332,5.114811259053321,1.6998046879533912,10.0,pp_kernel,0.7644485551444855,0.07271879174135973,Shai Gilgeous-Alexander OVER PRA 39.5 (GOBLIN) [id:10371957] | Isaiah Stewart OVER PTS 5.5 (GOBLIN) [id:10383887] | Jaylin Williams UNDER PRA 20.5 (STANDARD) [id:10379271] | Cam Spencer OVER RA 7.5 (STANDARD) [id:10381433],0.01,0.054,0.0007271879174135973,0.0647271879174136,8.629452968218208,"['shai gilgeous-alexander', 'isaiah stewart', 'jaylin williams', 'cam spencer']",8.694180156135621,1,Shai Gilgeous-Alexander OVER PRA 39.5 (GOBLIN) [id:10371957],Isaiah Stewart OVER PTS 5.5 (GOBLIN) [id:10383887],Jaylin Williams UNDER PRA 20.5 (STANDARD) [id:10379271],Cam Spencer OVER RA 7.5 (STANDARD) [id:10381433],0,
4,Nickeil Alexander-Walker OVER PRA 22.5 (GOBLIN) [id:10373537] | Shai Gilgeous-Alexander OVER PRA 34.5 (GOBLIN) [id:10378952] | GG Jackson UNDER PA 14.5 (STANDARD) [id:10381544] | Cody Williams UNDER PTS 7.5 (STANDARD) [id:10375307],0.33901773717085154,10.0,0.49622174256043544,4.962217425604354,1.6822797229781565,10.0,pp_kernel,0.774663148665721,0.07731505712360226,Nickeil Alexander-Walker OVER PRA 22.5 (GOBLIN) [id:10373537] | Shai Gilgeous-Alexander OVER PRA 34.5 (GOBLIN) [id:10378952] | GG Jackson UNDER PA 14.5 (STANDARD) [id:10381544] | Cody Williams UNDER PTS 7.5 (STANDARD) [id:10375307],0.0,0.054,0.0007731505712360226,0.05477315057123602,8.293064605531837,"['nickeil alexander-walker', 'shai gilgeous-alexander', 'gg jackson', 'cody williams']",8.347837756103074,1,Nickeil Alexander-Walker OVER PRA 22.5 (GOBLIN) [id:10373537],Shai Gilgeous-Alexander OVER PRA 34.5 (GOBLIN) [id:10378952],GG Jackson UNDER PA 14.5 (STANDARD) [id:10381544],Cody Williams UNDER PTS 7.5 (STANDARD) [id:10375307],0,
4,Cam Spencer OVER PA 11.5 (GOBLIN) [id:10386897] | Jalen Duren OVER PR 24.5 (GOBLIN) [id:10377749] | GG Jackson UNDER PR 19.5 (STANDARD) [id:10381545] | Jaylin Williams UNDER PA 12.5 (STANDARD) [id:10379265],0.26416491491872945,10.0,0.5562316240870492,5.562316240870492,1.4693687965206204,10.0,pp_kernel,0.7227777222277771,0.0851265114016414,Cam Spencer OVER PA 11.5 (GOBLIN) [id:10386897] | Jalen Duren OVER PR 24.5 (GOBLIN) [id:10377749] | GG Jackson UNDER PR 19.5 (STANDARD) [id:10381545] | Jaylin Williams UNDER PA 12.5 (STANDARD) [id:10379265],0.01,0.054,0.0008512651140164141,0.06485126511401641,8.108242655600959,"['cam spencer', 'jalen duren', 'gg jackson', 'jaylin williams']",8.173093920714976,1,Cam Spencer OVER PA 11.5 (GOBLIN) [id:10386897],Jalen Duren OVER PR 24.5 (GOBLIN) [id:10377749],GG Jackson UNDER PR 19.5 (STANDARD) [id:10381545],Jaylin Williams UNDER PA 12.5 (STANDARD) [id:10379265],0,
4,Ayo Dosunmu OVER PTS 8.5 (GOBLIN) [id:10367110] | Jalen Duren OVER REB 7.5 (GOBLIN) [id:10377305] | Jaylin Williams UNDER PA 12.5 (STANDARD) [id:10379265] | Duncan Robinson OVER PRA 15.5 (STANDARD) [id:10376556],0.2611168734066375,10.0,0.5477899880802427,5.477899880802427,1.4303720897097219,10.0,pp_kernel,0.7188298975854956,0.06438033816728876,Ayo Dosunmu OVER PTS 8.5 (GOBLIN) [id:10367110] | Jalen Duren OVER REB 7.5 (GOBLIN) [id:10377305] | Jaylin Williams UNDER PA 12.5 (STANDARD) [id:10379265] | Duncan Robinson OVER PRA 15.5 (STANDARD) [id:10376556],0.01,0.024,0.0006438033816728876,0.03464380338167289,7.800791296342331,"['ayo dosunmu', 'jalen duren', 'jaylin williams', 'duncan robinson']",7.8354350997240045,1,Ayo Dosunmu OVER PTS 8.5 (GOBLIN) [id:10367110],Jalen Duren OVER REB 7.5 (GOBLIN) [id:10377305],Jaylin Williams UNDER PA 12.5 (STANDARD) [id:10379265],Duncan Robinson OVER PRA 15.5 (STANDARD) [id:10376556],0,
4,Myles Turner OVER PTS 5.5 (GOBLIN) [id:10383979] | Duncan Robinson OVER PRA 13.5 (GOBLIN) [id:10376555] | Onyeka Okongwu OVER PR 23.5 (STANDARD) [id:10373578] | Olivier-Maxence Prosper UNDER RA 6.5 (STANDARD) [id:10381765],0.27614918391648563,10.0,0.5296748068180293,5.2967480681802925,1.4626926564392095,10.0,pp_kernel,0.7283514801200142,0.07457709973204812,Myles Turner OVER PTS 5.5 (GOBLIN) [id:10383979] | Duncan Robinson OVER PRA 13.5 (GOBLIN) [id:10376555] | Onyeka Okongwu OVER PR 23.5 (STANDARD) [id:10373578] | Olivier-Maxence Prosper UNDER RA 6.5 (STANDARD) [id:10381765],0.0,0.054,0.0007457709973204813,0.05474577099732048,7.692768731338563,"['myles turner', 'duncan robinson', 'onyeka okongwu', 'olivier-maxence prosper']",7.747514502335884,1,Myles Turner OVER PTS 5.5 (GOBLIN) [id:10383979],Duncan Robinson OVER PRA 13.5 (GOBLIN) [id:10376555],Onyeka Okongwu OVER PR 23.5 (STANDARD) [id:10373578],Olivier-Maxence Prosper UNDER RA 6.5 (STANDARD) [id:10381765],0,
4,Bobby Portis OVER PTS 7.5 (GOBLIN) [id:10377829] | Donte DiVincenzo OVER FG3M 1.5 (GOBLIN) [id:10366165] | CJ McCollum OVER PR 20.5 (STANDARD) [id:10373319] | Cam Spencer OVER RA 7.5 (STANDARD) [id:10381433],0.2911723211150424,10.0,0.5077867723997513,5.077867723997514,1.4785345315115135,10.0,pp_kernel,0.7371021270670114,0.06221351260181187,Bobby Portis OVER PTS 7.5 (GOBLIN) [id:10377829] | Donte DiVincenzo OVER FG3M 1.5 (GOBLIN) [id:10366165] | CJ McCollum OVER PR 20.5 (STANDARD) [id:10373319] | Cam Spencer OVER RA 7.5 (STANDARD) [id:10381433],0.0,0.024,0.0006221351260181187,0.02462213512601812,7.483180641252081,"['bobby portis', 'donte divincenzo', 'cj mccollum', 'cam spencer']",7.507802776378099,1,Bobby Portis OVER PTS 7.5 (GOBLIN) [id:10377829],Donte DiVincenzo OVER FG3M 1.5 (GOBLIN) [id:10366165],CJ McCollum OVER PR 20.5 (STANDARD) [id:10373319],Cam Spencer OVER RA 7.5 (STANDARD) [id:10381433],0,
