n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Shai Gilgeous-Alexander OVER PR 29.5 (GOBLIN) [id:10428368] | Darius Garland OVER AST 3.5 (GOBLIN) [id:10438203] | GG Jackson UNDER PA 20.5 (STANDARD) [id:10426289] | Jabari Walker UNDER PA 10.5 (STANDARD) [id:10430268],0.4844372184104384,10.0,1.0,10.0,4.844372184104384,10.0,atlas,0.8370930013087231,0.07923700283926262,Shai Gilgeous-Alexander OVER PR 29.5 (GOBLIN) [id:10428368] | Darius Garland OVER AST 3.5 (GOBLIN) [id:10438203] | GG Jackson UNDER PA 20.5 (STANDARD) [id:10426289] | Jabari Walker UNDER PA 10.5 (STANDARD) [id:10430268],0.0,0.054,0.0007923700283926262,0.05479237002839263,48.388929471015445,"['shai gilgeous-alexander', 'darius garland', 'gg jackson', 'jabari walker']",1,Shai Gilgeous-Alexander OVER PR 29.5 (GOBLIN) [id:10428368],Darius Garland OVER AST 3.5 (GOBLIN) [id:10438203],GG Jackson UNDER PA 20.5 (STANDARD) [id:10426289],Jabari Walker UNDER PA 10.5 (STANDARD) [id:10430268],0,
4,Shai Gilgeous-Alexander OVER PR 29.5 (GOBLIN) [id:10428368] | Darius Garland OVER PA 14.5 (GOBLIN) [id:10424229] | Jabari Walker UNDER PA 10.5 (STANDARD) [id:10430268] | Keon Ellis UNDER PRA 10.5 (STANDARD) [id:10432407],0.4039166293533431,10.0,1.0,10.0,4.039166293533431,10.0,atlas,0.8033870100373028,0.08525220280100576,Shai Gilgeous-Alexander OVER PR 29.5 (GOBLIN) [id:10428368] | Darius Garland OVER PA 14.5 (GOBLIN) [id:10424229] | Jabari Walker UNDER PA 10.5 (STANDARD) [id:10430268] | Keon Ellis UNDER PRA 10.5 (STANDARD) [id:10432407],0.0,0.054,0.0008525220280100576,0.05485252202801006,40.3368104133063,"['shai gilgeous-alexander', 'darius garland', 'jabari walker', 'keon ellis']",1,Shai Gilgeous-Alexander OVER PR 29.5 (GOBLIN) [id:10428368],Darius Garland OVER PA 14.5 (GOBLIN) [id:10424229],Jabari Walker UNDER PA 10.5 (STANDARD) [id:10430268],Keon Ellis UNDER PRA 10.5 (STANDARD) [id:10432407],0,
4,Shai Gilgeous-Alexander OVER PRA 40.5 (GOBLIN) [id:10427627] | Jonas Valančiūnas OVER PR 4.5 (GOBLIN) [id:10431710] | Kelly Oubre UNDER PTS 18.5 (STANDARD) [id:10425095] | Quentin Grimes UNDER PRA 28.5 (STANDARD) [id:10425117],0.40272156572505863,10.0,1.0,10.0,4.027215657250586,10.0,atlas,0.7988042064157332,0.0790695810918295,Shai Gilgeous-Alexander OVER PRA 40.5 (GOBLIN) [id:10427627] | Jonas Valančiūnas OVER PR 4.5 (GOBLIN) [id:10431710] | Kelly Oubre UNDER PTS 18.5 (STANDARD) [id:10425095] | Quentin Grimes UNDER PRA 28.5 (STANDARD) [id:10425117],0.01,0.054,0.0007906958109182951,0.0647906958109183,40.20736587669494,"['shai gilgeous-alexander', 'jonas valančiūnas', 'kelly oubre', 'quentin grimes']",1,Shai Gilgeous-Alexander OVER PRA 40.5 (GOBLIN) [id:10427627],Jonas Valančiūnas OVER PR 4.5 (GOBLIN) [id:10431710],Kelly Oubre UNDER PTS 18.5 (STANDARD) [id:10425095],Quentin Grimes UNDER PRA 28.5 (STANDARD) [id:10425117],0,
4,Josh Hart OVER AST 2.5 (GOBLIN) [id:10436039] | Shai Gilgeous-Alexander OVER FG3M 0.5 (GOBLIN) [id:10427501] | Olivier-Maxence Prosper UNDER PRA 24 (STANDARD) [id:10426583] | John Konchar UNDER RA 8.5 (STANDARD) [id:10436140],0.37899419057576283,10.0,1.0,10.0,3.7899419057576282,10.0,atlas,0.7870574131003214,0.07139871734200194,Josh Hart OVER AST 2.5 (GOBLIN) [id:10436039] | Shai Gilgeous-Alexander OVER FG3M 0.5 (GOBLIN) [id:10427501] | Olivier-Maxence Prosper UNDER PRA 24 (STANDARD) [id:10426583] | John Konchar UNDER RA 8.5 (STANDARD) [id:10436140],0.0,0.024,0.0007139871734200195,0.02471398717342002,37.87470507040286,"['josh hart', 'shai gilgeous-alexander', 'olivier-maxence prosper', 'john konchar']",1,Josh Hart OVER AST 2.5 (GOBLIN) [id:10436039],Shai Gilgeous-Alexander OVER FG3M 0.5 (GOBLIN) [id:10427501],Olivier-Maxence Prosper UNDER PRA 24 (STANDARD) [id:10426583],John Konchar UNDER RA 8.5 (STANDARD) [id:10436140],0,
4,Cam Spencer OVER AST 3.5 (GOBLIN) [id:10426104] | Josh Hart OVER REB 4.5 (GOBLIN) [id:10436013] | Jaylin Williams UNDER AST 4 (STANDARD) [id:10427598] | GG Jackson UNDER PTS 18.5 (STANDARD) [id:10426288],0.37558114142586313,10.0,1.0,10.0,3.7558114142586314,10.0,atlas,0.7831271032546676,0.05470589821435623,Cam Spencer OVER AST 3.5 (GOBLIN) [id:10426104] | Josh Hart OVER REB 4.5 (GOBLIN) [id:10436013] | Jaylin Williams UNDER AST 4 (STANDARD) [id:10427598] | GG Jackson UNDER PTS 18.5 (STANDARD) [id:10426288],0.01,0.024,0.0005470589821435623,0.034547058982143566,37.52356708360417,"['cam spencer', 'josh hart', 'jaylin williams', 'gg jackson']",1,Cam Spencer OVER AST 3.5 (GOBLIN) [id:10426104],Josh Hart OVER REB 4.5 (GOBLIN) [id:10436013],Jaylin Williams UNDER AST 4 (STANDARD) [id:10427598],GG Jackson UNDER PTS 18.5 (STANDARD) [id:10426288],0,
4,Jaylon Tyson OVER RA 4.5 (GOBLIN) [id:10432973] | Dennis Schröder OVER AST 2.5 (GOBLIN) [id:10429287] | Jabari Walker UNDER PRA 16.5 (STANDARD) [id:10430270] | GG Jackson UNDER PA 20.5 (STANDARD) [id:10426289],0.35939855735282306,10.0,1.0,10.0,3.5939855735282307,10.0,atlas,0.7745909083562719,0.07754785770841649,Jaylon Tyson OVER RA 4.5 (GOBLIN) [id:10432973] | Dennis Schröder OVER AST 2.5 (GOBLIN) [id:10429287] | Jabari Walker UNDER PRA 16.5 (STANDARD) [id:10430270] | GG Jackson UNDER PA 20.5 (STANDARD) [id:10426289],0.01,0.054,0.0007754785770841649,0.06477547857708417,35.875080256705225,"['jaylon tyson', 'dennis schröder', 'jabari walker', 'gg jackson']",1,Jaylon Tyson OVER RA 4.5 (GOBLIN) [id:10432973],Dennis Schröder OVER AST 2.5 (GOBLIN) [id:10429287],Jabari Walker UNDER PRA 16.5 (STANDARD) [id:10430270],GG Jackson UNDER PA 20.5 (STANDARD) [id:10426289],0,
4,James Harden OVER AST 5.5 (GOBLIN) [id:10439352] | Darius Garland OVER AST 3.5 (GOBLIN) [id:10438203] | Brook Lopez UNDER REB 4 (STANDARD) [id:10431524] | GG Jackson UNDER PRA 28.5 (STANDARD) [id:10426291],0.3555531320950885,10.0,1.0,10.0,3.5555313209508848,10.0,atlas,0.7747580013447409,0.06117845272179498,James Harden OVER AST 5.5 (GOBLIN) [id:10439352] | Darius Garland OVER AST 3.5 (GOBLIN) [id:10438203] | Brook Lopez UNDER REB 4 (STANDARD) [id:10431524] | GG Jackson UNDER PRA 28.5 (STANDARD) [id:10426291],0.01,0.024,0.0006117845272179498,0.03461178452721795,35.52070142498163,"['james harden', 'darius garland', 'brook lopez', 'gg jackson']",1,James Harden OVER AST 5.5 (GOBLIN) [id:10439352],Darius Garland OVER AST 3.5 (GOBLIN) [id:10438203],Brook Lopez UNDER REB 4 (STANDARD) [id:10431524],GG Jackson UNDER PRA 28.5 (STANDARD) [id:10426291],0,
4,Aaron Gordon OVER PRA 14.5 (GOBLIN) [id:10429627] | Kris Dunn OVER PTS 4.5 (GOBLIN) [id:10423865] | Jabari Walker UNDER PTS 9 (STANDARD) [id:10430267] | John Konchar UNDER PRA 13.5 (STANDARD) [id:10428150],0.34674580574824965,10.0,1.0,10.0,3.4674580574824967,10.0,atlas,0.7688525019097401,0.06617154885593887,Aaron Gordon OVER PRA 14.5 (GOBLIN) [id:10429627] | Kris Dunn OVER PTS 4.5 (GOBLIN) [id:10423865] | Jabari Walker UNDER PTS 9 (STANDARD) [id:10430267] | John Konchar UNDER PRA 13.5 (STANDARD) [id:10428150],0.0,0.054,0.0006617154885593887,0.05466171548855939,34.61991885933641,"['aaron gordon', 'kris dunn', 'jabari walker', 'john konchar']",1,Aaron Gordon OVER PRA 14.5 (GOBLIN) [id:10429627],Kris Dunn OVER PTS 4.5 (GOBLIN) [id:10423865],Jabari Walker UNDER PTS 9 (STANDARD) [id:10430267],John Konchar UNDER PRA 13.5 (STANDARD) [id:10428150],0,
4,Jonas Valančiūnas OVER PR 4.5 (GOBLIN) [id:10431710] | Evan Mobley OVER AST 1.5 (GOBLIN) [id:10428524] | Quentin Grimes UNDER RA 9 (STANDARD) [id:10428133] | Adem Bona UNDER RA 8 (STANDARD) [id:10425061],0.33457503967838226,10.0,1.0,10.0,3.3457503967838225,10.0,atlas,0.7641630337060065,0.08322544118466414,Jonas Valančiūnas OVER PR 4.5 (GOBLIN) [id:10431710] | Evan Mobley OVER AST 1.5 (GOBLIN) [id:10428524] | Quentin Grimes UNDER RA 9 (STANDARD) [id:10428133] | Adem Bona UNDER RA 8 (STANDARD) [id:10425061],0.01,0.054,0.0008322544118466415,0.06483225441184665,33.39267171342638,"['jonas valančiūnas', 'evan mobley', 'quentin grimes', 'adem bona']",1,Jonas Valančiūnas OVER PR 4.5 (GOBLIN) [id:10431710],Evan Mobley OVER AST 1.5 (GOBLIN) [id:10428524],Quentin Grimes UNDER RA 9 (STANDARD) [id:10428133],Adem Bona UNDER RA 8 (STANDARD) [id:10425061],0,
4,Josh Hart OVER PA 12.5 (GOBLIN) [id:10436040] | Dennis Schröder OVER AST 2.5 (GOBLIN) [id:10429287] | Kelly Oubre UNDER PTS 18.5 (STANDARD) [id:10425095] | Quentin Grimes UNDER PA 24.5 (STANDARD) [id:10425115],0.33134839464802773,10.0,1.0,10.0,3.3134839464802774,10.0,atlas,0.7595833468672692,0.07008900686394527,Josh Hart OVER PA 12.5 (GOBLIN) [id:10436040] | Dennis Schröder OVER AST 2.5 (GOBLIN) [id:10429287] | Kelly Oubre UNDER PTS 18.5 (STANDARD) [id:10425095] | Quentin Grimes UNDER PA 24.5 (STANDARD) [id:10425115],0.01,0.054,0.0007008900686394528,0.06470089006863945,33.07013857473413,"['josh hart', 'dennis schröder', 'kelly oubre', 'quentin grimes']",1,Josh Hart OVER PA 12.5 (GOBLIN) [id:10436040],Dennis Schröder OVER AST 2.5 (GOBLIN) [id:10429287],Kelly Oubre UNDER PTS 18.5 (STANDARD) [id:10425095],Quentin Grimes UNDER PA 24.5 (STANDARD) [id:10425115],0,
