team,outs,player,stat,games_used,rate_mean,role_ctx_mult,rate_mean_ctx,scenario_probe_player,scenario_cap_base,scenario_cap_adj,scenario_n_eff,scenario_removed_budget,scenario_redistributed,role_ctx_reason,role_ctx_removed_budget,role_ctx_redistributed,role_ctx_weight,role_ctx_bump,role_ctx_outs_used_pattern,role_ctx_team,role_ctx_stat,role_ctx_base_mean,role_ctx_cap_base,role_ctx_cap_adj,role_ctx_cap_adj_pre_clamp,role_ctx_n_eff,role_ctx_depth_top_mass_n,role_ctx_depth_conc_penalty,role_ctx_cfg_depth_ref_engines,role_ctx_cfg_depth_slope,role_ctx_cfg_depth_cap_min,role_ctx_cfg_depth_cap_max,role_ctx_cfg_depth_top_k,role_ctx_cfg_depth_conc_enabled,role_ctx_cfg_depth_conc_top_n,role_ctx_cfg_depth_conc_floor,role_ctx_cfg_depth_conc_span,role_ctx_cfg_depth_conc_max_penalty,role_ctx_outs,role_ctx_mult_pre_guardrails,role_ctx_guardrails_enabled,role_ctx_guardrails_applied,role_ctx_guardrails_trigger,role_ctx_guardrails_cap_mult,role_ctx_guardrails_softness,role_ctx_outs_used_pattern_effective,role_ctx_teamshare_rel_threshold,role_ctx_teamshare_rel_wmean,role_ctx_teamshare_rel_min,role_ctx_teamshare_rel_max,role_ctx_teamshare_supported_outs,role_ctx_teamshare_support_score,role_ctx_teamshare_alpha_mult,role_ctx_teamshare_alpha_eff,role_ctx_weight_mode,role_ctx_weight_mode_str,role_ctx_blend_alpha_raw,role_ctx_usage_power,role_ctx_weight_usage,role_ctx_weight_teamshare,role_ctx_rotation_enabled,role_ctx_rot_factor,role_ctx_weight_final_sum,role_ctx_candidate_count,role_ctx_usage_g_cur_team,role_ctx_usage_w_season_used,role_ctx_usage_w_recent_used,role_ctx_usage_score_season_used,role_ctx_usage_score_recent_used,role_ctx_usage_score_blend,role_ctx_usage_mode,role_ctx_usage_lb_legacy
PHX,"Cole Anthony, Devin Booker, Grayson Allen, Isaiah Livers, Jalen Green",Amir Coffey,PTS,20,0.37386840936840937,1.3268943983913397,0.4960838981264227,Oso Ighodaro,0.9,0.8850758585109703,5.29037833767739,54.692857142857136,48.40732749013213,ok,54.692857142857136,48.40732749013213,0.050647455975230835,2.4517079879350487,4.0,PHX,PTS,7.5,0.9,0.8850758585109703,0.8850758585109703,5.29037833767739,0.6100087196184605,0.038402092708430514,3.0,0.04,0.75,0.95,8.0,1.0,3.0,0.45,0.25,0.06,5.0,1.3268943983913397,1.0,0.0,outs_and_removed,1.35,0.15,4.0,0.25,1.0,1.0,1.0,4.0,1.0,1.0,0.2,blend,"blend(alpha_eff=0.20, raw=0.20, support=1.00)|usage_power=1.60|rotation_reweight",0.2,1.6,0.01877981332054391,0.13444720087917814,1.0,0.924858856838123,1.0000000000000002,17.0,2.0,0.6,0.4,2.2802143995950224,6.7599230769230765,4.072097870526244,1.0,15.0
PHX,"Cole Anthony, Devin Booker, Grayson Allen, Isaiah Livers, Jalen Green",Amir Coffey,AST,20,0.040391608391608394,1.2855691114156984,0.05192620410865087,Oso Ighodaro,0.85,0.8449475129018567,5.898713633638711,13.535714285714285,11.436968121064416,ok,13.535714285714285,11.436968121064416,0.06388853290682944,0.7306911141569832,4.0,PHX,AST,1.5,0.85,0.8449475129018567,0.8449475129018567,5.898713633638711,0.5838345557750748,0.032120293386017955,3.0,0.04,0.75,0.95,8.0,1.0,3.0,0.45,0.25,0.06,5.0,1.4871274094379887,1.0,1.0,outs_and_removed,1.25,0.15,4.0,0.25,1.0,1.0,1.0,4.0,1.0,1.0,0.2,blend,"blend(alpha_eff=0.20, raw=0.20, support=1.00)|usage_power=1.60|rotation_reweight",0.2,1.6,0.015940788566695372,0.1806299120118176,1.0,0.924858856838123,1.0,17.0,2.0,0.6,0.4,0.38235294117647056,1.5,0.8294117647058824,1.0,15.0
PHX,"Cole Anthony, Devin Booker, Grayson Allen, Isaiah Livers, Jalen Green",Amir Coffey,REB,20,0.06379440004440004,1.200722872028496,0.07659939524064682,Oso Ighodaro,0.95,0.95,6.790226841577119,10.892857142857142,10.348214285714285,ok,10.892857142857142,10.348214285714285,0.06927446554599016,0.7168670139982374,4.0,PHX,REB,3.5,0.95,0.95,0.9642441125803514,6.790226841577119,0.5213401349172683,0.017121632380144382,3.0,0.04,0.75,0.95,8.0,1.0,3.0,0.45,0.25,0.06,5.0,1.2048191468566394,1.0,1.0,outs_and_removed,1.2,0.15,4.0,0.25,1.0,1.0,1.0,4.0,1.0,1.0,0.2,blend,"blend(alpha_eff=0.20, raw=0.20, support=1.00)|usage_power=1.60|rotation_reweight",0.2,1.6,0.02420861957640029,0.21522899225333939,1.0,0.924858856838123,0.9999999999999999,17.0,2.0,0.6,0.4,0.8823529411764706,3.5,1.9294117647058826,1.0,15.0
PHX,"Cole Anthony, Devin Booker, Grayson Allen, Isaiah Livers, Jalen Green",CJ Huntley,PTS,1,0.15384615384615385,1.0167990463733552,0.1564306225189777,Oso Ighodaro,0.9,0.8850758585109703,5.29037833767739,54.692857142857136,48.40732749013213,ok,54.692857142857136,48.40732749013213,0.0006940703915860553,0.03359809274671043,4.0,PHX,PTS,2.0,0.9,0.8850758585109703,0.8850758585109703,5.29037833767739,0.6100087196184605,0.038402092708430514,3.0,0.04,0.75,0.95,8.0,1.0,3.0,0.45,0.25,0.06,5.0,1.0167990463733552,1.0,0.0,outs_and_removed,1.35,0.15,4.0,0.25,1.0,1.0,1.0,4.0,1.0,1.0,0.2,blend,"blend(alpha_eff=0.20, raw=0.20, support=1.00)|usage_power=1.60|rotation_reweight",0.2,1.6,0.008275721385411838,0.0,1.0,0.08023747536253567,1.0000000000000002,17.0,1.0,0.7,0.3,2.4399999999999986,2.4399999999999986,2.4399999999999986,0.0,15.0
PHX,"Cole Anthony, Devin Booker, Grayson Allen, Isaiah Livers, Jalen Green",CJ Huntley,AST,1,0.0,1.0,0.0,Oso Ighodaro,0.85,0.8449475129018567,5.898713633638711,13.535714285714285,11.436968121064416,bad_base_mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHX,"Cole Anthony, Devin Booker, Grayson Allen, Isaiah Livers, Jalen Green",CJ Huntley,REB,1,0.07692307692307693,1.0067429136775954,0.07744176259058426,Oso Ighodaro,0.95,0.95,6.790226841577119,10.892857142857142,10.348214285714285,ok,10.892857142857142,10.348214285714285,0.0006516016668599501,0.006742913677595376,4.0,PHX,REB,1.0,0.95,0.95,0.9642441125803514,6.790226841577119,0.5213401349172683,0.017121632380144382,3.0,0.04,0.75,0.95,8.0,1.0,3.0,0.45,0.25,0.06,5.0,1.0067429136775954,1.0,0.0,outs_and_removed,1.2,0.15,4.0,0.25,1.0,1.0,1.0,4.0,1.0,1.0,0.2,blend,"blend(alpha_eff=0.20, raw=0.20, support=1.00)|usage_power=1.60|rotation_reweight",0.2,1.6,0.008458437606281392,0.0,1.0,0.08023747536253567,0.9999999999999999,17.0,1.0,0.7,0.3,1.0,1.0,1.0,0.0,15.0
PHX,"Cole Anthony, Devin Booker, Grayson Allen, Isaiah Livers, Jalen Green",Collin Gillespie,PTS,20,0.4242231419107779,1.3984934974300618,0.5932733054215732,Oso Ighodaro,0.9,0.8850758585109703,5.29037833767739,54.692857142857136,48.40732749013213,ok,54.692857142857136,48.40732749013213,0.13630667451001977,6.598241832097373,4.0,PHX,PTS,9.8,0.9,0.8850758585109703,0.8850758585109703,5.29037833767739,0.6100087196184605,0.038402092708430514,3.0,0.04,0.75,0.95,8.0,1.0,3.0,0.45,0.25,0.06,5.0,1.6732899828670786,1.0,1.0,outs_and_removed,1.35,0.15,4.0,0.25,1.0,1.0,1.0,4.0,1.0,1.0,0.2,blend,"blend(alpha_eff=0.20, raw=0.20, support=1.00)|usage_power=1.60|rotation_reweight",0.2,1.6,0.11546869010181211,0.05975096577594486,1.0,0.9999947261978689,1.0000000000000002,17.0,57.0,0.7,0.3,12.660367335103775,12.694878039302134,12.670720546363283,0.0,15.0
PHX,"Cole Anthony, Devin Booker, Grayson Allen, Isaiah Livers, Jalen Green",Collin Gillespie,AST,20,0.13723437328077753,1.3092018170511073,0.17966749086106387,Oso Ighodaro,0.85,0.8449475129018567,5.898713633638711,13.535714285714285,11.436968121064416,ok,13.535714285714285,11.436968121064416,0.2705662998164792,3.09445814563543,4.0,PHX,AST,4.8,0.85,0.8449475129018567,0.8449475129018567,5.898713633638711,0.5838345557750748,0.032120293386017955,3.0,0.04,0.75,0.95,8.0,1.0,3.0,0.45,0.25,0.06,5.0,1.6446787803407146,1.0,1.0,outs_and_removed,1.25,0.15,4.0,0.25,1.0,1.0,1.0,4.0,1.0,1.0,0.2,blend,"blend(alpha_eff=0.20, raw=0.20, support=1.00)|usage_power=1.60|rotation_reweight",0.2,1.6,0.230585751029712,0.03488945667932115,1.0,0.9999947261978689,1.0,17.0,57.0,0.7,0.3,4.578947368421052,4.0,4.405263157894736,0.0,15.0
PHX,"Cole Anthony, Devin Booker, Grayson Allen, Isaiah Livers, Jalen Green",Collin Gillespie,REB,20,0.15874051393455807,1.202113496308593,0.19082411421169454,Oso Ighodaro,0.95,0.95,6.790226841577119,10.892857142857142,10.348214285714285,ok,10.892857142857142,10.348214285714285,0.09102980144305282,0.941995891718734,4.0,PHX,REB,4.4,0.95,0.95,0.9642441125803514,6.790226841577119,0.5213401349172683,0.017121632380144382,3.0,0.04,0.75,0.95,8.0,1.0,3.0,0.45,0.25,0.06,5.0,1.2140899753906214,1.0,1.0,outs_and_removed,1.2,0.15,4.0,0.25,1.0,1.0,1.0,4.0,1.0,1.0,0.2,blend,"blend(alpha_eff=0.20, raw=0.20, support=1.00)|usage_power=1.60|rotation_reweight",0.2,1.6,0.08678120911635198,0.03212997215328548,1.0,0.9999947261978689,0.9999999999999999,17.0,57.0,0.7,0.3,4.192982456140351,4.5,4.285087719298246,0.0,15.0
PHX,"Cole Anthony, Devin Booker, Grayson Allen, Isaiah Livers, Jalen Green",David Duke Jr.,PTS,3,0.09803921568627451,1.04953718097802,0.10289580205666864,Oso Ighodaro,0.9,0.8850758585109703,5.29037833767739,54.692857142857136,48.40732749013213,ok,54.692857142857136,48.40732749013213,0.0017055675778327223,0.08256196829670001,4.0,PHX,PTS,1.6666666666666667,0.9,0.8850758585109703,0.8850758585109703,5.29037833767739,0.6100087196184605,0.038402092708430514,3.0,0.04,0.75,0.95,8.0,1.0,3.0,0.45,0.25,0.06,5.0,1.04953718097802,1.0,0.0,outs_and_removed,1.35,0.15,4.0,0.25,1.0,1.0,1.0,4.0,1.0,1.0,0.2,blend,"blend(alpha_eff=0.20, raw=0.20, support=1.00)|usage_power=1.60|rotation_reweight",0.2,1.6,0.008853385298949685,0.0459315341697179,1.0,0.08023747536253567,1.0000000000000002,17.0,3.0,0.7,0.3,2.545098039215686,2.545098039215686,2.545098039215686,0.0,15.0
