stat,direction,fragility_bucket,q_blowout_bucket,rows,hit_rate,mean_p_adj,gap
PA,OVER,0to05,10to20,1366,0.22547584187408493,0.17733355073552182,-0.04814229113856311
PA,OVER,05to10,10to20,2388,0.5201005025125628,0.49232684767949725,-0.027773654833065542
PA,UNDER,0to05,10to20,2,0.0,0.03,0.03
PA,UNDER,05to10,10to20,838,0.522673031026253,0.4681922516338616,-0.054480779392391376
PA,UNDER,10to20,10to20,8,0.375,0.3998650448620449,0.024865044862044883
PR,OVER,0to05,10to20,1711,0.24430157802454705,0.18567669718203547,-0.05862488084251158
PR,OVER,05to10,10to20,2738,0.5317750182615048,0.49781123403408656,-0.03396378422741819
PR,UNDER,0to05,10to20,2,0.0,0.03,0.03
PR,UNDER,05to10,10to20,915,0.5202185792349727,0.4691563939810173,-0.05106218525395545
PR,UNDER,10to20,10to20,17,0.5294117647058824,0.4677363102300531,-0.06167545447582928
PRA,OVER,0to05,10to20,1907,0.3051914001048768,0.2167798240252698,-0.08841157607960698
PRA,OVER,05to10,10to20,3332,0.5156062424969988,0.49800123380940087,-0.017605008687597956
PRA,UNDER,0to05,10to20,1,0.0,0.03,0.03
PRA,UNDER,05to10,10to20,915,0.526775956284153,0.46342355711357286,-0.06335239917058011
PRA,UNDER,10to20,10to20,22,0.5,0.372624916061279,-0.127375083938721
PTS,OVER,0to05,10to20,5510,0.4185117967332123,0.3827951123632409,-0.03571668436997144
PTS,OVER,05to10,10to20,517,0.7001934235976789,0.6823206980144537,-0.01787272558322517
PTS,UNDER,0to05,10to20,221,0.5248868778280543,0.4251541788816168,-0.09973269894643755
PTS,UNDER,05to10,10to20,700,0.5157142857142857,0.5152988869164568,-0.0004153987978289253
RA,OVER,0to05,10to20,1638,0.23687423687423687,0.19027857109958327,-0.0465956657746536
RA,OVER,05to10,10to20,3107,0.4901834567106534,0.47469883236078436,-0.015484624349869025
RA,UNDER,05to10,10to20,560,0.5339285714285714,0.45855227449378416,-0.07537629693478726
RA,UNDER,10to20,10to20,7,0.14285714285714285,0.4117679646190521,0.2689108217619092
REB,OVER,0to05,10to20,4512,0.356604609929078,0.34998802294491727,-0.006616586984160733
REB,OVER,05to10,10to20,332,0.7590361445783133,0.6834854873299734,-0.07555065724833987
REB,UNDER,0to05,10to20,111,0.6756756756756757,0.43859395049259603,-0.23708172518307963
REB,UNDER,05to10,10to20,435,0.5126436781609195,0.49967701913219625,-0.012966659028723238
