run_id,mean_hit,mean_p_adj,mean_p_cal,brier_p_adj,brier_p_cal,games_used_lt5_share,role_ctx_outs_used_share
20260313_054726,0.428571,0.389248,0.402616,0.225167,0.229624,0.0,0.264402
20260313_055106,0.381176,0.381805,0.393669,0.206529,0.206235,0.002386,0.243359
20260313_055319,0.45552,0.391269,0.400897,0.205442,0.203376,0.0,0.163181
20260313_055604,0.413687,0.383864,0.396041,0.196713,0.197568,0.0,0.219811
20260313_055922,0.407324,0.38328,0.395313,0.203201,0.203002,0.006449,0.239802
20260313_060132,0.419082,0.379596,0.383823,0.213953,0.212842,0.0,0.059911
20260313_060435,0.412601,0.39982,0.415702,0.213781,0.214717,0.007025,0.324025
20260313_060741,0.395634,0.398222,0.40097,0.206229,0.205747,0.0,0.023433
20260313_061051,0.432706,0.393747,0.407515,0.225337,0.225869,0.013826,0.273948
20260313_061426,0.441871,0.407797,0.418242,0.201391,0.199976,0.009376,0.185895
20260313_061653,0.427598,0.388429,0.398759,0.217547,0.217099,0.006081,0.188507
20260313_061937,0.427282,0.409976,0.419421,0.20713,0.205694,0.014657,0.172224
