_ep_player,_ep_stat,_ep_tier,_ep_dir,_ep_line,mu,edge_at_pp_line,implied_direction,apply_prior,external_prior_score,external_prior_n,external_prior_sources,delta_p
AJ Green,AST,GOBLIN,OVER,1.5,,,,False,0.0,0,,0.0
AJ Green,AST,DEMON,OVER,2.5,,,,False,0.0,0,,0.0
AJ Green,FG3M,GOBLIN,OVER,1.5,2.6958004762691417,1.1958004762691417,OVER,True,0.37875056718734074,1,rotowire,0.011362517015620221
AJ Green,FG3M,STANDARD,OVER,2.5,2.6958004762691417,0.19580047626914165,OVER,True,0.06517430942004357,1,rotowire,0.001955229282601307
AJ Green,FG3M,DEMON,OVER,4.5,2.6958004762691417,-1.8041995237308583,UNDER,False,0.0,0,rotowire,0.0
AJ Green,PA,STANDARD,UNDER,12.5,14.592779856352642,2.0927798563526423,OVER,False,0.0,0,rotowire,0.0
AJ Green,PA,DEMON,OVER,14.5,14.592779856352642,0.0927798563526423,OVER,True,0.030916762574226275,1,rotowire,0.0009275028772267883
AJ Green,PA,GOBLIN,OVER,9.5,14.592779856352642,5.092779856352642,OVER,True,0.935107529262116,1,rotowire,0.02805322587786348
AJ Green,PRA,GOBLIN,OVER,11.5,18.654766040054767,7.154766040054767,OVER,True,0.9831792625469844,1,rotowire,0.02949537787640953
AJ Green,PRA,STANDARD,UNDER,15.5,18.654766040054767,3.154766040054767,OVER,False,0.0,0,rotowire,0.0
AJ Green,PRA,DEMON,OVER,17.5,18.654766040054767,1.154766040054767,OVER,True,0.36697430522855196,1,rotowire,0.011009229156856558
AJ Green,PR,STANDARD,UNDER,13.5,15.45446919593497,1.9544691959349692,OVER,False,0.0,0,rotowire,0.0
AJ Green,PR,DEMON,OVER,14.5,15.45446919593497,0.9544691959349692,OVER,True,0.30783897693922185,1,rotowire,0.009235169308176656
AJ Green,PR,GOBLIN,OVER,9.5,15.45446919593497,5.954469195934969,OVER,True,0.9629394806999472,1,rotowire,0.028888184420998414
AJ Green,PTS,STANDARD,UNDER,10.5,11.392483012232844,0.8924830122328444,OVER,False,0.0,0,rotowire,0.0
AJ Green,PTS,GOBLIN,OVER,8.5,11.392483012232844,2.8924830122328444,OVER,True,0.7461271504301006,1,rotowire,0.022383814512903017
AJ Green,PTS,DEMON,OVER,9.5,11.392483012232844,1.8924830122328444,OVER,True,0.5586218679544142,1,rotowire,0.016758656038632424
AJ Green,RA,GOBLIN,OVER,3.5,,,,False,0.0,0,,0.0
AJ Green,RA,STANDARD,UNDER,4.5,,,,False,0.0,0,,0.0
AJ Green,RA,DEMON,OVER,7.5,,,,False,0.0,0,,0.0
AJ Green,REB,GOBLIN,OVER,1.5,,,,False,0.0,0,,0.0
AJ Green,REB,STANDARD,UNDER,2.5,,,,False,0.0,0,,0.0
