n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Tari Eason OVER PR 11.5 (GOBLIN) [id:10620292] | Jayson Tatum OVER PR 22.5 (GOBLIN) [id:10635679] | Derrick White OVER PR 19.5 (STANDARD) [id:10620587] | Jaylen Brown OVER PA 28.5 (STANDARD) [id:10620680],0.32053657708761146,10.0,0.7934774457757686,7.934774457757686,2.543385444651857,10.0,pp_kernel,0.7604319568043196,0.15557663607952474,Tari Eason OVER PR 11.5 (GOBLIN) [id:10620292] | Jayson Tatum OVER PR 22.5 (GOBLIN) [id:10635679] | Derrick White OVER PR 19.5 (STANDARD) [id:10620587] | Jaylen Brown OVER PA 28.5 (STANDARD) [id:10620680],0.04,0.054,0.0015557663607952475,0.09555576636079524,20.085634096095433,"['tari eason', 'jayson tatum', 'derrick white', 'jaylen brown']",20.18118986245623,1,Tari Eason OVER PR 11.5 (GOBLIN) [id:10620292],Jayson Tatum OVER PR 22.5 (GOBLIN) [id:10635679],Derrick White OVER PR 19.5 (STANDARD) [id:10620587],Jaylen Brown OVER PA 28.5 (STANDARD) [id:10620680],0,
4,Amen Thompson OVER RA 10.5 (GOBLIN) [id:10642748] | Derrick White OVER RA 6.5 (GOBLIN) [id:10635666] | Jaylen Brown OVER PRA 34.5 (STANDARD) [id:10620682] | Jayson Tatum OVER PRA 33.5 (STANDARD) [id:10620703],0.3636092417368541,10.0,0.7257701355575356,7.257701355575356,2.638967286653293,10.0,pp_kernel,0.7797240275972404,0.15796491743961982,Amen Thompson OVER RA 10.5 (GOBLIN) [id:10642748] | Derrick White OVER RA 6.5 (GOBLIN) [id:10635666] | Jaylen Brown OVER PRA 34.5 (STANDARD) [id:10620682] | Jayson Tatum OVER PRA 33.5 (STANDARD) [id:10620703],0.04,0.054,0.0015796491743961982,0.0955796491743962,19.05725680448823,"['amen thompson', 'derrick white', 'jaylen brown', 'jayson tatum']",19.152836453662626,1,Amen Thompson OVER RA 10.5 (GOBLIN) [id:10642748],Derrick White OVER RA 6.5 (GOBLIN) [id:10635666],Jaylen Brown OVER PRA 34.5 (STANDARD) [id:10620682],Jayson Tatum OVER PRA 33.5 (STANDARD) [id:10620703],0,
4,Payton Pritchard OVER PA 15.5 (GOBLIN) [id:10635690] | Jayson Tatum OVER PRA 31.5 (GOBLIN) [id:10620977] | Neemias Queta OVER PA 10.5 (STANDARD) [id:10620998] | Derrick White OVER RA 9 (STANDARD) [id:10620883],0.2850262976321793,10.0,0.819522684160548,8.19522684160548,2.3358551649186685,10.0,pp_kernel,0.7344745525447455,0.1821708336893223,Payton Pritchard OVER PA 15.5 (GOBLIN) [id:10635690] | Jayson Tatum OVER PRA 31.5 (GOBLIN) [id:10620977] | Neemias Queta OVER PA 10.5 (STANDARD) [id:10620998] | Derrick White OVER RA 9 (STANDARD) [id:10620883],0.09,0.054,0.001821708336893223,0.1458217083368932,18.997041237307375,"['payton pritchard', 'jayson tatum', 'neemias queta', 'derrick white']",19.142862945644268,1,Payton Pritchard OVER PA 15.5 (GOBLIN) [id:10635690],Jayson Tatum OVER PRA 31.5 (GOBLIN) [id:10620977],Neemias Queta OVER PA 10.5 (STANDARD) [id:10620998],Derrick White OVER RA 9 (STANDARD) [id:10620883],0,
4,Jayson Tatum OVER PRA 29.5 (GOBLIN) [id:10621360] | Jaylen Brown OVER PR 28.5 (GOBLIN) [id:10631761] | Derrick White OVER PRA 25 (STANDARD) [id:10620588] | Neemias Queta OVER PA 10.5 (STANDARD) [id:10620998],0.2779386135041112,10.0,0.8126073249338738,8.126073249338738,2.2585495321540567,10.0,pp_kernel,0.7317468253174683,0.18184267132287335,Jayson Tatum OVER PRA 29.5 (GOBLIN) [id:10621360] | Jaylen Brown OVER PR 28.5 (GOBLIN) [id:10631761] | Derrick White OVER PRA 25 (STANDARD) [id:10620588] | Neemias Queta OVER PA 10.5 (STANDARD) [id:10620998],0.09,0.054,0.0018184267132287336,0.14581842671322873,18.207320508830367,"['jayson tatum', 'jaylen brown', 'derrick white', 'neemias queta']",18.353138935543598,1,Jayson Tatum OVER PRA 29.5 (GOBLIN) [id:10621360],Jaylen Brown OVER PR 28.5 (GOBLIN) [id:10631761],Derrick White OVER PRA 25 (STANDARD) [id:10620588],Neemias Queta OVER PA 10.5 (STANDARD) [id:10620998],0,
4,Jaylen Brown OVER PTS 19.5 (GOBLIN) [id:10620679] | Kris Dunn OVER PR 7.5 (GOBLIN) [id:10622427] | Derrick Jones UNDER PR 16.5 (STANDARD) [id:10617245] | Luka Garza OVER PRA 10.5 (STANDARD) [id:10642852],0.22012870207486063,10.0,0.872195380759091,8.72195380759091,1.9199523712218758,10.0,pp_kernel,0.6885431456854314,0.11412826840771229,Jaylen Brown OVER PTS 19.5 (GOBLIN) [id:10620679] | Kris Dunn OVER PR 7.5 (GOBLIN) [id:10622427] | Derrick Jones UNDER PR 16.5 (STANDARD) [id:10617245] | Luka Garza OVER PRA 10.5 (STANDARD) [id:10642852],0.02,0.054,0.0011412826840771228,0.07514128268407712,16.67059461188776,"['jaylen brown', 'kris dunn', 'derrick jones', 'luka garza']",16.745735894571837,1,Jaylen Brown OVER PTS 19.5 (GOBLIN) [id:10620679],Kris Dunn OVER PR 7.5 (GOBLIN) [id:10622427],Derrick Jones UNDER PR 16.5 (STANDARD) [id:10617245],Luka Garza OVER PRA 10.5 (STANDARD) [id:10642852],0,
4,Jabari Smith OVER PRA 19.5 (GOBLIN) [id:10621875] | Payton Pritchard OVER REB 2.5 (GOBLIN) [id:10620761] | Josh Giddey UNDER PA 31.5 (STANDARD) [id:10620070] | Jordan Miller UNDER PA 14.5 (STANDARD) [id:10640641],0.2680213695531414,10.0,0.7808494420140687,7.808494420140687,2.0928433686341696,10.0,pp_kernel,0.7261373862613739,0.03967083185848057,Jabari Smith OVER PRA 19.5 (GOBLIN) [id:10621875] | Payton Pritchard OVER REB 2.5 (GOBLIN) [id:10620761] | Josh Giddey UNDER PA 31.5 (STANDARD) [id:10620070] | Jordan Miller UNDER PA 14.5 (STANDARD) [id:10640641],0.0,0.024,0.0003967083185848057,0.024396708318584807,16.317559057889767,"['jabari smith', 'payton pritchard', 'josh giddey', 'jordan miller']",16.34195576620835,1,Jabari Smith OVER PRA 19.5 (GOBLIN) [id:10621875],Payton Pritchard OVER REB 2.5 (GOBLIN) [id:10620761],Josh Giddey UNDER PA 31.5 (STANDARD) [id:10620070],Jordan Miller UNDER PA 14.5 (STANDARD) [id:10640641],0,
4,Josh Giddey OVER RA 14.5 (GOBLIN) [id:10624249] | Amen Thompson OVER PR 19.5 (GOBLIN) [id:10641587] | Neemias Queta OVER PA 10.5 (STANDARD) [id:10620998] | Jabari Smith OVER PRA 23.5 (STANDARD) [id:10618985],0.26641744239486004,10.0,0.7782881450693049,7.782881450693049,2.07349537055604,10.0,pp_kernel,0.7234976502349765,0.11875245803259968,Josh Giddey OVER RA 14.5 (GOBLIN) [id:10624249] | Amen Thompson OVER PR 19.5 (GOBLIN) [id:10641587] | Neemias Queta OVER PA 10.5 (STANDARD) [id:10620998] | Jabari Smith OVER PRA 23.5 (STANDARD) [id:10618985],0.01,0.054,0.0011875245803259968,0.06518752458032599,16.072581133018186,"['josh giddey', 'amen thompson', 'neemias queta', 'jabari smith']",16.137768657598514,1,Josh Giddey OVER RA 14.5 (GOBLIN) [id:10624249],Amen Thompson OVER PR 19.5 (GOBLIN) [id:10641587],Neemias Queta OVER PA 10.5 (STANDARD) [id:10620998],Jabari Smith OVER PRA 23.5 (STANDARD) [id:10618985],0,
4,Deandre Ayton OVER PR 11.5 (GOBLIN) [id:10638508] | Amen Thompson OVER RA 10.5 (GOBLIN) [id:10642748] | Derrick Jones UNDER PA 13.5 (STANDARD) [id:10617244] | Payton Pritchard OVER PR 18.5 (STANDARD) [id:10620755],0.21417174203812941,10.0,0.8539600706241149,8.53960070624115,1.8289411595657072,10.0,pp_kernel,0.686222540412686,0.08264573618112117,Deandre Ayton OVER PR 11.5 (GOBLIN) [id:10638508] | Amen Thompson OVER RA 10.5 (GOBLIN) [id:10642748] | Derrick Jones UNDER PA 13.5 (STANDARD) [id:10617244] | Payton Pritchard OVER PR 18.5 (STANDARD) [id:10620755],0.0,0.054,0.0008264573618112117,0.05482645736181121,15.563600760539007,"['deandre ayton', 'amen thompson', 'derrick jones', 'payton pritchard']",15.618427217900818,1,Deandre Ayton OVER PR 11.5 (GOBLIN) [id:10638508],Amen Thompson OVER RA 10.5 (GOBLIN) [id:10642748],Derrick Jones UNDER PA 13.5 (STANDARD) [id:10617244],Payton Pritchard OVER PR 18.5 (STANDARD) [id:10620755],0,
4,Collin Gillespie OVER PTS 5.5 (GOBLIN) [id:10626377] | Khris Middleton OVER REB 1.5 (GOBLIN) [id:10642746] | Luka Garza OVER PRA 10.5 (STANDARD) [id:10642852] | Derrick Jones UNDER PRA 17.5 (STANDARD) [id:10617247],0.19734628850935496,10.0,0.8713086522367756,8.713086522367755,1.7194952866501592,10.0,pp_kernel,0.6691510023755864,0.09047007145397473,Collin Gillespie OVER PTS 5.5 (GOBLIN) [id:10626377] | Khris Middleton OVER REB 1.5 (GOBLIN) [id:10642746] | Luka Garza OVER PRA 10.5 (STANDARD) [id:10642852] | Derrick Jones UNDER PRA 17.5 (STANDARD) [id:10617247],0.0,0.024,0.0009047007145397473,0.02490470071453975,14.957206506671842,"['collin gillespie', 'khris middleton', 'luka garza', 'derrick jones']",14.982111207386382,1,Collin Gillespie OVER PTS 5.5 (GOBLIN) [id:10626377],Khris Middleton OVER REB 1.5 (GOBLIN) [id:10642746],Luka Garza OVER PRA 10.5 (STANDARD) [id:10642852],Derrick Jones UNDER PRA 17.5 (STANDARD) [id:10617247],0,
4,Amen Thompson OVER PTS 14.5 (GOBLIN) [id:10618543] | LeBron James OVER PTS 14.5 (GOBLIN) [id:10616786] | Payton Pritchard OVER PA 19.5 (STANDARD) [id:10620754] | Luka Garza OVER PRA 10.5 (STANDARD) [id:10642852],0.19761352373647237,10.0,0.8699350588119621,8.699350588119621,1.7191093239372717,10.0,pp_kernel,0.6687650852340203,0.1142826636049305,Amen Thompson OVER PTS 14.5 (GOBLIN) [id:10618543] | LeBron James OVER PTS 14.5 (GOBLIN) [id:10616786] | Payton Pritchard OVER PA 19.5 (STANDARD) [id:10620754] | Luka Garza OVER PRA 10.5 (STANDARD) [id:10642852],0.01,0.054,0.001142826636049305,0.06514282663604931,14.889991881599578,"['amen thompson', 'lebron james', 'payton pritchard', 'luka garza']",14.955134708235628,1,Amen Thompson OVER PTS 14.5 (GOBLIN) [id:10618543],LeBron James OVER PTS 14.5 (GOBLIN) [id:10616786],Payton Pritchard OVER PA 19.5 (STANDARD) [id:10620754],Luka Garza OVER PRA 10.5 (STANDARD) [id:10642852],0,
