n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Jayson Tatum OVER PA 19.5 (GOBLIN) [id:10621355] | Derrick White OVER RA 6.5 (GOBLIN) [id:10635666] | Nolan Traore UNDER PRA 17 (STANDARD) [id:10622220] | Leonard Miller UNDER RA 8.5 (STANDARD) [id:10638442],0.5735421192808242,10.0,1.0,10.0,5.735421192808242,10.0,atlas,0.8730087521137686,0.08727982214032576,Jayson Tatum OVER PA 19.5 (GOBLIN) [id:10621355] | Derrick White OVER RA 6.5 (GOBLIN) [id:10635666] | Nolan Traore UNDER PRA 17 (STANDARD) [id:10622220] | Leonard Miller UNDER RA 8.5 (STANDARD) [id:10638442],0.01,0.054,0.0008727982214032576,0.06487279822140325,57.28933912986102,"['jayson tatum', 'derrick white', 'nolan traore', 'leonard miller']",1,Jayson Tatum OVER PA 19.5 (GOBLIN) [id:10621355],Derrick White OVER RA 6.5 (GOBLIN) [id:10635666],Nolan Traore UNDER PRA 17 (STANDARD) [id:10622220],Leonard Miller UNDER RA 8.5 (STANDARD) [id:10638442],0,
4,Jayson Tatum OVER PR 23.5 (GOBLIN) [id:10635678] | Payton Pritchard OVER REB 2.5 (GOBLIN) [id:10620761] | Leonard Miller UNDER PTS 12.5 (STANDARD) [id:10638431] | Nick Richards UNDER PA 11.5 (STANDARD) [id:10642225],0.5589642784256378,10.0,1.0,10.0,5.589642784256378,10.0,atlas,0.8673126887311268,0.06650658823177999,Jayson Tatum OVER PR 23.5 (GOBLIN) [id:10635678] | Payton Pritchard OVER REB 2.5 (GOBLIN) [id:10620761] | Leonard Miller UNDER PTS 12.5 (STANDARD) [id:10638431] | Nick Richards UNDER PA 11.5 (STANDARD) [id:10642225],0.02,0.024,0.0006650658823177999,0.0446650658823178,55.85176277668146,"['jayson tatum', 'payton pritchard', 'leonard miller', 'nick richards']",1,Jayson Tatum OVER PR 23.5 (GOBLIN) [id:10635678],Payton Pritchard OVER REB 2.5 (GOBLIN) [id:10620761],Leonard Miller UNDER PTS 12.5 (STANDARD) [id:10638431],Nick Richards UNDER PA 11.5 (STANDARD) [id:10642225],0,
4,Amen Thompson OVER REB 6.5 (GOBLIN) [id:10618818] | Jayson Tatum OVER PTS 17.5 (GOBLIN) [id:10621352] | Leonard Miller UNDER PTS 12.5 (STANDARD) [id:10638431] | Walter Clayton UNDER PTS 11.5 (STANDARD) [id:10624031],0.49156494264949485,10.0,1.0,10.0,4.915649426494949,10.0,atlas,0.8396640623957288,0.03845854072977514,Amen Thompson OVER REB 6.5 (GOBLIN) [id:10618818] | Jayson Tatum OVER PTS 17.5 (GOBLIN) [id:10621352] | Leonard Miller UNDER PTS 12.5 (STANDARD) [id:10638431] | Walter Clayton UNDER PTS 11.5 (STANDARD) [id:10624031],0.0,0.024,0.0003845854072977514,0.02438458540729775,49.13210967954219,"['amen thompson', 'jayson tatum', 'leonard miller', 'walter clayton']",1,Amen Thompson OVER REB 6.5 (GOBLIN) [id:10618818],Jayson Tatum OVER PTS 17.5 (GOBLIN) [id:10621352],Leonard Miller UNDER PTS 12.5 (STANDARD) [id:10638431],Walter Clayton UNDER PTS 11.5 (STANDARD) [id:10624031],0,
4,Jayson Tatum OVER PRA 30.5 (GOBLIN) [id:10622246] | Amen Thompson OVER REB 5.5 (GOBLIN) [id:10618545] | Walter Clayton UNDER PA 17.5 (STANDARD) [id:10624035] | Josh Minott UNDER PR 15 (STANDARD) [id:10625700],0.4846982691976936,10.0,1.0,10.0,4.846982691976936,10.0,atlas,0.8368714814408535,0.0584202922212541,Jayson Tatum OVER PRA 30.5 (GOBLIN) [id:10622246] | Amen Thompson OVER REB 5.5 (GOBLIN) [id:10618545] | Walter Clayton UNDER PA 17.5 (STANDARD) [id:10624035] | Josh Minott UNDER PR 15 (STANDARD) [id:10625700],0.0,0.024,0.000584202922212541,0.024584202922212542,48.44524271684715,"['jayson tatum', 'amen thompson', 'walter clayton', 'josh minott']",1,Jayson Tatum OVER PRA 30.5 (GOBLIN) [id:10622246],Amen Thompson OVER REB 5.5 (GOBLIN) [id:10618545],Walter Clayton UNDER PA 17.5 (STANDARD) [id:10624035],Josh Minott UNDER PR 15 (STANDARD) [id:10625700],0,
4,Payton Pritchard OVER PA 15.5 (GOBLIN) [id:10635690] | Derrick White OVER PR 14.5 (GOBLIN) [id:10621328] | Danny Wolf UNDER PRA 22.5 (STANDARD) [id:10625599] | Leonard Miller UNDER PR 20.5 (STANDARD) [id:10638435],0.46457223023639316,10.0,1.0,10.0,4.645722302363931,10.0,atlas,0.8260439332913307,0.08942276635820268,Payton Pritchard OVER PA 15.5 (GOBLIN) [id:10635690] | Derrick White OVER PR 14.5 (GOBLIN) [id:10621328] | Danny Wolf UNDER PRA 22.5 (STANDARD) [id:10625599] | Leonard Miller UNDER PR 20.5 (STANDARD) [id:10638435],0.01,0.054,0.0008942276635820268,0.06489422766358202,46.392328795975736,"['payton pritchard', 'derrick white', 'danny wolf', 'leonard miller']",1,Payton Pritchard OVER PA 15.5 (GOBLIN) [id:10635690],Derrick White OVER PR 14.5 (GOBLIN) [id:10621328],Danny Wolf UNDER PRA 22.5 (STANDARD) [id:10625599],Leonard Miller UNDER PR 20.5 (STANDARD) [id:10638435],0,
4,Jaylen Brown OVER PA 23.5 (GOBLIN) [id:10635674] | Derrick White OVER RA 7.5 (GOBLIN) [id:10621123] | Rasheer Fleming UNDER PRA 10.5 (STANDARD) [id:10641104] | Danny Wolf UNDER RA 10 (STANDARD) [id:10625603],0.45624718478701337,10.0,1.0,10.0,4.562471847870134,10.0,atlas,0.8219041197934606,0.08646112234330156,Jaylen Brown OVER PA 23.5 (GOBLIN) [id:10635674] | Derrick White OVER RA 7.5 (GOBLIN) [id:10621123] | Rasheer Fleming UNDER PRA 10.5 (STANDARD) [id:10641104] | Danny Wolf UNDER RA 10 (STANDARD) [id:10625603],0.01,0.054,0.0008646112234330155,0.06486461122343301,45.559853867477905,"['jaylen brown', 'derrick white', 'rasheer fleming', 'danny wolf']",1,Jaylen Brown OVER PA 23.5 (GOBLIN) [id:10635674],Derrick White OVER RA 7.5 (GOBLIN) [id:10621123],Rasheer Fleming UNDER PRA 10.5 (STANDARD) [id:10641104],Danny Wolf UNDER RA 10 (STANDARD) [id:10625603],0,
4,Jabari Smith OVER PRA 19.5 (GOBLIN) [id:10621875] | Tari Eason OVER REB 3.5 (GOBLIN) [id:10618571] | Danny Wolf UNDER PRA 22.5 (STANDARD) [id:10625599] | Derrick Jones UNDER REB 4 (STANDARD) [id:10622116],0.437343447686638,10.0,1.0,10.0,4.373434476866381,10.0,atlas,0.8139959965410458,0.028798944221717512,Jabari Smith OVER PRA 19.5 (GOBLIN) [id:10621875] | Tari Eason OVER REB 3.5 (GOBLIN) [id:10618571] | Danny Wolf UNDER PRA 22.5 (STANDARD) [id:10625599] | Derrick Jones UNDER REB 4 (STANDARD) [id:10622116],0.01,0.012,0.00028798944221717515,0.022287989442217174,43.712056779221584,"['jabari smith', 'tari eason', 'danny wolf', 'derrick jones']",1,Jabari Smith OVER PRA 19.5 (GOBLIN) [id:10621875],Tari Eason OVER REB 3.5 (GOBLIN) [id:10618571],Danny Wolf UNDER PRA 22.5 (STANDARD) [id:10625599],Derrick Jones UNDER REB 4 (STANDARD) [id:10622116],0,
4,Austin Reaves OVER REB 2.5 (GOBLIN) [id:10618135] | Jaylen Brown OVER FG3M 0.5 (GOBLIN) [id:10632685] | Danny Wolf UNDER PA 16.5 (STANDARD) [id:10625597] | Josh Minott UNDER PR 15 (STANDARD) [id:10625700],0.437163846950922,10.0,1.0,10.0,4.37163846950922,10.0,atlas,0.8135814388522062,0.036009059088608485,Austin Reaves OVER REB 2.5 (GOBLIN) [id:10618135] | Jaylen Brown OVER FG3M 0.5 (GOBLIN) [id:10632685] | Danny Wolf UNDER PA 16.5 (STANDARD) [id:10625597] | Josh Minott UNDER PR 15 (STANDARD) [id:10625700],0.01,0.006,0.00036009059088608483,0.016360090590886084,43.70002460450131,"['austin reaves', 'jaylen brown', 'danny wolf', 'josh minott']",1,Austin Reaves OVER REB 2.5 (GOBLIN) [id:10618135],Jaylen Brown OVER FG3M 0.5 (GOBLIN) [id:10632685],Danny Wolf UNDER PA 16.5 (STANDARD) [id:10625597],Josh Minott UNDER PR 15 (STANDARD) [id:10625700],0,
4,Jabari Smith OVER PRA 21.5 (GOBLIN) [id:10637452] | Deandre Ayton OVER PTS 5.5 (GOBLIN) [id:10626341] | Josh Minott UNDER PR 15 (STANDARD) [id:10625700] | Drake Powell UNDER PR 11.5 (STANDARD) [id:10631542],0.3993483858265185,10.0,1.0,10.0,3.993483858265185,10.0,atlas,0.7953682352026075,0.03329555196179623,Jabari Smith OVER PRA 21.5 (GOBLIN) [id:10637452] | Deandre Ayton OVER PTS 5.5 (GOBLIN) [id:10626341] | Josh Minott UNDER PR 15 (STANDARD) [id:10625700] | Drake Powell UNDER PR 11.5 (STANDARD) [id:10631542],0.01,0.054,0.00033295551961796233,0.06433295551961796,39.87050562713223,"['jabari smith', 'deandre ayton', 'josh minott', 'drake powell']",1,Jabari Smith OVER PRA 21.5 (GOBLIN) [id:10637452],Deandre Ayton OVER PTS 5.5 (GOBLIN) [id:10626341],Josh Minott UNDER PR 15 (STANDARD) [id:10625700],Drake Powell UNDER PR 11.5 (STANDARD) [id:10631542],0,
4,Jaylen Brown OVER FG3M 0.5 (GOBLIN) [id:10632685] | Tari Eason OVER PTS 5.5 (GOBLIN) [id:10618844] | Nick Richards UNDER PA 11.5 (STANDARD) [id:10642225] | Drake Powell UNDER PA 10.5 (STANDARD) [id:10631541],0.3961360895848926,10.0,1.0,10.0,3.961360895848926,10.0,atlas,0.7939273129052028,0.036770247469838035,Jaylen Brown OVER FG3M 0.5 (GOBLIN) [id:10632685] | Tari Eason OVER PTS 5.5 (GOBLIN) [id:10618844] | Nick Richards UNDER PA 11.5 (STANDARD) [id:10642225] | Drake Powell UNDER PA 10.5 (STANDARD) [id:10631541],0.0,0.024,0.00036770247469838035,0.02436770247469838,39.58924125601456,"['jaylen brown', 'tari eason', 'nick richards', 'drake powell']",1,Jaylen Brown OVER FG3M 0.5 (GOBLIN) [id:10632685],Tari Eason OVER PTS 5.5 (GOBLIN) [id:10618844],Nick Richards UNDER PA 11.5 (STANDARD) [id:10642225],Drake Powell UNDER PA 10.5 (STANDARD) [id:10631541],0,
