n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Derrick White OVER PR 14.5 (GOBLIN) [id:10621328] | Jayson Tatum OVER FG3M 1.5 (GOBLIN) [id:10620690] | Leonard Miller UNDER PTS 12.5 (STANDARD) [id:10638431] | Danny Wolf UNDER PR 19 (STANDARD) [id:10625598] | Jordan Goodwin OVER PRA 12.5 (DEMON) [id:10641321],0.3105586437991129,20.0,1.0,20.0,6.211172875982259,20.0,atlas,0.8019775092465787,0.09045136812846802,Derrick White OVER PR 14.5 (GOBLIN) [id:10621328] | Jayson Tatum OVER FG3M 1.5 (GOBLIN) [id:10620690] | Leonard Miller UNDER PTS 12.5 (STANDARD) [id:10638431] | Danny Wolf UNDER PR 19 (STANDARD) [id:10625598] | Jordan Goodwin OVER PRA 12.5 (DEMON) [id:10641321],0.01,0.054,0.0009045136812846802,0.06490451368128468,124.15855300596388,"['derrick white', 'jayson tatum', 'leonard miller', 'danny wolf', 'jordan goodwin']",1,Derrick White OVER PR 14.5 (GOBLIN) [id:10621328],Jayson Tatum OVER FG3M 1.5 (GOBLIN) [id:10620690],Leonard Miller UNDER PTS 12.5 (STANDARD) [id:10638431],Danny Wolf UNDER PR 19 (STANDARD) [id:10625598],Jordan Goodwin OVER PRA 12.5 (DEMON) [id:10641321],0,
5,Jaylen Brown OVER PA 24.5 (GOBLIN) [id:10621347] | Jayson Tatum OVER PR 24.5 (GOBLIN) [id:10621359] | Drake Powell UNDER PA 10.5 (STANDARD) [id:10631541] | Leonard Miller UNDER PRA 22 (STANDARD) [id:10638436] | Luke Kennard OVER AST 1.5 (DEMON) [id:10619908],0.307584991823863,20.0,1.0,20.0,6.15169983647726,20.0,atlas,0.7999174906462935,0.07990975648812412,Jaylen Brown OVER PA 24.5 (GOBLIN) [id:10621347] | Jayson Tatum OVER PR 24.5 (GOBLIN) [id:10621359] | Drake Powell UNDER PA 10.5 (STANDARD) [id:10631541] | Leonard Miller UNDER PRA 22 (STANDARD) [id:10638436] | Luke Kennard OVER AST 1.5 (DEMON) [id:10619908],0.01,0.096,0.0007990975648812412,0.10679909756488123,122.92719763198032,"['jaylen brown', 'jayson tatum', 'drake powell', 'leonard miller', 'luke kennard']",1,Jaylen Brown OVER PA 24.5 (GOBLIN) [id:10621347],Jayson Tatum OVER PR 24.5 (GOBLIN) [id:10621359],Drake Powell UNDER PA 10.5 (STANDARD) [id:10631541],Leonard Miller UNDER PRA 22 (STANDARD) [id:10638436],Luke Kennard OVER AST 1.5 (DEMON) [id:10619908],0,
5,Derrick White OVER PRA 19.5 (GOBLIN) [id:10621329] | Jayson Tatum OVER PR 24.5 (GOBLIN) [id:10621359] | Danny Wolf UNDER RA 10 (STANDARD) [id:10625603] | Drake Powell UNDER PR 11.5 (STANDARD) [id:10631542] | Jordan Goodwin OVER RA 5.5 (DEMON) [id:10630795],0.30580232060734863,20.0,1.0,20.0,6.116046412146972,20.0,atlas,0.8034963700309632,0.10751390037671293,Derrick White OVER PRA 19.5 (GOBLIN) [id:10621329] | Jayson Tatum OVER PR 24.5 (GOBLIN) [id:10621359] | Danny Wolf UNDER RA 10 (STANDARD) [id:10625603] | Drake Powell UNDER PR 11.5 (STANDARD) [id:10631542] | Jordan Goodwin OVER RA 5.5 (DEMON) [id:10630795],0.02,0.096,0.0010751390037671293,0.11707513900376713,122.20385310393569,"['derrick white', 'jayson tatum', 'danny wolf', 'drake powell', 'jordan goodwin']",1,Derrick White OVER PRA 19.5 (GOBLIN) [id:10621329],Jayson Tatum OVER PR 24.5 (GOBLIN) [id:10621359],Danny Wolf UNDER RA 10 (STANDARD) [id:10625603],Drake Powell UNDER PR 11.5 (STANDARD) [id:10631542],Jordan Goodwin OVER RA 5.5 (DEMON) [id:10630795],0,
5,Derrick White OVER REB 2.5 (GOBLIN) [id:10621160] | Jayson Tatum OVER PRA 29.5 (GOBLIN) [id:10621360] | Josh Minott UNDER PR 15 (STANDARD) [id:10625700] | Guerschon Yabusele UNDER PRA 14.5 (STANDARD) [id:10641116] | Jaylen Brown OVER PRA 36.5 (DEMON) [id:10620959],0.304015117099914,20.0,1.0,20.0,6.08030234199828,20.0,atlas,0.794767224910989,0.09098661477677207,Derrick White OVER REB 2.5 (GOBLIN) [id:10621160] | Jayson Tatum OVER PRA 29.5 (GOBLIN) [id:10621360] | Josh Minott UNDER PR 15 (STANDARD) [id:10625700] | Guerschon Yabusele UNDER PRA 14.5 (STANDARD) [id:10641116] | Jaylen Brown OVER PRA 36.5 (DEMON) [id:10620959],0.04,0.054,0.0009098661477677208,0.09490986614776772,121.51113697381784,"['derrick white', 'jayson tatum', 'josh minott', 'guerschon yabusele', 'jaylen brown']",1,Derrick White OVER REB 2.5 (GOBLIN) [id:10621160],Jayson Tatum OVER PRA 29.5 (GOBLIN) [id:10621360],Josh Minott UNDER PR 15 (STANDARD) [id:10625700],Guerschon Yabusele UNDER PRA 14.5 (STANDARD) [id:10641116],Jaylen Brown OVER PRA 36.5 (DEMON) [id:10620959],0,
5,Deandre Ayton OVER REB 4.5 (GOBLIN) [id:10638528] | Amen Thompson OVER PR 19.5 (GOBLIN) [id:10641587] | Nolan Traore UNDER PA 14.5 (STANDARD) [id:10621844] | Leonard Miller UNDER PA 14.5 (STANDARD) [id:10638434] | Payton Pritchard OVER PRA 25.5 (DEMON) [id:10621042],0.2986353943683081,20.0,1.0,20.0,5.9727078873661625,20.0,atlas,0.7905881583047665,0.060788384033003885,Deandre Ayton OVER REB 4.5 (GOBLIN) [id:10638528] | Amen Thompson OVER PR 19.5 (GOBLIN) [id:10641587] | Nolan Traore UNDER PA 14.5 (STANDARD) [id:10621844] | Leonard Miller UNDER PA 14.5 (STANDARD) [id:10638434] | Payton Pritchard OVER PRA 25.5 (DEMON) [id:10621042],0.0,0.054,0.0006078838403300389,0.05460788384033004,119.3995498634829,"['deandre ayton', 'amen thompson', 'nolan traore', 'leonard miller', 'payton pritchard']",1,Deandre Ayton OVER REB 4.5 (GOBLIN) [id:10638528],Amen Thompson OVER PR 19.5 (GOBLIN) [id:10641587],Nolan Traore UNDER PA 14.5 (STANDARD) [id:10621844],Leonard Miller UNDER PA 14.5 (STANDARD) [id:10638434],Payton Pritchard OVER PRA 25.5 (DEMON) [id:10621042],0,
5,Derrick White OVER PRA 19.5 (GOBLIN) [id:10621329] | Rui Hachimura OVER REB 1.5 (GOBLIN) [id:10618234] | Danny Wolf UNDER RA 10 (STANDARD) [id:10625603] | Josh Minott UNDER PA 11.5 (STANDARD) [id:10634850] | Jaylen Brown OVER PRA 36.5 (DEMON) [id:10620959],0.2757155457297235,20.0,1.0,20.0,5.51431091459447,20.0,atlas,0.7772461329106695,0.08222041916070275,Derrick White OVER PRA 19.5 (GOBLIN) [id:10621329] | Rui Hachimura OVER REB 1.5 (GOBLIN) [id:10618234] | Danny Wolf UNDER RA 10 (STANDARD) [id:10625603] | Josh Minott UNDER PA 11.5 (STANDARD) [id:10634850] | Jaylen Brown OVER PRA 36.5 (DEMON) [id:10620959],0.02,0.054,0.0008222041916070274,0.07482220419160703,110.21139608769779,"['derrick white', 'rui hachimura', 'danny wolf', 'josh minott', 'jaylen brown']",1,Derrick White OVER PRA 19.5 (GOBLIN) [id:10621329],Rui Hachimura OVER REB 1.5 (GOBLIN) [id:10618234],Danny Wolf UNDER RA 10 (STANDARD) [id:10625603],Josh Minott UNDER PA 11.5 (STANDARD) [id:10634850],Jaylen Brown OVER PRA 36.5 (DEMON) [id:10620959],0,
5,Payton Pritchard OVER AST 3.5 (GOBLIN) [id:10620749] | Collin Gillespie OVER PTS 5.5 (GOBLIN) [id:10626377] | Josh Minott UNDER PR 15 (STANDARD) [id:10625700] | Leonard Miller UNDER PTS 12.5 (STANDARD) [id:10638431] | Rui Hachimura OVER REB 2.5 (DEMON) [id:10617737],0.2747325656393469,20.0,1.0,20.0,5.494651312786938,20.0,atlas,0.7775003162752773,0.04647392760437713,Payton Pritchard OVER AST 3.5 (GOBLIN) [id:10620749] | Collin Gillespie OVER PTS 5.5 (GOBLIN) [id:10626377] | Josh Minott UNDER PR 15 (STANDARD) [id:10625700] | Leonard Miller UNDER PTS 12.5 (STANDARD) [id:10638431] | Rui Hachimura OVER REB 2.5 (DEMON) [id:10617737],0.0,0.054,0.0004647392760437713,0.05446473927604377,109.83856151646272,"['payton pritchard', 'collin gillespie', 'josh minott', 'leonard miller', 'rui hachimura']",1,Payton Pritchard OVER AST 3.5 (GOBLIN) [id:10620749],Collin Gillespie OVER PTS 5.5 (GOBLIN) [id:10626377],Josh Minott UNDER PR 15 (STANDARD) [id:10625700],Leonard Miller UNDER PTS 12.5 (STANDARD) [id:10638431],Rui Hachimura OVER REB 2.5 (DEMON) [id:10617737],0,
5,Jaylen Brown OVER PRA 29.5 (GOBLIN) [id:10621351] | Tari Eason OVER REB 3.5 (GOBLIN) [id:10618571] | Brook Lopez UNDER PR 13.5 (STANDARD) [id:10617126] | Derrick Jones UNDER REB 4 (STANDARD) [id:10622116] | Amen Thompson OVER REB 7.5 (DEMON) [id:10618216],0.26408098355268533,20.0,1.0,20.0,5.281619671053707,20.0,atlas,0.768290707630909,0.05331825459383911,Jaylen Brown OVER PRA 29.5 (GOBLIN) [id:10621351] | Tari Eason OVER REB 3.5 (GOBLIN) [id:10618571] | Brook Lopez UNDER PR 13.5 (STANDARD) [id:10617126] | Derrick Jones UNDER REB 4 (STANDARD) [id:10622116] | Amen Thompson OVER REB 7.5 (DEMON) [id:10618216],0.02,0.03,0.0005331825459383912,0.050533182545938395,105.5818602385282,"['jaylen brown', 'tari eason', 'brook lopez', 'derrick jones', 'amen thompson']",1,Jaylen Brown OVER PRA 29.5 (GOBLIN) [id:10621351],Tari Eason OVER REB 3.5 (GOBLIN) [id:10618571],Brook Lopez UNDER PR 13.5 (STANDARD) [id:10617126],Derrick Jones UNDER REB 4 (STANDARD) [id:10622116],Amen Thompson OVER REB 7.5 (DEMON) [id:10618216],0,
5,Jabari Smith OVER REB 4.5 (GOBLIN) [id:10631650] | Josh Giddey OVER RA 14.5 (GOBLIN) [id:10624249] | Payton Pritchard OVER PRA 23.5 (STANDARD) [id:10620756] | Walter Clayton UNDER PTS 11.5 (STANDARD) [id:10624031] | Amen Thompson OVER REB 7.5 (DEMON) [id:10618216],0.23827590719884656,20.0,1.0,20.0,4.765518143976931,20.0,atlas,0.75232193484809,0.08340787422681475,Jabari Smith OVER REB 4.5 (GOBLIN) [id:10631650] | Josh Giddey OVER RA 14.5 (GOBLIN) [id:10624249] | Payton Pritchard OVER PRA 23.5 (STANDARD) [id:10620756] | Walter Clayton UNDER PTS 11.5 (STANDARD) [id:10624031] | Amen Thompson OVER REB 7.5 (DEMON) [id:10618216],0.01,0.03,0.0008340787422681476,0.040834078742268146,95.26952880079637,"['jabari smith', 'josh giddey', 'payton pritchard', 'walter clayton', 'amen thompson']",1,Jabari Smith OVER REB 4.5 (GOBLIN) [id:10631650],Josh Giddey OVER RA 14.5 (GOBLIN) [id:10624249],Payton Pritchard OVER PRA 23.5 (STANDARD) [id:10620756],Walter Clayton UNDER PTS 11.5 (STANDARD) [id:10624031],Amen Thompson OVER REB 7.5 (DEMON) [id:10618216],0,
5,Tari Eason OVER REB 3.5 (GOBLIN) [id:10618571] | Amen Thompson OVER REB 6.5 (GOBLIN) [id:10618818] | Danny Wolf UNDER RA 10 (STANDARD) [id:10625603] | Drake Powell UNDER PA 10.5 (STANDARD) [id:10631541] | Collin Gillespie OVER FG3M 2.5 (DEMON) [id:10620550],0.23206222610011001,20.0,1.0,20.0,4.6412445220022,20.0,atlas,0.7572259572105884,0.03528775686320057,Tari Eason OVER REB 3.5 (GOBLIN) [id:10618571] | Amen Thompson OVER REB 6.5 (GOBLIN) [id:10618818] | Danny Wolf UNDER RA 10 (STANDARD) [id:10625603] | Drake Powell UNDER PA 10.5 (STANDARD) [id:10631541] | Collin Gillespie OVER FG3M 2.5 (DEMON) [id:10620550],0.02,0.012,0.0003528775686320057,0.032352877568632005,92.79253756247537,"['tari eason', 'amen thompson', 'danny wolf', 'drake powell', 'collin gillespie']",1,Tari Eason OVER REB 3.5 (GOBLIN) [id:10618571],Amen Thompson OVER REB 6.5 (GOBLIN) [id:10618818],Danny Wolf UNDER RA 10 (STANDARD) [id:10625603],Drake Powell UNDER PA 10.5 (STANDARD) [id:10631541],Collin Gillespie OVER FG3M 2.5 (DEMON) [id:10620550],0,
