n_legs,legs,hit_prob,ev_mult,avg_p,avg_fragility,slip_key,slip_agreement_score,slip_agreement_tier,slip_tag_set,slip_tag,slip_min_start_utc,slip_has_unknown_start,leg_1,leg_2,leg_3,leg_4,leg_5
5,Desmond Bane OVER PRA 24.5 (GOBLIN) [id:9826185] | Pascal Siakam OVER PTS 19.5 (GOBLIN) [id:9816660] | OG Anunoby OVER FG3M 1.5 (GOBLIN) [id:9816966] | Jalen Brunson UNDER PA 32.5 (STANDARD) [id:9816935] | Yanic Niederhäuser UNDER REB 4 (STANDARD) [id:9824432],0.2282777407673359,1.4092553394488925,0.7565886822635474,0.0003869875438384,Desmond Bane OVER PRA 24.5 (GOBLIN) [id:9826185] | Pascal Siakam OVER PTS 19.5 (GOBLIN) [id:9816660] | OG Anunoby OVER FG3M 1.5 (GOBLIN) [id:9816966] | Jalen Brunson UNDER PA 32.5 (STANDARD) [id:9816935] | Yanic Niederhäuser UNDER REB 4 (STANDARD) [id:9824432],,,,,,,Desmond Bane OVER PRA 24.5 (GOBLIN) [id:9826185],Pascal Siakam OVER PTS 19.5 (GOBLIN) [id:9816660],OG Anunoby OVER FG3M 1.5 (GOBLIN) [id:9816966],Jalen Brunson UNDER PA 32.5 (STANDARD) [id:9816935],Yanic Niederhäuser UNDER REB 4 (STANDARD) [id:9824432]
5,Royce O'Neale OVER FG3M 1.5 (GOBLIN) [id:9817518] | Landry Shamet OVER PRA 10.5 (GOBLIN) [id:9826281] | Jordan Miller OVER REB 1.5 (GOBLIN) [id:9822272] | Andrew Nembhard OVER PRA 26.5 (STANDARD) [id:9816637] | Franz Wagner OVER PTS 14.5 (STANDARD) [id:9823025],0.2317058935423324,1.392194883784631,0.7519896020795841,0.0002525571410531,Royce O'Neale OVER FG3M 1.5 (GOBLIN) [id:9817518] | Landry Shamet OVER PRA 10.5 (GOBLIN) [id:9826281] | Jordan Miller OVER REB 1.5 (GOBLIN) [id:9822272] | Andrew Nembhard OVER PRA 26.5 (STANDARD) [id:9816637] | Franz Wagner OVER PTS 14.5 (STANDARD) [id:9823025],,,,,,,Royce O'Neale OVER FG3M 1.5 (GOBLIN) [id:9817518],Landry Shamet OVER PRA 10.5 (GOBLIN) [id:9826281],Jordan Miller OVER REB 1.5 (GOBLIN) [id:9822272],Andrew Nembhard OVER PRA 26.5 (STANDARD) [id:9816637],Franz Wagner OVER PTS 14.5 (STANDARD) [id:9823025]
5,Jalen Green OVER PTS 7.5 (GOBLIN) [id:9821420] | Kevin Durant OVER RA 7.5 (GOBLIN) [id:9822510] | Collin Gillespie OVER PR 11.5 (GOBLIN) [id:9822366] | Brook Lopez UNDER PR 12.5 (STANDARD) [id:9817173] | Mark Williams UNDER PR 21.5 (STANDARD) [id:9817266],0.20471826412676,1.2467339640720003,0.7305138972205559,0.0010682719394361,Jalen Green OVER PTS 7.5 (GOBLIN) [id:9821420] | Kevin Durant OVER RA 7.5 (GOBLIN) [id:9822510] | Collin Gillespie OVER PR 11.5 (GOBLIN) [id:9822366] | Brook Lopez UNDER PR 12.5 (STANDARD) [id:9817173] | Mark Williams UNDER PR 21.5 (STANDARD) [id:9817266],,,,,,,Jalen Green OVER PTS 7.5 (GOBLIN) [id:9821420],Kevin Durant OVER RA 7.5 (GOBLIN) [id:9822510],Collin Gillespie OVER PR 11.5 (GOBLIN) [id:9822366],Brook Lopez UNDER PR 12.5 (STANDARD) [id:9817173],Mark Williams UNDER PR 21.5 (STANDARD) [id:9817266]
5,Josh Okogie OVER PRA 4.5 (GOBLIN) [id:9826838] | Derrick Jones OVER PR 7.5 (GOBLIN) [id:9825387] | Julian Champagnie OVER PR 9.5 (GOBLIN) [id:9821549] | Karl-Anthony Towns UNDER PTS 20.5 (STANDARD) [id:9817023] | Daniel Gafford UNDER RA 8.5 (STANDARD) [id:9820522],0.2029700070567844,1.2238866274641802,0.7336732653469307,0.0021560865769513,Josh Okogie OVER PRA 4.5 (GOBLIN) [id:9826838] | Derrick Jones OVER PR 7.5 (GOBLIN) [id:9825387] | Julian Champagnie OVER PR 9.5 (GOBLIN) [id:9821549] | Karl-Anthony Towns UNDER PTS 20.5 (STANDARD) [id:9817023] | Daniel Gafford UNDER RA 8.5 (STANDARD) [id:9820522],,,,,,,Josh Okogie OVER PRA 4.5 (GOBLIN) [id:9826838],Derrick Jones OVER PR 7.5 (GOBLIN) [id:9825387],Julian Champagnie OVER PR 9.5 (GOBLIN) [id:9821549],Karl-Anthony Towns UNDER PTS 20.5 (STANDARD) [id:9817023],Daniel Gafford UNDER RA 8.5 (STANDARD) [id:9820522]
5,Pascal Siakam OVER PA 19.5 (GOBLIN) [id:9819758] | Royce O'Neale OVER AST 1.5 (GOBLIN) [id:9817520] | Harrison Barnes OVER PTS 4.5 (GOBLIN) [id:9821484] | De'Aaron Fox OVER PTS 17.5 (STANDARD) [id:9818565] | John Collins OVER PA 13.5 (STANDARD) [id:9821806],0.2107799598797496,1.1926890424684775,0.7610677864427114,4.121586810924049e-05,Pascal Siakam OVER PA 19.5 (GOBLIN) [id:9819758] | Royce O'Neale OVER AST 1.5 (GOBLIN) [id:9817520] | Harrison Barnes OVER PTS 4.5 (GOBLIN) [id:9821484] | De'Aaron Fox OVER PTS 17.5 (STANDARD) [id:9818565] | John Collins OVER PA 13.5 (STANDARD) [id:9821806],,,,,,,Pascal Siakam OVER PA 19.5 (GOBLIN) [id:9819758],Royce O'Neale OVER AST 1.5 (GOBLIN) [id:9817520],Harrison Barnes OVER PTS 4.5 (GOBLIN) [id:9821484],De'Aaron Fox OVER PTS 17.5 (STANDARD) [id:9818565],John Collins OVER PA 13.5 (STANDARD) [id:9821806]
5,Jay Huff OVER AST 0.5 (GOBLIN) [id:9825652] | Tari Eason OVER PRA 17.5 (GOBLIN) [id:9826765] | Bennedict Mathurin OVER PTS 10.5 (GOBLIN) [id:9821685] | Paolo Banchero OVER PA 25.5 (STANDARD) [id:9823117] | Franz Wagner OVER PR 17.5 (STANDARD) [id:9823027],0.1898254593153314,1.1682906491833909,0.7209158168366326,0.0002404135112393,Jay Huff OVER AST 0.5 (GOBLIN) [id:9825652] | Tari Eason OVER PRA 17.5 (GOBLIN) [id:9826765] | Bennedict Mathurin OVER PTS 10.5 (GOBLIN) [id:9821685] | Paolo Banchero OVER PA 25.5 (STANDARD) [id:9823117] | Franz Wagner OVER PR 17.5 (STANDARD) [id:9823027],,,,,,,Jay Huff OVER AST 0.5 (GOBLIN) [id:9825652],Tari Eason OVER PRA 17.5 (GOBLIN) [id:9826765],Bennedict Mathurin OVER PTS 10.5 (GOBLIN) [id:9821685],Paolo Banchero OVER PA 25.5 (STANDARD) [id:9823117],Franz Wagner OVER PR 17.5 (STANDARD) [id:9823027]
5,Devin Vassell OVER REB 2.5 (GOBLIN) [id:9821520] | Kevin Durant OVER PRA 31.5 (GOBLIN) [id:9821616] | Luka Dončić OVER AST 6.5 (GOBLIN) [id:9822806] | Jalen Brunson UNDER PRA 36 (STANDARD) [id:9817123] | Jarace Walker UNDER PR 18.5 (STANDARD) [id:9816647],0.1919616620320212,1.163099854516245,0.7216356728654268,0.0,Devin Vassell OVER REB 2.5 (GOBLIN) [id:9821520] | Kevin Durant OVER PRA 31.5 (GOBLIN) [id:9821616] | Luka Dončić OVER AST 6.5 (GOBLIN) [id:9822806] | Jalen Brunson UNDER PRA 36 (STANDARD) [id:9817123] | Jarace Walker UNDER PR 18.5 (STANDARD) [id:9816647],,,,,,,Devin Vassell OVER REB 2.5 (GOBLIN) [id:9821520],Kevin Durant OVER PRA 31.5 (GOBLIN) [id:9821616],Luka Dončić OVER AST 6.5 (GOBLIN) [id:9822806],Jalen Brunson UNDER PRA 36 (STANDARD) [id:9817123],Jarace Walker UNDER PR 18.5 (STANDARD) [id:9816647]
5,Devin Booker OVER PR 24.5 (GOBLIN) [id:9821408] | OG Anunoby OVER PRA 22.5 (GOBLIN) [id:9819494] | Mikal Bridges OVER PR 14.5 (GOBLIN) [id:9819847] | Brook Lopez UNDER PRA 14.5 (STANDARD) [id:9817174] | De'Aaron Fox OVER RA 9.5 (STANDARD) [id:9818571],0.1857676130139035,1.1443660206694266,0.7151969606078785,0.0004654169360051,Devin Booker OVER PR 24.5 (GOBLIN) [id:9821408] | OG Anunoby OVER PRA 22.5 (GOBLIN) [id:9819494] | Mikal Bridges OVER PR 14.5 (GOBLIN) [id:9819847] | Brook Lopez UNDER PRA 14.5 (STANDARD) [id:9817174] | De'Aaron Fox OVER RA 9.5 (STANDARD) [id:9818571],,,,,,,Devin Booker OVER PR 24.5 (GOBLIN) [id:9821408],OG Anunoby OVER PRA 22.5 (GOBLIN) [id:9819494],Mikal Bridges OVER PR 14.5 (GOBLIN) [id:9819847],Brook Lopez UNDER PRA 14.5 (STANDARD) [id:9817174],De'Aaron Fox OVER RA 9.5 (STANDARD) [id:9818571]
5,Devin Vassell OVER REB 2.5 (GOBLIN) [id:9821520] | John Collins OVER FG3M 0.5 (GOBLIN) [id:9817662] | Victor Wembanyama OVER PR 29.5 (GOBLIN) [id:9821576] | Luka Dončić UNDER REB 7.5 (STANDARD) [id:9822830] | Jalen Brunson UNDER PA 32.5 (STANDARD) [id:9816935],0.184721659787907,1.1084808826164043,0.7213157368526295,0.0034902744955462,Devin Vassell OVER REB 2.5 (GOBLIN) [id:9821520] | John Collins OVER FG3M 0.5 (GOBLIN) [id:9817662] | Victor Wembanyama OVER PR 29.5 (GOBLIN) [id:9821576] | Luka Dončić UNDER REB 7.5 (STANDARD) [id:9822830] | Jalen Brunson UNDER PA 32.5 (STANDARD) [id:9816935],,,,,,,Devin Vassell OVER REB 2.5 (GOBLIN) [id:9821520],John Collins OVER FG3M 0.5 (GOBLIN) [id:9817662],Victor Wembanyama OVER PR 29.5 (GOBLIN) [id:9821576],Luka Dončić UNDER REB 7.5 (STANDARD) [id:9822830],Jalen Brunson UNDER PA 32.5 (STANDARD) [id:9816935]
5,Pascal Siakam OVER PTS 19.5 (GOBLIN) [id:9816660] | Julian Champagnie OVER PTS 5.5 (GOBLIN) [id:9821546] | Jordan Miller OVER PRA 10.5 (GOBLIN) [id:9822268] | Jalen Green UNDER PR 14.5 (STANDARD) [id:9817242] | Tari Eason UNDER PTS 12.5 (STANDARD) [id:9820410],0.1877969771959627,1.0997884183631608,0.7324335132973406,0.0033025872904339,Pascal Siakam OVER PTS 19.5 (GOBLIN) [id:9816660] | Julian Champagnie OVER PTS 5.5 (GOBLIN) [id:9821546] | Jordan Miller OVER PRA 10.5 (GOBLIN) [id:9822268] | Jalen Green UNDER PR 14.5 (STANDARD) [id:9817242] | Tari Eason UNDER PTS 12.5 (STANDARD) [id:9820410],,,,,,,Pascal Siakam OVER PTS 19.5 (GOBLIN) [id:9816660],Julian Champagnie OVER PTS 5.5 (GOBLIN) [id:9821546],Jordan Miller OVER PRA 10.5 (GOBLIN) [id:9822268],Jalen Green UNDER PR 14.5 (STANDARD) [id:9817242],Tari Eason UNDER PTS 12.5 (STANDARD) [id:9820410]
