n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Keyonte George OVER AST 3.5 (GOBLIN) [id:10425508] | John Konchar UNDER PR 10.5 (STANDARD) [id:10428149] | Quentin Grimes UNDER PA 24.5 (STANDARD) [id:10425115] | Shai Gilgeous-Alexander OVER PRA 46.5 (DEMON) [id:10427521],0.3157160405225511,10.0,1.0,10.0,3.157160405225511,10.0,atlas,0.7522982763727324,0.0634402985279497,Keyonte George OVER AST 3.5 (GOBLIN) [id:10425508] | John Konchar UNDER PR 10.5 (STANDARD) [id:10428149] | Quentin Grimes UNDER PA 24.5 (STANDARD) [id:10425115] | Shai Gilgeous-Alexander OVER PRA 46.5 (DEMON) [id:10427521],0.01,0.054,0.000634402985279497,0.0646344029852795,31.506969649269827,"['keyonte george', 'john konchar', 'quentin grimes', 'shai gilgeous-alexander']",1,Keyonte George OVER AST 3.5 (GOBLIN) [id:10425508],John Konchar UNDER PR 10.5 (STANDARD) [id:10428149],Quentin Grimes UNDER PA 24.5 (STANDARD) [id:10425115],Shai Gilgeous-Alexander OVER PRA 46.5 (DEMON) [id:10427521],0,
4,Shai Gilgeous-Alexander OVER PA 34.5 (GOBLIN) [id:10427810] | Gui Santos UNDER PR 22 (STANDARD) [id:10424694] | Jabari Walker UNDER PRA 16.5 (STANDARD) [id:10430270] | Noah Clowney OVER AST 1.5 (DEMON) [id:10426335],0.3150459671219609,10.0,1.0,10.0,3.1504596712196093,10.0,atlas,0.7650322629771814,0.06091155227124531,Shai Gilgeous-Alexander OVER PA 34.5 (GOBLIN) [id:10427810] | Gui Santos UNDER PR 22 (STANDARD) [id:10424694] | Jabari Walker UNDER PRA 16.5 (STANDARD) [id:10430270] | Noah Clowney OVER AST 1.5 (DEMON) [id:10426335],0.0,0.054,0.0006091155227124531,0.05460911552271245,31.44998759667338,"['shai gilgeous-alexander', 'gui santos', 'jabari walker', 'noah clowney']",1,Shai Gilgeous-Alexander OVER PA 34.5 (GOBLIN) [id:10427810],Gui Santos UNDER PR 22 (STANDARD) [id:10424694],Jabari Walker UNDER PRA 16.5 (STANDARD) [id:10430270],Noah Clowney OVER AST 1.5 (DEMON) [id:10426335],0,
4,Jonas Valančiūnas OVER PR 4.5 (GOBLIN) [id:10431710] | Jabari Walker UNDER PA 10.5 (STANDARD) [id:10430268] | Quentin Grimes UNDER PA 24.5 (STANDARD) [id:10425115] | Aaron Gordon OVER PRA 21.5 (DEMON) [id:10427255],0.31377110530436453,10.0,1.0,10.0,3.1377110530436454,10.0,atlas,0.7604890598034353,0.0698613790321457,Jonas Valančiūnas OVER PR 4.5 (GOBLIN) [id:10431710] | Jabari Walker UNDER PA 10.5 (STANDARD) [id:10430268] | Quentin Grimes UNDER PA 24.5 (STANDARD) [id:10425115] | Aaron Gordon OVER PRA 21.5 (DEMON) [id:10427255],0.02,0.054,0.0006986137903214571,0.07469861379032146,31.302411916646133,"['jonas valančiūnas', 'jabari walker', 'quentin grimes', 'aaron gordon']",1,Jonas Valančiūnas OVER PR 4.5 (GOBLIN) [id:10431710],Jabari Walker UNDER PA 10.5 (STANDARD) [id:10430268],Quentin Grimes UNDER PA 24.5 (STANDARD) [id:10425115],Aaron Gordon OVER PRA 21.5 (DEMON) [id:10427255],0,
4,Shai Gilgeous-Alexander OVER PTS 24.5 (GOBLIN) [id:10427513] | Jabari Walker UNDER PRA 16.5 (STANDARD) [id:10430270] | John Konchar UNDER PA 8.5 (STANDARD) [id:10428148] | Aaron Gordon OVER REB 5.5 (DEMON) [id:10427258],0.31251687171394305,10.0,1.0,10.0,3.1251687171394305,10.0,atlas,0.7645382061534074,0.0543873259503469,Shai Gilgeous-Alexander OVER PTS 24.5 (GOBLIN) [id:10427513] | Jabari Walker UNDER PRA 16.5 (STANDARD) [id:10430270] | John Konchar UNDER PA 8.5 (STANDARD) [id:10428148] | Aaron Gordon OVER REB 5.5 (DEMON) [id:10427258],0.0,0.024,0.000543873259503469,0.024543873259503468,31.227143298134802,"['shai gilgeous-alexander', 'jabari walker', 'john konchar', 'aaron gordon']",1,Shai Gilgeous-Alexander OVER PTS 24.5 (GOBLIN) [id:10427513],Jabari Walker UNDER PRA 16.5 (STANDARD) [id:10430270],John Konchar UNDER PA 8.5 (STANDARD) [id:10428148],Aaron Gordon OVER REB 5.5 (DEMON) [id:10427258],0,
4,Cameron Johnson OVER PTS 5.5 (GOBLIN) [id:10435910] | Quentin Grimes UNDER PA 24.5 (STANDARD) [id:10425115] | Nolan Traore UNDER PA 19.5 (STANDARD) [id:10426362] | Shai Gilgeous-Alexander OVER PR 39.5 (DEMON) [id:10427817],0.3091677796657881,10.0,1.0,10.0,3.0916777966578812,10.0,atlas,0.7528340958268063,0.06129643194917539,Cameron Johnson OVER PTS 5.5 (GOBLIN) [id:10435910] | Quentin Grimes UNDER PA 24.5 (STANDARD) [id:10425115] | Nolan Traore UNDER PA 19.5 (STANDARD) [id:10426362] | Shai Gilgeous-Alexander OVER PR 39.5 (DEMON) [id:10427817],0.0,0.054,0.0006129643194917539,0.05461296431949175,30.86216500225932,"['cameron johnson', 'quentin grimes', 'nolan traore', 'shai gilgeous-alexander']",1,Cameron Johnson OVER PTS 5.5 (GOBLIN) [id:10435910],Quentin Grimes UNDER PA 24.5 (STANDARD) [id:10425115],Nolan Traore UNDER PA 19.5 (STANDARD) [id:10426362],Shai Gilgeous-Alexander OVER PR 39.5 (DEMON) [id:10427817],0,
4,Bennedict Mathurin OVER PTS 9.5 (GOBLIN) [id:10423825] | Nolan Traore UNDER PA 19.5 (STANDARD) [id:10426362] | Jabari Walker UNDER PA 10.5 (STANDARD) [id:10430268] | Jamal Murray OVER AST 6.5 (DEMON) [id:10427411],0.28591692370968674,10.0,1.0,10.0,2.8591692370968675,10.0,atlas,0.7457293438792388,0.05195652944841064,Bennedict Mathurin OVER PTS 9.5 (GOBLIN) [id:10423825] | Nolan Traore UNDER PA 19.5 (STANDARD) [id:10426362] | Jabari Walker UNDER PA 10.5 (STANDARD) [id:10430268] | Jamal Murray OVER AST 6.5 (DEMON) [id:10427411],0.0,0.054,0.0005195652944841064,0.0545195652944841,28.53717280567419,"['bennedict mathurin', 'nolan traore', 'jabari walker', 'jamal murray']",1,Bennedict Mathurin OVER PTS 9.5 (GOBLIN) [id:10423825],Nolan Traore UNDER PA 19.5 (STANDARD) [id:10426362],Jabari Walker UNDER PA 10.5 (STANDARD) [id:10430268],Jamal Murray OVER AST 6.5 (DEMON) [id:10427411],0,
4,James Harden OVER PTS 16.5 (GOBLIN) [id:10429038] | John Konchar UNDER PA 8.5 (STANDARD) [id:10428148] | GG Jackson UNDER PR 26 (STANDARD) [id:10426290] | Aaron Gordon OVER PRA 21.5 (DEMON) [id:10427255],0.26208549209833293,10.0,1.0,10.0,2.620854920983329,10.0,atlas,0.7241625288091567,0.06292770962792252,James Harden OVER PTS 16.5 (GOBLIN) [id:10429038] | John Konchar UNDER PA 8.5 (STANDARD) [id:10428148] | GG Jackson UNDER PR 26 (STANDARD) [id:10426290] | Aaron Gordon OVER PRA 21.5 (DEMON) [id:10427255],0.0,0.054,0.0006292770962792252,0.054629277096279225,26.153919932737015,"['james harden', 'john konchar', 'gg jackson', 'aaron gordon']",1,James Harden OVER PTS 16.5 (GOBLIN) [id:10429038],John Konchar UNDER PA 8.5 (STANDARD) [id:10428148],GG Jackson UNDER PR 26 (STANDARD) [id:10426290],Aaron Gordon OVER PRA 21.5 (DEMON) [id:10427255],0,
4,Darius Garland OVER PA 14.5 (GOBLIN) [id:10424229] | Gui Santos UNDER PRA 25.5 (STANDARD) [id:10424695] | Nolan Traore UNDER RA 8.5 (STANDARD) [id:10426366] | Jonas Valančiūnas OVER PR 11.5 (DEMON) [id:10428437],0.2592602134580641,10.0,1.0,10.0,2.592602134580641,10.0,atlas,0.7260101901155736,0.06897563852407781,Darius Garland OVER PA 14.5 (GOBLIN) [id:10424229] | Gui Santos UNDER PRA 25.5 (STANDARD) [id:10424695] | Nolan Traore UNDER RA 8.5 (STANDARD) [id:10426366] | Jonas Valančiūnas OVER PR 11.5 (DEMON) [id:10428437],0.0,0.054,0.0006897563852407781,0.054689756385240776,25.87133158942117,"['darius garland', 'gui santos', 'nolan traore', 'jonas valančiūnas']",1,Darius Garland OVER PA 14.5 (GOBLIN) [id:10424229],Gui Santos UNDER PRA 25.5 (STANDARD) [id:10424695],Nolan Traore UNDER RA 8.5 (STANDARD) [id:10426366],Jonas Valančiūnas OVER PR 11.5 (DEMON) [id:10428437],0,
4,Jonas Valančiūnas OVER PR 4.5 (GOBLIN) [id:10431710] | Quentin Grimes UNDER PR 23.5 (STANDARD) [id:10425116] | John Konchar UNDER RA 8.5 (STANDARD) [id:10436140] | Aaron Gordon OVER RA 7.5 (DEMON) [id:10427263],0.2585458225071674,10.0,1.0,10.0,2.585458225071674,10.0,atlas,0.7267115835266977,0.07126280617805379,Jonas Valančiūnas OVER PR 4.5 (GOBLIN) [id:10431710] | Quentin Grimes UNDER PR 23.5 (STANDARD) [id:10425116] | John Konchar UNDER RA 8.5 (STANDARD) [id:10436140] | Aaron Gordon OVER RA 7.5 (DEMON) [id:10427263],0.01,0.054,0.0007126280617805379,0.06471262806178053,25.789869622654958,"['jonas valančiūnas', 'quentin grimes', 'john konchar', 'aaron gordon']",1,Jonas Valančiūnas OVER PR 4.5 (GOBLIN) [id:10431710],Quentin Grimes UNDER PR 23.5 (STANDARD) [id:10425116],John Konchar UNDER RA 8.5 (STANDARD) [id:10436140],Aaron Gordon OVER RA 7.5 (DEMON) [id:10427263],0,
4,Josh Hart OVER RA 8.5 (GOBLIN) [id:10426028] | GG Jackson UNDER PRA 28.5 (STANDARD) [id:10426291] | Gui Santos UNDER PA 18.5 (STANDARD) [id:10424693] | Keyonte George OVER RA 8.5 (DEMON) [id:10425526],0.2548093845689168,10.0,1.0,10.0,2.5480938456891677,10.0,atlas,0.7224343640211159,0.06884150715639366,Josh Hart OVER RA 8.5 (GOBLIN) [id:10426028] | GG Jackson UNDER PRA 28.5 (STANDARD) [id:10426291] | Gui Santos UNDER PA 18.5 (STANDARD) [id:10424693] | Keyonte George OVER RA 8.5 (DEMON) [id:10425526],0.0,0.054,0.0006884150715639366,0.05468841507156394,25.426250041820115,"['josh hart', 'gg jackson', 'gui santos', 'keyonte george']",1,Josh Hart OVER RA 8.5 (GOBLIN) [id:10426028],GG Jackson UNDER PRA 28.5 (STANDARD) [id:10426291],Gui Santos UNDER PA 18.5 (STANDARD) [id:10424693],Keyonte George OVER RA 8.5 (DEMON) [id:10425526],0,
