n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Shai Gilgeous-Alexander OVER PR 29.5 (GOBLIN) [id:10428368] | James Harden OVER AST 5.5 (GOBLIN) [id:10439352] | Darius Garland OVER PTS 11.5 (GOBLIN) [id:10424227] | Nolan Traore UNDER AST 6 (STANDARD) [id:10431570] | Brandin Podziemski UNDER PR 24.5 (STANDARD) [id:10424625],0.33568942953241393,20.0,1.0,20.0,6.713788590648279,20.0,atlas,0.8069644710844777,0.06262170965166727,Shai Gilgeous-Alexander OVER PR 29.5 (GOBLIN) [id:10428368] | James Harden OVER AST 5.5 (GOBLIN) [id:10439352] | Darius Garland OVER PTS 11.5 (GOBLIN) [id:10424227] | Nolan Traore UNDER AST 6 (STANDARD) [id:10431570] | Brandin Podziemski UNDER PR 24.5 (STANDARD) [id:10424625],0.0,0.096,0.0006262170965166728,0.09662621709651667,134.17914559586904,"['shai gilgeous-alexander', 'james harden', 'darius garland', 'nolan traore', 'brandin podziemski']",1,Shai Gilgeous-Alexander OVER PR 29.5 (GOBLIN) [id:10428368],James Harden OVER AST 5.5 (GOBLIN) [id:10439352],Darius Garland OVER PTS 11.5 (GOBLIN) [id:10424227],Nolan Traore UNDER AST 6 (STANDARD) [id:10431570],Brandin Podziemski UNDER PR 24.5 (STANDARD) [id:10424625],0,
5,Darius Garland OVER PTS 9.5 (GOBLIN) [id:10423839] | Jonas Valančiūnas OVER PR 7.5 (GOBLIN) [id:10428439] | James Harden OVER PTS 17.5 (GOBLIN) [id:10429039] | Gui Santos UNDER PTS 15.5 (STANDARD) [id:10424692] | Quentin Grimes UNDER PA 24.5 (STANDARD) [id:10425115],0.3092170526292169,20.0,1.0,20.0,6.184341052584338,20.0,atlas,0.7920886178148517,0.060974032748975324,Darius Garland OVER PTS 9.5 (GOBLIN) [id:10423839] | Jonas Valančiūnas OVER PR 7.5 (GOBLIN) [id:10428439] | James Harden OVER PTS 17.5 (GOBLIN) [id:10429039] | Gui Santos UNDER PTS 15.5 (STANDARD) [id:10424692] | Quentin Grimes UNDER PA 24.5 (STANDARD) [id:10425115],0.0,0.096,0.0006097403274897532,0.09660974032748976,123.59021131135927,"['darius garland', 'jonas valančiūnas', 'james harden', 'gui santos', 'quentin grimes']",1,Darius Garland OVER PTS 9.5 (GOBLIN) [id:10423839],Jonas Valančiūnas OVER PR 7.5 (GOBLIN) [id:10428439],James Harden OVER PTS 17.5 (GOBLIN) [id:10429039],Gui Santos UNDER PTS 15.5 (STANDARD) [id:10424692],Quentin Grimes UNDER PA 24.5 (STANDARD) [id:10425115],0,
5,Dennis Schröder OVER REB 1.5 (GOBLIN) [id:10429284] | Shai Gilgeous-Alexander OVER RA 8.5 (GOBLIN) [id:10427527] | Josh Hart OVER PA 11.5 (GOBLIN) [id:10427043] | Gui Santos UNDER PTS 15.5 (STANDARD) [id:10424692] | GG Jackson UNDER PR 26 (STANDARD) [id:10426290],0.30885733192884796,20.0,1.0,20.0,6.177146638576959,20.0,atlas,0.7921635679717489,0.06651020840969779,Dennis Schröder OVER REB 1.5 (GOBLIN) [id:10429284] | Shai Gilgeous-Alexander OVER RA 8.5 (GOBLIN) [id:10427527] | Josh Hart OVER PA 11.5 (GOBLIN) [id:10427043] | Gui Santos UNDER PTS 15.5 (STANDARD) [id:10424692] | GG Jackson UNDER PR 26 (STANDARD) [id:10426290],0.0,0.054,0.000665102084096978,0.05466510208409698,123.48826766945508,"['dennis schröder', 'shai gilgeous-alexander', 'josh hart', 'gui santos', 'gg jackson']",1,Dennis Schröder OVER REB 1.5 (GOBLIN) [id:10429284],Shai Gilgeous-Alexander OVER RA 8.5 (GOBLIN) [id:10427527],Josh Hart OVER PA 11.5 (GOBLIN) [id:10427043],Gui Santos UNDER PTS 15.5 (STANDARD) [id:10424692],GG Jackson UNDER PR 26 (STANDARD) [id:10426290],0,
5,Bennedict Mathurin OVER FG3M 0.5 (GOBLIN) [id:10423823] | Luguentz Dort OVER PTS 5.5 (GOBLIN) [id:10427750] | Darius Garland OVER PTS 9.5 (GOBLIN) [id:10423839] | Nolan Traore UNDER PRA 21.5 (STANDARD) [id:10426364] | Quentin Grimes UNDER PR 23.5 (STANDARD) [id:10425116],0.30831674702608225,20.0,1.0,20.0,6.166334940521645,20.0,atlas,0.7912052846993083,0.06313163209987069,Bennedict Mathurin OVER FG3M 0.5 (GOBLIN) [id:10423823] | Luguentz Dort OVER PTS 5.5 (GOBLIN) [id:10427750] | Darius Garland OVER PTS 9.5 (GOBLIN) [id:10423839] | Nolan Traore UNDER PRA 21.5 (STANDARD) [id:10426364] | Quentin Grimes UNDER PR 23.5 (STANDARD) [id:10425116],0.01,0.054,0.0006313163209987069,0.06463131632099871,123.2620674941119,"['bennedict mathurin', 'luguentz dort', 'darius garland', 'nolan traore', 'quentin grimes']",1,Bennedict Mathurin OVER FG3M 0.5 (GOBLIN) [id:10423823],Luguentz Dort OVER PTS 5.5 (GOBLIN) [id:10427750],Darius Garland OVER PTS 9.5 (GOBLIN) [id:10423839],Nolan Traore UNDER PRA 21.5 (STANDARD) [id:10426364],Quentin Grimes UNDER PR 23.5 (STANDARD) [id:10425116],0,
5,Darius Garland OVER PA 14.5 (GOBLIN) [id:10424229] | Josh Hart OVER PA 11.5 (GOBLIN) [id:10427043] | Shai Gilgeous-Alexander OVER RA 9.5 (GOBLIN) [id:10428414] | Nolan Traore UNDER PRA 21.5 (STANDARD) [id:10426364] | Adem Bona UNDER RA 8 (STANDARD) [id:10425061],0.3028353564984446,20.0,1.0,20.0,6.056707129968892,20.0,atlas,0.7879880523736159,0.08048671347165759,Darius Garland OVER PA 14.5 (GOBLIN) [id:10424229] | Josh Hart OVER PA 11.5 (GOBLIN) [id:10427043] | Shai Gilgeous-Alexander OVER RA 9.5 (GOBLIN) [id:10428414] | Nolan Traore UNDER PRA 21.5 (STANDARD) [id:10426364] | Adem Bona UNDER RA 8 (STANDARD) [id:10425061],0.0,0.096,0.0008048671347165759,0.09680486713471657,121.03733773224313,"['darius garland', 'josh hart', 'shai gilgeous-alexander', 'nolan traore', 'adem bona']",1,Darius Garland OVER PA 14.5 (GOBLIN) [id:10424229],Josh Hart OVER PA 11.5 (GOBLIN) [id:10427043],Shai Gilgeous-Alexander OVER RA 9.5 (GOBLIN) [id:10428414],Nolan Traore UNDER PRA 21.5 (STANDARD) [id:10426364],Adem Bona UNDER RA 8 (STANDARD) [id:10425061],0,
5,Keyonte George OVER AST 3.5 (GOBLIN) [id:10425508] | James Harden OVER FG3M 1.5 (GOBLIN) [id:10428530] | Shai Gilgeous-Alexander OVER PR 29.5 (GOBLIN) [id:10428368] | De'Anthony Melton UNDER PA 20.5 (STANDARD) [id:10424658] | Gui Santos UNDER PRA 25.5 (STANDARD) [id:10424695],0.3015346137265635,20.0,1.0,20.0,6.03069227453127,20.0,atlas,0.7911856479803803,0.06774579642059583,Keyonte George OVER AST 3.5 (GOBLIN) [id:10425508] | James Harden OVER FG3M 1.5 (GOBLIN) [id:10428530] | Shai Gilgeous-Alexander OVER PR 29.5 (GOBLIN) [id:10428368] | De'Anthony Melton UNDER PA 20.5 (STANDARD) [id:10424658] | Gui Santos UNDER PRA 25.5 (STANDARD) [id:10424695],0.01,0.054,0.0006774579642059584,0.06467745796420596,120.54916803266119,"['keyonte george', 'james harden', 'shai gilgeous-alexander', ""de'anthony melton"", 'gui santos']",1,Keyonte George OVER AST 3.5 (GOBLIN) [id:10425508],James Harden OVER FG3M 1.5 (GOBLIN) [id:10428530],Shai Gilgeous-Alexander OVER PR 29.5 (GOBLIN) [id:10428368],De'Anthony Melton UNDER PA 20.5 (STANDARD) [id:10424658],Gui Santos UNDER PRA 25.5 (STANDARD) [id:10424695],0,
5,Luguentz Dort OVER PTS 5.5 (GOBLIN) [id:10427750] | OG Anunoby OVER PTS 11.5 (GOBLIN) [id:10424582] | Evan Mobley OVER AST 1.5 (GOBLIN) [id:10428524] | Olivier-Maxence Prosper UNDER REB 7 (STANDARD) [id:10426381] | Jabari Walker UNDER PTS 9 (STANDARD) [id:10430267],0.28886540379522985,20.0,1.0,20.0,5.777308075904597,20.0,atlas,0.7815688822123432,0.052804403369472376,Luguentz Dort OVER PTS 5.5 (GOBLIN) [id:10427750] | OG Anunoby OVER PTS 11.5 (GOBLIN) [id:10424582] | Evan Mobley OVER AST 1.5 (GOBLIN) [id:10428524] | Olivier-Maxence Prosper UNDER REB 7 (STANDARD) [id:10426381] | Jabari Walker UNDER PTS 9 (STANDARD) [id:10430267],0.0,0.054,0.0005280440336947237,0.054528044033694725,115.49163347405825,"['luguentz dort', 'og anunoby', 'evan mobley', 'olivier-maxence prosper', 'jabari walker']",1,Luguentz Dort OVER PTS 5.5 (GOBLIN) [id:10427750],OG Anunoby OVER PTS 11.5 (GOBLIN) [id:10424582],Evan Mobley OVER AST 1.5 (GOBLIN) [id:10428524],Olivier-Maxence Prosper UNDER REB 7 (STANDARD) [id:10426381],Jabari Walker UNDER PTS 9 (STANDARD) [id:10430267],0,
5,Cameron Johnson OVER PTS 5.5 (GOBLIN) [id:10435910] | Chet Holmgren OVER REB 7.5 (GOBLIN) [id:10427595] | Luguentz Dort OVER PR 9.5 (GOBLIN) [id:10427806] | Jabari Walker UNDER PA 10.5 (STANDARD) [id:10430268] | Quentin Grimes UNDER PTS 19 (STANDARD) [id:10425114],0.2781261946536304,20.0,1.0,20.0,5.562523893072608,20.0,atlas,0.775942520596581,0.06195695742267242,Cameron Johnson OVER PTS 5.5 (GOBLIN) [id:10435910] | Chet Holmgren OVER REB 7.5 (GOBLIN) [id:10427595] | Luguentz Dort OVER PR 9.5 (GOBLIN) [id:10427806] | Jabari Walker UNDER PA 10.5 (STANDARD) [id:10430268] | Quentin Grimes UNDER PTS 19 (STANDARD) [id:10425114],0.02,0.054,0.0006195695742267242,0.07461956957422672,111.17585829187794,"['cameron johnson', 'chet holmgren', 'luguentz dort', 'jabari walker', 'quentin grimes']",1,Cameron Johnson OVER PTS 5.5 (GOBLIN) [id:10435910],Chet Holmgren OVER REB 7.5 (GOBLIN) [id:10427595],Luguentz Dort OVER PR 9.5 (GOBLIN) [id:10427806],Jabari Walker UNDER PA 10.5 (STANDARD) [id:10430268],Quentin Grimes UNDER PTS 19 (STANDARD) [id:10425114],0,
5,Aaron Gordon OVER PR 14.5 (GOBLIN) [id:10427822] | James Harden OVER AST 5.5 (GOBLIN) [id:10439352] | Cameron Johnson OVER PTS 5.5 (GOBLIN) [id:10435910] | Gui Santos UNDER PRA 25.5 (STANDARD) [id:10424695] | Jaylin Williams UNDER AST 4 (STANDARD) [id:10427598],0.2708334358815363,20.0,1.0,20.0,5.416668717630726,20.0,atlas,0.7708712855605735,0.060452652179092084,Aaron Gordon OVER PR 14.5 (GOBLIN) [id:10427822] | James Harden OVER AST 5.5 (GOBLIN) [id:10439352] | Cameron Johnson OVER PTS 5.5 (GOBLIN) [id:10435910] | Gui Santos UNDER PRA 25.5 (STANDARD) [id:10424695] | Jaylin Williams UNDER AST 4 (STANDARD) [id:10427598],0.01,0.096,0.0006045265217909209,0.10660452652179092,108.22676982609273,"['aaron gordon', 'james harden', 'cameron johnson', 'gui santos', 'jaylin williams']",1,Aaron Gordon OVER PR 14.5 (GOBLIN) [id:10427822],James Harden OVER AST 5.5 (GOBLIN) [id:10439352],Cameron Johnson OVER PTS 5.5 (GOBLIN) [id:10435910],Gui Santos UNDER PRA 25.5 (STANDARD) [id:10424695],Jaylin Williams UNDER AST 4 (STANDARD) [id:10427598],0,
5,Jonas Valančiūnas OVER PR 4.5 (GOBLIN) [id:10431710] | Noah Clowney OVER AST 0.5 (GOBLIN) [id:10426543] | Josh Hart OVER PRA 17.5 (GOBLIN) [id:10436043] | Kyle Filipowski UNDER PRA 27.5 (STANDARD) [id:10424730] | Jaylin Williams UNDER AST 4 (STANDARD) [id:10427598],0.26503855720724456,20.0,1.0,20.0,5.300771144144891,20.0,atlas,0.7687118596651048,0.07264006316324594,Jonas Valančiūnas OVER PR 4.5 (GOBLIN) [id:10431710] | Noah Clowney OVER AST 0.5 (GOBLIN) [id:10426543] | Josh Hart OVER PRA 17.5 (GOBLIN) [id:10436043] | Kyle Filipowski UNDER PRA 27.5 (STANDARD) [id:10424730] | Jaylin Williams UNDER AST 4 (STANDARD) [id:10427598],0.0,0.096,0.0007264006316324593,0.09672640063163246,105.91869648226618,"['jonas valančiūnas', 'noah clowney', 'josh hart', 'kyle filipowski', 'jaylin williams']",1,Jonas Valančiūnas OVER PR 4.5 (GOBLIN) [id:10431710],Noah Clowney OVER AST 0.5 (GOBLIN) [id:10426543],Josh Hart OVER PRA 17.5 (GOBLIN) [id:10436043],Kyle Filipowski UNDER PRA 27.5 (STANDARD) [id:10424730],Jaylin Williams UNDER AST 4 (STANDARD) [id:10427598],0,
