n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Royce O'Neale OVER PTS 5.5 (GOBLIN) [id:10461614] | Bam Adebayo UNDER PA 26.5 (STANDARD) [id:10455162] | Malik Monk UNDER PRA 21.5 (STANDARD) [id:10451507] | Scoot Henderson OVER PA 19.5 (DEMON) [id:10454693],0.11195499353486252,10.0,1.3261428714924797,13.261428714924797,1.4846831660424458,10.0,pp_kernel,0.5908411929832753,0.030544670054712442,Royce O'Neale OVER PTS 5.5 (GOBLIN) [id:10461614] | Bam Adebayo UNDER PA 26.5 (STANDARD) [id:10455162] | Malik Monk UNDER PRA 21.5 (STANDARD) [id:10451507] | Scoot Henderson OVER PA 19.5 (DEMON) [id:10454693],0.0,0.054,0.00030544670054712445,0.05430544670054712,19.634714524020204,"[""royce o'neale"", 'bam adebayo', 'malik monk', 'scoot henderson']",19.68901997072075,1,Royce O'Neale OVER PTS 5.5 (GOBLIN) [id:10461614],Bam Adebayo UNDER PA 26.5 (STANDARD) [id:10455162],Malik Monk UNDER PRA 21.5 (STANDARD) [id:10451507],Scoot Henderson OVER PA 19.5 (DEMON) [id:10454693],0,
4,Donovan Clingan OVER PR 17.5 (GOBLIN) [id:10463971] | Robert Williams OVER PRA 14 (STANDARD) [id:10456233] | CJ McCollum OVER PA 22.5 (STANDARD) [id:10448077] | Nickeil Alexander-Walker OVER AST 4.5 (DEMON) [id:10448269],0.14503733894949883,10.0,1.1554422906025594,11.554422906025595,1.6758227513870874,10.0,pp_kernel,0.6404579542045795,0.06874303743140064,Donovan Clingan OVER PR 17.5 (GOBLIN) [id:10463971] | Robert Williams OVER PRA 14 (STANDARD) [id:10456233] | CJ McCollum OVER PA 22.5 (STANDARD) [id:10448077] | Nickeil Alexander-Walker OVER AST 4.5 (DEMON) [id:10448269],0.02,0.054,0.0006874303743140065,0.07468743037431401,19.288477354691484,"['donovan clingan', 'robert williams', 'cj mccollum', 'nickeil alexander-walker']",19.3631647850658,1,Donovan Clingan OVER PR 17.5 (GOBLIN) [id:10463971],Robert Williams OVER PRA 14 (STANDARD) [id:10456233],CJ McCollum OVER PA 22.5 (STANDARD) [id:10448077],Nickeil Alexander-Walker OVER AST 4.5 (DEMON) [id:10448269],0,
4,Toumani Camara OVER RA 4.5 (GOBLIN) [id:10464003] | De'Anthony Melton UNDER PTS 14.5 (STANDARD) [id:10459031] | Jock Landale OVER PRA 15.5 (STANDARD) [id:10464751] | CJ McCollum OVER PRA 30.5 (DEMON) [id:10448922],0.12862164252493594,10.0,1.2314049265202704,12.314049265202705,1.5838532426233523,10.0,pp_kernel,0.6172207916774862,0.05594613031382008,Toumani Camara OVER RA 4.5 (GOBLIN) [id:10464003] | De'Anthony Melton UNDER PTS 14.5 (STANDARD) [id:10459031] | Jock Landale OVER PRA 15.5 (STANDARD) [id:10464751] | CJ McCollum OVER PRA 30.5 (DEMON) [id:10448922],0.01,0.054,0.0005594613031382008,0.06455946130313821,19.439087397211875,"['toumani camara', ""de'anthony melton"", 'jock landale', 'cj mccollum']",19.503646858515012,1,Toumani Camara OVER RA 4.5 (GOBLIN) [id:10464003],De'Anthony Melton UNDER PTS 14.5 (STANDARD) [id:10459031],Jock Landale OVER PRA 15.5 (STANDARD) [id:10464751],CJ McCollum OVER PRA 30.5 (DEMON) [id:10448922],0,
4,Naz Reid OVER PRA 14.5 (GOBLIN) [id:10469116] | Jabari Smith OVER RA 8 (STANDARD) [id:10447808] | Luke Kennard UNDER PR 11.5 (STANDARD) [id:10451926] | Alperen Sengun OVER PRA 36.5 (DEMON) [id:10447655],0.13111429362903868,10.0,1.1922099344739354,11.922099344739355,1.5631576341607254,10.0,pp_kernel,0.6156859686633358,0.04972906100522617,Naz Reid OVER PRA 14.5 (GOBLIN) [id:10469116] | Jabari Smith OVER RA 8 (STANDARD) [id:10447808] | Luke Kennard UNDER PR 11.5 (STANDARD) [id:10451926] | Alperen Sengun OVER PRA 36.5 (DEMON) [id:10447655],0.01,0.054,0.0004972906100522617,0.06449729061005226,18.57162331534185,"['naz reid', 'jabari smith', 'luke kennard', 'alperen sengun']",18.636120605951902,1,Naz Reid OVER PRA 14.5 (GOBLIN) [id:10469116],Jabari Smith OVER RA 8 (STANDARD) [id:10447808],Luke Kennard UNDER PR 11.5 (STANDARD) [id:10451926],Alperen Sengun OVER PRA 36.5 (DEMON) [id:10447655],0,
4,Nic Claxton OVER PTS 7.5 (GOBLIN) [id:10458235] | Jalen Johnson OVER REB 10.5 (STANDARD) [id:10454154] | Klay Thompson OVER PRA 12.5 (STANDARD) [id:10461299] | Scoot Henderson OVER PA 19.5 (DEMON) [id:10454693],0.12430830312384325,10.0,1.2200769317180973,12.200769317180972,1.5166569306242184,10.0,pp_kernel,0.6122841426761023,0.057387500844373524,Nic Claxton OVER PTS 7.5 (GOBLIN) [id:10458235] | Jalen Johnson OVER REB 10.5 (STANDARD) [id:10454154] | Klay Thompson OVER PRA 12.5 (STANDARD) [id:10461299] | Scoot Henderson OVER PA 19.5 (DEMON) [id:10454693],0.0,0.024,0.0005738750084437352,0.024573875008443737,18.47980746884139,"['nic claxton', 'jalen johnson', 'klay thompson', 'scoot henderson']",18.504381343849833,1,Nic Claxton OVER PTS 7.5 (GOBLIN) [id:10458235],Jalen Johnson OVER REB 10.5 (STANDARD) [id:10454154],Klay Thompson OVER PRA 12.5 (STANDARD) [id:10461299],Scoot Henderson OVER PA 19.5 (DEMON) [id:10454693],0,
4,Jaylen Wells OVER REB 1.5 (GOBLIN) [id:10469014] | Myles Turner OVER REB 4 (STANDARD) [id:10447402] | Donte DiVincenzo OVER PRA 18.5 (STANDARD) [id:10451168] | Jabari Smith OVER PR 25.5 (DEMON) [id:10466173],0.120448927877435,10.0,1.226187054486619,12.26187054486619,1.4769291609010322,10.0,pp_kernel,0.6050080830932701,0.05736927998963104,Jaylen Wells OVER REB 1.5 (GOBLIN) [id:10469014] | Myles Turner OVER REB 4 (STANDARD) [id:10447402] | Donte DiVincenzo OVER PRA 18.5 (STANDARD) [id:10451168] | Jabari Smith OVER PR 25.5 (DEMON) [id:10466173],0.0,0.012,0.0005736927998963104,0.01257369279989631,18.097340482106404,"['jaylen wells', 'myles turner', 'donte divincenzo', 'jabari smith']",18.1099141749063,1,Jaylen Wells OVER REB 1.5 (GOBLIN) [id:10469014],Myles Turner OVER REB 4 (STANDARD) [id:10447402],Donte DiVincenzo OVER PRA 18.5 (STANDARD) [id:10451168],Jabari Smith OVER PR 25.5 (DEMON) [id:10466173],0,
4,Russell Westbrook OVER RA 9.5 (GOBLIN) [id:10455641] | Naz Reid OVER REB 5.5 (STANDARD) [id:10451293] | Kevin Huerter OVER PRA 11.5 (STANDARD) [id:10457746] | Reed Sheppard OVER PR 18.5 (DEMON) [id:10462015],0.09958758174240474,10.0,1.3480013302670073,13.480013302670073,1.3424419266683594,10.0,pp_kernel,0.5737475394523373,0.05982654845307285,Russell Westbrook OVER RA 9.5 (GOBLIN) [id:10455641] | Naz Reid OVER REB 5.5 (STANDARD) [id:10451293] | Kevin Huerter OVER PRA 11.5 (STANDARD) [id:10457746] | Reed Sheppard OVER PR 18.5 (DEMON) [id:10462015],0.0,0.024,0.0005982654845307285,0.02459826548453073,18.071536764066995,"['russell westbrook', 'naz reid', 'kevin huerter', 'reed sheppard']",18.096135029551526,1,Russell Westbrook OVER RA 9.5 (GOBLIN) [id:10455641],Naz Reid OVER REB 5.5 (STANDARD) [id:10451293],Kevin Huerter OVER PRA 11.5 (STANDARD) [id:10457746],Reed Sheppard OVER PR 18.5 (DEMON) [id:10462015],0,
4,Nic Claxton OVER PTS 6.5 (GOBLIN) [id:10472033] | Jalen Johnson OVER PRA 42.5 (STANDARD) [id:10448194] | Bam Adebayo UNDER PR 35.5 (STANDARD) [id:10455163] | Dylan Harper OVER PA 14.5 (DEMON) [id:10449665],0.14052087718005649,10.0,1.1224434867352506,11.224434867352507,1.5772674334107852,10.0,pp_kernel,0.6315682620240936,0.042857197895235156,Nic Claxton OVER PTS 6.5 (GOBLIN) [id:10472033] | Jalen Johnson OVER PRA 42.5 (STANDARD) [id:10448194] | Bam Adebayo UNDER PR 35.5 (STANDARD) [id:10455163] | Dylan Harper OVER PA 14.5 (DEMON) [id:10449665],0.0,0.054,0.00042857197895235157,0.05442857197895235,17.649507002736662,"['nic claxton', 'jalen johnson', 'bam adebayo', 'dylan harper']",17.703935574715615,1,Nic Claxton OVER PTS 6.5 (GOBLIN) [id:10472033],Jalen Johnson OVER PRA 42.5 (STANDARD) [id:10448194],Bam Adebayo UNDER PR 35.5 (STANDARD) [id:10455163],Dylan Harper OVER PA 14.5 (DEMON) [id:10449665],0,
4,Julius Randle OVER PR 19.5 (GOBLIN) [id:10454403] | Jalen Johnson UNDER PTS 23.5 (STANDARD) [id:10448189] | Jaime Jaquez UNDER PRA 29.5 (STANDARD) [id:10455385] | Sam Hauser OVER PRA 15.5 (DEMON) [id:10450205],0.10593610028118335,10.0,1.2824992279981737,12.824992279981737,1.3586296682775476,10.0,pp_kernel,0.5834204311079758,0.0337681388456891,Julius Randle OVER PR 19.5 (GOBLIN) [id:10454403] | Jalen Johnson UNDER PTS 23.5 (STANDARD) [id:10448189] | Jaime Jaquez UNDER PRA 29.5 (STANDARD) [id:10455385] | Sam Hauser OVER PRA 15.5 (DEMON) [id:10450205],0.0,0.054,0.000337681388456891,0.05433768138845689,17.37007732562524,"['julius randle', 'jalen johnson', 'jaime jaquez', 'sam hauser']",17.424415007013696,1,Julius Randle OVER PR 19.5 (GOBLIN) [id:10454403],Jalen Johnson UNDER PTS 23.5 (STANDARD) [id:10448189],Jaime Jaquez UNDER PRA 29.5 (STANDARD) [id:10455385],Sam Hauser OVER PRA 15.5 (DEMON) [id:10450205],0,
4,Jabari Smith OVER PTS 9.5 (GOBLIN) [id:10447787] | Jrue Holiday OVER PR 21.5 (STANDARD) [id:10450617] | Naji Marshall OVER PRA 20.5 (STANDARD) [id:10456934] | CJ McCollum OVER PRA 30.5 (DEMON) [id:10448922],0.12788128229369883,10.0,1.166864988708466,11.668649887084662,1.4922019101966106,10.0,pp_kernel,0.6128317203620912,0.06692719032723088,Jabari Smith OVER PTS 9.5 (GOBLIN) [id:10447787] | Jrue Holiday OVER PR 21.5 (STANDARD) [id:10450617] | Naji Marshall OVER PRA 20.5 (STANDARD) [id:10456934] | CJ McCollum OVER PRA 30.5 (DEMON) [id:10448922],0.0,0.054,0.0006692719032723088,0.05466927190327231,17.357312379019927,"['jabari smith', 'jrue holiday', 'naji marshall', 'cj mccollum']",17.4119816509232,1,Jabari Smith OVER PTS 9.5 (GOBLIN) [id:10447787],Jrue Holiday OVER PR 21.5 (STANDARD) [id:10450617],Naji Marshall OVER PRA 20.5 (STANDARD) [id:10456934],CJ McCollum OVER PRA 30.5 (DEMON) [id:10448922],0,
