n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,Amen Thompson OVER REB 5.5 (GOBLIN) [id:10395814] | Jayson Tatum OVER PR 23.5 (STANDARD) [id:10395696] | Moussa Diabaté UNDER PTS 9.5 (STANDARD) [id:10396561],0.4685977426464026,6.0,1.0,6.0,2.8115864558784156,6.0,atlas,0.7793586075993164,0.039133127426542305,Amen Thompson OVER REB 5.5 (GOBLIN) [id:10395814] | Jayson Tatum OVER PR 23.5 (STANDARD) [id:10395696] | Moussa Diabaté UNDER PTS 9.5 (STANDARD) [id:10396561],0.0,0.006,0.00039133127426542306,0.006391331274265423,16.863127403996227,"['amen thompson', 'jayson tatum', 'moussa diabaté']",1,Amen Thompson OVER REB 5.5 (GOBLIN) [id:10395814],Jayson Tatum OVER PR 23.5 (STANDARD) [id:10395696],Moussa Diabaté UNDER PTS 9.5 (STANDARD) [id:10396561],0,
3,Payton Pritchard OVER RA 6.5 (GOBLIN) [id:10396164] | James Harden OVER PTS 19.5 (STANDARD) [id:10395350] | Jayson Tatum OVER PR 23.5 (STANDARD) [id:10395696],0.44994364198930525,6.0,1.0,6.0,2.6996618519358315,6.0,atlas,0.7695970572576137,0.06645127250528905,Payton Pritchard OVER RA 6.5 (GOBLIN) [id:10396164] | James Harden OVER PTS 19.5 (STANDARD) [id:10395350] | Jayson Tatum OVER PR 23.5 (STANDARD) [id:10395696],0.01,0.024,0.0006645127250528906,0.034664512725052894,16.163306598889935,"['payton pritchard', 'james harden', 'jayson tatum']",1,Payton Pritchard OVER RA 6.5 (GOBLIN) [id:10396164],James Harden OVER PTS 19.5 (STANDARD) [id:10395350],Jayson Tatum OVER PR 23.5 (STANDARD) [id:10395696],0,
3,Jabari Smith OVER PTS 9.5 (GOBLIN) [id:10395827] | Jaylon Tyson OVER AST 1.5 (STANDARD) [id:10395659] | Jayson Tatum OVER PR 23.5 (STANDARD) [id:10395696],0.4478780934633929,6.0,1.0,6.0,2.6872685607803577,6.0,atlas,0.7693715792999617,0.05531510904395367,Jabari Smith OVER PTS 9.5 (GOBLIN) [id:10395827] | Jaylon Tyson OVER AST 1.5 (STANDARD) [id:10395659] | Jayson Tatum OVER PR 23.5 (STANDARD) [id:10395696],0.0,0.024,0.0005531510904395367,0.024553151090439537,16.099058213591704,"['jabari smith', 'jaylon tyson', 'jayson tatum']",1,Jabari Smith OVER PTS 9.5 (GOBLIN) [id:10395827],Jaylon Tyson OVER AST 1.5 (STANDARD) [id:10395659],Jayson Tatum OVER PR 23.5 (STANDARD) [id:10395696],0,
3,Dennis Schröder OVER PTS 4.5 (GOBLIN) [id:10396048] | Moussa Diabaté UNDER PTS 9.5 (STANDARD) [id:10396561] | Jayson Tatum OVER PR 23.5 (STANDARD) [id:10395696],0.44720960120553416,6.0,1.0,6.0,2.683257607233205,6.0,atlas,0.7670219996646774,0.04196727571232443,Dennis Schröder OVER PTS 4.5 (GOBLIN) [id:10396048] | Moussa Diabaté UNDER PTS 9.5 (STANDARD) [id:10396561] | Jayson Tatum OVER PR 23.5 (STANDARD) [id:10395696],0.0,0.024,0.00041967275712324426,0.024419672757123246,16.075125970642105,"['dennis schröder', 'moussa diabaté', 'jayson tatum']",1,Dennis Schröder OVER PTS 4.5 (GOBLIN) [id:10396048],Moussa Diabaté UNDER PTS 9.5 (STANDARD) [id:10396561],Jayson Tatum OVER PR 23.5 (STANDARD) [id:10395696],0,
3,Evan Mobley OVER AST 1.5 (GOBLIN) [id:10395461] | James Harden OVER PTS 19.5 (STANDARD) [id:10395350] | Moussa Diabaté UNDER PTS 9.5 (STANDARD) [id:10396561],0.3821371518718327,6.0,1.0,6.0,2.2928229112309966,6.0,atlas,0.7285750780410337,0.031002896629830107,Evan Mobley OVER AST 1.5 (GOBLIN) [id:10395461] | James Harden OVER PTS 19.5 (STANDARD) [id:10395350] | Moussa Diabaté UNDER PTS 9.5 (STANDARD) [id:10396561],0.01,0.024,0.0003100289662983011,0.034310028966298305,13.72262743841968,"['evan mobley', 'james harden', 'moussa diabaté']",1,Evan Mobley OVER AST 1.5 (GOBLIN) [id:10395461],James Harden OVER PTS 19.5 (STANDARD) [id:10395350],Moussa Diabaté UNDER PTS 9.5 (STANDARD) [id:10396561],0,
3,Evan Mobley OVER AST 1.5 (GOBLIN) [id:10395461] | Moussa Diabaté UNDER PTS 9.5 (STANDARD) [id:10396561] | Jaylon Tyson OVER AST 1.5 (STANDARD) [id:10395659],0.37404389274495664,6.0,1.0,6.0,2.24426335646974,6.0,atlas,0.723827171005938,0.030989891657746155,Evan Mobley OVER AST 1.5 (GOBLIN) [id:10395461] | Moussa Diabaté UNDER PTS 9.5 (STANDARD) [id:10396561] | Jaylon Tyson OVER AST 1.5 (STANDARD) [id:10395659],0.01,0.024,0.0003098989165774616,0.034309898916577465,13.431270239901862,"['evan mobley', 'moussa diabaté', 'jaylon tyson']",1,Evan Mobley OVER AST 1.5 (GOBLIN) [id:10395461],Moussa Diabaté UNDER PTS 9.5 (STANDARD) [id:10396561],Jaylon Tyson OVER AST 1.5 (STANDARD) [id:10395659],0,
3,Evan Mobley OVER AST 1.5 (GOBLIN) [id:10395461] | Jaylon Tyson OVER AST 1.5 (STANDARD) [id:10395659] | James Harden OVER PTS 19.5 (STANDARD) [id:10395350],0.36377181468006753,6.0,1.0,6.0,2.1826308880804053,6.0,atlas,0.7174968273357667,0.04698634344885088,Evan Mobley OVER AST 1.5 (GOBLIN) [id:10395461] | Jaylon Tyson OVER AST 1.5 (STANDARD) [id:10395659] | James Harden OVER PTS 19.5 (STANDARD) [id:10395350],0.04,0.024,0.0004698634344885088,0.06446986343448852,13.031315465047943,"['evan mobley', 'jaylon tyson', 'james harden']",1,Evan Mobley OVER AST 1.5 (GOBLIN) [id:10395461],Jaylon Tyson OVER AST 1.5 (STANDARD) [id:10395659],James Harden OVER PTS 19.5 (STANDARD) [id:10395350],0,
3,Amen Thompson OVER REB 5.5 (GOBLIN) [id:10395814] | James Harden OVER PRA 31.5 (STANDARD) [id:10395353] | Jaylon Tyson OVER AST 1.5 (STANDARD) [id:10395659],0.3550132099279426,6.0,1.0,6.0,2.1300792595676556,6.0,atlas,0.7114136039642087,0.05739895228106819,Amen Thompson OVER REB 5.5 (GOBLIN) [id:10395814] | James Harden OVER PRA 31.5 (STANDARD) [id:10395353] | Jaylon Tyson OVER AST 1.5 (STANDARD) [id:10395659],0.01,0.006,0.0005739895228106819,0.01657398952281068,12.763901567883122,"['amen thompson', 'james harden', 'jaylon tyson']",1,Amen Thompson OVER REB 5.5 (GOBLIN) [id:10395814],James Harden OVER PRA 31.5 (STANDARD) [id:10395353],Jaylon Tyson OVER AST 1.5 (STANDARD) [id:10395659],0,
3,Evan Mobley OVER AST 1.5 (GOBLIN) [id:10395461] | Luke Kornet OVER REB 4.5 (STANDARD) [id:10395005] | Payton Pritchard OVER AST 4.5 (STANDARD) [id:10395743],0.3325021212547034,6.0,1.0,6.0,1.9950127275282203,6.0,atlas,0.6982026281440298,0.04431030348165398,Evan Mobley OVER AST 1.5 (GOBLIN) [id:10395461] | Luke Kornet OVER REB 4.5 (STANDARD) [id:10395005] | Payton Pritchard OVER AST 4.5 (STANDARD) [id:10395743],0.0,0.006,0.0004431030348165398,0.00644310303481654,11.963633262134506,"['evan mobley', 'luke kornet', 'payton pritchard']",1,Evan Mobley OVER AST 1.5 (GOBLIN) [id:10395461],Luke Kornet OVER REB 4.5 (STANDARD) [id:10395005],Payton Pritchard OVER AST 4.5 (STANDARD) [id:10395743],0,
3,Jabari Smith OVER PTS 9.5 (GOBLIN) [id:10395827] | Payton Pritchard OVER AST 4.5 (STANDARD) [id:10395743] | Luke Kornet OVER REB 4.5 (STANDARD) [id:10395005],0.32945889895934743,6.0,1.0,6.0,1.9767533937560846,6.0,atlas,0.6956959118365657,0.044328269740760436,Jabari Smith OVER PTS 9.5 (GOBLIN) [id:10395827] | Payton Pritchard OVER AST 4.5 (STANDARD) [id:10395743] | Luke Kornet OVER REB 4.5 (STANDARD) [id:10395005],0.0,0.006,0.00044328269740760435,0.006443282697407605,11.8540770798391,"['jabari smith', 'payton pritchard', 'luke kornet']",1,Jabari Smith OVER PTS 9.5 (GOBLIN) [id:10395827],Payton Pritchard OVER AST 4.5 (STANDARD) [id:10395743],Luke Kornet OVER REB 4.5 (STANDARD) [id:10395005],0,
