n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Russell Westbrook OVER PRA 19.5 (GOBLIN) [id:10401713] | Ousmane Dieng UNDER PR 14.5 (STANDARD) [id:10404012] | Tristan Silva UNDER PR 14.5 (STANDARD) [id:10404191] | Rui Hachimura OVER REB 2.5 (DEMON) [id:10411321],0.4053830024155604,10.0,1.0,10.0,4.053830024155604,10.0,atlas,0.8090608597585844,0.027180806648483248,Russell Westbrook OVER PRA 19.5 (GOBLIN) [id:10401713] | Ousmane Dieng UNDER PR 14.5 (STANDARD) [id:10404012] | Tristan Silva UNDER PR 14.5 (STANDARD) [id:10404191] | Rui Hachimura OVER REB 2.5 (DEMON) [id:10411321],0.0,0.024,0.00027180806648483246,0.024271808066484834,40.51402843348956,"['russell westbrook', 'ousmane dieng', 'tristan silva', 'rui hachimura']",1,Russell Westbrook OVER PRA 19.5 (GOBLIN) [id:10401713],Ousmane Dieng UNDER PR 14.5 (STANDARD) [id:10404012],Tristan Silva UNDER PR 14.5 (STANDARD) [id:10404191],Rui Hachimura OVER REB 2.5 (DEMON) [id:10411321],0,
4,Jayson Tatum OVER PR 18.5 (GOBLIN) [id:10412697] | Isaac Okoro UNDER PA 13.5 (STANDARD) [id:10400669] | Tristan Silva UNDER PTS 9.5 (STANDARD) [id:10404871] | Ryan Kalkbrenner OVER PR 9.5 (DEMON) [id:10400828],0.39969991543952826,10.0,1.0,10.0,3.9969991543952825,10.0,atlas,0.808544121066867,0.039543411021213774,Jayson Tatum OVER PR 18.5 (GOBLIN) [id:10412697] | Isaac Okoro UNDER PA 13.5 (STANDARD) [id:10400669] | Tristan Silva UNDER PTS 9.5 (STANDARD) [id:10404871] | Ryan Kalkbrenner OVER PR 9.5 (DEMON) [id:10400828],0.0,0.054,0.00039543411021213776,0.05439543411021214,39.91559610984262,"['jayson tatum', 'isaac okoro', 'tristan silva', 'ryan kalkbrenner']",1,Jayson Tatum OVER PR 18.5 (GOBLIN) [id:10412697],Isaac Okoro UNDER PA 13.5 (STANDARD) [id:10400669],Tristan Silva UNDER PTS 9.5 (STANDARD) [id:10404871],Ryan Kalkbrenner OVER PR 9.5 (DEMON) [id:10400828],0,
4,Jaime Jaquez OVER PR 14.5 (GOBLIN) [id:10407376] | Ousmane Dieng UNDER PR 14.5 (STANDARD) [id:10404012] | Tristan Silva UNDER PTS 9.5 (STANDARD) [id:10404871] | Russell Westbrook OVER RA 11.5 (DEMON) [id:10400991],0.38857192492080944,10.0,1.0,10.0,3.8857192492080945,10.0,atlas,0.8000024428464316,0.035784144122194994,Jaime Jaquez OVER PR 14.5 (GOBLIN) [id:10407376] | Ousmane Dieng UNDER PR 14.5 (STANDARD) [id:10404012] | Tristan Silva UNDER PTS 9.5 (STANDARD) [id:10404871] | Russell Westbrook OVER RA 11.5 (DEMON) [id:10400991],0.0,0.054,0.00035784144122194995,0.05435784144122195,38.80283465063972,"['jaime jaquez', 'ousmane dieng', 'tristan silva', 'russell westbrook']",1,Jaime Jaquez OVER PR 14.5 (GOBLIN) [id:10407376],Ousmane Dieng UNDER PR 14.5 (STANDARD) [id:10404012],Tristan Silva UNDER PTS 9.5 (STANDARD) [id:10404871],Russell Westbrook OVER RA 11.5 (DEMON) [id:10400991],0,
4,Jayson Tatum OVER REB 4.5 (GOBLIN) [id:10412661] | Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10400568] | Tristan Silva UNDER FG3M 1.5 (STANDARD) [id:10408599] | Trae Young OVER RA 8.5 (DEMON) [id:10399701],0.38433895020067893,10.0,1.0,10.0,3.843389502006789,10.0,atlas,0.7953440234713076,0.03249395313816798,Jayson Tatum OVER REB 4.5 (GOBLIN) [id:10412661] | Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10400568] | Tristan Silva UNDER FG3M 1.5 (STANDARD) [id:10408599] | Trae Young OVER RA 8.5 (DEMON) [id:10399701],0.0,0.006,0.0003249395313816798,0.00632493953138168,38.42757008053651,"['jayson tatum', 'guerschon yabusele', 'tristan silva', 'trae young']",1,Jayson Tatum OVER REB 4.5 (GOBLIN) [id:10412661],Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10400568],Tristan Silva UNDER FG3M 1.5 (STANDARD) [id:10408599],Trae Young OVER RA 8.5 (DEMON) [id:10399701],0,
4,Jayson Tatum OVER PTS 14.5 (GOBLIN) [id:10395693] | Ousmane Dieng UNDER PTS 10.5 (STANDARD) [id:10404011] | Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10400568] | Rui Hachimura OVER REB 2.5 (DEMON) [id:10411321],0.3833068914672591,10.0,1.0,10.0,3.833068914672591,10.0,atlas,0.7952991303609814,0.020216728938464552,Jayson Tatum OVER PTS 14.5 (GOBLIN) [id:10395693] | Ousmane Dieng UNDER PTS 10.5 (STANDARD) [id:10404011] | Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10400568] | Rui Hachimura OVER REB 2.5 (DEMON) [id:10411321],0.0,0.024,0.00020216728938464554,0.024202167289384645,38.30648697943653,"['jayson tatum', 'ousmane dieng', 'guerschon yabusele', 'rui hachimura']",1,Jayson Tatum OVER PTS 14.5 (GOBLIN) [id:10395693],Ousmane Dieng UNDER PTS 10.5 (STANDARD) [id:10404011],Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10400568],Rui Hachimura OVER REB 2.5 (DEMON) [id:10411321],0,
4,Dejounte Murray OVER PR 14.5 (GOBLIN) [id:10410652] | Nique Clifford UNDER PRA 22.5 (STANDARD) [id:10400230] | Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10400568] | Russell Westbrook OVER AST 6.5 (DEMON) [id:10400758],0.3386455744915956,10.0,1.0,10.0,3.3864557449159562,10.0,atlas,0.772228784371706,0.0287958461665134,Dejounte Murray OVER PR 14.5 (GOBLIN) [id:10410652] | Nique Clifford UNDER PRA 22.5 (STANDARD) [id:10400230] | Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10400568] | Russell Westbrook OVER AST 6.5 (DEMON) [id:10400758],0.01,0.054,0.000287958461665134,0.06428795846166513,33.8002694906979,"['dejounte murray', 'nique clifford', 'guerschon yabusele', 'russell westbrook']",1,Dejounte Murray OVER PR 14.5 (GOBLIN) [id:10410652],Nique Clifford UNDER PRA 22.5 (STANDARD) [id:10400230],Guerschon Yabusele UNDER PR 18.5 (STANDARD) [id:10400568],Russell Westbrook OVER AST 6.5 (DEMON) [id:10400758],0,
4,Russell Westbrook OVER PRA 19.5 (GOBLIN) [id:10401713] | Ousmane Dieng UNDER PRA 17.5 (STANDARD) [id:10411921] | Nique Clifford UNDER PR 18.5 (STANDARD) [id:10400229] | Ryan Kalkbrenner OVER PR 9.5 (DEMON) [id:10400828],0.33383488646268233,10.0,1.0,10.0,3.3383488646268233,10.0,atlas,0.766064907181313,0.03877882141743185,Russell Westbrook OVER PRA 19.5 (GOBLIN) [id:10401713] | Ousmane Dieng UNDER PRA 17.5 (STANDARD) [id:10411921] | Nique Clifford UNDER PR 18.5 (STANDARD) [id:10400229] | Ryan Kalkbrenner OVER PR 9.5 (DEMON) [id:10400828],0.01,0.054,0.0003877882141743185,0.06438778821417432,33.31910085805406,"['russell westbrook', 'ousmane dieng', 'nique clifford', 'ryan kalkbrenner']",1,Russell Westbrook OVER PRA 19.5 (GOBLIN) [id:10401713],Ousmane Dieng UNDER PRA 17.5 (STANDARD) [id:10411921],Nique Clifford UNDER PR 18.5 (STANDARD) [id:10400229],Ryan Kalkbrenner OVER PR 9.5 (DEMON) [id:10400828],0,
4,Jayson Tatum OVER PR 18.5 (GOBLIN) [id:10412697] | Donovan Clingan OVER PRA 27.5 (STANDARD) [id:10401098] | Guerschon Yabusele UNDER PTS 11.5 (STANDARD) [id:10400469] | Coby White OVER AST 3.5 (DEMON) [id:10397328],0.3182648600037805,10.0,1.0,10.0,3.182648600037805,10.0,atlas,0.7640811644422841,0.04991653133916445,Jayson Tatum OVER PR 18.5 (GOBLIN) [id:10412697] | Donovan Clingan OVER PRA 27.5 (STANDARD) [id:10401098] | Guerschon Yabusele UNDER PTS 11.5 (STANDARD) [id:10400469] | Coby White OVER AST 3.5 (DEMON) [id:10397328],0.0,0.054,0.0004991653133916444,0.05449916531339164,31.77198683506466,"['jayson tatum', 'donovan clingan', 'guerschon yabusele', 'coby white']",1,Jayson Tatum OVER PR 18.5 (GOBLIN) [id:10412697],Donovan Clingan OVER PRA 27.5 (STANDARD) [id:10401098],Guerschon Yabusele UNDER PTS 11.5 (STANDARD) [id:10400469],Coby White OVER AST 3.5 (DEMON) [id:10397328],0,
4,Donovan Clingan OVER PR 19.5 (GOBLIN) [id:10410045] | Oso Ighodaro UNDER PR 16.5 (STANDARD) [id:10397283] | Precious Achiuwa UNDER PRA 25.5 (STANDARD) [id:10400238] | Ryan Kalkbrenner OVER PR 9.5 (DEMON) [id:10400828],0.28699508572125754,10.0,1.0,10.0,2.8699508572125754,10.0,atlas,0.7364408522658777,0.03873550028678198,Donovan Clingan OVER PR 19.5 (GOBLIN) [id:10410045] | Oso Ighodaro UNDER PR 16.5 (STANDARD) [id:10397283] | Precious Achiuwa UNDER PRA 25.5 (STANDARD) [id:10400238] | Ryan Kalkbrenner OVER PR 9.5 (DEMON) [id:10400828],0.0,0.054,0.0003873550028678198,0.05438735500286782,28.645121217122888,"['donovan clingan', 'oso ighodaro', 'precious achiuwa', 'ryan kalkbrenner']",1,Donovan Clingan OVER PR 19.5 (GOBLIN) [id:10410045],Oso Ighodaro UNDER PR 16.5 (STANDARD) [id:10397283],Precious Achiuwa UNDER PRA 25.5 (STANDARD) [id:10400238],Ryan Kalkbrenner OVER PR 9.5 (DEMON) [id:10400828],0,
4,Ryan Rollins OVER PA 14.5 (GOBLIN) [id:10407523] | Ryan Kalkbrenner OVER PR 8.5 (STANDARD) [id:10396933] | Nique Clifford UNDER PA 17.5 (STANDARD) [id:10400228] | Coby White OVER PA 16.5 (DEMON) [id:10410050],0.2826784105233409,10.0,1.0,10.0,2.826784105233409,10.0,atlas,0.7323172580443759,0.05864598104011344,Ryan Rollins OVER PA 14.5 (GOBLIN) [id:10407523] | Ryan Kalkbrenner OVER PR 8.5 (STANDARD) [id:10396933] | Nique Clifford UNDER PA 17.5 (STANDARD) [id:10400228] | Coby White OVER PA 16.5 (DEMON) [id:10410050],0.01,0.054,0.0005864598104011344,0.06458645981040113,28.20325459252369,"['ryan rollins', 'ryan kalkbrenner', 'nique clifford', 'coby white']",1,Ryan Rollins OVER PA 14.5 (GOBLIN) [id:10407523],Ryan Kalkbrenner OVER PR 8.5 (STANDARD) [id:10396933],Nique Clifford UNDER PA 17.5 (STANDARD) [id:10400228],Coby White OVER PA 16.5 (DEMON) [id:10410050],0,
