n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,q_leg_count,q_players
3,Shai Gilgeous-Alexander OVER FG3M 0.5 (GOBLIN) [id:10503247] | Cam Spencer UNDER PRA 23 (STANDARD) [id:10510740] | Ronald Holland UNDER PR 13.5 (STANDARD) [id:10502496],0.26929800256689557,6.0,1.3026193515201028,7.815716109120617,2.104756736816091,6.0,pp_kernel,0.6610838916108389,0.016886735180673757,Shai Gilgeous-Alexander OVER FG3M 0.5 (GOBLIN) [id:10503247] | Cam Spencer UNDER PRA 23 (STANDARD) [id:10510740] | Ronald Holland UNDER PR 13.5 (STANDARD) [id:10502496],0.0,0.006,0.00016886735180673759,0.006168867351806738,16.444012266361856,"['shai gilgeous-alexander', 'cam spencer', 'ronald holland']",16.450181133713663,1,Shai Gilgeous-Alexander OVER FG3M 0.5 (GOBLIN) [id:10503247],Cam Spencer UNDER PRA 23 (STANDARD) [id:10510740],Ronald Holland UNDER PR 13.5 (STANDARD) [id:10502496],0,
3,Shai Gilgeous-Alexander OVER PR 31.5 (GOBLIN) [id:10541498] | Cade Cunningham UNDER AST 10 (STANDARD) [id:10509552] | Jamal Murray UNDER PTS 23.5 (STANDARD) [id:10519609],0.26029888847323424,6.0,1.2789202208888335,7.673521325333001,1.9974090716598394,6.0,pp_kernel,0.6544242702099935,0.02413101381964346,Shai Gilgeous-Alexander OVER PR 31.5 (GOBLIN) [id:10541498] | Cade Cunningham UNDER AST 10 (STANDARD) [id:10509552] | Jamal Murray UNDER PTS 23.5 (STANDARD) [id:10519609],0.0,0.024,0.0002413101381964346,0.024241310138196435,15.302919796657172,"['shai gilgeous-alexander', 'cade cunningham', 'jamal murray']",15.327161106795367,1,Shai Gilgeous-Alexander OVER PR 31.5 (GOBLIN) [id:10541498],Cade Cunningham UNDER AST 10 (STANDARD) [id:10509552],Jamal Murray UNDER PTS 23.5 (STANDARD) [id:10519609],0,
3,Ajay Mitchell OVER AST 1.5 (GOBLIN) [id:10510757] | Josh Giddey UNDER PA 28 (STANDARD) [id:10515137] | Ronald Holland UNDER PR 13.5 (STANDARD) [id:10502496],0.33701199586338315,6.0,1.1238607262213904,6.743164357328343,2.2725272784980524,6.0,pp_kernel,0.7079047535630947,0.0149384574786737,Ajay Mitchell OVER AST 1.5 (GOBLIN) [id:10510757] | Josh Giddey UNDER PA 28 (STANDARD) [id:10515137] | Ronald Holland UNDER PR 13.5 (STANDARD) [id:10502496],0.0,0.024,0.000149384574786737,0.02414938457478674,15.299875560849658,"['ajay mitchell', 'josh giddey', 'ronald holland']",15.324024945424446,1,Ajay Mitchell OVER AST 1.5 (GOBLIN) [id:10510757],Josh Giddey UNDER PA 28 (STANDARD) [id:10515137],Ronald Holland UNDER PR 13.5 (STANDARD) [id:10502496],0,
3,Shai Gilgeous-Alexander OVER PRA 39.5 (GOBLIN) [id:10509968] | Tyler Herro UNDER PA 27.5 (STANDARD) [id:10507436] | Cam Spencer UNDER PRA 23 (STANDARD) [id:10510740],0.2331636203143889,6.0,1.3829394847728351,8.29763690863701,1.9347070616720994,6.0,pp_kernel,0.6343865613438656,0.02397060127803037,Shai Gilgeous-Alexander OVER PRA 39.5 (GOBLIN) [id:10509968] | Tyler Herro UNDER PA 27.5 (STANDARD) [id:10507436] | Cam Spencer UNDER PRA 23 (STANDARD) [id:10510740],0.0,0.024,0.0002397060127803037,0.024239706012780304,16.029257016318294,"['shai gilgeous-alexander', 'tyler herro', 'cam spencer']",16.053496722331072,1,Shai Gilgeous-Alexander OVER PRA 39.5 (GOBLIN) [id:10509968],Tyler Herro UNDER PA 27.5 (STANDARD) [id:10507436],Cam Spencer UNDER PRA 23 (STANDARD) [id:10510740],0,
3,Shai Gilgeous-Alexander OVER FG3M 0.5 (GOBLIN) [id:10503247] | Cade Cunningham UNDER PA 34.5 (STANDARD) [id:10502400] | Jordan Goodwin OVER RA 6.5 (STANDARD) [id:10541541],0.24250121569828595,6.0,1.3211239850809173,7.926743910485504,1.92224503482172,6.0,pp_kernel,0.642992819626892,0.04060548090587299,Shai Gilgeous-Alexander OVER FG3M 0.5 (GOBLIN) [id:10503247] | Cade Cunningham UNDER PA 34.5 (STANDARD) [id:10502400] | Jordan Goodwin OVER RA 6.5 (STANDARD) [id:10541541],0.0,0.006,0.0004060548090587299,0.00640605480905873,15.230738069425003,"['shai gilgeous-alexander', 'cade cunningham', 'jordan goodwin']",15.237144124234062,1,Shai Gilgeous-Alexander OVER FG3M 0.5 (GOBLIN) [id:10503247],Cade Cunningham UNDER PA 34.5 (STANDARD) [id:10502400],Jordan Goodwin OVER RA 6.5 (STANDARD) [id:10541541],0,
3,Tre Johnson OVER AST 0.5 (GOBLIN) [id:10537438] | Jalen Duren OVER PA 20.5 (STANDARD) [id:10502452] | P.J. Washington OVER RA 8.5 (STANDARD) [id:10512515],0.21068344938557126,6.0,1.4153182210013906,8.491909326008344,1.7891047486729394,6.0,pp_kernel,0.6144729312122642,0.058469627334042894,Tre Johnson OVER AST 0.5 (GOBLIN) [id:10537438] | Jalen Duren OVER PA 20.5 (STANDARD) [id:10502452] | P.J. Washington OVER RA 8.5 (STANDARD) [id:10512515],0.0,0.024,0.000584696273340429,0.02458469627334043,15.168330604188208,"['tre johnson', 'jalen duren', 'p.j. washington']",15.192915300461548,1,Tre Johnson OVER AST 0.5 (GOBLIN) [id:10537438],Jalen Duren OVER PA 20.5 (STANDARD) [id:10502452],P.J. Washington OVER RA 8.5 (STANDARD) [id:10512515],0,
3,Tre Johnson OVER AST 0.5 (GOBLIN) [id:10537438] | Jalen Duren UNDER PTS 18.5 (STANDARD) [id:10502450] | Devin Vassell UNDER PA 16.5 (STANDARD) [id:10517045],0.20399059574477718,6.0,1.4326881187818983,8.596128712691389,1.753529417200701,6.0,pp_kernel,0.6089140925035313,0.014902554840764014,Tre Johnson OVER AST 0.5 (GOBLIN) [id:10537438] | Jalen Duren UNDER PTS 18.5 (STANDARD) [id:10502450] | Devin Vassell UNDER PA 16.5 (STANDARD) [id:10517045],0.0,0.024,0.00014902554840764013,0.02414902554840764,15.049415546199537,"['tre johnson', 'jalen duren', 'devin vassell']",15.073564571747944,1,Tre Johnson OVER AST 0.5 (GOBLIN) [id:10537438],Jalen Duren UNDER PTS 18.5 (STANDARD) [id:10502450],Devin Vassell UNDER PA 16.5 (STANDARD) [id:10517045],0,
3,Ajay Mitchell OVER PRA 16.5 (GOBLIN) [id:10524080] | Chet Holmgren OVER REB 9 (STANDARD) [id:10524527] | Simone Fontecchio OVER PRA 13.5 (STANDARD) [id:10540020],0.22261203263775012,6.0,1.366601857251675,8.19961114351005,1.8253321034959187,6.0,pp_kernel,0.6248541812485419,0.05466616954436584,Ajay Mitchell OVER PRA 16.5 (GOBLIN) [id:10524080] | Chet Holmgren OVER REB 9 (STANDARD) [id:10524527] | Simone Fontecchio OVER PRA 13.5 (STANDARD) [id:10540020],0.01,0.006,0.0005466616954436584,0.016546661695443658,14.95046679473633,"['ajay mitchell', 'chet holmgren', 'simone fontecchio']",14.967013456431774,1,Ajay Mitchell OVER PRA 16.5 (GOBLIN) [id:10524080],Chet Holmgren OVER REB 9 (STANDARD) [id:10524527],Simone Fontecchio OVER PRA 13.5 (STANDARD) [id:10540020],0,
3,Bub Carrington OVER PA 7.5 (GOBLIN) [id:10537398] | Jalen Duren OVER PR 29.5 (STANDARD) [id:10502453] | Tre Johnson OVER PRA 15.5 (STANDARD) [id:10519535],0.25142037567012626,6.0,1.2781817144164274,7.669090286498564,1.9281655608795853,6.0,pp_kernel,0.6475667465801431,0.0722971390137405,Bub Carrington OVER PA 7.5 (GOBLIN) [id:10537398] | Jalen Duren OVER PR 29.5 (STANDARD) [id:10502453] | Tre Johnson OVER PRA 15.5 (STANDARD) [id:10519535],0.01,0.024,0.0007229713901374051,0.03472297139013741,14.752552802312545,"['bub carrington', 'jalen duren', 'tre johnson']",14.787275773702682,1,Bub Carrington OVER PA 7.5 (GOBLIN) [id:10537398],Jalen Duren OVER PR 29.5 (STANDARD) [id:10502453],Tre Johnson OVER PRA 15.5 (STANDARD) [id:10519535],0,
3,Alex Sarr OVER RA 4.5 (GOBLIN) [id:10523022] | Payton Pritchard UNDER PRA 25.5 (STANDARD) [id:10505562] | Paolo Banchero OVER PTS 24.5 (STANDARD) [id:10518140],0.24061886138594557,6.0,1.3036350946528832,7.821810567917299,1.8820751528288169,6.0,pp_kernel,0.6450861496746209,0.039137873541273786,Alex Sarr OVER RA 4.5 (GOBLIN) [id:10523022] | Payton Pritchard UNDER PRA 25.5 (STANDARD) [id:10505562] | Paolo Banchero OVER PTS 24.5 (STANDARD) [id:10518140],0.0,0.024,0.0003913787354127379,0.02439137873541274,14.696843941275592,"['alex sarr', 'payton pritchard', 'paolo banchero']",14.721235320011004,1,Alex Sarr OVER RA 4.5 (GOBLIN) [id:10523022],Payton Pritchard UNDER PRA 25.5 (STANDARD) [id:10505562],Paolo Banchero OVER PTS 24.5 (STANDARD) [id:10518140],0,
