n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Alex Sarr OVER REB 4.5 (GOBLIN) [id:10581520] | Jaime Jaquez OVER AST 2.5 (GOBLIN) [id:10592915] | Tristan Silva UNDER PRA 20.5 (STANDARD) [id:10577280] | Jayson Tatum OVER PR 28.5 (STANDARD) [id:10579968],0.489667473020124,10.0,1.0,10.0,4.89667473020124,10.0,atlas,0.8384290405784111,0.04199920254211568,Alex Sarr OVER REB 4.5 (GOBLIN) [id:10581520] | Jaime Jaquez OVER AST 2.5 (GOBLIN) [id:10592915] | Tristan Silva UNDER PRA 20.5 (STANDARD) [id:10577280] | Jayson Tatum OVER PR 28.5 (STANDARD) [id:10579968],0.0,0.024,0.00041999202542115677,0.024419992025421156,48.94232730998698,"['alex sarr', 'jaime jaquez', 'tristan silva', 'jayson tatum']",1,Alex Sarr OVER REB 4.5 (GOBLIN) [id:10581520],Jaime Jaquez OVER AST 2.5 (GOBLIN) [id:10592915],Tristan Silva UNDER PRA 20.5 (STANDARD) [id:10577280],Jayson Tatum OVER PR 28.5 (STANDARD) [id:10579968],0,
4,Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10592910] | Jayson Tatum OVER PRA 32.5 (GOBLIN) [id:10583372] | Tristan Silva UNDER PTS 11.5 (STANDARD) [id:10577277] | Jevon Carter UNDER RA 5 (STANDARD) [id:10587561],0.4888912884582248,10.0,1.0,10.0,4.888912884582249,10.0,atlas,0.8392763096946855,0.0285382043994293,Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10592910] | Jayson Tatum OVER PRA 32.5 (GOBLIN) [id:10583372] | Tristan Silva UNDER PTS 11.5 (STANDARD) [id:10577277] | Jevon Carter UNDER RA 5 (STANDARD) [id:10587561],0.01,0.054,0.000285382043994293,0.0642853820439943,48.82484346377849,"['davion mitchell', 'jayson tatum', 'tristan silva', 'jevon carter']",1,Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10592910],Jayson Tatum OVER PRA 32.5 (GOBLIN) [id:10583372],Tristan Silva UNDER PTS 11.5 (STANDARD) [id:10577277],Jevon Carter UNDER RA 5 (STANDARD) [id:10587561],0,
4,Payton Pritchard OVER RA 6.5 (GOBLIN) [id:10594899] | Alex Sarr OVER PRA 16.5 (GOBLIN) [id:10581919] | Tristan Silva UNDER PA 14.5 (STANDARD) [id:10577278] | Bub Carrington OVER PTS 7.5 (STANDARD) [id:10581225],0.45583559404782714,10.0,1.0,10.0,4.558355940478272,10.0,atlas,0.8267169936599131,0.05087857631218466,Payton Pritchard OVER RA 6.5 (GOBLIN) [id:10594899] | Alex Sarr OVER PRA 16.5 (GOBLIN) [id:10581919] | Tristan Silva UNDER PA 14.5 (STANDARD) [id:10577278] | Bub Carrington OVER PTS 7.5 (STANDARD) [id:10581225],0.01,0.054,0.0005087857631218466,0.06450878576312184,45.51905061901959,"['payton pritchard', 'alex sarr', 'tristan silva', 'bub carrington']",1,Payton Pritchard OVER RA 6.5 (GOBLIN) [id:10594899],Alex Sarr OVER PRA 16.5 (GOBLIN) [id:10581919],Tristan Silva UNDER PA 14.5 (STANDARD) [id:10577278],Bub Carrington OVER PTS 7.5 (STANDARD) [id:10581225],0,
4,Jaime Jaquez OVER PA 14.5 (GOBLIN) [id:10586927] | Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10592910] | Jett Howard UNDER PTS 8.5 (STANDARD) [id:10577179] | Tristan Silva UNDER PR 17.5 (STANDARD) [id:10577279],0.44744705332810064,10.0,1.0,10.0,4.474470533281006,10.0,atlas,0.8210198453275435,0.02789046157475341,Jaime Jaquez OVER PA 14.5 (GOBLIN) [id:10586927] | Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10592910] | Jett Howard UNDER PTS 8.5 (STANDARD) [id:10577179] | Tristan Silva UNDER PR 17.5 (STANDARD) [id:10577279],0.02,0.054,0.0002789046157475341,0.07427890461574753,44.67042642819432,"['jaime jaquez', 'davion mitchell', 'jett howard', 'tristan silva']",1,Jaime Jaquez OVER PA 14.5 (GOBLIN) [id:10586927],Davion Mitchell OVER AST 3.5 (GOBLIN) [id:10592910],Jett Howard UNDER PTS 8.5 (STANDARD) [id:10577179],Tristan Silva UNDER PR 17.5 (STANDARD) [id:10577279],0,
4,Jayson Tatum OVER PRA 32.5 (GOBLIN) [id:10583372] | Jaime Jaquez OVER PA 13.5 (GOBLIN) [id:10592916] | Nique Clifford UNDER PTS 12.5 (STANDARD) [id:10583931] | Jonas Valančiūnas OVER PRA 8.5 (STANDARD) [id:10593884],0.42253686605905466,10.0,1.0,10.0,4.225368660590546,10.0,atlas,0.807766425620148,0.05686469089153379,Jayson Tatum OVER PRA 32.5 (GOBLIN) [id:10583372] | Jaime Jaquez OVER PA 13.5 (GOBLIN) [id:10592916] | Nique Clifford UNDER PTS 12.5 (STANDARD) [id:10583931] | Jonas Valančiūnas OVER PRA 8.5 (STANDARD) [id:10593884],0.0,0.054,0.0005686469089153379,0.05456864690891534,42.19911795899655,"['jayson tatum', 'jaime jaquez', 'nique clifford', 'jonas valančiūnas']",1,Jayson Tatum OVER PRA 32.5 (GOBLIN) [id:10583372],Jaime Jaquez OVER PA 13.5 (GOBLIN) [id:10592916],Nique Clifford UNDER PTS 12.5 (STANDARD) [id:10583931],Jonas Valančiūnas OVER PRA 8.5 (STANDARD) [id:10593884],0,
4,Alex Sarr OVER PA 9.5 (GOBLIN) [id:10584921] | Jayson Tatum OVER PRA 29.5 (GOBLIN) [id:10582237] | Jonas Valančiūnas OVER PRA 8.5 (STANDARD) [id:10593884] | Tim Hardaway OVER PR 13.5 (STANDARD) [id:10580425],0.39643879238015134,10.0,1.0,10.0,3.9643879238015134,10.0,atlas,0.8000195031077281,0.07760135697257799,Alex Sarr OVER PA 9.5 (GOBLIN) [id:10584921] | Jayson Tatum OVER PRA 29.5 (GOBLIN) [id:10582237] | Jonas Valančiūnas OVER PRA 8.5 (STANDARD) [id:10593884] | Tim Hardaway OVER PR 13.5 (STANDARD) [id:10580425],0.01,0.054,0.0007760135697257799,0.06477601356972579,39.579103224445404,"['alex sarr', 'jayson tatum', 'jonas valančiūnas', 'tim hardaway']",1,Alex Sarr OVER PA 9.5 (GOBLIN) [id:10584921],Jayson Tatum OVER PRA 29.5 (GOBLIN) [id:10582237],Jonas Valančiūnas OVER PRA 8.5 (STANDARD) [id:10593884],Tim Hardaway OVER PR 13.5 (STANDARD) [id:10580425],0,
4,Alex Sarr OVER PA 9.5 (GOBLIN) [id:10584921] | Jaylen Brown OVER PA 24.5 (GOBLIN) [id:10590433] | Jevon Carter UNDER AST 2.5 (STANDARD) [id:10577188] | Bub Carrington OVER PRA 14.5 (STANDARD) [id:10581227],0.3730520994642555,10.0,1.0,10.0,3.730520994642555,10.0,atlas,0.7837288913634698,0.055725362293565374,Alex Sarr OVER PA 9.5 (GOBLIN) [id:10584921] | Jaylen Brown OVER PA 24.5 (GOBLIN) [id:10590433] | Jevon Carter UNDER AST 2.5 (STANDARD) [id:10577188] | Bub Carrington OVER PRA 14.5 (STANDARD) [id:10581227],0.01,0.054,0.0005572536229356538,0.06455725362293566,37.24065269280261,"['alex sarr', 'jaylen brown', 'jevon carter', 'bub carrington']",1,Alex Sarr OVER PA 9.5 (GOBLIN) [id:10584921],Jaylen Brown OVER PA 24.5 (GOBLIN) [id:10590433],Jevon Carter UNDER AST 2.5 (STANDARD) [id:10577188],Bub Carrington OVER PRA 14.5 (STANDARD) [id:10581227],0,
4,Marcus Smart OVER REB 1.5 (GOBLIN) [id:10580321] | Derrick White OVER REB 2.5 (GOBLIN) [id:10581578] | Nique Clifford UNDER PTS 12.5 (STANDARD) [id:10583931] | Jett Howard UNDER PTS 8.5 (STANDARD) [id:10577179],0.34454227545732774,10.0,1.0,10.0,3.4454227545732774,10.0,atlas,0.7679953618222543,0.023582577743824752,Marcus Smart OVER REB 1.5 (GOBLIN) [id:10580321] | Derrick White OVER REB 2.5 (GOBLIN) [id:10581578] | Nique Clifford UNDER PTS 12.5 (STANDARD) [id:10583931] | Jett Howard UNDER PTS 8.5 (STANDARD) [id:10577179],0.0,0.012,0.00023582577743824754,0.012235825777438248,34.44199171995534,"['marcus smart', 'derrick white', 'nique clifford', 'jett howard']",1,Marcus Smart OVER REB 1.5 (GOBLIN) [id:10580321],Derrick White OVER REB 2.5 (GOBLIN) [id:10581578],Nique Clifford UNDER PTS 12.5 (STANDARD) [id:10583931],Jett Howard UNDER PTS 8.5 (STANDARD) [id:10577179],0,
4,Trae Young OVER AST 4.5 (GOBLIN) [id:10581666] | Payton Pritchard OVER RA 7.5 (GOBLIN) [id:10582007] | Nique Clifford UNDER PRA 21.5 (STANDARD) [id:10583939] | Baylor Scheierman UNDER PRA 13.5 (STANDARD) [id:10590102],0.3430579614708542,10.0,1.0,10.0,3.430579614708542,10.0,atlas,0.7666652377005735,0.029261898195813693,Trae Young OVER AST 4.5 (GOBLIN) [id:10581666] | Payton Pritchard OVER RA 7.5 (GOBLIN) [id:10582007] | Nique Clifford UNDER PRA 21.5 (STANDARD) [id:10583939] | Baylor Scheierman UNDER PRA 13.5 (STANDARD) [id:10590102],0.01,0.054,0.00029261898195813695,0.06429261898195814,34.241503528103465,"['trae young', 'payton pritchard', 'nique clifford', 'baylor scheierman']",1,Trae Young OVER AST 4.5 (GOBLIN) [id:10581666],Payton Pritchard OVER RA 7.5 (GOBLIN) [id:10582007],Nique Clifford UNDER PRA 21.5 (STANDARD) [id:10583939],Baylor Scheierman UNDER PRA 13.5 (STANDARD) [id:10590102],0,
4,Bub Carrington OVER PR 8.5 (GOBLIN) [id:10590576] | Derrick White OVER RA 7.5 (GOBLIN) [id:10583613] | Jevon Carter UNDER RA 5 (STANDARD) [id:10587561] | Jonas Valančiūnas OVER PTS 5.5 (STANDARD) [id:10580675],0.33917261310742647,10.0,1.0,10.0,3.3917261310742646,10.0,atlas,0.7650751479414366,0.04874778802391129,Bub Carrington OVER PR 8.5 (GOBLIN) [id:10590576] | Derrick White OVER RA 7.5 (GOBLIN) [id:10583613] | Jevon Carter UNDER RA 5 (STANDARD) [id:10587561] | Jonas Valančiūnas OVER PTS 5.5 (STANDARD) [id:10580675],0.0,0.054,0.00048747788023911293,0.05448747788023911,33.86277383286241,"['bub carrington', 'derrick white', 'jevon carter', 'jonas valančiūnas']",1,Bub Carrington OVER PR 8.5 (GOBLIN) [id:10590576],Derrick White OVER RA 7.5 (GOBLIN) [id:10583613],Jevon Carter UNDER RA 5 (STANDARD) [id:10587561],Jonas Valančiūnas OVER PTS 5.5 (STANDARD) [id:10580675],0,
