n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Bruce Brown OVER REB 1.5 (GOBLIN) [id:10580066] | Pelle Larsson UNDER PA 15.5 (STANDARD) [id:10577260] | LeBron James OVER PA 26 (STANDARD) [id:10579502] | Bam Adebayo OVER PRA 36.5 (DEMON) [id:10577493],0.0633645631693843,10.0,2.19681527664472,21.9681527664472,1.392002403684228,10.0,pp_kernel,0.5305427083196561,0.03633071712183821,Bruce Brown OVER REB 1.5 (GOBLIN) [id:10580066] | Pelle Larsson UNDER PA 15.5 (STANDARD) [id:10577260] | LeBron James OVER PA 26 (STANDARD) [id:10579502] | Bam Adebayo OVER PRA 36.5 (DEMON) [id:10577493],0.01,0.024,0.00036330717121838213,0.03436330717121838,30.545358148225606,"['bruce brown', 'pelle larsson', 'lebron james', 'bam adebayo']",30.579721455396825,1,Bruce Brown OVER REB 1.5 (GOBLIN) [id:10580066],Pelle Larsson UNDER PA 15.5 (STANDARD) [id:10577260],LeBron James OVER PA 26 (STANDARD) [id:10579502],Bam Adebayo OVER PRA 36.5 (DEMON) [id:10577493],0,
4,Bub Carrington OVER PRA 11.5 (GOBLIN) [id:10587366] | LeBron James OVER RA 12.5 (STANDARD) [id:10579506] | Tre Johnson UNDER PTS 11.5 (STANDARD) [id:10581243] | Davion Mitchell OVER PR 13.5 (DEMON) [id:10592982],0.05036621314188691,10.0,2.3679316090473836,23.679316090473836,1.1926374812669176,10.0,pp_kernel,0.5052642433703067,0.04447414265922017,Bub Carrington OVER PRA 11.5 (GOBLIN) [id:10587366] | LeBron James OVER RA 12.5 (STANDARD) [id:10579506] | Tre Johnson UNDER PTS 11.5 (STANDARD) [id:10581243] | Davion Mitchell OVER PR 13.5 (DEMON) [id:10592982],0.01,0.054,0.00044474142659220174,0.0644447414265922,28.17639515883932,"['bub carrington', 'lebron james', 'tre johnson', 'davion mitchell']",28.24083990026591,1,Bub Carrington OVER PRA 11.5 (GOBLIN) [id:10587366],LeBron James OVER RA 12.5 (STANDARD) [id:10579506],Tre Johnson UNDER PTS 11.5 (STANDARD) [id:10581243],Davion Mitchell OVER PR 13.5 (DEMON) [id:10592982],0,
4,Jayson Tatum OVER PRA 29.5 (GOBLIN) [id:10582237] | Kris Dunn OVER PTS 7 (STANDARD) [id:10587419] | Pelle Larsson UNDER PA 15.5 (STANDARD) [id:10577260] | Maxime Raynaud OVER REB 9.5 (DEMON) [id:10583906],0.07150338214779446,10.0,2.0233484526927406,20.233484526927406,1.4467625763103764,10.0,pp_kernel,0.5577190412379898,0.031050924494018434,Jayson Tatum OVER PRA 29.5 (GOBLIN) [id:10582237] | Kris Dunn OVER PTS 7 (STANDARD) [id:10587419] | Pelle Larsson UNDER PA 15.5 (STANDARD) [id:10577260] | Maxime Raynaud OVER REB 9.5 (DEMON) [id:10583906],0.0,0.024,0.00031050924494018434,0.024310509244940184,29.248737692668694,"['jayson tatum', 'kris dunn', 'pelle larsson', 'maxime raynaud']",29.273048201913635,1,Jayson Tatum OVER PRA 29.5 (GOBLIN) [id:10582237],Kris Dunn OVER PTS 7 (STANDARD) [id:10587419],Pelle Larsson UNDER PA 15.5 (STANDARD) [id:10577260],Maxime Raynaud OVER REB 9.5 (DEMON) [id:10583906],0,
4,Derrick White OVER AST 3.5 (GOBLIN) [id:10592503] | Neemias Queta OVER PRA 20.5 (STANDARD) [id:10581621] | Wendell Carter UNDER PA 13.5 (STANDARD) [id:10577792] | Jaylen Brown OVER PA 39.5 (DEMON) [id:10582222],0.0699814591028202,10.0,1.967679751184906,19.67679751184906,1.3770110003499394,10.0,pp_kernel,0.5404706029582388,0.04162466402676478,Derrick White OVER AST 3.5 (GOBLIN) [id:10592503] | Neemias Queta OVER PRA 20.5 (STANDARD) [id:10581621] | Wendell Carter UNDER PA 13.5 (STANDARD) [id:10577792] | Jaylen Brown OVER PA 39.5 (DEMON) [id:10582222],0.04,0.054,0.00041624664026764776,0.09441624664026765,27.0007503788342,"['derrick white', 'neemias queta', 'wendell carter', 'jaylen brown']",27.09516662547447,1,Derrick White OVER AST 3.5 (GOBLIN) [id:10592503],Neemias Queta OVER PRA 20.5 (STANDARD) [id:10581621],Wendell Carter UNDER PA 13.5 (STANDARD) [id:10577792],Jaylen Brown OVER PA 39.5 (DEMON) [id:10582222],0,
4,Jayson Tatum OVER PRA 31.5 (GOBLIN) [id:10581976] | Jaxson Hayes UNDER PTS 6 (STANDARD) [id:10579822] | Bilal Coulibaly OVER PA 12.5 (STANDARD) [id:10581538] | Rui Hachimura OVER PRA 17.5 (DEMON) [id:10580396],0.062184388094874275,10.0,2.0701191872974305,20.701191872974306,1.2872909494554916,10.0,pp_kernel,0.5347223385463082,0.0480376840928262,Jayson Tatum OVER PRA 31.5 (GOBLIN) [id:10581976] | Jaxson Hayes UNDER PTS 6 (STANDARD) [id:10579822] | Bilal Coulibaly OVER PA 12.5 (STANDARD) [id:10581538] | Rui Hachimura OVER PRA 17.5 (DEMON) [id:10580396],0.01,0.054,0.00048037684092826205,0.06448037684092826,26.58397656418047,"['jayson tatum', 'jaxson hayes', 'bilal coulibaly', 'rui hachimura']",26.6484569410214,1,Jayson Tatum OVER PRA 31.5 (GOBLIN) [id:10581976],Jaxson Hayes UNDER PTS 6 (STANDARD) [id:10579822],Bilal Coulibaly OVER PA 12.5 (STANDARD) [id:10581538],Rui Hachimura OVER PRA 17.5 (DEMON) [id:10580396],0,
4,Rui Hachimura OVER REB 1.5 (GOBLIN) [id:10580397] | Kris Dunn UNDER PR 10.5 (STANDARD) [id:10583302] | Neemias Queta OVER RA 10.5 (STANDARD) [id:10581624] | Tyler Herro OVER REB 6.5 (DEMON) [id:10577771],0.05648766707306345,10.0,2.169718672082013,21.69718672082013,1.2256234599077809,10.0,pp_kernel,0.5145711299326219,0.032996880534314134,Rui Hachimura OVER REB 1.5 (GOBLIN) [id:10580397] | Kris Dunn UNDER PR 10.5 (STANDARD) [id:10583302] | Neemias Queta OVER RA 10.5 (STANDARD) [id:10581624] | Tyler Herro OVER REB 6.5 (DEMON) [id:10577771],0.0,0.012,0.00032996880534314133,0.012329968805343141,26.580251090231382,"['rui hachimura', 'kris dunn', 'neemias queta', 'tyler herro']",26.592581059036725,1,Rui Hachimura OVER REB 1.5 (GOBLIN) [id:10580397],Kris Dunn UNDER PR 10.5 (STANDARD) [id:10583302],Neemias Queta OVER RA 10.5 (STANDARD) [id:10581624],Tyler Herro OVER REB 6.5 (DEMON) [id:10577771],0,
4,LeBron James OVER PA 19.5 (GOBLIN) [id:10583031] | Bennedict Mathurin OVER RA 7.5 (STANDARD) [id:10583681] | Pelle Larsson OVER RA 8 (STANDARD) [id:10577265] | Bam Adebayo OVER PRA 36.5 (DEMON) [id:10577493],0.053737644187058946,10.0,2.22262249240635,22.226224924063498,1.1943849665908655,10.0,pp_kernel,0.5041967277331142,0.05834505578330077,LeBron James OVER PA 19.5 (GOBLIN) [id:10583031] | Bennedict Mathurin OVER RA 7.5 (STANDARD) [id:10583681] | Pelle Larsson OVER RA 8 (STANDARD) [id:10577265] | Bam Adebayo OVER PRA 36.5 (DEMON) [id:10577493],0.01,0.054,0.0005834505578330078,0.064583450557833,26.482085462810808,"['lebron james', 'bennedict mathurin', 'pelle larsson', 'bam adebayo']",26.54666891336864,1,LeBron James OVER PA 19.5 (GOBLIN) [id:10583031],Bennedict Mathurin OVER RA 7.5 (STANDARD) [id:10583681],Pelle Larsson OVER RA 8 (STANDARD) [id:10577265],Bam Adebayo OVER PRA 36.5 (DEMON) [id:10577493],0,
4,Bub Carrington OVER PA 7.5 (GOBLIN) [id:10583604] | Jamal Murray UNDER PR 29.5 (STANDARD) [id:10580203] | Deandre Ayton OVER PA 10.5 (STANDARD) [id:10580162] | Austin Reaves OVER REB 5.5 (DEMON) [id:10579817],0.07695854965801154,10.0,1.8489594939078342,18.48959493907834,1.4229324102755792,10.0,pp_kernel,0.5600679158236637,0.04495061673214082,Bub Carrington OVER PA 7.5 (GOBLIN) [id:10583604] | Jamal Murray UNDER PR 29.5 (STANDARD) [id:10580203] | Deandre Ayton OVER PA 10.5 (STANDARD) [id:10580162] | Austin Reaves OVER REB 5.5 (DEMON) [id:10579817],0.01,0.024,0.0004495061673214082,0.03444950616732141,26.274994385514574,"['bub carrington', 'jamal murray', 'deandre ayton', 'austin reaves']",26.309443891681894,1,Bub Carrington OVER PA 7.5 (GOBLIN) [id:10583604],Jamal Murray UNDER PR 29.5 (STANDARD) [id:10580203],Deandre Ayton OVER PA 10.5 (STANDARD) [id:10580162],Austin Reaves OVER REB 5.5 (DEMON) [id:10579817],0,
4,Jonas Valančiūnas OVER PTS 3.5 (GOBLIN) [id:10594136] | Derrick White OVER RA 10 (STANDARD) [id:10581579] | Kris Dunn UNDER PR 10.5 (STANDARD) [id:10583302] | Aaron Gordon OVER RA 10.5 (DEMON) [id:10580017],0.07021866868568286,10.0,1.9322924618631898,19.322924618631898,1.356830041834138,10.0,pp_kernel,0.5503507657300138,0.04132607342184898,Jonas Valančiūnas OVER PTS 3.5 (GOBLIN) [id:10594136] | Derrick White OVER RA 10 (STANDARD) [id:10581579] | Kris Dunn UNDER PR 10.5 (STANDARD) [id:10583302] | Aaron Gordon OVER RA 10.5 (DEMON) [id:10580017],0.01,0.054,0.00041326073421848976,0.06441326073421849,26.153511357921992,"['jonas valančiūnas', 'derrick white', 'kris dunn', 'aaron gordon']",26.217924618656212,1,Jonas Valančiūnas OVER PTS 3.5 (GOBLIN) [id:10594136],Derrick White OVER RA 10 (STANDARD) [id:10581579],Kris Dunn UNDER PR 10.5 (STANDARD) [id:10583302],Aaron Gordon OVER RA 10.5 (DEMON) [id:10580017],0,
4,Tre Johnson OVER PTS 7.5 (GOBLIN) [id:10584653] | Neemias Queta OVER RA 10.5 (STANDARD) [id:10581624] | Payton Pritchard OVER PRA 26.5 (STANDARD) [id:10580643] | DeMar DeRozan OVER RA 8.5 (DEMON) [id:10583780],0.07515436116207622,10.0,1.8598532506137941,18.598532506137943,1.3977608290509054,10.0,pp_kernel,0.5507795224652932,0.060084122340883866,Tre Johnson OVER PTS 7.5 (GOBLIN) [id:10584653] | Neemias Queta OVER RA 10.5 (STANDARD) [id:10581624] | Payton Pritchard OVER PRA 26.5 (STANDARD) [id:10580643] | DeMar DeRozan OVER RA 8.5 (DEMON) [id:10583780],0.01,0.054,0.0006008412234088387,0.06460084122340884,25.931699373686175,"['tre johnson', 'neemias queta', 'payton pritchard', 'demar derozan']",25.996300214909585,1,Tre Johnson OVER PTS 7.5 (GOBLIN) [id:10584653],Neemias Queta OVER RA 10.5 (STANDARD) [id:10581624],Payton Pritchard OVER PRA 26.5 (STANDARD) [id:10580643],DeMar DeRozan OVER RA 8.5 (DEMON) [id:10583780],0,
