n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Ajay Mitchell OVER AST 1.5 (GOBLIN) [id:10601762] | Cody Williams UNDER PTS 12.5 (STANDARD) [id:10603605] | Kobe Brown UNDER PRA 18.5 (STANDARD) [id:10602779] | Aaron Wiggins OVER PR 10.5 (DEMON) [id:10605294],0.36122623207154664,10.0,1.0,10.0,3.6122623207154665,10.0,atlas,0.7822907258300219,0.030268882330326957,Ajay Mitchell OVER AST 1.5 (GOBLIN) [id:10601762] | Cody Williams UNDER PTS 12.5 (STANDARD) [id:10603605] | Kobe Brown UNDER PRA 18.5 (STANDARD) [id:10602779] | Aaron Wiggins OVER PR 10.5 (DEMON) [id:10605294],0.01,0.054,0.0003026888233032696,0.06430268882330327,36.05832051833136,"['ajay mitchell', 'cody williams', 'kobe brown', 'aaron wiggins']",1,Ajay Mitchell OVER AST 1.5 (GOBLIN) [id:10601762],Cody Williams UNDER PTS 12.5 (STANDARD) [id:10603605],Kobe Brown UNDER PRA 18.5 (STANDARD) [id:10602779],Aaron Wiggins OVER PR 10.5 (DEMON) [id:10605294],0,
4,Ajay Mitchell OVER PRA 14.5 (GOBLIN) [id:10602281] | Brandin Podziemski UNDER PR 25 (STANDARD) [id:10596613] | Quentin Grimes UNDER PTS 20 (STANDARD) [id:10598374] | Aaron Wiggins OVER PR 10.5 (DEMON) [id:10605294],0.36046253609718776,10.0,1.0,10.0,3.6046253609718777,10.0,atlas,0.7827696896345562,0.03771617719360636,Ajay Mitchell OVER PRA 14.5 (GOBLIN) [id:10602281] | Brandin Podziemski UNDER PR 25 (STANDARD) [id:10596613] | Quentin Grimes UNDER PTS 20 (STANDARD) [id:10598374] | Aaron Wiggins OVER PR 10.5 (DEMON) [id:10605294],0.01,0.054,0.00037716177193606356,0.06437716177193606,35.98187644794684,"['ajay mitchell', 'brandin podziemski', 'quentin grimes', 'aaron wiggins']",1,Ajay Mitchell OVER PRA 14.5 (GOBLIN) [id:10602281],Brandin Podziemski UNDER PR 25 (STANDARD) [id:10596613],Quentin Grimes UNDER PTS 20 (STANDARD) [id:10598374],Aaron Wiggins OVER PR 10.5 (DEMON) [id:10605294],0,
4,Ajay Mitchell OVER AST 1.5 (GOBLIN) [id:10601762] | Justin Edwards UNDER PTS 11.5 (STANDARD) [id:10598355] | Gui Santos UNDER PTS 16.5 (STANDARD) [id:10596631] | Khris Middleton OVER AST 2.5 (DEMON) [id:10606754],0.3515924175686426,10.0,1.0,10.0,3.5159241756864263,10.0,atlas,0.7812707804683393,0.021161497953131665,Ajay Mitchell OVER AST 1.5 (GOBLIN) [id:10601762] | Justin Edwards UNDER PTS 11.5 (STANDARD) [id:10598355] | Gui Santos UNDER PTS 16.5 (STANDARD) [id:10596631] | Khris Middleton OVER AST 2.5 (DEMON) [id:10606754],0.0,0.054,0.00021161497953131665,0.054211614979531315,35.10503014188473,"['ajay mitchell', 'justin edwards', 'gui santos', 'khris middleton']",1,Ajay Mitchell OVER AST 1.5 (GOBLIN) [id:10601762],Justin Edwards UNDER PTS 11.5 (STANDARD) [id:10598355],Gui Santos UNDER PTS 16.5 (STANDARD) [id:10596631],Khris Middleton OVER AST 2.5 (DEMON) [id:10606754],0,
4,Ajay Mitchell OVER PRA 14.5 (GOBLIN) [id:10602281] | Gui Santos UNDER PTS 16.5 (STANDARD) [id:10596631] | Quentin Grimes UNDER PR 24.5 (STANDARD) [id:10598375] | Julius Randle OVER PTS 18.5 (DEMON) [id:10598998],0.34949608820696204,10.0,1.0,10.0,3.4949608820696203,10.0,atlas,0.7806590226175495,0.02902685049000142,Ajay Mitchell OVER PRA 14.5 (GOBLIN) [id:10602281] | Gui Santos UNDER PTS 16.5 (STANDARD) [id:10596631] | Quentin Grimes UNDER PR 24.5 (STANDARD) [id:10598375] | Julius Randle OVER PTS 18.5 (DEMON) [id:10598998],0.0,0.054,0.0002902685049000142,0.05429026850490001,34.895318552191306,"['ajay mitchell', 'gui santos', 'quentin grimes', 'julius randle']",1,Ajay Mitchell OVER PRA 14.5 (GOBLIN) [id:10602281],Gui Santos UNDER PTS 16.5 (STANDARD) [id:10596631],Quentin Grimes UNDER PR 24.5 (STANDARD) [id:10598375],Julius Randle OVER PTS 18.5 (DEMON) [id:10598998],0,
4,Sandro Mamukelashvili OVER PRA 9.5 (GOBLIN) [id:10603476] | Quentin Grimes UNDER PA 25 (STANDARD) [id:10598692] | Kobe Brown UNDER PTS 10.5 (STANDARD) [id:10602777] | Aaron Wiggins OVER PR 10.5 (DEMON) [id:10605294],0.3458388538670757,10.0,1.0,10.0,3.458388538670757,10.0,atlas,0.7728970258997773,0.03678880139215163,Sandro Mamukelashvili OVER PRA 9.5 (GOBLIN) [id:10603476] | Quentin Grimes UNDER PA 25 (STANDARD) [id:10598692] | Kobe Brown UNDER PTS 10.5 (STANDARD) [id:10602777] | Aaron Wiggins OVER PR 10.5 (DEMON) [id:10605294],0.0,0.054,0.00036788801392151626,0.05436788801392151,34.52951749869365,"['sandro mamukelashvili', 'quentin grimes', 'kobe brown', 'aaron wiggins']",1,Sandro Mamukelashvili OVER PRA 9.5 (GOBLIN) [id:10603476],Quentin Grimes UNDER PA 25 (STANDARD) [id:10598692],Kobe Brown UNDER PTS 10.5 (STANDARD) [id:10602777],Aaron Wiggins OVER PR 10.5 (DEMON) [id:10605294],0,
4,Isaiah Joe OVER FG3M 0.5 (GOBLIN) [id:10601773] | Justin Edwards UNDER REB 3.5 (STANDARD) [id:10598360] | Nique Clifford UNDER AST 4 (STANDARD) [id:10603842] | Khris Middleton OVER AST 2.5 (DEMON) [id:10606754],0.33971239365684247,10.0,1.0,10.0,3.3971239365684247,10.0,atlas,0.7737899529890424,0.02137423766842208,Isaiah Joe OVER FG3M 0.5 (GOBLIN) [id:10601773] | Justin Edwards UNDER REB 3.5 (STANDARD) [id:10598360] | Nique Clifford UNDER AST 4 (STANDARD) [id:10603842] | Khris Middleton OVER AST 2.5 (DEMON) [id:10606754],0.0,0.006,0.0002137423766842208,0.006213742376684221,33.96502562330756,"['isaiah joe', 'justin edwards', 'nique clifford', 'khris middleton']",1,Isaiah Joe OVER FG3M 0.5 (GOBLIN) [id:10601773],Justin Edwards UNDER REB 3.5 (STANDARD) [id:10598360],Nique Clifford UNDER AST 4 (STANDARD) [id:10603842],Khris Middleton OVER AST 2.5 (DEMON) [id:10606754],0,
4,Ivica Zubac OVER RA 7.5 (GOBLIN) [id:10606494] | Justin Edwards UNDER PR 15.5 (STANDARD) [id:10598357] | Quentin Grimes UNDER PR 24.5 (STANDARD) [id:10598375] | Shai Gilgeous-Alexander OVER PRA 46.5 (DEMON) [id:10599170],0.3378184276928423,10.0,1.0,10.0,3.3781842769284234,10.0,atlas,0.7677330316832482,0.037706407698258615,Ivica Zubac OVER RA 7.5 (GOBLIN) [id:10606494] | Justin Edwards UNDER PR 15.5 (STANDARD) [id:10598357] | Quentin Grimes UNDER PR 24.5 (STANDARD) [id:10598375] | Shai Gilgeous-Alexander OVER PRA 46.5 (DEMON) [id:10599170],0.01,0.054,0.00037706407698258614,0.06437706407698258,33.717465705207246,"['ivica zubac', 'justin edwards', 'quentin grimes', 'shai gilgeous-alexander']",1,Ivica Zubac OVER RA 7.5 (GOBLIN) [id:10606494],Justin Edwards UNDER PR 15.5 (STANDARD) [id:10598357],Quentin Grimes UNDER PR 24.5 (STANDARD) [id:10598375],Shai Gilgeous-Alexander OVER PRA 46.5 (DEMON) [id:10599170],0,
4,Shai Gilgeous-Alexander OVER PA 35.5 (GOBLIN) [id:10609239] | Nique Clifford UNDER PTS 15.5 (STANDARD) [id:10603844] | Gui Santos UNDER PTS 16.5 (STANDARD) [id:10596631] | Scottie Barnes OVER RA 11.5 (DEMON) [id:10605691],0.3332725316880911,10.0,1.0,10.0,3.3327253168809112,10.0,atlas,0.771645140660452,0.03552754434920054,Shai Gilgeous-Alexander OVER PA 35.5 (GOBLIN) [id:10609239] | Nique Clifford UNDER PTS 15.5 (STANDARD) [id:10603844] | Gui Santos UNDER PTS 16.5 (STANDARD) [id:10596631] | Scottie Barnes OVER RA 11.5 (DEMON) [id:10605691],0.0,0.054,0.0003552754434920054,0.054355275443492,33.272897893365624,"['shai gilgeous-alexander', 'nique clifford', 'gui santos', 'scottie barnes']",1,Shai Gilgeous-Alexander OVER PA 35.5 (GOBLIN) [id:10609239],Nique Clifford UNDER PTS 15.5 (STANDARD) [id:10603844],Gui Santos UNDER PTS 16.5 (STANDARD) [id:10596631],Scottie Barnes OVER RA 11.5 (DEMON) [id:10605691],0,
4,James Harden OVER PR 19.5 (GOBLIN) [id:10602595] | Adem Bona UNDER PTS 8.5 (STANDARD) [id:10598245] | Keon Ellis UNDER PRA 14.5 (STANDARD) [id:10601354] | Julius Randle OVER PA 22.5 (DEMON) [id:10609068],0.32662674850625517,10.0,1.0,10.0,3.266267485062552,10.0,atlas,0.7625089145656976,0.035309703651539404,James Harden OVER PR 19.5 (GOBLIN) [id:10602595] | Adem Bona UNDER PTS 8.5 (STANDARD) [id:10598245] | Keon Ellis UNDER PRA 14.5 (STANDARD) [id:10601354] | Julius Randle OVER PA 22.5 (DEMON) [id:10609068],0.01,0.054,0.00035309703651539403,0.0643530970365154,32.598321753589,"['james harden', 'adem bona', 'keon ellis', 'julius randle']",1,James Harden OVER PR 19.5 (GOBLIN) [id:10602595],Adem Bona UNDER PTS 8.5 (STANDARD) [id:10598245],Keon Ellis UNDER PRA 14.5 (STANDARD) [id:10601354],Julius Randle OVER PA 22.5 (DEMON) [id:10609068],0,
4,Isaiah Joe OVER PTS 3.5 (GOBLIN) [id:10609204] | Gui Santos UNDER PRA 26.5 (STANDARD) [id:10596634] | Isaiah Collier UNDER PTS 17.5 (STANDARD) [id:10603618] | Julius Randle OVER PTS 18.5 (DEMON) [id:10598998],0.32445037621083406,10.0,1.0,10.0,3.244503762108341,10.0,atlas,0.7649094011574238,0.02111146464295657,Isaiah Joe OVER PTS 3.5 (GOBLIN) [id:10609204] | Gui Santos UNDER PRA 26.5 (STANDARD) [id:10596634] | Isaiah Collier UNDER PTS 17.5 (STANDARD) [id:10603618] | Julius Randle OVER PTS 18.5 (DEMON) [id:10598998],0.0,0.054,0.0002111146464295657,0.05421111464642957,32.39082650643698,"['isaiah joe', 'gui santos', 'isaiah collier', 'julius randle']",1,Isaiah Joe OVER PTS 3.5 (GOBLIN) [id:10609204],Gui Santos UNDER PRA 26.5 (STANDARD) [id:10596634],Isaiah Collier UNDER PTS 17.5 (STANDARD) [id:10603618],Julius Randle OVER PTS 18.5 (DEMON) [id:10598998],0,
