n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Jordan Goodwin OVER PA 4.5 (GOBLIN) [id:10638346] | Jayson Tatum OVER PR 22.5 (GOBLIN) [id:10635679] | Josh Minott UNDER PA 11.5 (STANDARD) [id:10634850] | Leonard Miller UNDER PA 14.5 (STANDARD) [id:10638434] | Amen Thompson OVER REB 7.5 (DEMON) [id:10618216],0.35475008387119433,20.0,1.0,20.0,7.095001677423887,20.0,atlas,0.8195691007397944,0.0405741658848152,Jordan Goodwin OVER PA 4.5 (GOBLIN) [id:10638346] | Jayson Tatum OVER PR 22.5 (GOBLIN) [id:10635679] | Josh Minott UNDER PA 11.5 (STANDARD) [id:10634850] | Leonard Miller UNDER PA 14.5 (STANDARD) [id:10638434] | Amen Thompson OVER REB 7.5 (DEMON) [id:10618216],0.0,0.054,0.000405741658848152,0.05440574165884815,141.84562780681887,"['jordan goodwin', 'jayson tatum', 'josh minott', 'leonard miller', 'amen thompson']",1,Jordan Goodwin OVER PA 4.5 (GOBLIN) [id:10638346],Jayson Tatum OVER PR 22.5 (GOBLIN) [id:10635679],Josh Minott UNDER PA 11.5 (STANDARD) [id:10634850],Leonard Miller UNDER PA 14.5 (STANDARD) [id:10638434],Amen Thompson OVER REB 7.5 (DEMON) [id:10618216],0,
5,Grayson Allen OVER PRA 14.5 (GOBLIN) [id:10635580] | Jayson Tatum OVER PR 24.5 (GOBLIN) [id:10621359] | Matas Buzelis UNDER PTS 21.5 (STANDARD) [id:10620096] | Leonard Miller UNDER PRA 22 (STANDARD) [id:10638436] | Payton Pritchard OVER PRA 25.5 (DEMON) [id:10621042],0.3337219419123506,20.0,1.0,20.0,6.674438838247012,20.0,atlas,0.8107022174890008,0.044308566647607725,Grayson Allen OVER PRA 14.5 (GOBLIN) [id:10635580] | Jayson Tatum OVER PR 24.5 (GOBLIN) [id:10621359] | Matas Buzelis UNDER PTS 21.5 (STANDARD) [id:10620096] | Leonard Miller UNDER PRA 22 (STANDARD) [id:10638436] | Payton Pritchard OVER PRA 25.5 (DEMON) [id:10621042],0.02,0.096,0.00044308566647607725,0.11644308566647608,133.37233367927377,"['grayson allen', 'jayson tatum', 'matas buzelis', 'leonard miller', 'payton pritchard']",1,Grayson Allen OVER PRA 14.5 (GOBLIN) [id:10635580],Jayson Tatum OVER PR 24.5 (GOBLIN) [id:10621359],Matas Buzelis UNDER PTS 21.5 (STANDARD) [id:10620096],Leonard Miller UNDER PRA 22 (STANDARD) [id:10638436],Payton Pritchard OVER PRA 25.5 (DEMON) [id:10621042],0,
5,Derrick White OVER REB 2.5 (GOBLIN) [id:10621160] | Jayson Tatum OVER FG3M 1.5 (GOBLIN) [id:10620690] | Leonard Miller UNDER PTS 12.5 (STANDARD) [id:10638431] | Nick Richards UNDER PA 11.5 (STANDARD) [id:10642225] | Collin Gillespie OVER PA 15.5 (DEMON) [id:10631747],0.3174446515604488,20.0,1.0,20.0,6.348893031208976,20.0,atlas,0.8043600591694477,0.03161208287055545,Derrick White OVER REB 2.5 (GOBLIN) [id:10621160] | Jayson Tatum OVER FG3M 1.5 (GOBLIN) [id:10620690] | Leonard Miller UNDER PTS 12.5 (STANDARD) [id:10638431] | Nick Richards UNDER PA 11.5 (STANDARD) [id:10642225] | Collin Gillespie OVER PA 15.5 (DEMON) [id:10631747],0.02,0.024,0.00031612082870555446,0.04431612082870555,126.93354450335082,"['derrick white', 'jayson tatum', 'leonard miller', 'nick richards', 'collin gillespie']",1,Derrick White OVER REB 2.5 (GOBLIN) [id:10621160],Jayson Tatum OVER FG3M 1.5 (GOBLIN) [id:10620690],Leonard Miller UNDER PTS 12.5 (STANDARD) [id:10638431],Nick Richards UNDER PA 11.5 (STANDARD) [id:10642225],Collin Gillespie OVER PA 15.5 (DEMON) [id:10631747],0,
5,Derrick White OVER RA 7.5 (GOBLIN) [id:10621123] | Amen Thompson OVER PR 19.5 (GOBLIN) [id:10641587] | Nick Richards UNDER PTS 9.5 (STANDARD) [id:10622939] | Leonard Miller UNDER PA 14.5 (STANDARD) [id:10638434] | Jordan Goodwin OVER RA 5.5 (DEMON) [id:10630795],0.31499846967951683,20.0,1.0,20.0,6.299969393590336,20.0,atlas,0.7977108399527266,0.04729073169417693,Derrick White OVER RA 7.5 (GOBLIN) [id:10621123] | Amen Thompson OVER PR 19.5 (GOBLIN) [id:10641587] | Nick Richards UNDER PTS 9.5 (STANDARD) [id:10622939] | Leonard Miller UNDER PA 14.5 (STANDARD) [id:10638434] | Jordan Goodwin OVER RA 5.5 (DEMON) [id:10630795],0.01,0.096,0.0004729073169417693,0.10647290731694177,125.89291496448979,"['derrick white', 'amen thompson', 'nick richards', 'leonard miller', 'jordan goodwin']",1,Derrick White OVER RA 7.5 (GOBLIN) [id:10621123],Amen Thompson OVER PR 19.5 (GOBLIN) [id:10641587],Nick Richards UNDER PTS 9.5 (STANDARD) [id:10622939],Leonard Miller UNDER PA 14.5 (STANDARD) [id:10638434],Jordan Goodwin OVER RA 5.5 (DEMON) [id:10630795],0,
5,Jayson Tatum OVER PRA 29.5 (GOBLIN) [id:10621360] | Payton Pritchard OVER PA 14.5 (GOBLIN) [id:10621699] | Guerschon Yabusele UNDER PR 13 (STANDARD) [id:10622922] | Matas Buzelis UNDER PTS 21.5 (STANDARD) [id:10620096] | Jordan Goodwin OVER PRA 12.5 (DEMON) [id:10641321],0.29918112385679363,20.0,1.0,20.0,5.983622477135873,20.0,atlas,0.7891287697948635,0.0498307989676953,Jayson Tatum OVER PRA 29.5 (GOBLIN) [id:10621360] | Payton Pritchard OVER PA 14.5 (GOBLIN) [id:10621699] | Guerschon Yabusele UNDER PR 13 (STANDARD) [id:10622922] | Matas Buzelis UNDER PTS 21.5 (STANDARD) [id:10620096] | Jordan Goodwin OVER PRA 12.5 (DEMON) [id:10641321],0.02,0.096,0.000498307989676953,0.11649830798967696,119.55595123472779,"['jayson tatum', 'payton pritchard', 'guerschon yabusele', 'matas buzelis', 'jordan goodwin']",1,Jayson Tatum OVER PRA 29.5 (GOBLIN) [id:10621360],Payton Pritchard OVER PA 14.5 (GOBLIN) [id:10621699],Guerschon Yabusele UNDER PR 13 (STANDARD) [id:10622922],Matas Buzelis UNDER PTS 21.5 (STANDARD) [id:10620096],Jordan Goodwin OVER PRA 12.5 (DEMON) [id:10641321],0,
5,Jordan Goodwin OVER PR 4.5 (GOBLIN) [id:10635585] | Payton Pritchard OVER RA 6.5 (GOBLIN) [id:10635695] | Nolan Traore UNDER PTS 10.5 (STANDARD) [id:10621843] | Danny Wolf UNDER PRA 22.5 (STANDARD) [id:10625599] | Derrick White OVER PRA 26.5 (DEMON) [id:10620879],0.28345310715120975,20.0,1.0,20.0,5.669062143024195,20.0,atlas,0.7822635354847896,0.046712508069754535,Jordan Goodwin OVER PR 4.5 (GOBLIN) [id:10635585] | Payton Pritchard OVER RA 6.5 (GOBLIN) [id:10635695] | Nolan Traore UNDER PTS 10.5 (STANDARD) [id:10621843] | Danny Wolf UNDER PRA 22.5 (STANDARD) [id:10625599] | Derrick White OVER PRA 26.5 (DEMON) [id:10620879],0.02,0.096,0.00046712508069754536,0.11646712508069755,113.26477573540319,"['jordan goodwin', 'payton pritchard', 'nolan traore', 'danny wolf', 'derrick white']",1,Jordan Goodwin OVER PR 4.5 (GOBLIN) [id:10635585],Payton Pritchard OVER RA 6.5 (GOBLIN) [id:10635695],Nolan Traore UNDER PTS 10.5 (STANDARD) [id:10621843],Danny Wolf UNDER PRA 22.5 (STANDARD) [id:10625599],Derrick White OVER PRA 26.5 (DEMON) [id:10620879],0,
5,Payton Pritchard OVER PA 14.5 (GOBLIN) [id:10621699] | Khris Middleton OVER REB 1.5 (GOBLIN) [id:10642746] | Nick Richards UNDER PA 11.5 (STANDARD) [id:10642225] | Guerschon Yabusele UNDER PRA 14.5 (STANDARD) [id:10641116] | Amen Thompson OVER REB 7.5 (DEMON) [id:10618216],0.2699143989982162,20.0,1.0,20.0,5.398287979964324,20.0,atlas,0.771282140472687,0.035796013408338566,Payton Pritchard OVER PA 14.5 (GOBLIN) [id:10621699] | Khris Middleton OVER REB 1.5 (GOBLIN) [id:10642746] | Nick Richards UNDER PA 11.5 (STANDARD) [id:10642225] | Guerschon Yabusele UNDER PRA 14.5 (STANDARD) [id:10641116] | Amen Thompson OVER REB 7.5 (DEMON) [id:10618216],0.01,0.03,0.00035796013408338567,0.04035796013408339,107.92540163915238,"['payton pritchard', 'khris middleton', 'nick richards', 'guerschon yabusele', 'amen thompson']",1,Payton Pritchard OVER PA 14.5 (GOBLIN) [id:10621699],Khris Middleton OVER REB 1.5 (GOBLIN) [id:10642746],Nick Richards UNDER PA 11.5 (STANDARD) [id:10642225],Guerschon Yabusele UNDER PRA 14.5 (STANDARD) [id:10641116],Amen Thompson OVER REB 7.5 (DEMON) [id:10618216],0,
5,Grayson Allen OVER PTS 9.5 (GOBLIN) [id:10620637] | Derrick White OVER PR 14.5 (GOBLIN) [id:10621328] | Walter Clayton UNDER PTS 11.5 (STANDARD) [id:10624031] | Matas Buzelis UNDER PTS 21.5 (STANDARD) [id:10620096] | Rui Hachimura OVER REB 2.5 (DEMON) [id:10617737],0.2612394348692619,20.0,1.0,20.0,5.224788697385238,20.0,atlas,0.7691648676053651,0.031229339330021755,Grayson Allen OVER PTS 9.5 (GOBLIN) [id:10620637] | Derrick White OVER PR 14.5 (GOBLIN) [id:10621328] | Walter Clayton UNDER PTS 11.5 (STANDARD) [id:10624031] | Matas Buzelis UNDER PTS 21.5 (STANDARD) [id:10620096] | Rui Hachimura OVER REB 2.5 (DEMON) [id:10617737],0.0,0.054,0.00031229339330021753,0.054312293393300216,104.44146165431145,"['grayson allen', 'derrick white', 'walter clayton', 'matas buzelis', 'rui hachimura']",1,Grayson Allen OVER PTS 9.5 (GOBLIN) [id:10620637],Derrick White OVER PR 14.5 (GOBLIN) [id:10621328],Walter Clayton UNDER PTS 11.5 (STANDARD) [id:10624031],Matas Buzelis UNDER PTS 21.5 (STANDARD) [id:10620096],Rui Hachimura OVER REB 2.5 (DEMON) [id:10617737],0,
5,Amen Thompson OVER REB 6.5 (GOBLIN) [id:10618818] | Jaylen Wells OVER REB 1.5 (GOBLIN) [id:10641829] | Walter Clayton UNDER PA 17.5 (STANDARD) [id:10624035] | Drake Powell UNDER PTS 8.5 (STANDARD) [id:10625604] | Rui Hachimura OVER REB 2.5 (DEMON) [id:10617737],0.24092806441921474,20.0,1.0,20.0,4.818561288384295,20.0,atlas,0.7559899576549938,0.026437677941840026,Amen Thompson OVER REB 6.5 (GOBLIN) [id:10618818] | Jaylen Wells OVER REB 1.5 (GOBLIN) [id:10641829] | Walter Clayton UNDER PA 17.5 (STANDARD) [id:10624035] | Drake Powell UNDER PTS 8.5 (STANDARD) [id:10625604] | Rui Hachimura OVER REB 2.5 (DEMON) [id:10617737],0.01,0.03,0.00026437677941840024,0.0402643767794184,96.33096139090648,"['amen thompson', 'jaylen wells', 'walter clayton', 'drake powell', 'rui hachimura']",1,Amen Thompson OVER REB 6.5 (GOBLIN) [id:10618818],Jaylen Wells OVER REB 1.5 (GOBLIN) [id:10641829],Walter Clayton UNDER PA 17.5 (STANDARD) [id:10624035],Drake Powell UNDER PTS 8.5 (STANDARD) [id:10625604],Rui Hachimura OVER REB 2.5 (DEMON) [id:10617737],0,
5,Jaylen Wells OVER REB 1.5 (GOBLIN) [id:10641829] | Khris Middleton OVER RA 3.5 (GOBLIN) [id:10642808] | Nick Richards UNDER PTS 9.5 (STANDARD) [id:10622939] | Matas Buzelis UNDER PTS 21.5 (STANDARD) [id:10620096] | Collin Gillespie OVER PA 15.5 (DEMON) [id:10631747],0.23064607391184136,20.0,1.0,20.0,4.612921478236827,20.0,atlas,0.7507750440053563,0.038871987903123725,Jaylen Wells OVER REB 1.5 (GOBLIN) [id:10641829] | Khris Middleton OVER RA 3.5 (GOBLIN) [id:10642808] | Nick Richards UNDER PTS 9.5 (STANDARD) [id:10622939] | Matas Buzelis UNDER PTS 21.5 (STANDARD) [id:10620096] | Collin Gillespie OVER PA 15.5 (DEMON) [id:10631747],0.01,0.054,0.0003887198790312373,0.06438871987903123,92.19404084485751,"['jaylen wells', 'khris middleton', 'nick richards', 'matas buzelis', 'collin gillespie']",1,Jaylen Wells OVER REB 1.5 (GOBLIN) [id:10641829],Khris Middleton OVER RA 3.5 (GOBLIN) [id:10642808],Nick Richards UNDER PTS 9.5 (STANDARD) [id:10622939],Matas Buzelis UNDER PTS 21.5 (STANDARD) [id:10620096],Collin Gillespie OVER PA 15.5 (DEMON) [id:10631747],0,
