n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Payton Pritchard OVER REB 2.5 (GOBLIN) [id:10395759] | Jabari Smith OVER PTS 9.5 (GOBLIN) [id:10395827] | James Harden OVER PR 23.5 (STANDARD) [id:10395352] | Jayson Tatum OVER PA 21.5 (STANDARD) [id:10395695] | Dennis Schröder OVER PTS 9.5 (DEMON) [id:10395446],0.18490418378601972,20.0,1.0,20.0,3.6980836757203943,20.0,atlas,0.7247329343646798,0.05800775793799982,Payton Pritchard OVER REB 2.5 (GOBLIN) [id:10395759] | Jabari Smith OVER PTS 9.5 (GOBLIN) [id:10395827] | James Harden OVER PR 23.5 (STANDARD) [id:10395352] | Jayson Tatum OVER PA 21.5 (STANDARD) [id:10395695] | Dennis Schröder OVER PTS 9.5 (DEMON) [id:10395446],0.02,0.054,0.0005800775793799982,0.07458007757938,73.88709343682851,"['payton pritchard', 'jabari smith', 'james harden', 'jayson tatum', 'dennis schröder']",1,Payton Pritchard OVER REB 2.5 (GOBLIN) [id:10395759],Jabari Smith OVER PTS 9.5 (GOBLIN) [id:10395827],James Harden OVER PR 23.5 (STANDARD) [id:10395352],Jayson Tatum OVER PA 21.5 (STANDARD) [id:10395695],Dennis Schröder OVER PTS 9.5 (DEMON) [id:10395446],0,
5,Amen Thompson OVER AST 3.5 (GOBLIN) [id:10395798] | Jabari Smith OVER PTS 9.5 (GOBLIN) [id:10395827] | Jaylon Tyson OVER AST 1.5 (STANDARD) [id:10395659] | Jayson Tatum OVER PR 23.5 (STANDARD) [id:10395696] | Luke Kornet OVER REB 5.5 (DEMON) [id:10395008],0.1846874524622829,20.0,1.0,20.0,3.693749049245658,20.0,atlas,0.7212548119709148,0.05199500638458252,Amen Thompson OVER AST 3.5 (GOBLIN) [id:10395798] | Jabari Smith OVER PTS 9.5 (GOBLIN) [id:10395827] | Jaylon Tyson OVER AST 1.5 (STANDARD) [id:10395659] | Jayson Tatum OVER PR 23.5 (STANDARD) [id:10395696] | Luke Kornet OVER REB 5.5 (DEMON) [id:10395008],0.01,0.054,0.0005199500638458253,0.06451995006384582,73.81046103484933,"['amen thompson', 'jabari smith', 'jaylon tyson', 'jayson tatum', 'luke kornet']",1,Amen Thompson OVER AST 3.5 (GOBLIN) [id:10395798],Jabari Smith OVER PTS 9.5 (GOBLIN) [id:10395827],Jaylon Tyson OVER AST 1.5 (STANDARD) [id:10395659],Jayson Tatum OVER PR 23.5 (STANDARD) [id:10395696],Luke Kornet OVER REB 5.5 (DEMON) [id:10395008],0,
5,Dennis Schröder OVER PTS 4.5 (GOBLIN) [id:10396048] | Derrick White OVER AST 3.5 (GOBLIN) [id:10395559] | Jayson Tatum OVER PA 21.5 (STANDARD) [id:10395695] | James Harden OVER PR 23.5 (STANDARD) [id:10395352] | Evan Mobley OVER PRA 28.5 (DEMON) [id:10396083],0.18071054780279955,20.0,1.0,20.0,3.6142109560559907,20.0,atlas,0.7175193962940476,0.0681907048230634,Dennis Schröder OVER PTS 4.5 (GOBLIN) [id:10396048] | Derrick White OVER AST 3.5 (GOBLIN) [id:10395559] | Jayson Tatum OVER PA 21.5 (STANDARD) [id:10395695] | James Harden OVER PR 23.5 (STANDARD) [id:10395352] | Evan Mobley OVER PRA 28.5 (DEMON) [id:10396083],0.05,0.096,0.000681907048230634,0.14668190704823064,72.13753721407159,"['dennis schröder', 'derrick white', 'jayson tatum', 'james harden', 'evan mobley']",1,Dennis Schröder OVER PTS 4.5 (GOBLIN) [id:10396048],Derrick White OVER AST 3.5 (GOBLIN) [id:10395559],Jayson Tatum OVER PA 21.5 (STANDARD) [id:10395695],James Harden OVER PR 23.5 (STANDARD) [id:10395352],Evan Mobley OVER PRA 28.5 (DEMON) [id:10396083],0,
5,Derrick White OVER RA 7.5 (GOBLIN) [id:10396060] | Payton Pritchard OVER RA 6.5 (GOBLIN) [id:10396164] | Evan Mobley OVER PRA 26.5 (STANDARD) [id:10395466] | Jayson Tatum OVER PR 23.5 (STANDARD) [id:10395696] | Jabari Smith OVER PTS 14.5 (DEMON) [id:10395826],0.17640129357598222,20.0,1.0,20.0,3.5280258715196444,20.0,atlas,0.7155207587333179,0.0701960220286629,Derrick White OVER RA 7.5 (GOBLIN) [id:10396060] | Payton Pritchard OVER RA 6.5 (GOBLIN) [id:10396164] | Evan Mobley OVER PRA 26.5 (STANDARD) [id:10395466] | Jayson Tatum OVER PR 23.5 (STANDARD) [id:10395696] | Jabari Smith OVER PTS 14.5 (DEMON) [id:10395826],0.04,0.096,0.0007019602202866291,0.13670196022028663,70.4238154701726,"['derrick white', 'payton pritchard', 'evan mobley', 'jayson tatum', 'jabari smith']",1,Derrick White OVER RA 7.5 (GOBLIN) [id:10396060],Payton Pritchard OVER RA 6.5 (GOBLIN) [id:10396164],Evan Mobley OVER PRA 26.5 (STANDARD) [id:10395466],Jayson Tatum OVER PR 23.5 (STANDARD) [id:10395696],Jabari Smith OVER PTS 14.5 (DEMON) [id:10395826],0,
5,Amen Thompson OVER REB 5.5 (GOBLIN) [id:10395814] | Jabari Smith OVER PTS 9.5 (GOBLIN) [id:10395827] | Reed Sheppard UNDER PA 17.5 (STANDARD) [id:10395873] | James Harden OVER PR 23.5 (STANDARD) [id:10395352] | Derrick White OVER RA 9.5 (DEMON) [id:10396059],0.15079128950067688,20.0,1.0,20.0,3.0158257900135377,20.0,atlas,0.6927905880789227,0.04973632696741922,Amen Thompson OVER REB 5.5 (GOBLIN) [id:10395814] | Jabari Smith OVER PTS 9.5 (GOBLIN) [id:10395827] | Reed Sheppard UNDER PA 17.5 (STANDARD) [id:10395873] | James Harden OVER PR 23.5 (STANDARD) [id:10395352] | Derrick White OVER RA 9.5 (DEMON) [id:10396059],0.04,0.054,0.0004973632696741922,0.09449736326967419,60.222018437001076,"['amen thompson', 'jabari smith', 'reed sheppard', 'james harden', 'derrick white']",1,Amen Thompson OVER REB 5.5 (GOBLIN) [id:10395814],Jabari Smith OVER PTS 9.5 (GOBLIN) [id:10395827],Reed Sheppard UNDER PA 17.5 (STANDARD) [id:10395873],James Harden OVER PR 23.5 (STANDARD) [id:10395352],Derrick White OVER RA 9.5 (DEMON) [id:10396059],0,
5,Payton Pritchard OVER RA 6.5 (GOBLIN) [id:10396164] | Luke Kornet OVER REB 3.5 (GOBLIN) [id:10395006] | Donovan Mitchell UNDER REB 4.5 (STANDARD) [id:10395593] | Jaylon Tyson OVER AST 1.5 (STANDARD) [id:10395659] | James Harden OVER PRA 33.5 (DEMON) [id:10396093],0.1316413720854865,20.0,1.0,20.0,2.6328274417097304,20.0,atlas,0.6728530992025334,0.05024699056125535,Payton Pritchard OVER RA 6.5 (GOBLIN) [id:10396164] | Luke Kornet OVER REB 3.5 (GOBLIN) [id:10395006] | Donovan Mitchell UNDER REB 4.5 (STANDARD) [id:10395593] | Jaylon Tyson OVER AST 1.5 (STANDARD) [id:10395659] | James Harden OVER PRA 33.5 (DEMON) [id:10396093],0.04,0.03,0.0005024699056125536,0.07050246990561256,52.58604636428899,"['payton pritchard', 'luke kornet', 'donovan mitchell', 'jaylon tyson', 'james harden']",1,Payton Pritchard OVER RA 6.5 (GOBLIN) [id:10396164],Luke Kornet OVER REB 3.5 (GOBLIN) [id:10395006],Donovan Mitchell UNDER REB 4.5 (STANDARD) [id:10395593],Jaylon Tyson OVER AST 1.5 (STANDARD) [id:10395659],James Harden OVER PRA 33.5 (DEMON) [id:10396093],0,
5,Derrick White OVER REB 2.5 (GOBLIN) [id:10395578] | Julian Champagnie OVER REB 3.5 (GOBLIN) [id:10394976] | Keldon Johnson OVER PTS 10.5 (STANDARD) [id:10394990] | Jaylon Tyson OVER AST 1.5 (STANDARD) [id:10395659] | Luke Kornet OVER REB 5.5 (DEMON) [id:10395008],0.12963684019638091,20.0,1.0,20.0,2.592736803927618,20.0,atlas,0.671624598436211,0.044909188006782993,Derrick White OVER REB 2.5 (GOBLIN) [id:10395578] | Julian Champagnie OVER REB 3.5 (GOBLIN) [id:10394976] | Keldon Johnson OVER PTS 10.5 (STANDARD) [id:10394990] | Jaylon Tyson OVER AST 1.5 (STANDARD) [id:10395659] | Luke Kornet OVER REB 5.5 (DEMON) [id:10395008],0.04,0.03,0.00044909188006782996,0.07044909188006784,51.7842869866723,"['derrick white', 'julian champagnie', 'keldon johnson', 'jaylon tyson', 'luke kornet']",1,Derrick White OVER REB 2.5 (GOBLIN) [id:10395578],Julian Champagnie OVER REB 3.5 (GOBLIN) [id:10394976],Keldon Johnson OVER PTS 10.5 (STANDARD) [id:10394990],Jaylon Tyson OVER AST 1.5 (STANDARD) [id:10395659],Luke Kornet OVER REB 5.5 (DEMON) [id:10395008],0,
5,Amen Thompson OVER REB 5.5 (GOBLIN) [id:10395814] | Dennis Schröder OVER PTS 4.5 (GOBLIN) [id:10396048] | Payton Pritchard OVER AST 4.5 (STANDARD) [id:10395743] | Coby White OVER PTS 12.5 (STANDARD) [id:10396671] | Evan Mobley OVER PTS 17.5 (DEMON) [id:10396079],0.12365855186548427,20.0,1.0,20.0,2.4731710373096853,20.0,atlas,0.6682571098542047,0.045267114207773046,Amen Thompson OVER REB 5.5 (GOBLIN) [id:10395814] | Dennis Schröder OVER PTS 4.5 (GOBLIN) [id:10396048] | Payton Pritchard OVER AST 4.5 (STANDARD) [id:10395743] | Coby White OVER PTS 12.5 (STANDARD) [id:10396671] | Evan Mobley OVER PTS 17.5 (DEMON) [id:10396079],0.01,0.054,0.00045267114207773047,0.06445267114207773,49.398968075051634,"['amen thompson', 'dennis schröder', 'payton pritchard', 'coby white', 'evan mobley']",1,Amen Thompson OVER REB 5.5 (GOBLIN) [id:10395814],Dennis Schröder OVER PTS 4.5 (GOBLIN) [id:10396048],Payton Pritchard OVER AST 4.5 (STANDARD) [id:10395743],Coby White OVER PTS 12.5 (STANDARD) [id:10396671],Evan Mobley OVER PTS 17.5 (DEMON) [id:10396079],0,
5,Devin Vassell OVER REB 2.5 (GOBLIN) [id:10394938] | Amen Thompson OVER REB 5.5 (GOBLIN) [id:10395814] | Moussa Diabaté UNDER PTS 9.5 (STANDARD) [id:10396561] | Miles Bridges OVER PR 19.5 (STANDARD) [id:10396368] | Dennis Schröder OVER PTS 9.5 (DEMON) [id:10395446],0.12088754153474905,20.0,1.0,20.0,2.417750830694981,20.0,atlas,0.6654420081132751,0.04361444763528263,Devin Vassell OVER REB 2.5 (GOBLIN) [id:10394938] | Amen Thompson OVER REB 5.5 (GOBLIN) [id:10395814] | Moussa Diabaté UNDER PTS 9.5 (STANDARD) [id:10396561] | Miles Bridges OVER PR 19.5 (STANDARD) [id:10396368] | Dennis Schröder OVER PTS 9.5 (DEMON) [id:10395446],0.01,0.03,0.00043614447635282634,0.040436144476352825,48.31458046942327,"['devin vassell', 'amen thompson', 'moussa diabaté', 'miles bridges', 'dennis schröder']",1,Devin Vassell OVER REB 2.5 (GOBLIN) [id:10394938],Amen Thompson OVER REB 5.5 (GOBLIN) [id:10395814],Moussa Diabaté UNDER PTS 9.5 (STANDARD) [id:10396561],Miles Bridges OVER PR 19.5 (STANDARD) [id:10396368],Dennis Schröder OVER PTS 9.5 (DEMON) [id:10395446],0,
5,Luke Kornet OVER REB 3.5 (GOBLIN) [id:10395006] | Devin Vassell OVER REB 2.5 (GOBLIN) [id:10394938] | Moussa Diabaté UNDER PTS 9.5 (STANDARD) [id:10396561] | Evan Mobley OVER PRA 26.5 (STANDARD) [id:10395466] | Julian Champagnie OVER FG3M 2.5 (DEMON) [id:10394966],0.10415402168811844,20.0,1.0,20.0,2.083080433762369,20.0,atlas,0.650354112139962,0.04557821085122434,Luke Kornet OVER REB 3.5 (GOBLIN) [id:10395006] | Devin Vassell OVER REB 2.5 (GOBLIN) [id:10394938] | Moussa Diabaté UNDER PTS 9.5 (STANDARD) [id:10396561] | Evan Mobley OVER PRA 26.5 (STANDARD) [id:10395466] | Julian Champagnie OVER FG3M 2.5 (DEMON) [id:10394966],0.04,0.012,0.0004557821085122434,0.05245578210851225,41.60915289313886,"['luke kornet', 'devin vassell', 'moussa diabaté', 'evan mobley', 'julian champagnie']",1,Luke Kornet OVER REB 3.5 (GOBLIN) [id:10395006],Devin Vassell OVER REB 2.5 (GOBLIN) [id:10394938],Moussa Diabaté UNDER PTS 9.5 (STANDARD) [id:10396561],Evan Mobley OVER PRA 26.5 (STANDARD) [id:10395466],Julian Champagnie OVER FG3M 2.5 (DEMON) [id:10394966],0,
