n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,Jaime Jaquez OVER PRA 19.5 (GOBLIN) [id:10586929] | Jayson Tatum OVER PR 28.5 (STANDARD) [id:10579968] | Tristan Silva UNDER PR 17.5 (STANDARD) [id:10577279] | Alex Sarr OVER AST 1.5 (DEMON) [id:10587801],0.47058311780112794,10.0,1.0,10.0,4.705831178011279,10.0,atlas,0.8326803433148063,0.0487850599519836,Jaime Jaquez OVER PRA 19.5 (GOBLIN) [id:10586929] | Jayson Tatum OVER PR 28.5 (STANDARD) [id:10579968] | Tristan Silva UNDER PR 17.5 (STANDARD) [id:10577279] | Alex Sarr OVER AST 1.5 (DEMON) [id:10587801],0.0,0.054,0.000487850599519836,0.054487850599519834,47.003823929513274,"['jaime jaquez', 'jayson tatum', 'tristan silva', 'alex sarr']",1,Jaime Jaquez OVER PRA 19.5 (GOBLIN) [id:10586929],Jayson Tatum OVER PR 28.5 (STANDARD) [id:10579968],Tristan Silva UNDER PR 17.5 (STANDARD) [id:10577279],Alex Sarr OVER AST 1.5 (DEMON) [id:10587801],0,
4,Jayson Tatum OVER PR 25.5 (GOBLIN) [id:10592112] | Trae Young OVER PRA 21.5 (STANDARD) [id:10581674] | Tristan Silva UNDER PTS 11.5 (STANDARD) [id:10577277] | Alex Sarr OVER AST 1.5 (DEMON) [id:10587801],0.4417636716414469,10.0,1.0,10.0,4.417636716414469,10.0,atlas,0.8290765918544132,0.05098218520549246,Jayson Tatum OVER PR 25.5 (GOBLIN) [id:10592112] | Trae Young OVER PRA 21.5 (STANDARD) [id:10581674] | Tristan Silva UNDER PTS 11.5 (STANDARD) [id:10577277] | Alex Sarr OVER AST 1.5 (DEMON) [id:10587801],0.01,0.054,0.0005098218520549246,0.06450982185205492,44.11185734229264,"['jayson tatum', 'trae young', 'tristan silva', 'alex sarr']",1,Jayson Tatum OVER PR 25.5 (GOBLIN) [id:10592112],Trae Young OVER PRA 21.5 (STANDARD) [id:10581674],Tristan Silva UNDER PTS 11.5 (STANDARD) [id:10577277],Alex Sarr OVER AST 1.5 (DEMON) [id:10587801],0,
4,Derrick White OVER REB 2.5 (GOBLIN) [id:10581578] | Tristan Silva UNDER PRA 20.5 (STANDARD) [id:10577280] | Jayson Tatum OVER PR 28.5 (STANDARD) [id:10579968] | Alex Sarr OVER PR 19.5 (DEMON) [id:10583599],0.43955692652723205,10.0,1.0,10.0,4.395569265272321,10.0,atlas,0.8237051168373599,0.05016017744651803,Derrick White OVER REB 2.5 (GOBLIN) [id:10581578] | Tristan Silva UNDER PRA 20.5 (STANDARD) [id:10577280] | Jayson Tatum OVER PR 28.5 (STANDARD) [id:10579968] | Alex Sarr OVER PR 19.5 (DEMON) [id:10583599],0.01,0.024,0.0005016017744651803,0.03450160177446518,43.92119105094874,"['derrick white', 'tristan silva', 'jayson tatum', 'alex sarr']",1,Derrick White OVER REB 2.5 (GOBLIN) [id:10581578],Tristan Silva UNDER PRA 20.5 (STANDARD) [id:10577280],Jayson Tatum OVER PR 28.5 (STANDARD) [id:10579968],Alex Sarr OVER PR 19.5 (DEMON) [id:10583599],0,
4,Bruce Brown OVER REB 1.5 (GOBLIN) [id:10580066] | Nique Clifford UNDER PA 15.5 (STANDARD) [id:10583937] | Tristan Silva UNDER PTS 11.5 (STANDARD) [id:10577277] | Trae Young OVER PRA 22.5 (DEMON) [id:10582017],0.38090705887635423,10.0,1.0,10.0,3.809070588763542,10.0,atlas,0.7962172940441827,0.02977182386174877,Bruce Brown OVER REB 1.5 (GOBLIN) [id:10580066] | Nique Clifford UNDER PA 15.5 (STANDARD) [id:10583937] | Tristan Silva UNDER PTS 11.5 (STANDARD) [id:10577277] | Trae Young OVER PRA 22.5 (DEMON) [id:10582017],0.0,0.024,0.0002977182386174877,0.02429771823861749,38.06640816939681,"['bruce brown', 'nique clifford', 'tristan silva', 'trae young']",1,Bruce Brown OVER REB 1.5 (GOBLIN) [id:10580066],Nique Clifford UNDER PA 15.5 (STANDARD) [id:10583937],Tristan Silva UNDER PTS 11.5 (STANDARD) [id:10577277],Trae Young OVER PRA 22.5 (DEMON) [id:10582017],0,
4,Bub Carrington OVER PTS 4.5 (GOBLIN) [id:10581223] | Jonas Valančiūnas OVER PTS 5.5 (STANDARD) [id:10580675] | Jayson Tatum OVER PR 28.5 (STANDARD) [id:10579968] | Alex Sarr OVER RA 7.5 (DEMON) [id:10583237],0.3539882543337503,10.0,1.0,10.0,3.539882543337503,10.0,atlas,0.7753090261134108,0.061080714013140816,Bub Carrington OVER PTS 4.5 (GOBLIN) [id:10581223] | Jonas Valančiūnas OVER PTS 5.5 (STANDARD) [id:10580675] | Jayson Tatum OVER PR 28.5 (STANDARD) [id:10579968] | Alex Sarr OVER RA 7.5 (DEMON) [id:10583237],0.01,0.054,0.0006108071401314082,0.06461080714013141,35.334214626234896,"['bub carrington', 'jonas valančiūnas', 'jayson tatum', 'alex sarr']",1,Bub Carrington OVER PTS 4.5 (GOBLIN) [id:10581223],Jonas Valančiūnas OVER PTS 5.5 (STANDARD) [id:10580675],Jayson Tatum OVER PR 28.5 (STANDARD) [id:10579968],Alex Sarr OVER RA 7.5 (DEMON) [id:10583237],0,
4,Bub Carrington OVER PTS 5.5 (GOBLIN) [id:10584651] | Jevon Carter UNDER AST 2.5 (STANDARD) [id:10577188] | Jett Howard UNDER PR 10.5 (STANDARD) [id:10582137] | Trae Young OVER PA 20.5 (DEMON) [id:10589509],0.2857150892520896,10.0,1.0,10.0,2.857150892520896,10.0,atlas,0.7353785694604758,0.028656722168231917,Bub Carrington OVER PTS 5.5 (GOBLIN) [id:10584651] | Jevon Carter UNDER AST 2.5 (STANDARD) [id:10577188] | Jett Howard UNDER PR 10.5 (STANDARD) [id:10582137] | Trae Young OVER PA 20.5 (DEMON) [id:10589509],0.02,0.054,0.0002865672216823192,0.07428656722168231,28.497222357987276,"['bub carrington', 'jevon carter', 'jett howard', 'trae young']",1,Bub Carrington OVER PTS 5.5 (GOBLIN) [id:10584651],Jevon Carter UNDER AST 2.5 (STANDARD) [id:10577188],Jett Howard UNDER PR 10.5 (STANDARD) [id:10582137],Trae Young OVER PA 20.5 (DEMON) [id:10589509],0,
4,Tre Johnson OVER PTS 7.5 (GOBLIN) [id:10584653] | Jett Howard UNDER PRA 11.5 (STANDARD) [id:10589035] | Jevon Carter UNDER AST 2.5 (STANDARD) [id:10577188] | Trae Young OVER PA 20.5 (DEMON) [id:10589509],0.27119097138157283,10.0,1.0,10.0,2.711909713815728,10.0,atlas,0.7254494262938815,0.02907168229925252,Tre Johnson OVER PTS 7.5 (GOBLIN) [id:10584653] | Jett Howard UNDER PRA 11.5 (STANDARD) [id:10589035] | Jevon Carter UNDER AST 2.5 (STANDARD) [id:10577188] | Trae Young OVER PA 20.5 (DEMON) [id:10589509],0.02,0.054,0.0002907168229925252,0.07429071682299253,27.04480642133429,"['tre johnson', 'jett howard', 'jevon carter', 'trae young']",1,Tre Johnson OVER PTS 7.5 (GOBLIN) [id:10584653],Jett Howard UNDER PRA 11.5 (STANDARD) [id:10589035],Jevon Carter UNDER AST 2.5 (STANDARD) [id:10577188],Trae Young OVER PA 20.5 (DEMON) [id:10589509],0,
4,Tyler Herro OVER PR 19.5 (GOBLIN) [id:10592944] | Nique Clifford UNDER PR 17.5 (STANDARD) [id:10583938] | Jevon Carter UNDER RA 5 (STANDARD) [id:10587561] | Norman Powell OVER PRA 24.5 (DEMON) [id:10577674],0.2696408444454398,10.0,1.0,10.0,2.6964084444543976,10.0,atlas,0.7300610826737084,0.034880585104616155,Tyler Herro OVER PR 19.5 (GOBLIN) [id:10592944] | Nique Clifford UNDER PR 17.5 (STANDARD) [id:10583938] | Jevon Carter UNDER RA 5 (STANDARD) [id:10587561] | Norman Powell OVER PRA 24.5 (DEMON) [id:10577674],0.01,0.054,0.00034880585104616154,0.06434880585104616,26.89973563869293,"['tyler herro', 'nique clifford', 'jevon carter', 'norman powell']",1,Tyler Herro OVER PR 19.5 (GOBLIN) [id:10592944],Nique Clifford UNDER PR 17.5 (STANDARD) [id:10583938],Jevon Carter UNDER RA 5 (STANDARD) [id:10587561],Norman Powell OVER PRA 24.5 (DEMON) [id:10577674],0,
4,Norman Powell OVER PR 14.5 (GOBLIN) [id:10592923] | Brook Lopez UNDER PRA 15.5 (STANDARD) [id:10583706] | Nique Clifford UNDER PR 17.5 (STANDARD) [id:10583938] | Tim Hardaway OVER PR 14.5 (DEMON) [id:10582826],0.26768703186754544,10.0,1.0,10.0,2.6768703186754546,10.0,atlas,0.7248149904190014,0.037711102982511444,Norman Powell OVER PR 14.5 (GOBLIN) [id:10592923] | Brook Lopez UNDER PRA 15.5 (STANDARD) [id:10583706] | Nique Clifford UNDER PR 17.5 (STANDARD) [id:10583938] | Tim Hardaway OVER PR 14.5 (DEMON) [id:10582826],0.0,0.054,0.00037711102982511445,0.05437711102982511,26.714326075724717,"['norman powell', 'brook lopez', 'nique clifford', 'tim hardaway']",1,Norman Powell OVER PR 14.5 (GOBLIN) [id:10592923],Brook Lopez UNDER PRA 15.5 (STANDARD) [id:10583706],Nique Clifford UNDER PR 17.5 (STANDARD) [id:10583938],Tim Hardaway OVER PR 14.5 (DEMON) [id:10582826],0,
4,Derrick White OVER REB 2.5 (GOBLIN) [id:10581578] | Jonas Valančiūnas OVER PR 8.5 (STANDARD) [id:10580676] | Baylor Scheierman UNDER PRA 13.5 (STANDARD) [id:10590102] | Bub Carrington OVER FG3M 1.5 (DEMON) [id:10581219],0.2645997069733716,10.0,1.0,10.0,2.645997069733716,10.0,atlas,0.7245631398532022,0.039376647404828546,Derrick White OVER REB 2.5 (GOBLIN) [id:10581578] | Jonas Valančiūnas OVER PR 8.5 (STANDARD) [id:10580676] | Baylor Scheierman UNDER PRA 13.5 (STANDARD) [id:10590102] | Bub Carrington OVER FG3M 1.5 (DEMON) [id:10581219],0.01,0.006,0.00039376647404828547,0.016393766474048287,26.44357693086311,"['derrick white', 'jonas valančiūnas', 'baylor scheierman', 'bub carrington']",1,Derrick White OVER REB 2.5 (GOBLIN) [id:10581578],Jonas Valančiūnas OVER PR 8.5 (STANDARD) [id:10580676],Baylor Scheierman UNDER PRA 13.5 (STANDARD) [id:10590102],Bub Carrington OVER FG3M 1.5 (DEMON) [id:10581219],0,
