n_legs,legs,hit_prob,ev_mult,avg_p,avg_fragility,slip_key,leg_1,leg_2,leg_3
3,Franz Wagner OVER AST 2.5 (GOBLIN) [id:9801549] | Isaiah Collier UNDER AST 11 (STANDARD) [id:9799010] | Scoot Henderson OVER AST 6.5 (DEMON) [id:9801380],0.5377397539207192,3.226438523524315,0.8190581883623275,0.0015483029784460068,Franz Wagner OVER AST 2.5 (GOBLIN) [id:9801549] | Isaiah Collier UNDER AST 11 (STANDARD) [id:9799010] | Scoot Henderson OVER AST 6.5 (DEMON) [id:9801380],Franz Wagner OVER AST 2.5 (GOBLIN) [id:9801549],Isaiah Collier UNDER AST 11 (STANDARD) [id:9799010],Scoot Henderson OVER AST 6.5 (DEMON) [id:9801380]
3,Duncan Robinson OVER PR 9.5 (GOBLIN) [id:9802195] | Tristan Silva UNDER PTS 6.5 (STANDARD) [id:9802455] | Franz Wagner OVER PRA 27.5 (DEMON) [id:9801562],0.510807912926472,3.064847477558832,0.805614210491235,0.0009508867018494777,Duncan Robinson OVER PR 9.5 (GOBLIN) [id:9802195] | Tristan Silva UNDER PTS 6.5 (STANDARD) [id:9802455] | Franz Wagner OVER PRA 27.5 (DEMON) [id:9801562],Duncan Robinson OVER PR 9.5 (GOBLIN) [id:9802195],Tristan Silva UNDER PTS 6.5 (STANDARD) [id:9802455],Franz Wagner OVER PRA 27.5 (DEMON) [id:9801562]
3,Nickeil Alexander-Walker OVER PA 19.5 (GOBLIN) [id:9802078] | Duncan Robinson OVER PRA 14.5 (STANDARD) [id:9800432] | Scoot Henderson OVER RA 8.5 (DEMON) [id:9801398],0.4761056098671976,2.8566336592031853,0.7926734653069385,0.0,Nickeil Alexander-Walker OVER PA 19.5 (GOBLIN) [id:9802078] | Duncan Robinson OVER PRA 14.5 (STANDARD) [id:9800432] | Scoot Henderson OVER RA 8.5 (DEMON) [id:9801398],Nickeil Alexander-Walker OVER PA 19.5 (GOBLIN) [id:9802078],Duncan Robinson OVER PRA 14.5 (STANDARD) [id:9800432],Scoot Henderson OVER RA 8.5 (DEMON) [id:9801398]
3,Deni Avdija OVER PTS 17.5 (GOBLIN) [id:9802003] | Draymond Green UNDER REB 6 (STANDARD) [id:9797226] | Scoot Henderson OVER PA 16.5 (DEMON) [id:9810043],0.4672289997140738,2.803373998284443,0.7915263613943878,0.0009362046983364332,Deni Avdija OVER PTS 17.5 (GOBLIN) [id:9802003] | Draymond Green UNDER REB 6 (STANDARD) [id:9797226] | Scoot Henderson OVER PA 16.5 (DEMON) [id:9810043],Deni Avdija OVER PTS 17.5 (GOBLIN) [id:9802003],Draymond Green UNDER REB 6 (STANDARD) [id:9797226],Scoot Henderson OVER PA 16.5 (DEMON) [id:9810043]
3,Austin Reaves OVER REB 2.5 (GOBLIN) [id:9802094] | Guerschon Yabusele UNDER REB 6 (STANDARD) [id:9803242] | Franz Wagner OVER PRA 27.5 (DEMON) [id:9801562],0.46316158618951064,2.778969517137064,0.7792061587682463,0.004959057203256187,Austin Reaves OVER REB 2.5 (GOBLIN) [id:9802094] | Guerschon Yabusele UNDER REB 6 (STANDARD) [id:9803242] | Franz Wagner OVER PRA 27.5 (DEMON) [id:9801562],Austin Reaves OVER REB 2.5 (GOBLIN) [id:9802094],Guerschon Yabusele UNDER REB 6 (STANDARD) [id:9803242],Franz Wagner OVER PRA 27.5 (DEMON) [id:9801562]
3,Jock Landale OVER PTS 6.5 (GOBLIN) [id:9805964] | Lauri Markkanen OVER PRA 28.5 (STANDARD) [id:9798104] | Franz Wagner OVER PRA 27.5 (DEMON) [id:9801562],0.45280781889546196,2.7168469133727715,0.7715576884623075,0.0029865101115186866,Jock Landale OVER PTS 6.5 (GOBLIN) [id:9805964] | Lauri Markkanen OVER PRA 28.5 (STANDARD) [id:9798104] | Franz Wagner OVER PRA 27.5 (DEMON) [id:9801562],Jock Landale OVER PTS 6.5 (GOBLIN) [id:9805964],Lauri Markkanen OVER PRA 28.5 (STANDARD) [id:9798104],Franz Wagner OVER PRA 27.5 (DEMON) [id:9801562]
3,Lauri Markkanen OVER PA 19.5 (GOBLIN) [id:9799042] | Pat Spencer UNDER PR 18.5 (STANDARD) [id:9797301] | Toumani Camara OVER FG3M 2.5 (DEMON) [id:9798574],0.3979116228072377,2.387469736843426,0.7624508431647005,0.003523960817976214,Lauri Markkanen OVER PA 19.5 (GOBLIN) [id:9799042] | Pat Spencer UNDER PR 18.5 (STANDARD) [id:9797301] | Toumani Camara OVER FG3M 2.5 (DEMON) [id:9798574],Lauri Markkanen OVER PA 19.5 (GOBLIN) [id:9799042],Pat Spencer UNDER PR 18.5 (STANDARD) [id:9797301],Toumani Camara OVER FG3M 2.5 (DEMON) [id:9798574]
3,Deni Avdija OVER PR 26.5 (GOBLIN) [id:9809872] | Jalen Williams OVER RA 9.5 (STANDARD) [id:9808459] | Scoot Henderson OVER PA 16.5 (DEMON) [id:9810043],0.3924355405482666,2.3546132432895996,0.7497513830567218,6.666000066659283e-05,Deni Avdija OVER PR 26.5 (GOBLIN) [id:9809872] | Jalen Williams OVER RA 9.5 (STANDARD) [id:9808459] | Scoot Henderson OVER PA 16.5 (DEMON) [id:9810043],Deni Avdija OVER PR 26.5 (GOBLIN) [id:9809872],Jalen Williams OVER RA 9.5 (STANDARD) [id:9808459],Scoot Henderson OVER PA 16.5 (DEMON) [id:9810043]
3,Trey Murphy OVER PTS 17.5 (GOBLIN) [id:9799631] | Scoot Henderson OVER PRA 18.5 (STANDARD) [id:9801894] | Marcus Smart OVER REB 3.5 (DEMON) [id:9804330],0.38843700430686784,2.330622025841207,0.7602146237419182,0.0,Trey Murphy OVER PTS 17.5 (GOBLIN) [id:9799631] | Scoot Henderson OVER PRA 18.5 (STANDARD) [id:9801894] | Marcus Smart OVER REB 3.5 (DEMON) [id:9804330],Trey Murphy OVER PTS 17.5 (GOBLIN) [id:9799631],Scoot Henderson OVER PRA 18.5 (STANDARD) [id:9801894],Marcus Smart OVER REB 3.5 (DEMON) [id:9804330]
3,James Harden OVER REB 2.5 (GOBLIN) [id:9796122] | Cason Wallace UNDER PRA 16.5 (STANDARD) [id:9799761] | Jock Landale OVER PR 13.5 (DEMON) [id:9805965],0.3848554717588893,2.309132830553336,0.7332326867959743,0.0015310272235778135,James Harden OVER REB 2.5 (GOBLIN) [id:9796122] | Cason Wallace UNDER PRA 16.5 (STANDARD) [id:9799761] | Jock Landale OVER PR 13.5 (DEMON) [id:9805965],James Harden OVER REB 2.5 (GOBLIN) [id:9796122],Cason Wallace UNDER PRA 16.5 (STANDARD) [id:9799761],Jock Landale OVER PR 13.5 (DEMON) [id:9805965]
