n_legs,legs,hit_prob,ev_mult,avg_p,avg_fragility,slip_key,leg_1,leg_2,leg_3
3,Ryan Rollins OVER REB 3.5 (GOBLIN) [id:9823145] | Nikola Vučević OVER PR 22.5 (STANDARD) [id:9831753] | Scoot Henderson OVER AST 4.5 (STANDARD) [id:9833813],0.6228778074941835,3.7372668449651014,0.8616610011331067,0.0,Ryan Rollins OVER REB 3.5 (GOBLIN) [id:9823145] | Nikola Vučević OVER PR 22.5 (STANDARD) [id:9831753] | Scoot Henderson OVER AST 4.5 (STANDARD) [id:9833813],Ryan Rollins OVER REB 3.5 (GOBLIN) [id:9823145],Nikola Vučević OVER PR 22.5 (STANDARD) [id:9831753],Scoot Henderson OVER AST 4.5 (STANDARD) [id:9833813]
3,Scotty Pippen OVER FG3M 0.5 (GOBLIN) [id:9832552] | Paolo Banchero OVER PRA 33.5 (STANDARD) [id:9823122] | Scoot Henderson OVER PR 13.5 (STANDARD) [id:9834166],0.5822844232292235,3.493706539375341,0.8430657201892955,0.0026725744628477224,Scotty Pippen OVER FG3M 0.5 (GOBLIN) [id:9832552] | Paolo Banchero OVER PRA 33.5 (STANDARD) [id:9823122] | Scoot Henderson OVER PR 13.5 (STANDARD) [id:9834166],Scotty Pippen OVER FG3M 0.5 (GOBLIN) [id:9832552],Paolo Banchero OVER PRA 33.5 (STANDARD) [id:9823122],Scoot Henderson OVER PR 13.5 (STANDARD) [id:9834166]
3,Aaron Wiggins OVER REB 1.5 (GOBLIN) [id:9841220] | Franz Wagner OVER PA 16.5 (STANDARD) [id:9823026] | Isaiah Collier UNDER PA 26.5 (STANDARD) [id:9839133],0.5625239512583707,3.375143707550224,0.8295507565153636,0.0009279665932026307,Aaron Wiggins OVER REB 1.5 (GOBLIN) [id:9841220] | Franz Wagner OVER PA 16.5 (STANDARD) [id:9823026] | Isaiah Collier UNDER PA 26.5 (STANDARD) [id:9839133],Aaron Wiggins OVER REB 1.5 (GOBLIN) [id:9841220],Franz Wagner OVER PA 16.5 (STANDARD) [id:9823026],Isaiah Collier UNDER PA 26.5 (STANDARD) [id:9839133]
3,Devin Vassell OVER REB 2.5 (GOBLIN) [id:9845573] | Pat Spencer UNDER PRA 23.5 (STANDARD) [id:9843596] | Scotty Pippen OVER PTS 11.5 (STANDARD) [id:9832563],0.541392600684646,3.248355604107876,0.8152669466106778,0.003836823055924301,Devin Vassell OVER REB 2.5 (GOBLIN) [id:9845573] | Pat Spencer UNDER PRA 23.5 (STANDARD) [id:9843596] | Scotty Pippen OVER PTS 11.5 (STANDARD) [id:9832563],Devin Vassell OVER REB 2.5 (GOBLIN) [id:9845573],Pat Spencer UNDER PRA 23.5 (STANDARD) [id:9843596],Scotty Pippen OVER PTS 11.5 (STANDARD) [id:9832563]
3,Matas Buzelis OVER PTS 11.5 (GOBLIN) [id:9837441] | Franz Wagner OVER PA 16.5 (STANDARD) [id:9823026] | Dennis Schröder OVER PA 11.5 (STANDARD) [id:9840119],0.5263306070788693,3.1579836424732157,0.8086715990135307,0.0014169043758697787,Matas Buzelis OVER PTS 11.5 (GOBLIN) [id:9837441] | Franz Wagner OVER PA 16.5 (STANDARD) [id:9823026] | Dennis Schröder OVER PA 11.5 (STANDARD) [id:9840119],Matas Buzelis OVER PTS 11.5 (GOBLIN) [id:9837441],Franz Wagner OVER PA 16.5 (STANDARD) [id:9823026],Dennis Schröder OVER PA 11.5 (STANDARD) [id:9840119]
3,De'Aaron Fox OVER REB 2.5 (GOBLIN) [id:9845539] | Kevin Durant OVER PRA 34.5 (STANDARD) [id:9841007] | Scoot Henderson OVER PA 15.5 (STANDARD) [id:9833500],0.5072626831495303,3.043576098897182,0.8128041058454976,0.0,De'Aaron Fox OVER REB 2.5 (GOBLIN) [id:9845539] | Kevin Durant OVER PRA 34.5 (STANDARD) [id:9841007] | Scoot Henderson OVER PA 15.5 (STANDARD) [id:9833500],De'Aaron Fox OVER REB 2.5 (GOBLIN) [id:9845539],Kevin Durant OVER PRA 34.5 (STANDARD) [id:9841007],Scoot Henderson OVER PA 15.5 (STANDARD) [id:9833500]
3,Franz Wagner OVER PRA 18.5 (GOBLIN) [id:9830464] | Jaren Jackson OVER PTS 19.5 (STANDARD) [id:9839163] | Guerschon Yabusele UNDER PA 9.5 (STANDARD) [id:9831506],0.478093539289277,2.868561235735662,0.789885356262081,0.006078314513143269,Franz Wagner OVER PRA 18.5 (GOBLIN) [id:9830464] | Jaren Jackson OVER PTS 19.5 (STANDARD) [id:9839163] | Guerschon Yabusele UNDER PA 9.5 (STANDARD) [id:9831506],Franz Wagner OVER PRA 18.5 (GOBLIN) [id:9830464],Jaren Jackson OVER PTS 19.5 (STANDARD) [id:9839163],Guerschon Yabusele UNDER PA 9.5 (STANDARD) [id:9831506]
3,Bub Carrington OVER PA 11.5 (GOBLIN) [id:9843337] | Isaiah Collier UNDER REB 4 (STANDARD) [id:9847551] | Devin Carter UNDER AST 5.5 (STANDARD) [id:9847624],0.4763348088679016,2.8580088532074095,0.7855428914217156,0.004112881166050926,Bub Carrington OVER PA 11.5 (GOBLIN) [id:9843337] | Isaiah Collier UNDER REB 4 (STANDARD) [id:9847551] | Devin Carter UNDER AST 5.5 (STANDARD) [id:9847624],Bub Carrington OVER PA 11.5 (GOBLIN) [id:9843337],Isaiah Collier UNDER REB 4 (STANDARD) [id:9847551],Devin Carter UNDER AST 5.5 (STANDARD) [id:9847624]
3,Ayo Dosunmu OVER PTS 10.5 (GOBLIN) [id:9833970] | Guerschon Yabusele UNDER PR 14.5 (STANDARD) [id:9831927] | Sam Merrill OVER PRA 14.5 (STANDARD) [id:9839476],0.47032608856226943,2.8219565313736164,0.7858528294341133,0.0025260726787196502,Ayo Dosunmu OVER PTS 10.5 (GOBLIN) [id:9833970] | Guerschon Yabusele UNDER PR 14.5 (STANDARD) [id:9831927] | Sam Merrill OVER PRA 14.5 (STANDARD) [id:9839476],Ayo Dosunmu OVER PTS 10.5 (GOBLIN) [id:9833970],Guerschon Yabusele UNDER PR 14.5 (STANDARD) [id:9831927],Sam Merrill OVER PRA 14.5 (STANDARD) [id:9839476]
3,Scoot Henderson OVER PTS 7.5 (GOBLIN) [id:9837467] | Isaiah Collier UNDER PR 19.5 (STANDARD) [id:9839134] | LaMelo Ball UNDER PTS 22.5 (STANDARD) [id:9838804],0.4685907477243169,2.8115444863459014,0.7896887289208824,0.0038339214917439725,Scoot Henderson OVER PTS 7.5 (GOBLIN) [id:9837467] | Isaiah Collier UNDER PR 19.5 (STANDARD) [id:9839134] | LaMelo Ball UNDER PTS 22.5 (STANDARD) [id:9838804],Scoot Henderson OVER PTS 7.5 (GOBLIN) [id:9837467],Isaiah Collier UNDER PR 19.5 (STANDARD) [id:9839134],LaMelo Ball UNDER PTS 22.5 (STANDARD) [id:9838804]
3,Matas Buzelis OVER PA 14.5 (GOBLIN) [id:9837442] | Lauri Markkanen OVER AST 1.5 (STANDARD) [id:9839233] | Guerschon Yabusele UNDER PR 14.5 (STANDARD) [id:9831927],0.46072500303859065,2.7643500182315437,0.774255148970206,0.0025260726787196502,Matas Buzelis OVER PA 14.5 (GOBLIN) [id:9837442] | Lauri Markkanen OVER AST 1.5 (STANDARD) [id:9839233] | Guerschon Yabusele UNDER PR 14.5 (STANDARD) [id:9831927],Matas Buzelis OVER PA 14.5 (GOBLIN) [id:9837442],Lauri Markkanen OVER AST 1.5 (STANDARD) [id:9839233],Guerschon Yabusele UNDER PR 14.5 (STANDARD) [id:9831927]
3,Franz Wagner OVER REB 2.5 (GOBLIN) [id:9824412] | Nique Clifford UNDER PA 20.5 (STANDARD) [id:9839304] | Kevin Porter UNDER PR 24.5 (STANDARD) [id:9823057],0.4542308846717069,2.7253853080302415,0.784623075384923,0.0029909433539901994,Franz Wagner OVER REB 2.5 (GOBLIN) [id:9824412] | Nique Clifford UNDER PA 20.5 (STANDARD) [id:9839304] | Kevin Porter UNDER PR 24.5 (STANDARD) [id:9823057],Franz Wagner OVER REB 2.5 (GOBLIN) [id:9824412],Nique Clifford UNDER PA 20.5 (STANDARD) [id:9839304],Kevin Porter UNDER PR 24.5 (STANDARD) [id:9823057]
3,Jamal Murray OVER PRA 29.5 (GOBLIN) [id:9839507] | Dennis Schröder OVER PA 11.5 (STANDARD) [id:9840119] | Amen Thompson OVER PRA 28.5 (STANDARD) [id:9840877],0.4510707090634682,2.706424254380809,0.773012064253816,0.0006629101756712069,Jamal Murray OVER PRA 29.5 (GOBLIN) [id:9839507] | Dennis Schröder OVER PA 11.5 (STANDARD) [id:9840119] | Amen Thompson OVER PRA 28.5 (STANDARD) [id:9840877],Jamal Murray OVER PRA 29.5 (GOBLIN) [id:9839507],Dennis Schröder OVER PA 11.5 (STANDARD) [id:9840119],Amen Thompson OVER PRA 28.5 (STANDARD) [id:9840877]
3,Donovan Mitchell OVER PRA 29.5 (GOBLIN) [id:9841125] | Maxime Raynaud UNDER PTS 13.5 (STANDARD) [id:9839272] | Nick Richards UNDER REB 6.5 (STANDARD) [id:9849042],0.4478045688845886,2.6868274133075314,0.7655468906218758,0.003766747185681992,Donovan Mitchell OVER PRA 29.5 (GOBLIN) [id:9841125] | Maxime Raynaud UNDER PTS 13.5 (STANDARD) [id:9839272] | Nick Richards UNDER REB 6.5 (STANDARD) [id:9849042],Donovan Mitchell OVER PRA 29.5 (GOBLIN) [id:9841125],Maxime Raynaud UNDER PTS 13.5 (STANDARD) [id:9839272],Nick Richards UNDER REB 6.5 (STANDARD) [id:9849042]
3,Cam Thomas OVER FG3M 0.5 (GOBLIN) [id:9830408] | Franz Wagner OVER PR 17.5 (STANDARD) [id:9823027] | Kasparas Jakučionis UNDER PA 13.5 (STANDARD) [id:9836598],0.4464523827393938,2.678714296436363,0.7690598546957276,0.003091018665756218,Cam Thomas OVER FG3M 0.5 (GOBLIN) [id:9830408] | Franz Wagner OVER PR 17.5 (STANDARD) [id:9823027] | Kasparas Jakučionis UNDER PA 13.5 (STANDARD) [id:9836598],Cam Thomas OVER FG3M 0.5 (GOBLIN) [id:9830408],Franz Wagner OVER PR 17.5 (STANDARD) [id:9823027],Kasparas Jakučionis UNDER PA 13.5 (STANDARD) [id:9836598]
3,Donte DiVincenzo OVER PA 11.5 (GOBLIN) [id:9843786] | Ayo Dosunmu OVER PR 16.5 (STANDARD) [id:9833063] | Julian Strawther UNDER PR 16.5 (STANDARD) [id:9832508],0.44514798362600516,2.670887901756031,0.7637839098846898,0.0033045148895293266,Donte DiVincenzo OVER PA 11.5 (GOBLIN) [id:9843786] | Ayo Dosunmu OVER PR 16.5 (STANDARD) [id:9833063] | Julian Strawther UNDER PR 16.5 (STANDARD) [id:9832508],Donte DiVincenzo OVER PA 11.5 (GOBLIN) [id:9843786],Ayo Dosunmu OVER PR 16.5 (STANDARD) [id:9833063],Julian Strawther UNDER PR 16.5 (STANDARD) [id:9832508]
3,Pascal Siakam OVER PA 24.5 (GOBLIN) [id:9845424] | Andrew Nembhard OVER RA 10.5 (STANDARD) [id:9842557] | Devin Carter UNDER AST 5.5 (STANDARD) [id:9847624],0.43719464987511936,2.623167899250716,0.7639505432246884,0.0008296173390024108,Pascal Siakam OVER PA 24.5 (GOBLIN) [id:9845424] | Andrew Nembhard OVER RA 10.5 (STANDARD) [id:9842557] | Devin Carter UNDER AST 5.5 (STANDARD) [id:9847624],Pascal Siakam OVER PA 24.5 (GOBLIN) [id:9845424],Andrew Nembhard OVER RA 10.5 (STANDARD) [id:9842557],Devin Carter UNDER AST 5.5 (STANDARD) [id:9847624]
3,Tim Hardaway OVER RA 2.5 (GOBLIN) [id:9837000] | Anfernee Simons UNDER RA 7 (STANDARD) [id:9831395] | Yanic Niederhäuser UNDER PR 9.5 (STANDARD) [id:9841151],0.4351739470638566,2.6110436823831398,0.765493567953076,0.003274853801169601,Tim Hardaway OVER RA 2.5 (GOBLIN) [id:9837000] | Anfernee Simons UNDER RA 7 (STANDARD) [id:9831395] | Yanic Niederhäuser UNDER PR 9.5 (STANDARD) [id:9841151],Tim Hardaway OVER RA 2.5 (GOBLIN) [id:9837000],Anfernee Simons UNDER RA 7 (STANDARD) [id:9831395],Yanic Niederhäuser UNDER PR 9.5 (STANDARD) [id:9841151]
3,Devin Booker OVER PA 24.5 (GOBLIN) [id:9845319] | Simone Fontecchio UNDER PA 14.5 (STANDARD) [id:9836640] | Nolan Traore UNDER PRA 20.5 (STANDARD) [id:9842721],0.43134782878496886,2.5880869727098132,0.7590415250283277,0.0034649154736503575,Devin Booker OVER PA 24.5 (GOBLIN) [id:9845319] | Simone Fontecchio UNDER PA 14.5 (STANDARD) [id:9836640] | Nolan Traore UNDER PRA 20.5 (STANDARD) [id:9842721],Devin Booker OVER PA 24.5 (GOBLIN) [id:9845319],Simone Fontecchio UNDER PA 14.5 (STANDARD) [id:9836640],Nolan Traore UNDER PRA 20.5 (STANDARD) [id:9842721]
3,James Harden OVER PRA 32.5 (GOBLIN) [id:9840713] | Donovan Clingan OVER PRA 24.5 (STANDARD) [id:9833449] | Guerschon Yabusele UNDER PR 14.5 (STANDARD) [id:9831927],0.4305572891610842,2.583343734966505,0.7583250016663334,0.0028648691044173696,James Harden OVER PRA 32.5 (GOBLIN) [id:9840713] | Donovan Clingan OVER PRA 24.5 (STANDARD) [id:9833449] | Guerschon Yabusele UNDER PR 14.5 (STANDARD) [id:9831927],James Harden OVER PRA 32.5 (GOBLIN) [id:9840713],Donovan Clingan OVER PRA 24.5 (STANDARD) [id:9833449],Guerschon Yabusele UNDER PR 14.5 (STANDARD) [id:9831927]
3,Bennedict Mathurin OVER PTS 12.5 (GOBLIN) [id:9846645] | Guerschon Yabusele UNDER PR 14.5 (STANDARD) [id:9831927] | Nolan Traore UNDER PR 15.5 (STANDARD) [id:9842720],0.4208213385406983,2.52492803124419,0.7518762914083851,0.0050480413905453535,Bennedict Mathurin OVER PTS 12.5 (GOBLIN) [id:9846645] | Guerschon Yabusele UNDER PR 14.5 (STANDARD) [id:9831927] | Nolan Traore UNDER PR 15.5 (STANDARD) [id:9842720],Bennedict Mathurin OVER PTS 12.5 (GOBLIN) [id:9846645],Guerschon Yabusele UNDER PR 14.5 (STANDARD) [id:9831927],Nolan Traore UNDER PR 15.5 (STANDARD) [id:9842720]
3,Duncan Robinson OVER PR 12.5 (GOBLIN) [id:9843969] | Danny Wolf UNDER REB 6.5 (STANDARD) [id:9846394] | Scoot Henderson OVER PR 13.5 (STANDARD) [id:9834166],0.4190495698980604,2.5142974193883623,0.75874491768313,0.0026725744628477224,Duncan Robinson OVER PR 12.5 (GOBLIN) [id:9843969] | Danny Wolf UNDER REB 6.5 (STANDARD) [id:9846394] | Scoot Henderson OVER PR 13.5 (STANDARD) [id:9834166],Duncan Robinson OVER PR 12.5 (GOBLIN) [id:9843969],Danny Wolf UNDER REB 6.5 (STANDARD) [id:9846394],Scoot Henderson OVER PR 13.5 (STANDARD) [id:9834166]
3,Aaron Wiggins OVER FG3M 0.5 (GOBLIN) [id:9841199] | Nikola Vučević OVER PR 22.5 (STANDARD) [id:9831753] | Jaden Ivey UNDER PRA 19.5 (STANDARD) [id:9831591],0.41904308330443596,2.5142584998266155,0.7485972805438911,0.0033244423827747775,Aaron Wiggins OVER FG3M 0.5 (GOBLIN) [id:9841199] | Nikola Vučević OVER PR 22.5 (STANDARD) [id:9831753] | Jaden Ivey UNDER PRA 19.5 (STANDARD) [id:9831591],Aaron Wiggins OVER FG3M 0.5 (GOBLIN) [id:9841199],Nikola Vučević OVER PR 22.5 (STANDARD) [id:9831753],Jaden Ivey UNDER PRA 19.5 (STANDARD) [id:9831591]
3,Myles Turner OVER REB 4.5 (GOBLIN) [id:9830578] | Deni Avdija OVER AST 5 (STANDARD) [id:9847610] | Gui Santos UNDER RA 9 (STANDARD) [id:9845913],0.41699041809165893,2.501942508549954,0.7478137705792175,0.0023239972753135558,Myles Turner OVER REB 4.5 (GOBLIN) [id:9830578] | Deni Avdija OVER AST 5 (STANDARD) [id:9847610] | Gui Santos UNDER RA 9 (STANDARD) [id:9845913],Myles Turner OVER REB 4.5 (GOBLIN) [id:9830578],Deni Avdija OVER AST 5 (STANDARD) [id:9847610],Gui Santos UNDER RA 9 (STANDARD) [id:9845913]
3,Devin Vassell OVER REB 2.5 (GOBLIN) [id:9845573] | Jared McCain UNDER PTS 6 (STANDARD) [id:9847463] | Daeqwon Plowden UNDER AST 2.5 (STANDARD) [id:9839052],0.41518440467799317,2.491106428067959,0.7570619209491435,0.0016104750901516154,Devin Vassell OVER REB 2.5 (GOBLIN) [id:9845573] | Jared McCain UNDER PTS 6 (STANDARD) [id:9847463] | Daeqwon Plowden UNDER AST 2.5 (STANDARD) [id:9839052],Devin Vassell OVER REB 2.5 (GOBLIN) [id:9845573],Jared McCain UNDER PTS 6 (STANDARD) [id:9847463],Daeqwon Plowden UNDER AST 2.5 (STANDARD) [id:9839052]
