n_legs,legs,hit_prob,ev_mult,avg_p,avg_fragility,slip_key,leg_1,leg_2,leg_3,leg_4
4,Nikola Vučević OVER PRA 20.5 (GOBLIN) [id:9831984] | Jarace Walker UNDER PA 20.5 (STANDARD) [id:9858450] | Franz Wagner OVER PR 17.5 (STANDARD) [id:9823027] | Onyeka Okongwu OVER PR 23.5 (DEMON) [id:9857401],0.34001054906612127,3.400105490661213,0.7781688662267546,0.004312000272497981,Nikola Vučević OVER PRA 20.5 (GOBLIN) [id:9831984] | Jarace Walker UNDER PA 20.5 (STANDARD) [id:9858450] | Franz Wagner OVER PR 17.5 (STANDARD) [id:9823027] | Onyeka Okongwu OVER PR 23.5 (DEMON) [id:9857401],Nikola Vučević OVER PRA 20.5 (GOBLIN) [id:9831984],Jarace Walker UNDER PA 20.5 (STANDARD) [id:9858450],Franz Wagner OVER PR 17.5 (STANDARD) [id:9823027],Onyeka Okongwu OVER PR 23.5 (DEMON) [id:9857401]
4,Franz Wagner OVER PA 15.5 (GOBLIN) [id:9843942] | Devin Carter UNDER RA 10.5 (STANDARD) [id:9842420] | Nique Clifford UNDER PRA 25.5 (STANDARD) [id:9839306] | Kentavious Caldwell-Pope OVER REB 2.5 (DEMON) [id:9832528],0.32643332487107685,3.2643332487107686,0.775119976004799,0.0036429496519079043,Franz Wagner OVER PA 15.5 (GOBLIN) [id:9843942] | Devin Carter UNDER RA 10.5 (STANDARD) [id:9842420] | Nique Clifford UNDER PRA 25.5 (STANDARD) [id:9839306] | Kentavious Caldwell-Pope OVER REB 2.5 (DEMON) [id:9832528],Franz Wagner OVER PA 15.5 (GOBLIN) [id:9843942],Devin Carter UNDER RA 10.5 (STANDARD) [id:9842420],Nique Clifford UNDER PRA 25.5 (STANDARD) [id:9839306],Kentavious Caldwell-Pope OVER REB 2.5 (DEMON) [id:9832528]
4,Bennedict Mathurin OVER RA 5.5 (GOBLIN) [id:9842813] | Keldon Johnson OVER PRA 17.5 (STANDARD) [id:9845680] | Nikola Vučević OVER PTS 14.5 (STANDARD) [id:9831751] | Scoot Henderson OVER RA 9.5 (DEMON) [id:9834174],0.29472593903709093,2.9472593903709092,0.7396110777844431,0.0005461827891734182,Bennedict Mathurin OVER RA 5.5 (GOBLIN) [id:9842813] | Keldon Johnson OVER PRA 17.5 (STANDARD) [id:9845680] | Nikola Vučević OVER PTS 14.5 (STANDARD) [id:9831751] | Scoot Henderson OVER RA 9.5 (DEMON) [id:9834174],Bennedict Mathurin OVER RA 5.5 (GOBLIN) [id:9842813],Keldon Johnson OVER PRA 17.5 (STANDARD) [id:9845680],Nikola Vučević OVER PTS 14.5 (STANDARD) [id:9831751],Scoot Henderson OVER RA 9.5 (DEMON) [id:9834174]
4,Bennedict Mathurin OVER PRA 14.5 (GOBLIN) [id:9856655] | Lauri Markkanen OVER AST 1.5 (STANDARD) [id:9839233] | Nikola Vučević OVER PA 16.5 (STANDARD) [id:9831752] | Tre Johnson OVER AST 2.5 (DEMON) [id:9838537],0.2926081659529851,2.926081659529851,0.7455898820235953,0.0014627803662368548,Bennedict Mathurin OVER PRA 14.5 (GOBLIN) [id:9856655] | Lauri Markkanen OVER AST 1.5 (STANDARD) [id:9839233] | Nikola Vučević OVER PA 16.5 (STANDARD) [id:9831752] | Tre Johnson OVER AST 2.5 (DEMON) [id:9838537],Bennedict Mathurin OVER PRA 14.5 (GOBLIN) [id:9856655],Lauri Markkanen OVER AST 1.5 (STANDARD) [id:9839233],Nikola Vučević OVER PA 16.5 (STANDARD) [id:9831752],Tre Johnson OVER AST 2.5 (DEMON) [id:9838537]
4,Robert Williams OVER AST 0.5 (GOBLIN) [id:9834117] | Nique Clifford UNDER PTS 16.5 (STANDARD) [id:9839303] | Mitchell Robinson OVER AST 0.5 (STANDARD) [id:9842299] | Immanuel Quickley OVER PR 20.5 (DEMON) [id:9844285],0.28770417344866306,2.877041734486631,0.7384028194361127,0.0010154997327632375,Robert Williams OVER AST 0.5 (GOBLIN) [id:9834117] | Nique Clifford UNDER PTS 16.5 (STANDARD) [id:9839303] | Mitchell Robinson OVER AST 0.5 (STANDARD) [id:9842299] | Immanuel Quickley OVER PR 20.5 (DEMON) [id:9844285],Robert Williams OVER AST 0.5 (GOBLIN) [id:9834117],Nique Clifford UNDER PTS 16.5 (STANDARD) [id:9839303],Mitchell Robinson OVER AST 0.5 (STANDARD) [id:9842299],Immanuel Quickley OVER PR 20.5 (DEMON) [id:9844285]
4,Dyson Daniels OVER AST 4.5 (GOBLIN) [id:9840178] | Sion James UNDER PA 9.5 (STANDARD) [id:9838950] | Scoot Henderson OVER PRA 18.5 (STANDARD) [id:9833501] | Sam Merrill OVER PR 14.5 (DEMON) [id:9857245],0.28524467187612795,2.8524467187612794,0.7536077784443111,0.002924348378893836,Dyson Daniels OVER AST 4.5 (GOBLIN) [id:9840178] | Sion James UNDER PA 9.5 (STANDARD) [id:9838950] | Scoot Henderson OVER PRA 18.5 (STANDARD) [id:9833501] | Sam Merrill OVER PR 14.5 (DEMON) [id:9857245],Dyson Daniels OVER AST 4.5 (GOBLIN) [id:9840178],Sion James UNDER PA 9.5 (STANDARD) [id:9838950],Scoot Henderson OVER PRA 18.5 (STANDARD) [id:9833501],Sam Merrill OVER PR 14.5 (DEMON) [id:9857245]
4,Isaiah Hartenstein OVER PA 9.5 (GOBLIN) [id:9847025] | Nique Clifford UNDER PRA 25.5 (STANDARD) [id:9839306] | Isaiah Joe UNDER PRA 17.5 (STANDARD) [id:9841523] | Bobby Portis OVER FG3M 1.5 (DEMON) [id:9822988],0.2847714733469573,2.847714733469573,0.7343831233753251,0.00164648997172417,Isaiah Hartenstein OVER PA 9.5 (GOBLIN) [id:9847025] | Nique Clifford UNDER PRA 25.5 (STANDARD) [id:9839306] | Isaiah Joe UNDER PRA 17.5 (STANDARD) [id:9841523] | Bobby Portis OVER FG3M 1.5 (DEMON) [id:9822988],Isaiah Hartenstein OVER PA 9.5 (GOBLIN) [id:9847025],Nique Clifford UNDER PRA 25.5 (STANDARD) [id:9839306],Isaiah Joe UNDER PRA 17.5 (STANDARD) [id:9841523],Bobby Portis OVER FG3M 1.5 (DEMON) [id:9822988]
4,Kevin Huerter OVER AST 0.5 (GOBLIN) [id:9851545] | Scoot Henderson OVER AST 4.5 (STANDARD) [id:9833813] | Onyeka Okongwu OVER PRA 25.5 (STANDARD) [id:9838878] | Lauri Markkanen OVER RA 9.5 (DEMON) [id:9839880],0.2774933327661547,2.7749333276615467,0.7525724855028995,0.00045584045584043837,Kevin Huerter OVER AST 0.5 (GOBLIN) [id:9851545] | Scoot Henderson OVER AST 4.5 (STANDARD) [id:9833813] | Onyeka Okongwu OVER PRA 25.5 (STANDARD) [id:9838878] | Lauri Markkanen OVER RA 9.5 (DEMON) [id:9839880],Kevin Huerter OVER AST 0.5 (GOBLIN) [id:9851545],Scoot Henderson OVER AST 4.5 (STANDARD) [id:9833813],Onyeka Okongwu OVER PRA 25.5 (STANDARD) [id:9838878],Lauri Markkanen OVER RA 9.5 (DEMON) [id:9839880]
4,Tre Johnson OVER AST 1.5 (GOBLIN) [id:9838535] | Pat Spencer UNDER FG3M 1.5 (STANDARD) [id:9845203] | Devin Carter UNDER AST 5.5 (STANDARD) [id:9847624] | Lauri Markkanen OVER RA 9.5 (DEMON) [id:9839880],0.27567348003345576,2.7567348003345575,0.741374725054989,0.0029005165443849825,Tre Johnson OVER AST 1.5 (GOBLIN) [id:9838535] | Pat Spencer UNDER FG3M 1.5 (STANDARD) [id:9845203] | Devin Carter UNDER AST 5.5 (STANDARD) [id:9847624] | Lauri Markkanen OVER RA 9.5 (DEMON) [id:9839880],Tre Johnson OVER AST 1.5 (GOBLIN) [id:9838535],Pat Spencer UNDER FG3M 1.5 (STANDARD) [id:9845203],Devin Carter UNDER AST 5.5 (STANDARD) [id:9847624],Lauri Markkanen OVER RA 9.5 (DEMON) [id:9839880]
4,Donovan Clingan OVER PRA 21.5 (GOBLIN) [id:9837531] | Joel Embiid OVER PA 32.5 (STANDARD) [id:9841811] | Devin Carter UNDER AST 5.5 (STANDARD) [id:9847624] | Zaccharie Risacher OVER REB 3.5 (DEMON) [id:9838986],0.27260447193757514,2.7260447193757513,0.7302064587082583,0.0006222130042518081,Donovan Clingan OVER PRA 21.5 (GOBLIN) [id:9837531] | Joel Embiid OVER PA 32.5 (STANDARD) [id:9841811] | Devin Carter UNDER AST 5.5 (STANDARD) [id:9847624] | Zaccharie Risacher OVER REB 3.5 (DEMON) [id:9838986],Donovan Clingan OVER PRA 21.5 (GOBLIN) [id:9837531],Joel Embiid OVER PA 32.5 (STANDARD) [id:9841811],Devin Carter UNDER AST 5.5 (STANDARD) [id:9847624],Zaccharie Risacher OVER REB 3.5 (DEMON) [id:9838986]
