n_legs,legs,hit_prob,ev_mult,avg_p,avg_fragility,slip_key,leg_1,leg_2,leg_3,leg_4,leg_5
5,Naji Marshall OVER AST 2.5 (GOBLIN) [id:9869141] | Austin Reaves OVER REB 3.5 (GOBLIN) [id:9868788] | LeBron James UNDER PR 29.5 (STANDARD) [id:9868882] | P.J. Washington UNDER PA 16.5 (STANDARD) [id:9868986] | Caleb Martin OVER PRA 16.5 (DEMON) [id:9869061],0.08061827382825,1.612365476565,0.6426531276705074,0.0039235884282667905,Naji Marshall OVER AST 2.5 (GOBLIN) [id:9869141] | Austin Reaves OVER REB 3.5 (GOBLIN) [id:9868788] | LeBron James UNDER PR 29.5 (STANDARD) [id:9868882] | P.J. Washington UNDER PA 16.5 (STANDARD) [id:9868986] | Caleb Martin OVER PRA 16.5 (DEMON) [id:9869061],Naji Marshall OVER AST 2.5 (GOBLIN) [id:9869141],Austin Reaves OVER REB 3.5 (GOBLIN) [id:9868788],LeBron James UNDER PR 29.5 (STANDARD) [id:9868882],P.J. Washington UNDER PA 16.5 (STANDARD) [id:9868986],Caleb Martin OVER PRA 16.5 (DEMON) [id:9869061]
5,Austin Reaves OVER FG3M 1.5 (GOBLIN) [id:9868765] | Daniel Gafford OVER REB 5.5 (GOBLIN) [id:9868833] | Marcus Smart UNDER PTS 11.5 (STANDARD) [id:9868908] | LeBron James UNDER PR 29.5 (STANDARD) [id:9868882] | Max Christie OVER PRA 23.5 (DEMON) [id:9869133],0.07929279040689352,1.5858558081378704,0.618840853903394,0.006194018326838159,Austin Reaves OVER FG3M 1.5 (GOBLIN) [id:9868765] | Daniel Gafford OVER REB 5.5 (GOBLIN) [id:9868833] | Marcus Smart UNDER PTS 11.5 (STANDARD) [id:9868908] | LeBron James UNDER PR 29.5 (STANDARD) [id:9868882] | Max Christie OVER PRA 23.5 (DEMON) [id:9869133],Austin Reaves OVER FG3M 1.5 (GOBLIN) [id:9868765],Daniel Gafford OVER REB 5.5 (GOBLIN) [id:9868833],Marcus Smart UNDER PTS 11.5 (STANDARD) [id:9868908],LeBron James UNDER PR 29.5 (STANDARD) [id:9868882],Max Christie OVER PRA 23.5 (DEMON) [id:9869133]
5,Austin Reaves OVER REB 3.5 (GOBLIN) [id:9868788] | Max Christie OVER RA 5.5 (GOBLIN) [id:9869135] | Daniel Gafford UNDER PTS 9.5 (STANDARD) [id:9868827] | LeBron James UNDER PR 29.5 (STANDARD) [id:9868882] | Naji Marshall OVER AST 4.5 (DEMON) [id:9868954],0.07555533496469378,1.5111066992938758,0.6270184757361447,0.003015658225401139,Austin Reaves OVER REB 3.5 (GOBLIN) [id:9868788] | Max Christie OVER RA 5.5 (GOBLIN) [id:9869135] | Daniel Gafford UNDER PTS 9.5 (STANDARD) [id:9868827] | LeBron James UNDER PR 29.5 (STANDARD) [id:9868882] | Naji Marshall OVER AST 4.5 (DEMON) [id:9868954],Austin Reaves OVER REB 3.5 (GOBLIN) [id:9868788],Max Christie OVER RA 5.5 (GOBLIN) [id:9869135],Daniel Gafford UNDER PTS 9.5 (STANDARD) [id:9868827],LeBron James UNDER PR 29.5 (STANDARD) [id:9868882],Naji Marshall OVER AST 4.5 (DEMON) [id:9868954]
5,Naji Marshall OVER FG3M 0.5 (GOBLIN) [id:9868951] | Marcus Smart OVER AST 2.5 (GOBLIN) [id:9868898] | Deandre Ayton UNDER RA 10.5 (STANDARD) [id:9868858] | Austin Reaves UNDER PA 27.5 (STANDARD) [id:9868784] | Max Christie OVER FG3M 2.5 (DEMON) [id:9868923],0.07327259432201652,1.4654518864403303,0.5948239655922662,0.004279202442667896,Naji Marshall OVER FG3M 0.5 (GOBLIN) [id:9868951] | Marcus Smart OVER AST 2.5 (GOBLIN) [id:9868898] | Deandre Ayton UNDER RA 10.5 (STANDARD) [id:9868858] | Austin Reaves UNDER PA 27.5 (STANDARD) [id:9868784] | Max Christie OVER FG3M 2.5 (DEMON) [id:9868923],Naji Marshall OVER FG3M 0.5 (GOBLIN) [id:9868951],Marcus Smart OVER AST 2.5 (GOBLIN) [id:9868898],Deandre Ayton UNDER RA 10.5 (STANDARD) [id:9868858],Austin Reaves UNDER PA 27.5 (STANDARD) [id:9868784],Max Christie OVER FG3M 2.5 (DEMON) [id:9868923]
5,LeBron James OVER FG3M 0.5 (GOBLIN) [id:9868863] | Marcus Smart OVER REB 2.5 (GOBLIN) [id:9868914] | Caleb Martin UNDER PA 10.5 (STANDARD) [id:9868808] | P.J. Washington UNDER PA 16.5 (STANDARD) [id:9868986] | Naji Marshall OVER PRA 31.5 (DEMON) [id:9869148],0.0682068184715346,1.364136369430692,0.6127254031325101,0.0009079302028656514,LeBron James OVER FG3M 0.5 (GOBLIN) [id:9868863] | Marcus Smart OVER REB 2.5 (GOBLIN) [id:9868914] | Caleb Martin UNDER PA 10.5 (STANDARD) [id:9868808] | P.J. Washington UNDER PA 16.5 (STANDARD) [id:9868986] | Naji Marshall OVER PRA 31.5 (DEMON) [id:9869148],LeBron James OVER FG3M 0.5 (GOBLIN) [id:9868863],Marcus Smart OVER REB 2.5 (GOBLIN) [id:9868914],Caleb Martin UNDER PA 10.5 (STANDARD) [id:9868808],P.J. Washington UNDER PA 16.5 (STANDARD) [id:9868986],Naji Marshall OVER PRA 31.5 (DEMON) [id:9869148]
5,LeBron James OVER PTS 20.5 (GOBLIN) [id:9869104] | P.J. Washington OVER FG3M 0.5 (GOBLIN) [id:9868971] | Deandre Ayton UNDER PTS 11.5 (STANDARD) [id:9868850] | Max Christie UNDER RA 6.5 (STANDARD) [id:9868946] | Austin Reaves OVER REB 4.5 (DEMON) [id:9868790],0.06738525592943993,1.3477051185887987,0.5858935010678757,0.005943888343544127,LeBron James OVER PTS 20.5 (GOBLIN) [id:9869104] | P.J. Washington OVER FG3M 0.5 (GOBLIN) [id:9868971] | Deandre Ayton UNDER PTS 11.5 (STANDARD) [id:9868850] | Max Christie UNDER RA 6.5 (STANDARD) [id:9868946] | Austin Reaves OVER REB 4.5 (DEMON) [id:9868790],LeBron James OVER PTS 20.5 (GOBLIN) [id:9869104],P.J. Washington OVER FG3M 0.5 (GOBLIN) [id:9868971],Deandre Ayton UNDER PTS 11.5 (STANDARD) [id:9868850],Max Christie UNDER RA 6.5 (STANDARD) [id:9868946],Austin Reaves OVER REB 4.5 (DEMON) [id:9868790]
5,Max Christie OVER PRA 19.5 (GOBLIN) [id:9869131] | Austin Reaves OVER FG3M 1.5 (GOBLIN) [id:9868765] | LeBron James UNDER PRA 37.5 (STANDARD) [id:9868883] | Marcus Smart UNDER PRA 17.5 (STANDARD) [id:9868913] | Naji Marshall OVER REB 6.5 (DEMON) [id:9868967],0.06615004171740602,1.3230008343481203,0.5956535007388015,0.006115437937407366,Max Christie OVER PRA 19.5 (GOBLIN) [id:9869131] | Austin Reaves OVER FG3M 1.5 (GOBLIN) [id:9868765] | LeBron James UNDER PRA 37.5 (STANDARD) [id:9868883] | Marcus Smart UNDER PRA 17.5 (STANDARD) [id:9868913] | Naji Marshall OVER REB 6.5 (DEMON) [id:9868967],Max Christie OVER PRA 19.5 (GOBLIN) [id:9869131],Austin Reaves OVER FG3M 1.5 (GOBLIN) [id:9868765],LeBron James UNDER PRA 37.5 (STANDARD) [id:9868883],Marcus Smart UNDER PRA 17.5 (STANDARD) [id:9868913],Naji Marshall OVER REB 6.5 (DEMON) [id:9868967]
5,Daniel Gafford OVER REB 5.5 (GOBLIN) [id:9868833] | LeBron James OVER FG3M 0.5 (GOBLIN) [id:9868863] | Deandre Ayton UNDER PR 21.5 (STANDARD) [id:9868852] | Austin Reaves OVER AST 4.5 (STANDARD) [id:9868770] | Naji Marshall OVER REB 6.5 (DEMON) [id:9868967],0.06376457113796119,1.2752914227592238,0.5949915951777036,0.0005655930871955748,Daniel Gafford OVER REB 5.5 (GOBLIN) [id:9868833] | LeBron James OVER FG3M 0.5 (GOBLIN) [id:9868863] | Deandre Ayton UNDER PR 21.5 (STANDARD) [id:9868852] | Austin Reaves OVER AST 4.5 (STANDARD) [id:9868770] | Naji Marshall OVER REB 6.5 (DEMON) [id:9868967],Daniel Gafford OVER REB 5.5 (GOBLIN) [id:9868833],LeBron James OVER FG3M 0.5 (GOBLIN) [id:9868863],Deandre Ayton UNDER PR 21.5 (STANDARD) [id:9868852],Austin Reaves OVER AST 4.5 (STANDARD) [id:9868770],Naji Marshall OVER REB 6.5 (DEMON) [id:9868967]
5,Austin Reaves OVER FG3M 1.5 (GOBLIN) [id:9868765] | Daniel Gafford OVER PTS 8.5 (GOBLIN) [id:9869074] | Marcus Smart UNDER PRA 17.5 (STANDARD) [id:9868913] | Deandre Ayton UNDER PTS 11.5 (STANDARD) [id:9868850] | Max Christie OVER FG3M 2.5 (DEMON) [id:9868923],0.061921629513044994,1.2384325902609,0.5799411511716577,0.005715441018750211,Austin Reaves OVER FG3M 1.5 (GOBLIN) [id:9868765] | Daniel Gafford OVER PTS 8.5 (GOBLIN) [id:9869074] | Marcus Smart UNDER PRA 17.5 (STANDARD) [id:9868913] | Deandre Ayton UNDER PTS 11.5 (STANDARD) [id:9868850] | Max Christie OVER FG3M 2.5 (DEMON) [id:9868923],Austin Reaves OVER FG3M 1.5 (GOBLIN) [id:9868765],Daniel Gafford OVER PTS 8.5 (GOBLIN) [id:9869074],Marcus Smart UNDER PRA 17.5 (STANDARD) [id:9868913],Deandre Ayton UNDER PTS 11.5 (STANDARD) [id:9868850],Max Christie OVER FG3M 2.5 (DEMON) [id:9868923]
5,Naji Marshall OVER PTS 16.5 (GOBLIN) [id:9869144] | LeBron James OVER REB 4.5 (GOBLIN) [id:9868885] | Daniel Gafford UNDER PR 17.5 (STANDARD) [id:9868829] | Caleb Martin UNDER PTS 7.5 (STANDARD) [id:9868806] | Max Christie OVER PTS 18.5 (DEMON) [id:9869129],0.060243408545359735,1.2048681709071947,0.5868534953197901,0.0,Naji Marshall OVER PTS 16.5 (GOBLIN) [id:9869144] | LeBron James OVER REB 4.5 (GOBLIN) [id:9868885] | Daniel Gafford UNDER PR 17.5 (STANDARD) [id:9868829] | Caleb Martin UNDER PTS 7.5 (STANDARD) [id:9868806] | Max Christie OVER PTS 18.5 (DEMON) [id:9869129],Naji Marshall OVER PTS 16.5 (GOBLIN) [id:9869144],LeBron James OVER REB 4.5 (GOBLIN) [id:9868885],Daniel Gafford UNDER PR 17.5 (STANDARD) [id:9868829],Caleb Martin UNDER PTS 7.5 (STANDARD) [id:9868806],Max Christie OVER PTS 18.5 (DEMON) [id:9869129]
