n_legs,legs,hit_prob,ev_mult,avg_p,avg_fragility,slip_key,leg_1,leg_2,leg_3,leg_4,leg_5
5,Donovan Clingan OVER PR 19.5 (GOBLIN) [id:9871354] | Lauri Markkanen OVER FG3M 1.5 (GOBLIN) [id:9870278] | Deni Avdija OVER RA 9.5 (GOBLIN) [id:9871405] | LeBron James UNDER PR 29.5 (STANDARD) [id:9868882] | Austin Reaves UNDER RA 10.5 (STANDARD) [id:9877940],0.23876327786837517,4.775265557367503,0.7571071510093927,0.003015658225401139,Donovan Clingan OVER PR 19.5 (GOBLIN) [id:9871354] | Lauri Markkanen OVER FG3M 1.5 (GOBLIN) [id:9870278] | Deni Avdija OVER RA 9.5 (GOBLIN) [id:9871405] | LeBron James UNDER PR 29.5 (STANDARD) [id:9868882] | Austin Reaves UNDER RA 10.5 (STANDARD) [id:9877940],Donovan Clingan OVER PR 19.5 (GOBLIN) [id:9871354],Lauri Markkanen OVER FG3M 1.5 (GOBLIN) [id:9870278],Deni Avdija OVER RA 9.5 (GOBLIN) [id:9871405],LeBron James UNDER PR 29.5 (STANDARD) [id:9868882],Austin Reaves UNDER RA 10.5 (STANDARD) [id:9877940]
5,Donovan Clingan OVER RA 9.5 (GOBLIN) [id:9871408] | LeBron James OVER PTS 17.5 (GOBLIN) [id:9869592] | Kyle Kuzma OVER REB 3.5 (GOBLIN) [id:9869974] | Deni Avdija OVER PR 30 (STANDARD) [id:9870124] | Jusuf Nurkić OVER RA 13.5 (STANDARD) [id:9870438],0.23299871669391292,4.659974333878258,0.752607333068004,0.0003051771117166126,Donovan Clingan OVER RA 9.5 (GOBLIN) [id:9871408] | LeBron James OVER PTS 17.5 (GOBLIN) [id:9869592] | Kyle Kuzma OVER REB 3.5 (GOBLIN) [id:9869974] | Deni Avdija OVER PR 30 (STANDARD) [id:9870124] | Jusuf Nurkić OVER RA 13.5 (STANDARD) [id:9870438],Donovan Clingan OVER RA 9.5 (GOBLIN) [id:9871408],LeBron James OVER PTS 17.5 (GOBLIN) [id:9869592],Kyle Kuzma OVER REB 3.5 (GOBLIN) [id:9869974],Deni Avdija OVER PR 30 (STANDARD) [id:9870124],Jusuf Nurkić OVER RA 13.5 (STANDARD) [id:9870438]
5,Caleb Martin OVER AST 1.5 (GOBLIN) [id:9880766] | Jerami Grant OVER AST 1.5 (GOBLIN) [id:9870145] | Naji Marshall OVER REB 3.5 (GOBLIN) [id:9869621] | Cam Thomas UNDER PA 21.5 (STANDARD) [id:9870847] | Aaron Wiggins UNDER AST 3.5 (STANDARD) [id:9869850],0.2100710311137351,4.201420622274702,0.7358340972186245,0.002729774871446958,Caleb Martin OVER AST 1.5 (GOBLIN) [id:9880766] | Jerami Grant OVER AST 1.5 (GOBLIN) [id:9870145] | Naji Marshall OVER REB 3.5 (GOBLIN) [id:9869621] | Cam Thomas UNDER PA 21.5 (STANDARD) [id:9870847] | Aaron Wiggins UNDER AST 3.5 (STANDARD) [id:9869850],Caleb Martin OVER AST 1.5 (GOBLIN) [id:9880766],Jerami Grant OVER AST 1.5 (GOBLIN) [id:9870145],Naji Marshall OVER REB 3.5 (GOBLIN) [id:9869621],Cam Thomas UNDER PA 21.5 (STANDARD) [id:9870847],Aaron Wiggins UNDER AST 3.5 (STANDARD) [id:9869850]
5,Chet Holmgren OVER FG3M 0.5 (GOBLIN) [id:9869868] | Austin Reaves OVER FG3M 1.5 (GOBLIN) [id:9868765] | Jake LaRavia OVER REB 2.5 (GOBLIN) [id:9878046] | Aaron Wiggins UNDER PR 21.5 (STANDARD) [id:9869854] | Jusuf Nurkić OVER RA 13.5 (STANDARD) [id:9870438],0.20843534182695214,4.168706836539043,0.7331787636346999,0.0017323709050527589,Chet Holmgren OVER FG3M 0.5 (GOBLIN) [id:9869868] | Austin Reaves OVER FG3M 1.5 (GOBLIN) [id:9868765] | Jake LaRavia OVER REB 2.5 (GOBLIN) [id:9878046] | Aaron Wiggins UNDER PR 21.5 (STANDARD) [id:9869854] | Jusuf Nurkić OVER RA 13.5 (STANDARD) [id:9870438],Chet Holmgren OVER FG3M 0.5 (GOBLIN) [id:9869868],Austin Reaves OVER FG3M 1.5 (GOBLIN) [id:9868765],Jake LaRavia OVER REB 2.5 (GOBLIN) [id:9878046],Aaron Wiggins UNDER PR 21.5 (STANDARD) [id:9869854],Jusuf Nurkić OVER RA 13.5 (STANDARD) [id:9870438]
5,Deni Avdija OVER PR 24.5 (GOBLIN) [id:9871348] | Max Christie OVER REB 2.5 (GOBLIN) [id:9868943] | Donovan Clingan OVER PR 19.5 (GOBLIN) [id:9871354] | Jusuf Nurkić OVER PR 19.5 (STANDARD) [id:9870432] | Luguentz Dort UNDER PA 12.5 (STANDARD) [id:9871067],0.20791587501883468,4.158317500376693,0.7361583122481304,0.0006994866424269721,Deni Avdija OVER PR 24.5 (GOBLIN) [id:9871348] | Max Christie OVER REB 2.5 (GOBLIN) [id:9868943] | Donovan Clingan OVER PR 19.5 (GOBLIN) [id:9871354] | Jusuf Nurkić OVER PR 19.5 (STANDARD) [id:9870432] | Luguentz Dort UNDER PA 12.5 (STANDARD) [id:9871067],Deni Avdija OVER PR 24.5 (GOBLIN) [id:9871348],Max Christie OVER REB 2.5 (GOBLIN) [id:9868943],Donovan Clingan OVER PR 19.5 (GOBLIN) [id:9871354],Jusuf Nurkić OVER PR 19.5 (STANDARD) [id:9870432],Luguentz Dort UNDER PA 12.5 (STANDARD) [id:9871067]
5,Max Christie OVER AST 1.5 (GOBLIN) [id:9870097] | Naji Marshall OVER REB 3.5 (GOBLIN) [id:9869621] | Deni Avdija OVER PR 24.5 (GOBLIN) [id:9871348] | Jericho Sims UNDER PRA 15.5 (STANDARD) [id:9877094] | Caleb Martin UNDER PR 10.5 (STANDARD) [id:9868809],0.20142799645738887,4.028559929147778,0.7347523591678897,0.001107531317183733,Max Christie OVER AST 1.5 (GOBLIN) [id:9870097] | Naji Marshall OVER REB 3.5 (GOBLIN) [id:9869621] | Deni Avdija OVER PR 24.5 (GOBLIN) [id:9871348] | Jericho Sims UNDER PRA 15.5 (STANDARD) [id:9877094] | Caleb Martin UNDER PR 10.5 (STANDARD) [id:9868809],Max Christie OVER AST 1.5 (GOBLIN) [id:9870097],Naji Marshall OVER REB 3.5 (GOBLIN) [id:9869621],Deni Avdija OVER PR 24.5 (GOBLIN) [id:9871348],Jericho Sims UNDER PRA 15.5 (STANDARD) [id:9877094],Caleb Martin UNDER PR 10.5 (STANDARD) [id:9868809]
5,Jerami Grant OVER AST 1.5 (GOBLIN) [id:9870145] | Chet Holmgren OVER REB 8.5 (GOBLIN) [id:9873689] | Austin Reaves OVER FG3M 1.5 (GOBLIN) [id:9868765] | Isaiah Collier UNDER PTS 17.5 (STANDARD) [id:9870362] | Bobby Portis OVER PR 17.5 (STANDARD) [id:9870104],0.18843865414278185,3.768773082855637,0.7182212565090198,0.002807678826575162,Jerami Grant OVER AST 1.5 (GOBLIN) [id:9870145] | Chet Holmgren OVER REB 8.5 (GOBLIN) [id:9873689] | Austin Reaves OVER FG3M 1.5 (GOBLIN) [id:9868765] | Isaiah Collier UNDER PTS 17.5 (STANDARD) [id:9870362] | Bobby Portis OVER PR 17.5 (STANDARD) [id:9870104],Jerami Grant OVER AST 1.5 (GOBLIN) [id:9870145],Chet Holmgren OVER REB 8.5 (GOBLIN) [id:9873689],Austin Reaves OVER FG3M 1.5 (GOBLIN) [id:9868765],Isaiah Collier UNDER PTS 17.5 (STANDARD) [id:9870362],Bobby Portis OVER PR 17.5 (STANDARD) [id:9870104]
5,Myles Turner OVER PA 9.5 (GOBLIN) [id:9871556] | Donovan Clingan OVER RA 9.5 (GOBLIN) [id:9871408] | Luke Kennard OVER PA 9.5 (GOBLIN) [id:9880795] | Jusuf Nurkić OVER PA 14.5 (STANDARD) [id:9870431] | Austin Reaves UNDER RA 10.5 (STANDARD) [id:9877940],0.18068079373511103,3.6136158747022207,0.7158631114134467,0.0003051771117166126,Myles Turner OVER PA 9.5 (GOBLIN) [id:9871556] | Donovan Clingan OVER RA 9.5 (GOBLIN) [id:9871408] | Luke Kennard OVER PA 9.5 (GOBLIN) [id:9880795] | Jusuf Nurkić OVER PA 14.5 (STANDARD) [id:9870431] | Austin Reaves UNDER RA 10.5 (STANDARD) [id:9877940],Myles Turner OVER PA 9.5 (GOBLIN) [id:9871556],Donovan Clingan OVER RA 9.5 (GOBLIN) [id:9871408],Luke Kennard OVER PA 9.5 (GOBLIN) [id:9880795],Jusuf Nurkić OVER PA 14.5 (STANDARD) [id:9870431],Austin Reaves UNDER RA 10.5 (STANDARD) [id:9877940]
5,Isaiah Hartenstein OVER PTS 7.5 (GOBLIN) [id:9874616] | LeBron James OVER PTS 17.5 (GOBLIN) [id:9869592] | Kevin Porter OVER REB 4.5 (GOBLIN) [id:9870318] | Deni Avdija OVER RA 11.5 (STANDARD) [id:9870129] | Cam Thomas UNDER PTS 18.5 (STANDARD) [id:9870846],0.17898221637784908,3.5796443275569816,0.7119917979964266,0.0017905102954342046,Isaiah Hartenstein OVER PTS 7.5 (GOBLIN) [id:9874616] | LeBron James OVER PTS 17.5 (GOBLIN) [id:9869592] | Kevin Porter OVER REB 4.5 (GOBLIN) [id:9870318] | Deni Avdija OVER RA 11.5 (STANDARD) [id:9870129] | Cam Thomas UNDER PTS 18.5 (STANDARD) [id:9870846],Isaiah Hartenstein OVER PTS 7.5 (GOBLIN) [id:9874616],LeBron James OVER PTS 17.5 (GOBLIN) [id:9869592],Kevin Porter OVER REB 4.5 (GOBLIN) [id:9870318],Deni Avdija OVER RA 11.5 (STANDARD) [id:9870129],Cam Thomas UNDER PTS 18.5 (STANDARD) [id:9870846]
5,Luke Kennard OVER PR 9.5 (GOBLIN) [id:9880798] | Donovan Clingan OVER RA 9.5 (GOBLIN) [id:9871408] | Jerami Grant OVER PRA 19.5 (GOBLIN) [id:9871361] | Daniel Gafford UNDER PA 10.5 (STANDARD) [id:9869769] | Jusuf Nurkić OVER PTS 10 (STANDARD) [id:9871280],0.17800151967646544,3.560030393529309,0.7128622445513781,0.0008213061439746851,Luke Kennard OVER PR 9.5 (GOBLIN) [id:9880798] | Donovan Clingan OVER RA 9.5 (GOBLIN) [id:9871408] | Jerami Grant OVER PRA 19.5 (GOBLIN) [id:9871361] | Daniel Gafford UNDER PA 10.5 (STANDARD) [id:9869769] | Jusuf Nurkić OVER PTS 10 (STANDARD) [id:9871280],Luke Kennard OVER PR 9.5 (GOBLIN) [id:9880798],Donovan Clingan OVER RA 9.5 (GOBLIN) [id:9871408],Jerami Grant OVER PRA 19.5 (GOBLIN) [id:9871361],Daniel Gafford UNDER PA 10.5 (STANDARD) [id:9869769],Jusuf Nurkić OVER PTS 10 (STANDARD) [id:9871280]
