projection_id,source_projection_id,player,team,stat,stat_raw,stat_is_canonical,line,direction,tier,more_allowed,less_allowed,main_line,alt_line,is_main,odds_type,start_time,updated_at
10106193|Jordan Walsh|PTS|STANDARD|5.5|OVER,10106193,Jordan Walsh,BOS,PTS,POINTS,1,5.5,OVER,STANDARD,1,0,5.5,0,0,standard,2026-02-24T21:10:00.000-05:00,2026-02-25T01:48:11.904000+00:00
10106193|Jordan Walsh|PTS|STANDARD|5.5|UNDER,10106193,Jordan Walsh,BOS,PTS,POINTS,1,5.5,UNDER,STANDARD,0,1,5.5,0,0,standard,2026-02-24T21:10:00.000-05:00,2026-02-25T01:48:11.904000+00:00
10077484|Jalen Suggs|FG3M|DEMON|4.5|OVER,10077484,Jalen Suggs,ORL,FG3M,3-PT MADE,1,4.5,OVER,DEMON,1,0,4.5,0,0,demon,2026-02-24T22:40:00.000-05:00,2026-02-25T01:48:08.181000+00:00
10088971|Tristan Silva|PR|STANDARD|11.5|OVER,10088971,Tristan Silva,ORL,PR,PTS+REBS,1,11.5,OVER,STANDARD,1,0,11.5,0,0,standard,2026-02-24T22:40:00.000-05:00,2026-02-25T01:48:03.886000+00:00
10088971|Tristan Silva|PR|STANDARD|11.5|UNDER,10088971,Tristan Silva,ORL,PR,PTS+REBS,1,11.5,UNDER,STANDARD,0,1,11.5,0,0,standard,2026-02-24T22:40:00.000-05:00,2026-02-25T01:48:03.886000+00:00
10099610|Neemias Queta|PR|GOBLIN|15.5|OVER,10099610,Neemias Queta,BOS,PR,PTS+REBS,1,15.5,OVER,GOBLIN,1,0,15.5,0,0,goblin,2026-02-24T21:10:00.000-05:00,2026-02-25T01:47:59.951000+00:00
10096333|Payton Pritchard|PR|GOBLIN|21.5|OVER,10096333,Payton Pritchard,BOS,PR,PTS+REBS,1,21.5,OVER,GOBLIN,1,0,21.5,0,0,goblin,2026-02-24T21:10:00.000-05:00,2026-02-25T01:47:59.926000+00:00
10100675|Neemias Queta|PR|DEMON|21.5|OVER,10100675,Neemias Queta,BOS,PR,PTS+REBS,1,21.5,OVER,DEMON,1,0,21.5,0,0,demon,2026-02-24T21:10:00.000-05:00,2026-02-25T01:47:59.900000+00:00
10090123|Payton Pritchard|PR|GOBLIN|20.5|OVER,10090123,Payton Pritchard,BOS,PR,PTS+REBS,1,20.5,OVER,GOBLIN,1,0,20.5,0,0,goblin,2026-02-24T21:10:00.000-05:00,2026-02-25T01:47:59.872000+00:00
10100674|Neemias Queta|PR|GOBLIN|13.5|OVER,10100674,Neemias Queta,BOS,PR,PTS+REBS,1,13.5,OVER,GOBLIN,1,0,13.5,0,0,goblin,2026-02-24T21:10:00.000-05:00,2026-02-25T01:47:59.846000+00:00
10089846|Payton Pritchard|PRA|GOBLIN|26.5|OVER,10089846,Payton Pritchard,BOS,PRA,PTS+REBS+ASTS,1,26.5,OVER,GOBLIN,1,0,26.5,0,0,goblin,2026-02-24T21:10:00.000-05:00,2026-02-25T01:47:59.500000+00:00
10069111|Payton Pritchard|PRA|GOBLIN|24.5|OVER,10069111,Payton Pritchard,BOS,PRA,PTS+REBS+ASTS,1,24.5,OVER,GOBLIN,1,0,24.5,0,0,goblin,2026-02-24T21:10:00.000-05:00,2026-02-25T01:47:59.465000+00:00
10069338|Collin Gillespie|REB|GOBLIN|2.5|OVER,10069338,Collin Gillespie,PHX,REB,REBOUNDS,1,2.5,OVER,GOBLIN,1,0,2.5,0,0,goblin,2026-02-24T21:10:00.000-05:00,2026-02-25T01:47:08.944000+00:00
10106016|Jevon Carter|FG3M|DEMON|2.5|OVER,10106016,Jevon Carter,ORL,FG3M,3-PT MADE,1,2.5,OVER,DEMON,1,0,2.5,0,0,demon,2026-02-24T22:40:00.000-05:00,2026-02-25T01:47:08.061000+00:00
