n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,beam_selected,leg_1,leg_2,leg_3,leg_4,leg_5,q_leg_count,q_players
5,Shai Gilgeous-Alexander OVER PRA 40.5 (GOBLIN) [id:10427627] | Darius Garland OVER PTS 11.5 (GOBLIN) [id:10424227] | GG Jackson UNDER PRA 28.5 (STANDARD) [id:10426291] | Jaylin Williams UNDER AST 4 (STANDARD) [id:10427598] | Aaron Gordon OVER PRA 21.5 (DEMON) [id:10427255],0.22693680895889579,20.0,1.0,20.0,4.538736179177915,20.0,atlas,0.7502538052236686,0.07079423937789704,Shai Gilgeous-Alexander OVER PRA 40.5 (GOBLIN) [id:10427627] | Darius Garland OVER PTS 11.5 (GOBLIN) [id:10424227] | GG Jackson UNDER PRA 28.5 (STANDARD) [id:10426291] | Jaylin Williams UNDER AST 4 (STANDARD) [id:10427598] | Aaron Gordon OVER PRA 21.5 (DEMON) [id:10427255],0.01,0.096,0.0007079423937789704,0.10670794239377897,90.66801564116453,"['shai gilgeous-alexander', 'darius garland', 'gg jackson', 'jaylin williams', 'aaron gordon']",1,Shai Gilgeous-Alexander OVER PRA 40.5 (GOBLIN) [id:10427627],Darius Garland OVER PTS 11.5 (GOBLIN) [id:10424227],GG Jackson UNDER PRA 28.5 (STANDARD) [id:10426291],Jaylin Williams UNDER AST 4 (STANDARD) [id:10427598],Aaron Gordon OVER PRA 21.5 (DEMON) [id:10427255],0,
5,Cameron Johnson OVER PTS 5.5 (GOBLIN) [id:10435910] | Darius Garland OVER PTS 9.5 (GOBLIN) [id:10423839] | Jaylin Williams UNDER AST 4 (STANDARD) [id:10427598] | Jabari Walker UNDER PTS 9 (STANDARD) [id:10430267] | Josh Hart OVER PTS 11.5 (DEMON) [id:10424534],0.2220046828418187,20.0,1.0,20.0,4.440093656836374,20.0,atlas,0.7502953226066663,0.05106072315660043,Cameron Johnson OVER PTS 5.5 (GOBLIN) [id:10435910] | Darius Garland OVER PTS 9.5 (GOBLIN) [id:10423839] | Jaylin Williams UNDER AST 4 (STANDARD) [id:10427598] | Jabari Walker UNDER PTS 9 (STANDARD) [id:10430267] | Josh Hart OVER PTS 11.5 (DEMON) [id:10424534],0.0,0.096,0.0005106072315660043,0.096510607231566,88.70536252949591,"['cameron johnson', 'darius garland', 'jaylin williams', 'jabari walker', 'josh hart']",1,Cameron Johnson OVER PTS 5.5 (GOBLIN) [id:10435910],Darius Garland OVER PTS 9.5 (GOBLIN) [id:10423839],Jaylin Williams UNDER AST 4 (STANDARD) [id:10427598],Jabari Walker UNDER PTS 9 (STANDARD) [id:10430267],Josh Hart OVER PTS 11.5 (DEMON) [id:10424534],0,
5,Josh Hart OVER AST 2.5 (GOBLIN) [id:10436039] | Shai Gilgeous-Alexander OVER PTS 24.5 (GOBLIN) [id:10427513] | Quentin Grimes UNDER PA 24.5 (STANDARD) [id:10425115] | John Konchar UNDER PR 10.5 (STANDARD) [id:10428149] | Jonas Valančiūnas OVER PTS 7.5 (DEMON) [id:10428460],0.219069334070856,20.0,1.0,20.0,4.38138668141712,20.0,atlas,0.7523480587738879,0.062375987273590595,Josh Hart OVER AST 2.5 (GOBLIN) [id:10436039] | Shai Gilgeous-Alexander OVER PTS 24.5 (GOBLIN) [id:10427513] | Quentin Grimes UNDER PA 24.5 (STANDARD) [id:10425115] | John Konchar UNDER PR 10.5 (STANDARD) [id:10428149] | Jonas Valančiūnas OVER PTS 7.5 (DEMON) [id:10428460],0.0,0.096,0.000623759872735906,0.09662375987273591,87.53110986846966,"['josh hart', 'shai gilgeous-alexander', 'quentin grimes', 'john konchar', 'jonas valančiūnas']",1,Josh Hart OVER AST 2.5 (GOBLIN) [id:10436039],Shai Gilgeous-Alexander OVER PTS 24.5 (GOBLIN) [id:10427513],Quentin Grimes UNDER PA 24.5 (STANDARD) [id:10425115],John Konchar UNDER PR 10.5 (STANDARD) [id:10428149],Jonas Valančiūnas OVER PTS 7.5 (DEMON) [id:10428460],0,
5,Darius Garland OVER PA 14.5 (GOBLIN) [id:10424229] | Jonas Valančiūnas OVER PR 7.5 (GOBLIN) [id:10428439] | Gui Santos UNDER PTS 15.5 (STANDARD) [id:10424692] | Adem Bona UNDER PA 8.5 (STANDARD) [id:10425057] | Shai Gilgeous-Alexander OVER PRA 46.5 (DEMON) [id:10427521],0.21523994011695094,20.0,1.0,20.0,4.304798802339019,20.0,atlas,0.7373863039382191,0.08277064243446662,Darius Garland OVER PA 14.5 (GOBLIN) [id:10424229] | Jonas Valančiūnas OVER PR 7.5 (GOBLIN) [id:10428439] | Gui Santos UNDER PTS 15.5 (STANDARD) [id:10424692] | Adem Bona UNDER PA 8.5 (STANDARD) [id:10425057] | Shai Gilgeous-Alexander OVER PRA 46.5 (DEMON) [id:10427521],0.0,0.096,0.0008277064243446663,0.09682770642434467,85.99914834035603,"['darius garland', 'jonas valančiūnas', 'gui santos', 'adem bona', 'shai gilgeous-alexander']",1,Darius Garland OVER PA 14.5 (GOBLIN) [id:10424229],Jonas Valančiūnas OVER PR 7.5 (GOBLIN) [id:10428439],Gui Santos UNDER PTS 15.5 (STANDARD) [id:10424692],Adem Bona UNDER PA 8.5 (STANDARD) [id:10425057],Shai Gilgeous-Alexander OVER PRA 46.5 (DEMON) [id:10427521],0,
5,Aaron Gordon OVER PRA 14.5 (GOBLIN) [id:10429627] | Luguentz Dort OVER PR 9.5 (GOBLIN) [id:10427806] | Brook Lopez UNDER REB 4 (STANDARD) [id:10431524] | John Konchar UNDER RA 8.5 (STANDARD) [id:10436140] | Shai Gilgeous-Alexander OVER PRA 46.5 (DEMON) [id:10427521],0.21349622797998372,20.0,1.0,20.0,4.269924559599675,20.0,atlas,0.7364710464535082,0.0743194687225848,Aaron Gordon OVER PRA 14.5 (GOBLIN) [id:10429627] | Luguentz Dort OVER PR 9.5 (GOBLIN) [id:10427806] | Brook Lopez UNDER REB 4 (STANDARD) [id:10431524] | John Konchar UNDER RA 8.5 (STANDARD) [id:10436140] | Shai Gilgeous-Alexander OVER PRA 46.5 (DEMON) [id:10427521],0.01,0.054,0.000743194687225848,0.06474319468722585,85.33374799730626,"['aaron gordon', 'luguentz dort', 'brook lopez', 'john konchar', 'shai gilgeous-alexander']",1,Aaron Gordon OVER PRA 14.5 (GOBLIN) [id:10429627],Luguentz Dort OVER PR 9.5 (GOBLIN) [id:10427806],Brook Lopez UNDER REB 4 (STANDARD) [id:10431524],John Konchar UNDER RA 8.5 (STANDARD) [id:10436140],Shai Gilgeous-Alexander OVER PRA 46.5 (DEMON) [id:10427521],0,
5,Kris Dunn OVER PTS 4.5 (GOBLIN) [id:10423865] | Bennedict Mathurin OVER PTS 9.5 (GOBLIN) [id:10423825] | Quentin Grimes UNDER PTS 19 (STANDARD) [id:10425114] | Jabari Walker UNDER PTS 9 (STANDARD) [id:10430267] | Darius Garland OVER PA 22.5 (DEMON) [id:10429564],0.19045599277037276,20.0,1.0,20.0,3.809119855407455,20.0,atlas,0.7269567569210389,0.05695783622952324,Kris Dunn OVER PTS 4.5 (GOBLIN) [id:10423865] | Bennedict Mathurin OVER PTS 9.5 (GOBLIN) [id:10423825] | Quentin Grimes UNDER PTS 19 (STANDARD) [id:10425114] | Jabari Walker UNDER PTS 9 (STANDARD) [id:10430267] | Darius Garland OVER PA 22.5 (DEMON) [id:10429564],0.05,0.096,0.0005695783622952324,0.14656957836229526,76.03582752978681,"['kris dunn', 'bennedict mathurin', 'quentin grimes', 'jabari walker', 'darius garland']",1,Kris Dunn OVER PTS 4.5 (GOBLIN) [id:10423865],Bennedict Mathurin OVER PTS 9.5 (GOBLIN) [id:10423825],Quentin Grimes UNDER PTS 19 (STANDARD) [id:10425114],Jabari Walker UNDER PTS 9 (STANDARD) [id:10430267],Darius Garland OVER PA 22.5 (DEMON) [id:10429564],0,
5,Dennis Schröder OVER AST 2.5 (GOBLIN) [id:10429287] | Chet Holmgren OVER PA 14.5 (GOBLIN) [id:10427790] | Jabari Walker UNDER PA 10.5 (STANDARD) [id:10430268] | Jaylin Williams UNDER RA 11.5 (STANDARD) [id:10427771] | Aaron Gordon OVER PRA 21.5 (DEMON) [id:10427255],0.17902696048167108,20.0,1.0,20.0,3.5805392096334216,20.0,atlas,0.7133722336281313,0.07883849883741448,Dennis Schröder OVER AST 2.5 (GOBLIN) [id:10429287] | Chet Holmgren OVER PA 14.5 (GOBLIN) [id:10427790] | Jabari Walker UNDER PA 10.5 (STANDARD) [id:10430268] | Jaylin Williams UNDER RA 11.5 (STANDARD) [id:10427771] | Aaron Gordon OVER PRA 21.5 (DEMON) [id:10427255],0.01,0.096,0.0007883849883741448,0.10678838498837415,71.50399580768006,"['dennis schröder', 'chet holmgren', 'jabari walker', 'jaylin williams', 'aaron gordon']",1,Dennis Schröder OVER AST 2.5 (GOBLIN) [id:10429287],Chet Holmgren OVER PA 14.5 (GOBLIN) [id:10427790],Jabari Walker UNDER PA 10.5 (STANDARD) [id:10430268],Jaylin Williams UNDER RA 11.5 (STANDARD) [id:10427771],Aaron Gordon OVER PRA 21.5 (DEMON) [id:10427255],0,
5,Luguentz Dort OVER PR 9.5 (GOBLIN) [id:10427806] | Keyonte George OVER AST 3.5 (GOBLIN) [id:10425508] | Jaylin Williams UNDER RA 11.5 (STANDARD) [id:10427771] | Olivier-Maxence Prosper UNDER REB 7 (STANDARD) [id:10426381] | Aaron Gordon OVER PR 19.5 (DEMON) [id:10427823],0.17865870431443015,20.0,1.0,20.0,3.573174086288603,20.0,atlas,0.7144193069172508,0.07188665307888922,Luguentz Dort OVER PR 9.5 (GOBLIN) [id:10427806] | Keyonte George OVER AST 3.5 (GOBLIN) [id:10425508] | Jaylin Williams UNDER RA 11.5 (STANDARD) [id:10427771] | Olivier-Maxence Prosper UNDER REB 7 (STANDARD) [id:10426381] | Aaron Gordon OVER PR 19.5 (DEMON) [id:10427823],0.01,0.054,0.0007188665307888922,0.0647188665307889,71.39876285924127,"['luguentz dort', 'keyonte george', 'jaylin williams', 'olivier-maxence prosper', 'aaron gordon']",1,Luguentz Dort OVER PR 9.5 (GOBLIN) [id:10427806],Keyonte George OVER AST 3.5 (GOBLIN) [id:10425508],Jaylin Williams UNDER RA 11.5 (STANDARD) [id:10427771],Olivier-Maxence Prosper UNDER REB 7 (STANDARD) [id:10426381],Aaron Gordon OVER PR 19.5 (DEMON) [id:10427823],0,
5,Dennis Schröder OVER PTS 5.5 (GOBLIN) [id:10429381] | Cason Wallace OVER AST 1.5 (GOBLIN) [id:10427593] | Gui Santos UNDER REB 6.5 (STANDARD) [id:10429125] | Jabari Walker UNDER PTS 9 (STANDARD) [id:10430267] | Josh Hart OVER PTS 11.5 (DEMON) [id:10424534],0.1719259446008408,20.0,1.0,20.0,3.4385188920168157,20.0,atlas,0.7104391814973338,0.060049263734470934,Dennis Schröder OVER PTS 5.5 (GOBLIN) [id:10429381] | Cason Wallace OVER AST 1.5 (GOBLIN) [id:10427593] | Gui Santos UNDER REB 6.5 (STANDARD) [id:10429125] | Jabari Walker UNDER PTS 9 (STANDARD) [id:10430267] | Josh Hart OVER PTS 11.5 (DEMON) [id:10424534],0.0,0.054,0.0006004926373447093,0.054600492637344705,68.71577734769897,"['dennis schröder', 'cason wallace', 'gui santos', 'jabari walker', 'josh hart']",1,Dennis Schröder OVER PTS 5.5 (GOBLIN) [id:10429381],Cason Wallace OVER AST 1.5 (GOBLIN) [id:10427593],Gui Santos UNDER REB 6.5 (STANDARD) [id:10429125],Jabari Walker UNDER PTS 9 (STANDARD) [id:10430267],Josh Hart OVER PTS 11.5 (DEMON) [id:10424534],0,
5,James Harden OVER AST 5.5 (GOBLIN) [id:10439352] | Bennedict Mathurin OVER REB 3.5 (GOBLIN) [id:10423829] | Quentin Grimes UNDER PA 24.5 (STANDARD) [id:10425115] | Adem Bona UNDER REB 6.5 (STANDARD) [id:10425319] | Josh Hart OVER AST 4.5 (DEMON) [id:10423059],0.16796331194737693,20.0,1.0,20.0,3.3592662389475385,20.0,atlas,0.7059472793817492,0.05913093468398469,James Harden OVER AST 5.5 (GOBLIN) [id:10439352] | Bennedict Mathurin OVER REB 3.5 (GOBLIN) [id:10423829] | Quentin Grimes UNDER PA 24.5 (STANDARD) [id:10425115] | Adem Bona UNDER REB 6.5 (STANDARD) [id:10425319] | Josh Hart OVER AST 4.5 (DEMON) [id:10423059],0.01,0.03,0.0005913093468398469,0.04059130934683985,67.14473346960393,"['james harden', 'bennedict mathurin', 'quentin grimes', 'adem bona', 'josh hart']",1,James Harden OVER AST 5.5 (GOBLIN) [id:10439352],Bennedict Mathurin OVER REB 3.5 (GOBLIN) [id:10423829],Quentin Grimes UNDER PA 24.5 (STANDARD) [id:10425115],Adem Bona UNDER REB 6.5 (STANDARD) [id:10425319],Josh Hart OVER AST 4.5 (DEMON) [id:10423059],0,
