n_legs,legs,hit_prob,payout_mult,kernel_mult,payout_mult_eff,ev_mult,atlas_power_mult,pricing_engine,avg_p,avg_fragility,slip_key,pen_team,pen_family,pen_frag,pen_total,score_adj,players,rank_ev,beam_selected,leg_1,leg_2,leg_3,leg_4,q_leg_count,q_players
4,James Harden OVER PTS 16.5 (GOBLIN) [id:10429038] | Chet Holmgren UNDER PA 19.5 (STANDARD) [id:10427353] | Noah Clowney UNDER RA 6.5 (STANDARD) [id:10426349] | Shai Gilgeous-Alexander OVER PA 49.5 (DEMON) [id:10427812],0.06750888997433423,10.0,1.984702845016671,19.84702845016671,1.3398508599597856,10.0,pp_kernel,0.5382725485959101,0.06504020971592711,James Harden OVER PTS 16.5 (GOBLIN) [id:10429038] | Chet Holmgren UNDER PA 19.5 (STANDARD) [id:10427353] | Noah Clowney UNDER RA 6.5 (STANDARD) [id:10426349] | Shai Gilgeous-Alexander OVER PA 49.5 (DEMON) [id:10427812],0.01,0.054,0.0006504020971592711,0.06465040209715928,26.527407734505044,"['james harden', 'chet holmgren', 'noah clowney', 'shai gilgeous-alexander']",26.5920581366022,1,James Harden OVER PTS 16.5 (GOBLIN) [id:10429038],Chet Holmgren UNDER PA 19.5 (STANDARD) [id:10427353],Noah Clowney UNDER RA 6.5 (STANDARD) [id:10426349],Shai Gilgeous-Alexander OVER PA 49.5 (DEMON) [id:10427812],0,
4,Shai Gilgeous-Alexander OVER PTS 27.5 (GOBLIN) [id:10427514] | Brice Sensabaugh OVER RA 4.5 (STANDARD) [id:10430243] | Cason Wallace OVER PRA 16 (STANDARD) [id:10427143] | Donovan Mitchell OVER REB 5.5 (DEMON) [id:10428411],0.05367232940162192,10.0,2.183127536719067,21.831275367190667,1.1717354027653721,10.0,pp_kernel,0.5254268010165307,0.0470737910014046,Shai Gilgeous-Alexander OVER PTS 27.5 (GOBLIN) [id:10427514] | Brice Sensabaugh OVER RA 4.5 (STANDARD) [id:10430243] | Cason Wallace OVER PRA 16 (STANDARD) [id:10427143] | Donovan Mitchell OVER REB 5.5 (DEMON) [id:10428411],0.01,0.024,0.00047073791001404604,0.03447073791001405,25.54600749734689,"['shai gilgeous-alexander', 'brice sensabaugh', 'cason wallace', 'donovan mitchell']",25.5804782352569,1,Shai Gilgeous-Alexander OVER PTS 27.5 (GOBLIN) [id:10427514],Brice Sensabaugh OVER RA 4.5 (STANDARD) [id:10430243],Cason Wallace OVER PRA 16 (STANDARD) [id:10427143],Donovan Mitchell OVER REB 5.5 (DEMON) [id:10428411],0,
4,OG Anunoby OVER PTS 11.5 (GOBLIN) [id:10424582] | Jaylin Williams UNDER PRA 22.5 (STANDARD) [id:10427605] | Cason Wallace OVER PR 13 (STANDARD) [id:10427573] | Chet Holmgren OVER PTS 21.5 (DEMON) [id:10427350],0.07729102999358192,10.0,1.7768987439482153,17.768987439482153,1.3733833411405956,10.0,pp_kernel,0.558641777287056,0.05789815104810288,OG Anunoby OVER PTS 11.5 (GOBLIN) [id:10424582] | Jaylin Williams UNDER PRA 22.5 (STANDARD) [id:10427605] | Cason Wallace OVER PR 13 (STANDARD) [id:10427573] | Chet Holmgren OVER PTS 21.5 (DEMON) [id:10427350],0.04,0.054,0.0005789815104810288,0.09457898151048102,24.309052356810795,"['og anunoby', 'jaylin williams', 'cason wallace', 'chet holmgren']",24.403631338321276,1,OG Anunoby OVER PTS 11.5 (GOBLIN) [id:10424582],Jaylin Williams UNDER PRA 22.5 (STANDARD) [id:10427605],Cason Wallace OVER PR 13 (STANDARD) [id:10427573],Chet Holmgren OVER PTS 21.5 (DEMON) [id:10427350],0,
4,Shai Gilgeous-Alexander OVER PRA 38.5 (GOBLIN) [id:10427519] | Andre Drummond OVER PR 13.5 (STANDARD) [id:10432291] | Jaylen Wells UNDER PRA 22.5 (STANDARD) [id:10426309] | Chet Holmgren OVER PR 34.5 (DEMON) [id:10427793],0.07594977945712011,10.0,1.788785910100115,17.887859101001148,1.358578953681076,10.0,pp_kernel,0.578121619796863,0.06439114457133267,Shai Gilgeous-Alexander OVER PRA 38.5 (GOBLIN) [id:10427519] | Andre Drummond OVER PR 13.5 (STANDARD) [id:10432291] | Jaylen Wells UNDER PRA 22.5 (STANDARD) [id:10426309] | Chet Holmgren OVER PR 34.5 (DEMON) [id:10427793],0.01,0.054,0.0006439114457133268,0.06464391144571333,24.237424989586938,"['shai gilgeous-alexander', 'andre drummond', 'jaylen wells', 'chet holmgren']",24.30206890103265,1,Shai Gilgeous-Alexander OVER PRA 38.5 (GOBLIN) [id:10427519],Andre Drummond OVER PR 13.5 (STANDARD) [id:10432291],Jaylen Wells UNDER PRA 22.5 (STANDARD) [id:10426309],Chet Holmgren OVER PR 34.5 (DEMON) [id:10427793],0,
4,Luguentz Dort OVER PR 9.5 (GOBLIN) [id:10427806] | Jaylin Williams UNDER PR 18.5 (STANDARD) [id:10427604] | Kawhi Leonard UNDER PTS 26.5 (STANDARD) [id:10423165] | Cason Wallace OVER REB 4.5 (DEMON) [id:10427320],0.06496144159760296,10.0,1.9301871740641683,19.301871740641683,1.2538774138041178,10.0,pp_kernel,0.551160302453781,0.0634493423512099,Luguentz Dort OVER PR 9.5 (GOBLIN) [id:10427806] | Jaylin Williams UNDER PR 18.5 (STANDARD) [id:10427604] | Kawhi Leonard UNDER PTS 26.5 (STANDARD) [id:10423165] | Cason Wallace OVER REB 4.5 (DEMON) [id:10427320],0.04,0.024,0.0006344934235120991,0.0646344934235121,24.137546526311066,"['luguentz dort', 'jaylin williams', 'kawhi leonard', 'cason wallace']",24.202181019734578,1,Luguentz Dort OVER PR 9.5 (GOBLIN) [id:10427806],Jaylin Williams UNDER PR 18.5 (STANDARD) [id:10427604],Kawhi Leonard UNDER PTS 26.5 (STANDARD) [id:10423165],Cason Wallace OVER REB 4.5 (DEMON) [id:10427320],0,
4,Luguentz Dort OVER PR 11.5 (GOBLIN) [id:10429209] | OG Anunoby OVER PRA 23 (STANDARD) [id:10423090] | Cason Wallace UNDER PR 13 (STANDARD) [id:10427573] | Chet Holmgren OVER RA 13.5 (DEMON) [id:10428367],0.05288354829130565,10.0,2.083200620801288,20.832006208012878,1.1016704063062281,10.0,pp_kernel,0.49451104044376243,0.07113722898184044,Luguentz Dort OVER PR 11.5 (GOBLIN) [id:10429209] | OG Anunoby OVER PRA 23 (STANDARD) [id:10423090] | Cason Wallace UNDER PR 13 (STANDARD) [id:10427573] | Chet Holmgren OVER RA 13.5 (DEMON) [id:10428367],0.04,0.054,0.0007113722898184045,0.09471137228981841,22.855293371065596,"['luguentz dort', 'og anunoby', 'cason wallace', 'chet holmgren']",22.950004743355414,1,Luguentz Dort OVER PR 11.5 (GOBLIN) [id:10429209],OG Anunoby OVER PRA 23 (STANDARD) [id:10423090],Cason Wallace UNDER PR 13 (STANDARD) [id:10427573],Chet Holmgren OVER RA 13.5 (DEMON) [id:10428367],0,
4,Josh Hart OVER AST 3.5 (GOBLIN) [id:10423594] | Sam Merrill UNDER PRA 16.5 (STANDARD) [id:10432437] | Luguentz Dort UNDER PA 10.5 (STANDARD) [id:10427625] | Cam Spencer OVER PRA 24.5 (DEMON) [id:10426449],0.038450400315609506,10.0,2.392196665433977,23.92196665433977,0.9198091941960259,10.0,pp_kernel,0.4705727119736265,0.06871933126377468,Josh Hart OVER AST 3.5 (GOBLIN) [id:10423594] | Sam Merrill UNDER PRA 16.5 (STANDARD) [id:10432437] | Luguentz Dort UNDER PA 10.5 (STANDARD) [id:10427625] | Cam Spencer OVER PRA 24.5 (DEMON) [id:10426449],0.0,0.054,0.0006871933126377468,0.054687193312637744,21.948957678599825,"['josh hart', 'sam merrill', 'luguentz dort', 'cam spencer']",22.003644871912464,1,Josh Hart OVER AST 3.5 (GOBLIN) [id:10423594],Sam Merrill UNDER PRA 16.5 (STANDARD) [id:10432437],Luguentz Dort UNDER PA 10.5 (STANDARD) [id:10427625],Cam Spencer OVER PRA 24.5 (DEMON) [id:10426449],0,
4,Darius Garland OVER PTS 9.5 (GOBLIN) [id:10423839] | Nikola Jokić UNDER REB 12.5 (STANDARD) [id:10427186] | Mikal Bridges OVER FG3M 1.5 (STANDARD) [id:10423077] | Andre Drummond OVER PRA 20.5 (DEMON) [id:10432296],0.05986119837193451,10.0,1.9085830155133527,19.08583015513353,1.1425006650094978,10.0,pp_kernel,0.539285500269015,0.04272365976031857,Darius Garland OVER PTS 9.5 (GOBLIN) [id:10423839] | Nikola Jokić UNDER REB 12.5 (STANDARD) [id:10427186] | Mikal Bridges OVER FG3M 1.5 (STANDARD) [id:10423077] | Andre Drummond OVER PRA 20.5 (DEMON) [id:10432296],0.0,0.006,0.0004272365976031857,0.006427236597603186,21.799146407900782,"['darius garland', 'nikola jokić', 'mikal bridges', 'andre drummond']",21.805573644498384,1,Darius Garland OVER PTS 9.5 (GOBLIN) [id:10423839],Nikola Jokić UNDER REB 12.5 (STANDARD) [id:10427186],Mikal Bridges OVER FG3M 1.5 (STANDARD) [id:10423077],Andre Drummond OVER PRA 20.5 (DEMON) [id:10432296],0,
4,Darius Garland OVER AST 3.5 (GOBLIN) [id:10438203] | Sam Merrill OVER PA 13.5 (STANDARD) [id:10432435] | Terance Mann UNDER RA 7 (STANDARD) [id:10431594] | Dean Wade OVER REB 5.5 (DEMON) [id:10428510],0.054553372648536415,10.0,1.9950387343186844,19.950387343186843,1.0883609152155163,10.0,pp_kernel,0.529954515053571,0.0532834511324711,Darius Garland OVER AST 3.5 (GOBLIN) [id:10438203] | Sam Merrill OVER PA 13.5 (STANDARD) [id:10432435] | Terance Mann UNDER RA 7 (STANDARD) [id:10431594] | Dean Wade OVER REB 5.5 (DEMON) [id:10428510],0.01,0.024,0.000532834511324711,0.03453283451132471,21.67868899322356,"['darius garland', 'sam merrill', 'terance mann', 'dean wade']",21.713221827734884,1,Darius Garland OVER AST 3.5 (GOBLIN) [id:10438203],Sam Merrill OVER PA 13.5 (STANDARD) [id:10432435],Terance Mann UNDER RA 7 (STANDARD) [id:10431594],Dean Wade OVER REB 5.5 (DEMON) [id:10428510],0,
4,Bennedict Mathurin OVER REB 3.5 (GOBLIN) [id:10423829] | Dominick Barlow UNDER REB 4.5 (STANDARD) [id:10425080] | Landry Shamet UNDER RA 3.5 (STANDARD) [id:10425953] | Luguentz Dort OVER PRA 19.5 (DEMON) [id:10427454],0.053030302730847446,10.0,2.0190988101065486,20.190988101065486,1.0707342114344414,10.0,pp_kernel,0.5109165047006461,0.05672927481478992,Bennedict Mathurin OVER REB 3.5 (GOBLIN) [id:10423829] | Dominick Barlow UNDER REB 4.5 (STANDARD) [id:10425080] | Landry Shamet UNDER RA 3.5 (STANDARD) [id:10425953] | Luguentz Dort OVER PRA 19.5 (DEMON) [id:10427454],0.0,0.012,0.0005672927481478992,0.012567292748147899,21.606614429728392,"['bennedict mathurin', 'dominick barlow', 'landry shamet', 'luguentz dort']",21.61918172247654,1,Bennedict Mathurin OVER REB 3.5 (GOBLIN) [id:10423829],Dominick Barlow UNDER REB 4.5 (STANDARD) [id:10425080],Landry Shamet UNDER RA 3.5 (STANDARD) [id:10425953],Luguentz Dort OVER PRA 19.5 (DEMON) [id:10427454],0,
